trial_number,run_number,side_picked,good_side,accuracy,outcome,reaction_time
0.0,1,0.0,1.0,0.0,0.0,0.5289837997406721
1.0,1,1.0,1.0,1.0,1.0,0.2639504997059703
2.0,1,1.0,1.0,1.0,0.0,0.533988299779594
3.0,1,0.0,1.0,0.0,0.0,0.2930215997621417
4.0,1,1.0,1.0,1.0,1.0,0.5314560998231173
5.0,1,1.0,1.0,1.0,1.0,0.2978835003450513
6.0,1,1.0,1.0,1.0,1.0,0.2539517004042864
7.0,1,1.0,1.0,1.0,1.0,0.3017036002129316
8.0,1,1.0,1.0,1.0,0.0,0.2719803005456924
9.0,1,0.0,1.0,0.0,0.0,0.459485299885273
10.0,1,1.0,1.0,1.0,1.0,0.3684533992782235
11.0,1,1.0,1.0,1.0,1.0,0.5919721005484462
12.0,1,1.0,1.0,1.0,1.0,0.8266135007143021
13.0,1,1.0,1.0,1.0,1.0,0.7075487999245524
14.0,1,1.0,1.0,1.0,1.0,0.8782381992787123
15.0,1,1.0,1.0,1.0,1.0,0.2963765002787113
16.0,1,1.0,1.0,1.0,0.0,0.3099213996902108
17.0,1,0.0,1.0,0.0,0.0,0.6344734001904726
18.0,1,1.0,1.0,1.0,1.0,0.4759896006435156
19.0,1,1.0,1.0,1.0,0.0,0.402751199901104
20.0,1,0.0,1.0,0.0,0.0,0.4521224005147815
21.0,1,1.0,1.0,1.0,0.0,0.351830399595201
22.0,1,1.0,1.0,1.0,1.0,0.5621061995625496
23.0,1,1.0,0.0,0.0,0.0,0.3230571998283267
24.0,1,0.0,0.0,1.0,1.0,0.8020403999835253
25.0,1,1.0,0.0,0.0,0.0,0.8095549000427127
26.0,1,0.0,0.0,1.0,1.0,0.3848132994025945
27.0,1,0.0,0.0,1.0,1.0,0.4693132992833853
28.0,1,0.0,0.0,1.0,1.0,0.4540606997907161
29.0,1,0.0,0.0,1.0,1.0,0.3755112998187542
30.0,1,0.0,0.0,1.0,1.0,0.5276873996481299
31.0,1,0.0,0.0,1.0,1.0,0.6716052005067468
32.0,1,,0.0,,,
33.0,1,1.0,0.0,0.0,0.0,0.3201703997328877
34.0,1,0.0,0.0,1.0,0.0,0.4920525001361966
35.0,1,1.0,0.0,0.0,0.0,0.426494300365448
36.0,1,0.0,0.0,1.0,1.0,0.4639600003138184
37.0,1,0.0,0.0,1.0,1.0,0.3617385001853108
38.0,1,0.0,0.0,1.0,1.0,0.8802570002153516
39.0,1,0.0,0.0,1.0,0.0,0.4837967995554209
40.0,1,1.0,0.0,0.0,0.0,0.3175683999434113
41.0,1,0.0,0.0,1.0,1.0,0.3417062005028128
42.0,1,0.0,0.0,1.0,0.0,0.5367374001070857
43.0,1,1.0,0.0,0.0,0.0,0.3103595003485679
44.0,1,0.0,0.0,1.0,1.0,0.3326898999512195
45.0,1,0.0,0.0,1.0,1.0,0.3843868998810649
46.0,1,0.0,0.0,1.0,0.0,0.5471668997779489
47.0,1,0.0,0.0,1.0,1.0,0.4049474997445941
48.0,1,0.0,0.0,1.0,1.0,0.3967645997181535
49.0,1,0.0,1.0,0.0,0.0,0.6425796002149582
0.0,2,0.0,1.0,0.0,0.0,0.4514180002734065
1.0,2,1.0,1.0,1.0,1.0,0.345010899938643
2.0,2,1.0,1.0,1.0,1.0,0.5661878008395433
3.0,2,1.0,1.0,1.0,0.0,0.5609408998861909
4.0,2,0.0,1.0,0.0,0.0,0.5787274995818734
5.0,2,1.0,1.0,1.0,1.0,0.4454837003722787
6.0,2,1.0,1.0,1.0,1.0,0.4703951003029942
7.0,2,1.0,1.0,1.0,1.0,0.6265578996390104
8.0,2,1.0,1.0,1.0,1.0,0.3405035007745027
9.0,2,1.0,1.0,1.0,1.0,0.586412999778986
10.0,2,1.0,1.0,1.0,1.0,0.6084314994513988
11.0,2,,1.0,,,
12.0,2,1.0,1.0,1.0,0.0,0.3047083001583814
13.0,2,0.0,1.0,0.0,0.0,0.4324831999838352
14.0,2,1.0,1.0,1.0,1.0,0.3208782002329826
15.0,2,1.0,1.0,1.0,0.0,0.5257569001987576
16.0,2,1.0,1.0,1.0,1.0,0.333687599748373
17.0,2,1.0,1.0,1.0,1.0,0.7871287995949388
18.0,2,1.0,1.0,1.0,0.0,0.5363995004445314
19.0,2,1.0,1.0,1.0,0.0,0.3433392001315951
20.0,2,0.0,1.0,0.0,0.0,0.3619088996201753
21.0,2,1.0,1.0,1.0,1.0,0.3534855004400015
22.0,2,1.0,0.0,0.0,0.0,0.4280463000759482
23.0,2,1.0,0.0,0.0,0.0,0.3717836998403072
24.0,2,1.0,0.0,0.0,0.0,0.418333999812603
25.0,2,1.0,0.0,0.0,0.0,0.4193823002278805
26.0,2,0.0,0.0,1.0,1.0,0.3747041001915931
27.0,2,0.0,0.0,1.0,1.0,0.3857918996363878
28.0,2,0.0,0.0,1.0,1.0,1.200607200153172
29.0,2,0.0,0.0,1.0,0.0,0.9937935005873442
30.0,2,1.0,0.0,0.0,0.0,0.3545765001326799
31.0,2,1.0,0.0,0.0,0.0,0.5279602995142341
32.0,2,0.0,0.0,1.0,1.0,0.4003895996138453
33.0,2,0.0,0.0,1.0,1.0,0.754619900137186
34.0,2,0.0,0.0,1.0,1.0,0.4478446999564767
35.0,2,0.0,0.0,1.0,0.0,0.3818656001240015
36.0,2,1.0,0.0,0.0,0.0,0.3759901998564601
37.0,2,1.0,0.0,0.0,0.0,0.4533063992857933
38.0,2,0.0,0.0,1.0,1.0,0.4021448995918035
39.0,2,0.0,0.0,1.0,0.0,0.4746663998812437
40.0,2,1.0,0.0,0.0,0.0,0.3601440992206335
41.0,2,0.0,0.0,1.0,1.0,0.3583386000245809
42.0,2,0.0,0.0,1.0,1.0,0.4292988004162907
43.0,2,0.0,0.0,1.0,1.0,0.3773644007742405
44.0,2,0.0,1.0,0.0,0.0,0.4200941994786262
45.0,2,1.0,1.0,1.0,1.0,0.4154181992635131
46.0,2,1.0,1.0,1.0,1.0,0.4589470000937581
47.0,2,1.0,1.0,1.0,1.0,0.3194882003590464
48.0,2,1.0,1.0,1.0,1.0,0.3465671995654702
49.0,2,1.0,1.0,1.0,0.0,0.3435408994555473
0.0,3,0.0,1.0,0.0,0.0,0.4055714998394251
