trial_number,run_number,side_picked,good_side,accuracy,outcome,reaction_time
0.0,1,0.0,1.0,0.0,0.0,0.5140488999895751
1.0,1,1.0,1.0,1.0,1.0,0.4085770999081433
2.0,1,1.0,1.0,1.0,0.0,0.4240748002193868
3.0,1,0.0,1.0,0.0,0.0,0.2533998000435531
4.0,1,1.0,1.0,1.0,1.0,0.5663462001830339
5.0,1,0.0,1.0,0.0,0.0,0.7793614000547677
6.0,1,1.0,1.0,1.0,1.0,1.0318916998803616
7.0,1,1.0,1.0,1.0,1.0,0.3196761000435799
8.0,1,0.0,1.0,0.0,0.0,0.4125359000172466
9.0,1,0.0,1.0,0.0,0.0,0.5864526000805199
10.0,1,0.0,1.0,0.0,0.0,0.8304173999931663
11.0,1,1.0,1.0,1.0,1.0,0.368132600095123
12.0,1,1.0,1.0,1.0,0.0,0.2443214000668376
13.0,1,0.0,1.0,0.0,0.0,0.2457041998859495
14.0,1,0.0,1.0,0.0,0.0,0.2553112001623958
15.0,1,1.0,1.0,1.0,1.0,0.2927095999475568
16.0,1,1.0,1.0,1.0,1.0,0.3186048998031765
17.0,1,1.0,1.0,1.0,1.0,0.5087806000374258
18.0,1,0.0,1.0,0.0,0.0,0.7810323000885546
19.0,1,1.0,1.0,1.0,0.0,0.3720725998282432
20.0,1,1.0,1.0,1.0,1.0,0.5313937999308109
21.0,1,1.0,0.0,0.0,0.0,0.2764371000230312
22.0,1,,0.0,,,
23.0,1,0.0,0.0,1.0,1.0,0.3965193999465555
24.0,1,0.0,0.0,1.0,0.0,0.5107879000715911
25.0,1,1.0,0.0,0.0,0.0,0.4590209999587387
26.0,1,1.0,0.0,0.0,0.0,0.4849237999878824
27.0,1,0.0,0.0,1.0,0.0,0.3963028001599014
28.0,1,1.0,0.0,0.0,0.0,0.4828639000188559
29.0,1,1.0,0.0,0.0,0.0,0.2910154999699443
30.0,1,0.0,0.0,1.0,1.0,0.3744914000853896
31.0,1,0.0,0.0,1.0,1.0,0.4902355000376701
32.0,1,0.0,0.0,1.0,1.0,0.376234499970451
33.0,1,0.0,0.0,1.0,1.0,0.3846980999223888
34.0,1,1.0,0.0,0.0,0.0,0.2986328999977559
35.0,1,0.0,0.0,1.0,1.0,0.3420825998764485
36.0,1,0.0,0.0,1.0,1.0,0.4019500000867992
37.0,1,0.0,0.0,1.0,1.0,0.3582599000073969
38.0,1,0.0,0.0,1.0,1.0,0.4818651999812573
39.0,1,0.0,0.0,1.0,1.0,0.3915864999871701
40.0,1,0.0,1.0,0.0,0.0,0.4064374000299722
41.0,1,1.0,1.0,1.0,1.0,0.3462257999926805
42.0,1,1.0,1.0,1.0,0.0,0.2836126999463886
43.0,1,0.0,1.0,0.0,0.0,0.3436134001240134
44.0,1,1.0,1.0,1.0,1.0,0.6354171000421047
45.0,1,1.0,1.0,1.0,0.0,0.2516699999105185
46.0,1,1.0,1.0,1.0,1.0,0.3103754001203924
47.0,1,0.0,1.0,0.0,0.0,0.3588260000105947
48.0,1,0.0,1.0,0.0,0.0,0.3652453999966383
49.0,1,1.0,1.0,1.0,1.0,0.6359014001209289
0.0,2,0.0,1.0,0.0,0.0,0.4244699999690056
1.0,2,0.0,1.0,0.0,0.0,0.3949556001462042
2.0,2,,1.0,,,
3.0,2,0.0,1.0,0.0,0.0,0.4272495999466628
4.0,2,0.0,1.0,0.0,0.0,0.329232000047341
5.0,2,1.0,1.0,1.0,1.0,0.2563757000025362
6.0,2,1.0,1.0,1.0,0.0,0.3802236001938581
7.0,2,1.0,1.0,1.0,1.0,0.4669361999258399
8.0,2,1.0,1.0,1.0,0.0,0.4475954000372439
9.0,2,1.0,1.0,1.0,1.0,0.3038591998629272
10.0,2,0.0,1.0,0.0,0.0,0.2475473000667989
11.0,2,0.0,1.0,0.0,0.0,0.3948486999142915
12.0,2,1.0,1.0,1.0,1.0,0.7494254000484943
13.0,2,1.0,1.0,1.0,1.0,0.9942809999920428
14.0,2,1.0,1.0,1.0,1.0,0.2817079999949783
15.0,2,1.0,1.0,1.0,1.0,0.2711449998896569
16.0,2,1.0,1.0,1.0,0.0,0.2716155000962317
17.0,2,0.0,1.0,0.0,0.0,0.3410400999709964
18.0,2,1.0,1.0,1.0,1.0,0.4236324999947101
19.0,2,1.0,1.0,1.0,1.0,0.5836841999553144
20.0,2,1.0,1.0,1.0,1.0,0.3465255999471992
21.0,2,1.0,1.0,1.0,1.0,0.350722000002861
22.0,2,1.0,0.0,0.0,0.0,0.9657415000256152
23.0,2,0.0,0.0,1.0,1.0,0.2356757000088691
24.0,2,0.0,0.0,1.0,0.0,0.4273632001131773
25.0,2,1.0,0.0,0.0,0.0,0.3512097001075744
26.0,2,1.0,0.0,0.0,0.0,0.5286749999504536
27.0,2,0.0,0.0,1.0,0.0,0.3194248999934643
28.0,2,0.0,0.0,1.0,1.0,0.3531981999985873
29.0,2,1.0,0.0,0.0,0.0,0.284480300033465
30.0,2,0.0,0.0,1.0,1.0,0.3724467998836189
31.0,2,0.0,0.0,1.0,1.0,0.4013620999176055
32.0,2,1.0,0.0,0.0,0.0,0.708919299999252
33.0,2,,0.0,,,
34.0,2,0.0,0.0,1.0,1.0,0.471941800089553
35.0,2,0.0,0.0,1.0,1.0,0.4946432998403907
36.0,2,,0.0,,,
37.0,2,0.0,0.0,1.0,1.0,0.4240747999865562
38.0,2,0.0,1.0,0.0,0.0,0.4096109000965953
39.0,2,0.0,1.0,0.0,0.0,0.3989281000103801
40.0,2,1.0,1.0,1.0,1.0,0.2611756999976933
41.0,2,1.0,1.0,1.0,0.0,0.3800693999510258
42.0,2,1.0,1.0,1.0,1.0,0.3800772000104189
43.0,2,1.0,1.0,1.0,0.0,0.6377918999642134
44.0,2,0.0,1.0,0.0,0.0,0.3189330000896007
45.0,2,0.0,1.0,0.0,0.0,0.5670666000805795
46.0,2,1.0,1.0,1.0,0.0,0.3512542000971734
47.0,2,0.0,1.0,0.0,0.0,0.4406419999431819
48.0,2,0.0,1.0,0.0,0.0,0.4423932998906821
49.0,2,1.0,1.0,1.0,1.0,0.3299786001443863
0.0,3,0.0,1.0,0.0,0.0,0.4984681999776512
1.0,3,1.0,1.0,1.0,1.0,0.4572358001023531
2.0,3,0.0,1.0,0.0,0.0,0.3518604999408126
3.0,3,1.0,1.0,1.0,0.0,0.3686819998547435
4.0,3,0.0,1.0,0.0,0.0,0.2863807999528944
5.0,3,1.0,1.0,1.0,1.0,0.3189050999935716
6.0,3,1.0,1.0,1.0,0.0,0.5713441998232156
7.0,3,0.0,1.0,0.0,0.0,0.3102792000863701
8.0,3,1.0,1.0,1.0,1.0,0.3665195000357926
9.0,3,1.0,1.0,1.0,1.0,0.3652129999827593
10.0,3,1.0,1.0,1.0,1.0,0.4767559000756591
11.0,3,1.0,1.0,1.0,1.0,0.6020289999432862
12.0,3,1.0,1.0,1.0,1.0,0.251368299825117
13.0,3,1.0,1.0,1.0,1.0,0.3464778999332338
14.0,3,1.0,0.0,0.0,0.0,0.480994600104168
15.0,3,0.0,0.0,1.0,1.0,0.5043797001708299
16.0,3,0.0,0.0,1.0,1.0,0.4620538000017404
17.0,3,0.0,0.0,1.0,1.0,0.3891557001043111
18.0,3,0.0,0.0,1.0,1.0,0.3347626000177115
19.0,3,0.0,0.0,1.0,0.0,0.2687357999384403
20.0,3,1.0,0.0,0.0,0.0,0.2679451000876724
21.0,3,1.0,0.0,0.0,0.0,0.2514685001224279
22.0,3,0.0,0.0,1.0,1.0,0.340256999945268
23.0,3,0.0,0.0,1.0,1.0,0.4349921999964863
24.0,3,0.0,0.0,1.0,1.0,0.3627959999721497
25.0,3,0.0,0.0,1.0,0.0,0.2923926999792456
26.0,3,1.0,0.0,0.0,0.0,0.330626199953258
27.0,3,0.0,0.0,1.0,0.0,0.3782588001340627
28.0,3,0.0,0.0,1.0,1.0,0.3355253001209348
29.0,3,0.0,0.0,1.0,1.0,0.465075199957937
30.0,3,1.0,0.0,0.0,0.0,0.871025700122118
31.0,3,0.0,0.0,1.0,0.0,0.3125893999822438
32.0,3,0.0,0.0,1.0,1.0,0.2608797000721097
33.0,3,0.0,0.0,1.0,0.0,0.5100716999731958
34.0,3,0.0,0.0,1.0,1.0,0.4024875001050532
35.0,3,0.0,0.0,1.0,1.0,0.5009230999276042
36.0,3,0.0,1.0,0.0,0.0,0.4227962999138981
37.0,3,1.0,1.0,1.0,1.0,0.3790574001614004
38.0,3,1.0,1.0,1.0,1.0,0.4458449000958353
