thisN,thisTrialN,thisRepN,advance_press.keys,advance_press.rt,advance_press.duration,trigger_value.keys,trigger_value.rt,trigger_value.duration,cueOnTime,cue_resp.keys,all_keys.keys,cueOffTime,cueRespOnTime,cueRespOffTime,outcomeOnTime,outcomeOffTime,fixOnTime,fixOffTime,cue_resp.rt,cue_resp.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,summary_instructions.started,summary_text.started,advance_to_runs.started,summary_instructions.stopped,advance_to_runs.keys,advance_to_runs.rt,advance_to_runs.duration,get_ready.started,get_ready_text.started,advance_press.started,get_ready.stopped,runs.advance_press.keys,runs.advance_press.rt,runs.advance_press.duration,scanner_trigger.started,scanner_text.started,trigger_value.started,scanner_trigger.stopped,runs.trigger_value.keys,runs.trigger_value.rt,runs.trigger_value.duration,trials.cueOnTime,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,trials.cueOffTime,trials.cueRespOnTime,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,trials.cueRespOffTime,trials.outcomeOnTime,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,outcome_image,trials.outcomeOffTime,trials.fixOnTime,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,trials.fixOffTime,trials.cue_resp.rt,trials.cue_resp.duration,outcome_left_box.stopped,outcome_right_box.stopped,run_feedback.started,coins_won_text.started,run_feedback.stopped,leftover_time_break.started,fixation_end.started,fixation_end.stopped,leftover_time_break.stopped,end_exp.started,end_exp.stopped,participant,handedness,practice,restart_from_run,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028888599947094917,0.03481040010228753,0.03481040010228753,44.78765200031921,j,44.74162809969857,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111111,right,no,None,2025-04-28_11h05.32.204,RL_out-of-scanner,2024.2.4,59.48132284843525,2025-04-28 11h06.08.884435 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.7880245000124,44.796446500346065,44.796446500346065,62.89705010037869,j,18.09844270022586,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111111,right,no,None,2025-04-28_11h05.32.204,RL_out-of-scanner,2024.2.4,59.48132284843525,2025-04-28 11h06.08.884435 -0500,
0,0,0,space,2.290289199911058,None,5,1.036108999978751,None,0.002416299656033516,None,None,1.500652499962598,1.5007312996312976,2.5158265996724367,2.5158721995539963,3.5161625999026,3.5162062998861074,5.516743699554354,,,,,,,0,0,0,0,0,0,0,0,66.29653740022331,,,,,,,,,,,,,,,,62.89747010031715,62.91264950018376,62.91264950018376,65.21384600037709,space,2.290289199911058,None,65.21394019993022,65.2297245003283,65.2297245003283,66.28051170008257,5,1.036108999978751,None,0.002416299656033516,66.28300960035995,66.29653740022331,66.29653740022331,66.29653740022331,66.29653740022331,67.78114570025355,None,right,1,7,0,0,0,0,None,1.500652499962598,1.5007312996312976,67.78132280008867,67.79697760008276,67.79697760008276,68.81311980029568,68.81311980029568,68.7963449000381,2.5158265996724367,2.5158721995539963,68.80635050032288,68.81311980029568,68.81311980029568,69.79670200031251,no selection made,3.5161625999026,3.5162062998861074,69.79680530028418,69.81310080038384,71.81374560017139,71.79729090025648,5.516743699554354,,,,,,,,,,,,,,111111,right,no,None,2025-04-28_11h05.32.204,RL_out-of-scanner,2024.2.4,59.48132284843525,2025-04-28 11h06.08.884435 -0500,
1,0,1,space,2.290289199911058,None,5,1.036108999978751,None,5.518185899592936,j,None,5.800972799770534,5.8013760996982455,7.299666399601847,7.299706899560988,8.299036499578506,8.299082299694419,9.799117799848318,0.26519279973581433,None,,,,,0,0,0,0,1,0,1,0,71.81374560017139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.518185899592936,71.79877969995141,71.81374560017139,71.81374560017139,71.81374560017139,71.81374560017139,72.08145119994879,j,right,1,7,0,0,0,0,None,5.800972799770534,5.8013760996982455,72.08197510009632,72.09718210017309,72.09718210017309,73.59643190028146,73.59643190028146,73.58019300037995,7.299666399601847,7.299706899560988,73.58881690027192,73.59643190028146,73.59643190028146,74.5795775000006,stimuli/box_empty_transparent.png,8.299036499578506,8.299082299694419,74.5796849001199,74.59535410022363,76.09635240025818,76.07966329995543,9.799117799848318,0.26519279973581433,None,74.59535410022363,74.59535410022363,,,,,,,,,,111111,right,no,None,2025-04-28_11h05.32.204,RL_out-of-scanner,2024.2.4,59.48132284843525,2025-04-28 11h06.08.884435 -0500,
2,0,2,space,2.290289199911058,None,5,1.036108999978751,None,9.800931899808347,k,None,10.050507799722254,10.05082629993558,11.049755699932575,11.049796499777585,12.050000799819827,12.050035499967635,15.049516099970788,0.23103140015155077,None,,,,,0,0,0,0,2,0,2,0,76.09635240025818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.800931899808347,76.08153429999948,76.09635240025818,76.09635240025818,76.09635240025818,76.09635240025818,76.3309809002094,k,right,1,7,1,0,1,1,None,10.050507799722254,10.05082629993558,76.3314251000993,76.34643590031192,76.34643590031192,77.34686199994758,77.34686199994758,77.33028270024806,11.049755699932575,11.049796499777585,77.3404091000557,77.34686199994758,77.34686199994758,78.3305463003926,stimuli/box_coin_transparent.png,12.050000799819827,12.050035499967635,78.33062450028956,78.34568170038983,81.34732550010085,81.33006170019507,15.049516099970788,0.23103140015155077,None,78.34568170038983,78.34568170038983,,,,,,,,,,111111,right,no,None,2025-04-28_11h05.32.204,RL_out-of-scanner,2024.2.4,59.48132284843525,2025-04-28 11h06.08.884435 -0500,
3,0,3,space,2.290289199911058,None,5,1.036108999978751,None,15.051218299660832,k,None,15.400060899555683,15.400320699904114,17.40000669984147,17.400047599803656,18.39991099992767,18.3999455999583,19.39817849965766,0.3265308002009988,None,,,,,0,0,0,0,3,0,3,0,81.34732550010085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.051218299660832,81.33181200036779,81.34732550010085,81.34732550010085,81.34732550010085,81.34732550010085,81.6805577003397,k,right,1,7,2,0,2,2,None,15.400060899555683,15.400320699904114,81.68091320013627,81.69648100016639,81.69648100016639,83.69607880013064,83.69607880013064,83.68053469993174,17.40000669984147,17.400047599803656,83.69054230023175,83.69607880013064,83.69607880013064,84.68045600038022,stimuli/box_coin_transparent.png,18.39991099992767,18.3999455999583,84.68053469993174,84.69586140010506,85.69546590000391,85.67872019996867,19.39817849965766,0.3265308002009988,None,84.69586140010506,84.69586140010506,,,,,,,,,,111111,right,no,None,2025-04-28_11h05.32.204,RL_out-of-scanner,2024.2.4,59.48132284843525,2025-04-28 11h06.08.884435 -0500,
4,0,4,space,2.290289199911058,None,5,1.036108999978751,None,19.39976209960878,k,None,19.98261829977855,19.982901299837977,20.982974799815565,20.983016099780798,21.98322939965874,21.98327019996941,24.483019299805164,0.5559646999463439,None,,,,,0,0,0,0,4,0,4,0,85.69546590000391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.39976209960878,85.68035789998248,85.69546590000391,85.69546590000391,85.69546590000391,85.69546590000391,86.26309949997813,k,right,0,7,2,0,3,2,None,19.98261829977855,19.982901299837977,86.263499900233,86.27882870007306,86.27882870007306,87.27922479994595,87.27922479994595,87.2635020003654,20.982974799815565,20.983016099780798,87.27207720000297,87.27922479994595,87.27922479994595,88.263769000303,stimuli/box_empty_transparent.png,21.98322939965874,21.98327019996941,88.26386730000377,88.27882240014151,90.77911860030144,90.76356310024858,24.483019299805164,0.5559646999463439,None,,,,,,,,,,,,111111,right,no,None,2025-04-28_11h05.32.204,RL_out-of-scanner,2024.2.4,59.48132284843525,2025-04-28 11h06.08.884435 -0500,
5,0,5,space,2.290289199911058,None,5,1.036108999978751,None,24.484626399818808,j,None,24.749839599709958,24.750160499941558,28.250032799784094,28.25007489975542,29.25023869983852,29.25027329986915,31.264553799759597,0.24315369967371225,None,,,,,0,0,0,0,5,0,5,0,90.77911860030144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.484626399818808,90.76521980017424,90.77911860030144,90.77911860030144,90.77911860030144,90.77911860030144,91.03033970016986,j,right,0,7,2,0,3,2,None,24.749839599709958,24.750160499941558,91.0307523002848,91.0462795002386,91.0462795002386,94.54561000037938,94.54561000037938,94.53056000033394,28.250032799784094,28.25007489975542,94.53893180005252,94.54561000037938,94.54561000037938,95.53078370029107,stimuli/box_empty_transparent.png,29.25023869983852,29.25027329986915,95.53086380008608,95.54612269997597,97.56187870027497,97.54509790008888,31.264553799759597,0.24315369967371225,None,95.54612269997597,95.54612269997597,,,,,,,,,,111111,right,no,None,2025-04-28_11h05.32.204,RL_out-of-scanner,2024.2.4,59.48132284843525,2025-04-28 11h06.08.884435 -0500,
6,0,6,space,2.290289199911058,None,5,1.036108999978751,None,31.266303699929267,j,None,31.549217599909753,31.549590099602938,32.549400499556214,32.549440999981016,33.54939969955012,33.54943419992924,34.54859989974648,0.2578857000917196,None,,,,,0,0,0,0,6,0,6,0,97.56187870027497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.266303699929267,97.54690550034866,97.56187870027497,97.56187870027497,97.56187870027497,97.56187870027497,97.82970450026914,j,right,0,7,2,0,3,2,None,31.549217599909753,31.549590099602938,97.83018930023536,97.84515500022098,97.84515500022098,98.84562380006537,98.84562380006537,98.8299302002415,32.549400499556214,32.549440999981016,98.83898090012372,98.84562380006537,98.84562380006537,99.82994480011985,stimuli/box_empty_transparent.png,33.54939969955012,33.54943419992924,99.83002310013399,99.8461774000898,100.84623760031536,100.82914829999208,34.54859989974648,0.2578857000917196,None,99.8461774000898,99.8461774000898,,,,,,,,,,111111,right,no,None,2025-04-28_11h05.32.204,RL_out-of-scanner,2024.2.4,59.48132284843525,2025-04-28 11h06.08.884435 -0500,
7,0,7,space,2.290289199911058,None,5,1.036108999978751,None,34.550177599769086,k,None,35.06838699989021,35.06867159996182,37.065873299725354,37.06591329956427,38.08113269973546,38.08117889985442,40.08215359970927,0.5006083999760449,None,,,,,0,0,0,0,7,0,7,0,100.84623760031536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.550177599769086,100.83077100012451,100.84623760031536,100.84623760031536,100.84623760031536,100.84623760031536,101.3488680999726,k,right,0,7,2,0,4,2,None,35.06838699989021,35.06867159996182,101.3492646003142,101.36245830031112,101.36245830031112,103.36305710021406,103.36305710021406,103.34640070004389,37.065873299725354,37.06591329956427,103.35478950012475,103.36305710021406,103.36305710021406,104.36166710034013,stimuli/box_empty_transparent.png,38.08113269973546,38.08117889985442,104.36178490007296,104.37767409998924,106.37915639998391,106.36269830027595,40.08215359970927,0.5006083999760449,None,,,,,,,,,,,,111111,right,no,None,2025-04-28_11h05.32.204,RL_out-of-scanner,2024.2.4,59.48132284843525,2025-04-28 11h06.08.884435 -0500,
