thisN,thisTrialN,thisRepN,advance_press.keys,advance_press.rt,advance_press.duration,trigger_value.keys,trigger_value.rt,trigger_value.duration,cueOnTime,cue_resp.keys,cue_resp.rt,cue_resp.duration,all_keys.keys,cueOffTime,cueRespOnTime,cueRespOffTime,outcomeOnTime,outcomeOffTime,fixOnTime,fixOffTime,all_keys.rt,all_keys.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,summary_instructions.started,summary_text.started,advance_to_runs.started,summary_instructions.stopped,advance_to_runs.keys,advance_to_runs.rt,advance_to_runs.duration,get_ready.started,get_ready_text.started,advance_press.started,get_ready.stopped,runs.advance_press.keys,runs.advance_press.rt,runs.advance_press.duration,scanner_trigger.started,scanner_text.started,trigger_value.started,scanner_trigger.stopped,runs.trigger_value.keys,runs.trigger_value.rt,runs.trigger_value.duration,trials.cueOnTime,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,trials.cue_resp.rt,trials.cue_resp.duration,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,trials.cueOffTime,trials.cueRespOnTime,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,trials.cueRespOffTime,trials.outcomeOnTime,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome_left_box.stopped,outcome_right_box.stopped,outcome.stopped,outcome_image,trials.outcomeOffTime,trials.fixOnTime,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,trials.fixOffTime,trials.all_keys.rt,trials.all_keys.duration,run_feedback.started,coins_won_text.started,run_feedback.stopped,leftover_time_break.started,fixation_end.started,fixation_end.stopped,leftover_time_break.stopped,coins_won_text.stopped,end_exp.started,end_exp.stopped,participant,handedness,practice,restart_from_run,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0372482,0.0438527,0.0438527,9.196049800142646,j,9.137124199885875,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111111,right,no,None,2025-04-28_11h23.10.824,RL_out-of-scanner,2024.2.4,59.53763075980678,2025-04-28 11h23.35.571925 -0500
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1963272,9.205493000335991,9.205493000335991,10.974720600061119,j,1.7524429000914097,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111111,right,no,None,2025-04-28_11h23.10.824,RL_out-of-scanner,2024.2.4,59.53763075980678,2025-04-28 11h23.35.571925 -0500
0,0,0,space,2.5132015999406576,None,5,1.2503874995745718,None,0.002193,j,1.0147151001729071,None,None,1.0325575000606477,1.0328748002648354,2.033062499947846,2.0331071000546217,3.032825100235641,3.0328655000776052,5.033203599974513,,,,,,,0,0,0,0,0,0,0,0,14.806988399941474,,,,,,,,,,,,,,,,10.975081200245768,10.989691300317645,10.989691300317645,13.506817399989814,space,2.5132015999406576,None,13.506938599981368,13.523540600202978,13.523540600202978,14.790762499906123,5,1.2503874995745718,None,0.002193,14.793031100183725,14.806988399941474,14.806988399941474,14.806988399941474,14.806988399941474,15.823298499919474,j,1.0147151001729071,None,right,1,9,0,0,0,0,None,1.0325575000606477,1.0328748002648354,15.82371210027486,15.839112299960107,15.839112299960107,16.84030000027269,16.84030000027269,16.823827700223774,2.033062499947846,2.0331071000546217,16.833339400123805,16.84030000027269,16.84030000027269,17.839819699991494,17.839819699991494,17.823613400105387,stimuli/box_empty_transparent.png,3.032825100235641,3.0328655000776052,17.823701200075448,17.839819699991494,19.839394700247794,19.82399220019579,5.033203599974513,,,,,,,,,,,,,111111,right,no,None,2025-04-28_11h23.10.824,RL_out-of-scanner,2024.2.4,59.53763075980678,2025-04-28 11h23.35.571925 -0500
1,0,1,space,2.5132015999406576,None,5,1.2503874995745718,None,5.0350243002176285,j,0.27234110003337264,None,None,5.3341603,5.334488400258124,6.849045900162309,6.849100300110877,7.8495669001713395,7.849600200075656,9.350160600151867,,,,,,,0,0,0,0,1,0,1,0,19.839394700247794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0350243002176285,19.825868099927902,19.839394700247794,19.839394700247794,19.839394700247794,19.839394700247794,20.124907799996436,j,0.27234110003337264,None,right,1,9,0,0,0,0,None,5.3341603,5.334488400258124,20.12532400013879,20.14002040028572,20.14002040028572,21.656963400077075,21.656963400077075,21.63980170013383,6.849045900162309,6.849100300110877,21.65057250019163,21.656963400077075,21.656963400077075,22.655765700154006,22.655765700154006,22.640357099939138,stimuli/box_empty_transparent.png,7.8495669001713395,7.849600200075656,22.6404336,22.655765700154006,24.15705780033022,24.14095010003075,9.350160600151867,,,,,,,,,,,,,111111,right,no,None,2025-04-28_11h23.10.824,RL_out-of-scanner,2024.2.4,59.53763075980678,2025-04-28 11h23.35.571925 -0500
2,0,2,space,2.5132015999406576,None,5,1.2503874995745718,None,9.351658900268376,k,0.3688754001632333,None,None,9.750847100280225,9.751124800182879,10.749755000229925,10.749794800300151,11.764645100105554,11.764694900251925,14.76591970026493,,,,,,,0,0,0,0,2,0,2,0,24.15705780033022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.351658900268376,24.142496600281447,24.15705780033022,24.15705780033022,24.15705780033022,24.15705780033022,24.54159600008279,k,0.3688754001632333,None,right,1,9,1,0,1,1,None,9.750847100280225,9.751124800182879,24.541960600297898,24.55715460004285,24.55715460004285,25.556887000333518,25.556887000333518,25.540525800082833,10.749755000229925,10.749794800300151,25.550544099882245,25.556887000333518,25.556887000333518,,,26.555422900244594,stimuli/box_coin_transparent.png,11.764645100105554,11.764694900251925,26.55554910004139,26.57148430030793,29.5729639,29.556708900257945,14.76591970026493,,,,,,,,,,,,,111111,right,no,None,2025-04-28_11h23.10.824,RL_out-of-scanner,2024.2.4,59.53763075980678,2025-04-28 11h23.35.571925 -0500
3,0,3,space,2.5132015999406576,None,5,1.2503874995745718,None,14.767490300349891,k,0.3910312997177243,None,None,15.18361259996891,15.183948600199074,17.18270910019055,17.18274960014969,18.181212400086224,18.18125220015645,19.18111150013283,,,,,,,0,0,0,0,3,0,3,0,29.5729639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.767490300349891,29.558328200131655,29.5729639,29.5729639,29.5729639,29.5729639,29.974343200214207,k,0.3910312997177243,None,right,0,9,1,0,2,1,None,15.18361259996891,15.183948600199074,29.974790200125426,29.989390600007027,29.989390600007027,31.98896689992398,31.98896689992398,31.973478900268674,17.18270910019055,17.18274960014969,31.981827599927783,31.98896689992398,31.98896689992398,32.98793280031532,32.98793280031532,32.97199900029227,stimuli/box_empty_transparent.png,18.181212400086224,18.18125220015645,32.97209200030193,32.98793280031532,33.98860580008477,33.97190480027348,19.18111150013283,,,,,,,,,,,,,111111,right,no,None,2025-04-28_11h23.10.824,RL_out-of-scanner,2024.2.4,59.53763075980678,2025-04-28 11h23.35.571925 -0500
4,0,4,space,2.5132015999406576,None,5,1.2503874995745718,None,19.18264460004866,k,0.4635024997405708,None,None,19.666910800151527,19.66723920032382,20.682580100372434,20.68261960009113,21.682567700278014,21.682608,24.180862999986857,,,,,,,0,0,0,0,4,0,4,0,33.98860580008477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.18264460004866,33.973486199975014,33.98860580008477,33.98860580008477,33.98860580008477,33.98860580008477,34.45764170028269,k,0.4635024997405708,None,right,1,9,2,0,3,2,None,19.666910800151527,19.66723920032382,34.458081000018865,34.47307150019333,34.47307150019333,35.48972100019455,35.48972100019455,35.473349700216204,20.682580100372434,20.68261960009113,35.483474700246006,35.48972100019455,35.48972100019455,36.48813860025257,36.48813860025257,36.47335240012035,stimuli/box_coin_transparent.png,21.682567700278014,21.682608,36.47345030028373,36.48813860025257,38.988274100236595,38.97165569989011,24.180862999986857,,,,,,,,,,,,,111111,right,no,None,2025-04-28_11h23.10.824,RL_out-of-scanner,2024.2.4,59.53763075980678,2025-04-28 11h23.35.571925 -0500
5,0,5,space,2.5132015999406576,None,5,1.2503874995745718,None,24.183184700086713,k,0.34232169995084405,None,None,24.54882650030777,24.549226600211114,28.049244299996644,28.049283900298178,29.049571900162846,29.04962160019204,31.06403490016237,,,,,,,0,0,0,0,5,0,5,0,38.988274100236595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.183184700086713,38.97403920022771,38.988274100236595,38.988274100236595,38.988274100236595,38.988274100236595,39.33954429998994,k,0.34232169995084405,None,right,0,9,2,0,4,2,None,24.54882650030777,24.549226600211114,39.34009509999305,39.35479230014607,39.35479230014607,42.85614310018718,42.85614310018718,42.84001460019499,28.049244299996644,28.049283900298178,42.848161600064486,42.85614310018718,42.85614310018718,,,43.84034950006753,stimuli/box_empty_transparent.png,29.049571900162846,29.04962160019204,43.84047590009868,43.85566999996081,45.87171939993277,45.854824900161475,31.06403490016237,,,,,,,,,,,,,111111,right,no,None,2025-04-28_11h23.10.824,RL_out-of-scanner,2024.2.4,59.53763075980678,2025-04-28 11h23.35.571925 -0500
6,0,6,space,2.5132015999406576,None,5,1.2503874995745718,None,31.065827900078148,k,0.25527380034327507,None,None,31.350479200016707,31.35077719995752,32.34940139995888,32.34944000001997,33.34904300002381,33.3490787,34.34839290007949,,,,,,,0,0,0,0,6,0,6,0,45.87171939993277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.065827900078148,45.856678400188684,45.87171939993277,45.87171939993277,45.87171939993277,45.87171939993277,46.14119759993628,k,0.25527380034327507,None,right,1,9,3,0,5,3,None,31.350479200016707,31.35077719995752,46.14161360030994,46.1558526,46.1558526,47.156617800239474,47.156617800239474,47.14017380028963,32.34940139995888,32.34944000001997,47.15029670018703,47.156617800239474,47.156617800239474,48.156199200078845,48.156199200078845,48.139832000248134,stimuli/box_coin_transparent.png,33.34904300002381,33.3490787,48.13991430029273,48.156199200078845,49.15657390002161,49.13918479997665,34.34839290007949,,,,,,,,,,,,,111111,right,no,None,2025-04-28_11h23.10.824,RL_out-of-scanner,2024.2.4,59.53763075980678,2025-04-28 11h23.35.571925 -0500
7,0,7,space,2.5132015999406576,None,5,1.2503874995745718,None,34.350052000023425,k,0.9516826998442411,None,None,35.333501799963415,35.33383040037006,37.33203410031274,37.332072500139475,38.332205899991095,38.33224020013586,40.33122940035537,,,,,,,0,0,0,0,7,0,7,0,49.15657390002161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.350052000023425,49.14089010003954,49.15657390002161,49.15657390002161,49.15657390002161,49.15657390002161,50.124230599962175,k,0.9516826998442411,None,right,1,9,4,0,6,4,None,35.333501799963415,35.33383040037006,50.124672200065106,50.13908470002934,50.13908470002934,52.138766299933195,52.138766299933195,52.12280709994957,37.33203410031274,37.332072500139475,52.132926099933684,52.138766299933195,52.138766299933195,53.13822960015386,53.13822960015386,53.12299540033564,stimuli/box_coin_transparent.png,38.332205899991095,38.33224020013586,53.1230736,53.13822960015386,55.13974100025371,55.12202120013535,40.33122940035537,,,,,,,,,,,,,111111,right,no,None,2025-04-28_11h23.10.824,RL_out-of-scanner,2024.2.4,59.53763075980678,2025-04-28 11h23.35.571925 -0500
