thisN,thisTrialN,thisRepN,find_box_press.keys,find_box_press.rt,find_box_press.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue_resp_switch.keys,cue_resp_switch.rt,cue_resp_switch.duration,pointer_press.keys,pointer_press.rt,pointer_press.duration,cue_resp.keys,all_keys.keys,cue_resp.rt,cue_resp.duration,restart_key.keys,restart_key.rt,restart_key.duration,restart_both.thisRepN,restart_both.thisTrialN,restart_both.thisN,restart_both.thisIndex,find_magic_box_loop.thisRepN,find_magic_box_loop.thisTrialN,find_magic_box_loop.thisN,find_magic_box_loop.thisIndex,switch_side_loop.thisRepN,switch_side_loop.thisTrialN,switch_side_loop.thisN,switch_side_loop.thisIndex,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,first_box.started,show_stimuli.started,stimuli_text.started,key_resp.started,first_box.stopped,key_resp.keys,key_resp.rt,key_resp.duration,first_coin.started,first_coin_img.started,magic_coin_text.started,first_coin.stopped,prac_both_instructions.started,prac_both_text.started,key_resp_2.started,prac_both_instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,prac_both.started,prac_left_2.started,prac_right_2.started,find_box_press.started,prac_both.stopped,find_magic_box_loop.find_box_press.keys,find_magic_box_loop.find_box_press.rt,find_magic_box_loop.find_box_press.duration,prac_both_selec.started,left_box_lr.started,right_box_lr.started,left_box_lr.stopped,right_box_lr.stopped,prac_both_selec.stopped,prac_both_out.started,prac_left_box.started,prac_right_box.started,prac_both_out.stopped,fix_both.started,fix_text.started,fix_text.stopped,fix_both.stopped,prac_left_box.stopped,prac_right_box.stopped,saw_reward.started,restart_proceed_text.started,key_resp_3.started,saw_reward.stopped,restart_both.key_resp_3.keys,restart_both.key_resp_3.rt,restart_both.key_resp_3.duration,switch_cue.started,left_box_switch.started,right_box_switch.started,cue_resp_switch.started,switch_cue.stopped,switch_side_loop.cue_resp_switch.keys,switch_side_loop.cue_resp_switch.rt,switch_side_loop.cue_resp_switch.duration,switch_select.started,left_switch_selec.started,right_switch_selec.started,left_switch_selec.stopped,right_switch_selec.stopped,switch_select.stopped,switch_out.started,left_box_switch_out.started,right_box_switch_out.started,switch_out.stopped,left_box_switch_out.stopped,right_box_switch_out.stopped,no_coin_instruc.started,summary_text.started,pointer_press.started,no_coin_instruc.stopped,pracLoop.pointer_press.keys,pracLoop.pointer_press.rt,pracLoop.pointer_press.duration,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome_left_box.stopped,outcome_right_box.stopped,outcome.stopped,outcome_image,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,trials.cue_resp.rt,trials.cue_resp.duration,run_feedback.started,coins_won_text.started,run_feedback.stopped,understanding_check.started,restart_key.started,understanding_check.stopped,pracLoop.restart_key.keys,pracLoop.restart_key.rt,pracLoop.restart_key.duration,participant,handedness,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02727159997448325,0.035680599976330996,0.035680599976330996,22.570993999950588,j,22.496956499759108,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111111,right,2025-04-28_11h00.17.878,RL_practice,2024.2.4,60.04552651535435,2025-04-28 11h00.34.728598 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.571083299815655,22.581009999848902,22.581009999848902,22.581009999848902,35.12721370020881,j,12.532715700101107,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111111,right,2025-04-28_11h00.17.878,RL_practice,2024.2.4,60.04552651535435,2025-04-28 11h00.34.728598 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.127268500160426,35.14259980013594,35.14259980013594,37.62782560009509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111111,right,2025-04-28_11h00.17.878,RL_practice,2024.2.4,60.04552651535435,2025-04-28 11h00.34.728598 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.62788309995085,37.64488949999213,37.64488949999213,37.67758070025593,j,0.024759200401604176,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111111,right,2025-04-28_11h00.17.878,RL_practice,2024.2.4,60.04552651535435,2025-04-28 11h00.34.728598 -0500,
0,0,0,k,10.473656200338155,None,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,37.708488000091165,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.67826050007716,37.708488000091165,37.708488000091165,37.708488000091165,48.19772890023887,k,10.473656200338155,None,48.19981400016695,48.212325599975884,48.212325599975884,49.738568999804556,49.738568999804556,49.69638550002128,49.731103899888694,49.738568999804556,49.738568999804556,50.70383259980008,50.703892699908465,50.720438700169325,52.73626030003652,52.71941519994289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111111,right,2025-04-28_11h00.17.878,RL_practice,2024.2.4,60.04552651535435,2025-04-28 11h00.34.728598 -0500,
1,0,1,k,1.5968643999658525,None,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,52.73626030003652,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.7196849999018,52.73626030003652,52.73626030003652,52.73626030003652,54.33903959998861,k,1.5968643999658525,None,54.341056500095874,54.35507299983874,54.35507299983874,,,55.854435900226235,55.862671200186014,55.8699019998312,55.8699019998312,56.853929500095546,56.85398710006848,56.870066000148654,57.87024389998987,57.85439530014992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111111,right,2025-04-28_11h00.17.878,RL_practice,2024.2.4,60.04552651535435,2025-04-28 11h00.34.728598 -0500,
2,0,2,j,0.478978400118649,None,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,57.87024389998987,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.854570699855685,57.87024389998987,57.87024389998987,57.87024389998987,58.354259099811316,j,0.478978400118649,None,58.35643080016598,58.37052180012688,58.37052180012688,59.87101940019056,59.87101940019056,59.85460860002786,59.864577299915254,59.87101940019056,59.87101940019056,60.85410400014371,60.854150500148535,60.86986290011555,62.870238199830055,62.854215799830854,60.86986290011555,60.86986290011555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111111,right,2025-04-28_11h00.17.878,RL_practice,2024.2.4,60.04552651535435,2025-04-28 11h00.34.728598 -0500,
3,0,3,j,0.750129799824208,None,,,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,62.870238199830055,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.85440109996125,62.870238199830055,62.870238199830055,62.870238199830055,63.62177120009437,j,0.750129799824208,None,63.62426740024239,63.63627409981564,63.63627409981564,65.13787449989468,65.13787449989468,65.11992730014026,65.1314703002572,65.13787449989468,65.13787449989468,66.1215908001177,66.12163610011339,66.1358242998831,67.13717520004138,67.12131989980116,66.1358242998831,66.1358242998831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111111,right,2025-04-28_11h00.17.878,RL_practice,2024.2.4,60.04552651535435,2025-04-28 11h00.34.728598 -0500,
4,0,4,k,1.1979439002461731,None,,,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,67.13717520004138,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.12149750022218,67.13717520004138,67.13717520004138,67.13717520004138,68.33770669996738,k,1.1979439002461731,None,68.33970789983869,68.3532500998117,68.3532500998117,69.85303679993376,69.85303679993376,69.83698480017483,69.84656469989568,69.85303679993376,69.85303679993376,70.83628780022264,70.83634799998254,70.85189579986036,73.35295030009001,73.33563760016114,70.85189579986036,70.85189579986036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111111,right,2025-04-28_11h00.17.878,RL_practice,2024.2.4,60.04552651535435,2025-04-28 11h00.34.728598 -0500,
0,0,0,,,,j,6.9588398998603225,None,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.34760659979656,73.35295030009001,73.35295030009001,80.32035689987242,j,6.9588398998603225,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111111,right,2025-04-28_11h00.17.878,RL_practice,2024.2.4,60.04552651535435,2025-04-28 11h00.34.728598 -0500,
