thisN,thisTrialN,thisRepN,advance_press.keys,advance_press.rt,advance_press.duration,trigger_value.keys,trigger_value.rt,trigger_value.duration,cueOnTime,cue_resp.keys,cue_resp.rt,cue_resp.duration,all_keys.keys,cueOffTime,cueRespOnTime,cueRespOffTime,outcomeOnTime,outcomeOffTime,fixOnTime,fixOffTime,all_keys.rt,all_keys.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,summary_instructions.started,summary_text.started,advance_to_runs.started,summary_instructions.stopped,advance_to_runs.keys,advance_to_runs.rt,advance_to_runs.duration,get_ready.started,get_ready_text.started,advance_press.started,get_ready.stopped,runs.advance_press.keys,runs.advance_press.rt,runs.advance_press.duration,scanner_trigger.started,scanner_text.started,trigger_value.started,scanner_trigger.stopped,runs.trigger_value.keys,runs.trigger_value.rt,runs.trigger_value.duration,trials.cueOnTime,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,trials.cue_resp.rt,trials.cue_resp.duration,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,trials.cueOffTime,trials.cueRespOnTime,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,trials.cueRespOffTime,trials.outcomeOnTime,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,outcome_image,trials.outcomeOffTime,trials.fixOnTime,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,trials.fixOffTime,outcome_left_box.stopped,outcome_right_box.stopped,left_box.stopped,right_box.stopped,cue_resp.stopped,all_keys.stopped,trials.all_keys.rt,trials.all_keys.duration,run_feedback.started,coins_won_text.started,coins_won_text.stopped,run_feedback.stopped,leftover_time_break.started,fixation_end.started,fixation_end.stopped,leftover_time_break.stopped,end_exp.started,end_exp.stopped,participant,handedness,practice,restart_from_run,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020414100028574467,0.027040600311011076,0.027040600311011076,29.686532100196928,j,29.643601699732244,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22222,right,no,None,2025-05-07_14h07.02.934,RL_out-of-scanner,2024.2.4,60.5493277023731,2025-05-07 14h07.15.943248 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.68676730012521,29.698493000119925,29.698493000119925,44.63207190018147,j,14.926081100013107,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22222,right,no,None,2025-05-07_14h07.02.934,RL_out-of-scanner,2024.2.4,60.5493277023731,2025-05-07 14h07.15.943248 -0500,
0,0,0,space,4.223659799899906,None,5,4.011576100252569,None,0.0018019997514784336,j,0.9035694999620318,None,None,0.9339419999159873,0.934186500031501,1.933141800109297,1.933175299782306,2.933864399790764,2.933901899959892,4.932495499961078,,,,,,,0,0,0,0,0,0,0,0,52.931692000012845,,,,,,,,,,,,,,,,44.632388500031084,44.64971570018679,44.64971570018679,48.88202530005947,space,4.223659799899906,None,48.88210580032319,48.89960370026529,48.89960370026529,52.9149070000276,5,4.011576100252569,None,0.0018019997514784336,52.91677220026031,52.931692000012845,52.931692000012845,52.931692000012845,52.931692000012845,53.84883090015501,j,0.9035694999620318,None,right,1,13,0,0,0,0,None,0.9339419999159873,0.934186500031501,53.849158300086856,53.864500200375915,53.864500200375915,54.86516580032185,54.86516580032185,54.848054400179535,1.933141800109297,1.933175299782306,54.85459670005366,54.86516580032185,54.86516580032185,55.848781700246036,stimuli/box_empty_transparent.png,2.933864399790764,2.933901899959892,55.84886690042913,55.8642423003912,57.86482030013576,57.84742690017447,4.932495499961078,,,,,,,,,,,,,,,,,,,22222,right,no,None,2025-05-07_14h07.02.934,RL_out-of-scanner,2024.2.4,60.5493277023731,2025-05-07 14h07.15.943248 -0500,
1,0,1,space,4.223659799899906,None,5,4.011576100252569,None,4.933731599710882,j,0.47397430008277297,None,None,5.433883599936962,5.434132100082934,6.933045600075275,6.933079999871552,7.933264999650419,7.933290199842304,9.449786799959838,,,,,,,0,0,0,0,1,0,1,0,57.86482030013576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.933731599710882,57.848704900126904,57.86482030013576,57.86482030013576,57.86482030013576,57.86482030013576,58.34878290025517,j,0.47397430008277297,None,right,1,13,0,0,0,0,None,5.433883599936962,5.434132100082934,58.34910210035741,58.36471090000123,58.36471090000123,59.86479500029236,59.86479500029236,59.84795930003747,6.933045600075275,6.933079999871552,59.854055100120604,59.86479500029236,59.86479500029236,60.848197100218385,stimuli/box_empty_transparent.png,7.933264999650419,7.933290199842304,60.848254800308496,60.865721500013024,62.38157320022583,62.36472040042281,9.449786799959838,60.865721500013024,60.865721500013024,,,,,,,,,,,,,,,,,22222,right,no,None,2025-05-07_14h07.02.934,RL_out-of-scanner,2024.2.4,60.5493277023731,2025-05-07 14h07.15.943248 -0500,
2,0,2,space,4.223659799899906,None,5,4.011576100252569,None,9.451174299698323,j,0.36761280009523034,None,None,9.850335099734366,9.850569699890912,10.849689099937677,10.849720699712634,11.849865399766713,11.849893900100142,14.849444099701941,,,,,,,0,0,0,0,2,0,2,0,62.38157320022583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.451174299698323,62.36614580033347,62.38157320022583,62.38157320022583,62.38157320022583,62.38157320022583,62.76523320004344,j,0.36761280009523034,None,right,1,13,0,0,0,0,None,9.850335099734366,9.850569699890912,62.76554200006649,62.78076480003074,62.78076480003074,63.78162400005385,63.78162400005385,63.764606500044465,10.849689099937677,10.849720699712634,63.77092180028558,63.78162400005385,63.78162400005385,64.76479520043358,stimuli/box_empty_transparent.png,11.849865399766713,11.849893900100142,64.76486039999872,64.78051540022716,67.7808116003871,67.764377000276,14.849444099701941,64.78051540022716,64.78051540022716,,,,,,,,,,,,,,,,,22222,right,no,None,2025-05-07_14h07.02.934,RL_out-of-scanner,2024.2.4,60.5493277023731,2025-05-07 14h07.15.943248 -0500,
3,0,3,space,4.223659799899906,None,5,4.011576100252569,None,14.850585599895567,j,0.44313469994813204,None,None,15.316370300017297,15.316589999943972,17.316683100070804,17.316712399944663,18.317089299671352,18.31711919978261,19.31612979993224,,,,,,,0,0,0,0,3,0,3,0,67.7808116003871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.850585599895567,67.76555510004982,67.7808116003871,67.7808116003871,67.7808116003871,67.7808116003871,68.23127000033855,j,0.44313469994813204,None,right,1,13,0,0,0,0,None,15.316370300017297,15.316589999943972,68.23155590007082,68.24729570001364,68.24729570001364,70.24824690027162,70.24824690027162,70.23160140030086,17.316683100070804,17.316712399944663,70.23725370038301,70.24824690027162,70.24824690027162,71.23201600043103,stimuli/box_empty_transparent.png,18.317089299671352,18.31711919978261,71.23209030041471,71.24819360021502,72.24777790019289,72.23106300039217,19.31612979993224,,,,,,,,,,,,,,,,,,,22222,right,no,None,2025-05-07_14h07.02.934,RL_out-of-scanner,2024.2.4,60.5493277023731,2025-05-07 14h07.15.943248 -0500,
4,0,4,space,4.223659799899906,None,5,4.011576100252569,None,19.317308699712157,k,0.5566324000246823,None,None,19.900564400013536,19.90076779993251,20.900329200085253,20.900359999854118,21.915746999904513,21.915773400105536,24.416138399858028,,,,,,,0,0,0,0,4,0,4,0,72.24777790019289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.317308699712157,72.23227980034426,72.24777790019289,72.24777790019289,72.24777790019289,72.24777790019289,72.81545720016584,k,0.5566324000246823,None,right,1,13,1,0,1,1,None,19.900564400013536,19.90076779993251,72.81573640042916,72.83106540003791,72.83106540003791,73.83209190005437,73.83209190005437,73.81524920044467,20.900329200085253,20.900359999854118,73.82276160037145,73.83209190005437,73.83209190005437,74.83067500032485,stimuli/box_coin_transparent.png,21.915746999904513,21.915773400105536,74.83073900034651,74.8474732004106,77.34752040030435,77.33107150020078,24.416138399858028,,,,,,,,,,,,,,,,,,,22222,right,no,None,2025-05-07_14h07.02.934,RL_out-of-scanner,2024.2.4,60.5493277023731,2025-05-07 14h07.15.943248 -0500,
5,0,5,space,4.223659799899906,None,5,4.011576100252569,None,24.417366999667138,k,0.46919710002839565,None,None,24.916686699725688,24.916913100052625,28.416120799724013,28.416148100048304,29.41582199977711,29.415853699669242,31.43183990009129,,,,,,,0,0,0,0,5,0,5,0,77.34752040030435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.417366999667138,77.33233520016074,77.34752040030435,77.34752040030435,77.34752040030435,77.34752040030435,77.8315747003071,k,0.46919710002839565,None,right,0,13,1,0,2,1,None,24.916686699725688,24.916913100052625,77.83188290009275,77.84711340023205,77.84711340023205,81.34725420037284,81.34725420037284,81.33103980030864,28.416120799724013,28.416148100048304,81.33644120022655,81.34725420037284,81.34725420037284,82.33074710005894,stimuli/box_empty_transparent.png,29.41582199977711,29.415853699669242,82.33082860009745,82.34887570003048,84.36384170036763,84.34677110007033,31.43183990009129,82.34887570003048,82.34887570003048,,,,,,,,,,,,,,,,,22222,right,no,None,2025-05-07_14h07.02.934,RL_out-of-scanner,2024.2.4,60.5493277023731,2025-05-07 14h07.15.943248 -0500,
6,0,6,space,4.223659799899906,None,5,4.011576100252569,None,31.433111799880862,j,0.29767809994518757,None,None,31.750155499670655,31.75041399989277,32.74926429986954,32.749295299872756,33.74940590001643,33.74943009996787,34.74840989988297,,,,,,,0,0,0,0,6,0,6,0,84.36384170036763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.433111799880862,84.34808440040797,84.36384170036763,84.36384170036763,84.36384170036763,84.36384170036763,84.66505490010604,j,0.29767809994518757,None,right,0,13,1,0,2,1,None,31.750155499670655,31.75041399989277,84.66538040013984,84.68135230010375,84.68135230010375,85.68152860039845,85.68152860039845,85.66418610000983,32.74926429986954,32.749295299872756,85.66945100016892,85.68152860039845,85.68152860039845,86.664338900242,stimuli/box_empty_transparent.png,33.74940590001643,33.74943009996787,86.66439360007644,86.67950890026987,87.6803153003566,87.66334300022572,34.74840989988297,86.67950890026987,86.67950890026987,,,,,,,,,,,,,,,,,22222,right,no,None,2025-05-07_14h07.02.934,RL_out-of-scanner,2024.2.4,60.5493277023731,2025-05-07 14h07.15.943248 -0500,
7,0,7,space,4.223659799899906,None,5,4.011576100252569,None,34.74960820004344,k,0.9806882003322244,None,None,35.74924429971725,35.74943679990247,37.74909400008619,37.74912919988856,38.74930569995195,38.74933520006016,40.74974419968203,,,,,,,0,0,0,0,7,0,7,0,87.6803153003566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.74960820004344,87.66457470040768,87.6803153003566,87.6803153003566,87.6803153003566,87.6803153003566,88.66414330014959,k,0.9806882003322244,None,right,1,13,2,0,3,2,None,35.74924429971725,35.74943679990247,88.66440190002322,88.6799735003151,88.6799735003151,90.68047980032861,90.68047980032861,90.6640052003786,37.74909400008619,37.74912919988856,90.67176260007545,90.68047980032861,90.68047980032861,91.66422740044072,stimuli/box_coin_transparent.png,38.74930569995195,38.74933520006016,91.66430310020223,91.67941940017045,93.68064820021391,93.66467329999432,40.74974419968203,91.67941940017045,91.67941940017045,,,,,,,,,,,,,,,,,22222,right,no,None,2025-05-07_14h07.02.934,RL_out-of-scanner,2024.2.4,60.5493277023731,2025-05-07 14h07.15.943248 -0500,
