thisN,thisTrialN,thisRepN,advance_press.keys,advance_press.rt,advance_press.duration,trigger_value.keys,trigger_value.rt,trigger_value.duration,cueOnTime,cue_resp.keys,cue_resp.rt,cue_resp.duration,all_keys.keys,cueOffTime,cueRespOnTime,cueRespOffTime,outcomeOnTime,outcomeOffTime,fixOnTime,fixOffTime,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,summary_instructions.started,summary_text.started,advance_to_runs.started,summary_instructions.stopped,advance_to_runs.keys,advance_to_runs.rt,advance_to_runs.duration,get_ready.started,get_ready_text.started,advance_press.started,get_ready.stopped,runs.advance_press.keys,runs.advance_press.rt,runs.advance_press.duration,scanner_trigger.started,scanner_text.started,trigger_value.started,scanner_trigger.stopped,runs.trigger_value.keys,runs.trigger_value.rt,runs.trigger_value.duration,trials.cueOnTime,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,trials.cue_resp.rt,trials.cue_resp.duration,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,trials.cueOffTime,trials.cueRespOnTime,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,trials.cueRespOffTime,trials.outcomeOnTime,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome_left_box.stopped,outcome_right_box.stopped,outcome.stopped,outcome_image,trials.outcomeOffTime,trials.fixOnTime,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,trials.fixOffTime,run_feedback.started,coins_won_text.started,coins_won_text.stopped,run_feedback.stopped,leftover_time_break.started,fixation_end.started,fixation_end.stopped,leftover_time_break.stopped,end_exp.started,end_exp.stopped,participant,handedness,practice,restart_from_run,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019478300120681524,0.026821200270205736,0.026821200270205736,6.524942200165242,j,6.481134500354528,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222222,right,no,None,2025-05-07_14h23.42.754,RL_out-of-scanner,2024.2.4,59.99268086513943,2025-05-07 14h23.54.505306 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.525189999956638,6.536525200121105,6.536525200121105,10.903460499830544,j,4.350774999707937,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222222,right,no,None,2025-05-07_14h23.42.754,RL_out-of-scanner,2024.2.4,59.99268086513943,2025-05-07 14h23.54.505306 -0500,
0,0,0,space,2.305732499808073,None,5,1.5967888003215194,None,0.0015926002524793148,j,0.5131001002155244,None,None,0.5333630000241101,0.5336107001639903,1.5341860000044107,1.5342138004489243,2.5338773000985384,2.53390230005607,4.532394300214946,,,,,0,0,0,0,0,0,0,0,14.868880399968475,,,,,,,,,,,,,,,,10.903756500221789,10.919447000138462,10.919447000138462,13.236702099908143,space,2.305732499808073,None,13.236759699881077,13.253006900195032,13.253006900195032,14.852768099866807,5,1.5967888003215194,None,0.0015926002524793148,14.854421800002456,14.868880399968475,14.868880399968475,14.868880399968475,14.868880399968475,15.386108300182968,j,0.5131001002155244,None,right,1,15,0,0,0,0,None,0.5333630000241101,0.5336107001639903,15.386441000271589,15.402549100108445,15.402549100108445,16.40362250013277,16.40362250013277,16.3869652999565,1.5341860000044107,1.5342138004489243,16.393266399856657,16.40362250013277,16.40362250013277,17.40245690010488,17.40245690010488,17.386670399922878,stimuli/box_empty_transparent.png,2.5338773000985384,2.53390230005607,17.386723400093615,17.40245690010488,19.402971900068223,19.385188800282776,4.532394300214946,,,,,,,,,,,222222,right,no,None,2025-05-07_14h23.42.754,RL_out-of-scanner,2024.2.4,59.99268086513943,2025-05-07 14h23.54.505306 -0500,
1,0,1,space,2.305732499808073,None,5,1.5967888003215194,None,4.533501000143588,k,0.31982559990137815,None,None,4.883806800004095,4.884014900308102,6.383136000018567,6.38316520024091,7.383016200270504,7.383044200018048,8.882810500450432,,,,,0,0,0,0,1,0,1,0,19.402971900068223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.533501000143588,19.386329100001603,19.402971900068223,19.402971900068223,19.402971900068223,19.402971900068223,19.736560699995607,k,0.31982559990137815,None,right,1,15,1,0,1,1,None,4.883806800004095,4.884014900308102,19.736846699845046,19.75301120011136,19.75301120011136,21.2529211002402,21.2529211002402,21.235917800106108,6.383136000018567,6.38316520024091,21.243616899941117,21.2529211002402,21.2529211002402,22.252881499938667,22.252881499938667,22.2358066001907,stimuli/box_coin_transparent.png,7.383016200270504,7.383044200018048,22.235870900098234,22.252881499938667,23.752663699910045,23.735603699926287,8.882810500450432,,,,,,,,,,,222222,right,no,None,2025-05-07_14h23.42.754,RL_out-of-scanner,2024.2.4,59.99268086513943,2025-05-07 14h23.54.505306 -0500,
2,0,2,space,2.305732499808073,None,5,1.5967888003215194,None,8.88405830040574,k,0.39497269969433546,None,None,9.300179700367153,9.300370400305837,10.299986000172794,10.30001650005579,11.300334100145847,11.300374500453472,14.299626000225544,,,,,0,0,0,0,2,0,2,0,23.752663699910045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.88405830040574,23.73688959982246,23.752663699910045,23.752663699910045,23.752663699910045,23.752663699910045,24.152940399944782,k,0.39497269969433546,None,right,1,15,2,0,2,2,None,9.300179700367153,9.300370400305837,24.153200400061905,24.16898509999737,24.16898509999737,25.169129400048405,25.169129400048405,25.152761899866164,10.299986000172794,10.30001650005579,25.160079900175333,25.169129400048405,25.169129400048405,,,26.15311329998076,stimuli/box_coin_transparent.png,11.300334100145847,11.300374500453472,26.15320139983669,26.169077000115067,29.169223399832845,29.152419799938798,14.299626000225544,,,,,,,,,,,222222,right,no,None,2025-05-07_14h23.42.754,RL_out-of-scanner,2024.2.4,59.99268086513943,2025-05-07 14h23.54.505306 -0500,
3,0,3,space,2.305732499808073,None,5,1.5967888003215194,None,14.300771600101143,k,0.37530940026044846,None,None,14.700513000134379,14.700695500243455,16.700110300444067,16.700152200181037,17.700295600108802,17.70032410044223,18.698932900093496,,,,,0,0,0,0,3,0,3,0,29.169223399832845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.300771600101143,29.15360359987244,29.169223399832845,29.169223399832845,29.169223399832845,29.169223399832845,29.553274999838322,k,0.37530940026044846,None,right,1,15,3,0,3,3,None,14.700513000134379,14.700695500243455,29.553520999848843,29.568938800133765,29.568938800133765,31.56958270026371,31.56958270026371,31.55287879984826,16.700110300444067,16.700152200181037,31.56059390027076,31.56958270026371,31.56958270026371,32.568845900241286,32.568845900241286,32.55308669991791,stimuli/box_coin_transparent.png,17.700295600108802,17.70032410044223,32.55315149994567,32.568845900241286,33.56846689991653,33.55172710027546,18.698932900093496,,,,,,,,,,,222222,right,no,None,2025-05-07_14h23.42.754,RL_out-of-scanner,2024.2.4,59.99268086513943,2025-05-07 14h23.54.505306 -0500,
4,0,4,space,2.305732499808073,None,5,1.5967888003215194,None,18.700074900407344,k,0.5268393997102976,None,None,19.250639100093395,19.250837000086904,20.250535600353032,20.250569200143218,21.24919080035761,21.249216900207102,23.749556800350547,,,,,0,0,0,0,4,0,4,0,33.56846689991653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.700074900407344,33.55290579982102,33.56846689991653,33.56846689991653,33.56846689991653,33.56846689991653,34.103399199899286,k,0.5268393997102976,None,right,1,15,4,0,4,4,None,19.250639100093395,19.250837000086904,34.10366709996015,34.118994399905205,34.118994399905205,35.11930450005457,35.11930450005457,35.103310300037265,20.250535600353032,20.250569200143218,35.11061319988221,35.11930450005457,35.11930450005457,36.11774450028315,36.11774450028315,36.10198209993541,stimuli/box_coin_transparent.png,21.24919080035761,21.249216900207102,36.102044499944896,36.11774450028315,38.61913930019364,38.602348200045526,23.749556800350547,,,,,,,,,,,222222,right,no,None,2025-05-07_14h23.42.754,RL_out-of-scanner,2024.2.4,59.99268086513943,2025-05-07 14h23.54.505306 -0500,
5,0,5,space,2.305732499808073,None,5,1.5967888003215194,None,23.750818600412458,k,0.448454599827528,None,None,24.216739700175822,24.216920900158584,27.716875300277025,27.716904600150883,28.716419100295752,28.71644390001893,30.716397300362587,,,,,0,0,0,0,5,0,5,0,38.61913930019364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.750818600412458,38.60364989982918,38.61913930019364,38.61913930019364,38.61913930019364,38.61913930019364,39.0694991000928,k,0.448454599827528,None,right,0,15,4,0,5,4,None,24.216739700175822,24.216920900158584,39.06974710011855,39.08544130017981,39.08544130017981,42.58596159983426,42.58596159983426,42.56965690013021,27.716875300277025,27.716904600150883,42.57572050020099,42.58596159983426,42.58596159983426,43.58524330006912,43.58524330006912,43.569212399888784,stimuli/box_empty_transparent.png,28.716419100295752,28.71644390001893,43.56926790019497,43.58524330006912,45.585814100224525,45.569191799964756,30.716397300362587,,,,,,,,,,,222222,right,no,None,2025-05-07_14h23.42.754,RL_out-of-scanner,2024.2.4,59.99268086513943,2025-05-07 14h23.54.505306 -0500,
6,0,6,space,2.305732499808073,None,5,1.5967888003215194,None,30.71748870005831,k,0.5311646000482142,None,None,31.266202400438488,31.266391900368035,32.265554500278085,32.265592200215906,33.2660416001454,33.26606670022011,34.26606420008466,,,,,0,0,0,0,6,0,6,0,45.585814100224525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.71748870005831,45.57031639991328,45.585814100224525,45.585814100224525,45.585814100224525,45.585814100224525,46.11896250024438,k,0.5311646000482142,None,right,1,15,5,0,6,5,None,31.266202400438488,31.266391900368035,46.11921809986234,46.13489119987935,46.13489119987935,47.13505550008267,47.13505550008267,47.118320300243795,32.265554500278085,32.265592200215906,47.125072800088674,47.13505550008267,47.13505550008267,,,48.11883210018277,stimuli/box_coin_transparent.png,33.2660416001454,33.26606670022011,48.11890270002186,48.135079300031066,49.1355179999955,49.11885630013421,34.26606420008466,,,,,,,,,,,222222,right,no,None,2025-05-07_14h23.42.754,RL_out-of-scanner,2024.2.4,59.99268086513943,2025-05-07 14h23.54.505306 -0500,
7,0,7,space,2.305732499808073,None,5,1.5967888003215194,None,34.267306399997324,k,0.4818671001121402,None,None,34.766950000077486,34.767136400099844,36.766027400270104,36.76606070017442,37.76858740020543,37.768617800436914,39.76578750042245,,,,,0,0,0,0,7,0,7,0,49.1355179999955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.267306399997324,49.120137699879706,49.1355179999955,49.1355179999955,49.1355179999955,49.1355179999955,49.619700100272894,k,0.4818671001121402,None,right,0,15,5,0,7,5,None,34.766950000077486,34.767136400099844,49.61996199982241,49.634976000059396,49.634976000059396,51.63571890024468,51.63571890024468,51.61880569998175,36.766027400270104,36.76606070017442,51.62494349991903,51.63571890024468,51.63571890024468,,,52.62137399986386,stimuli/box_empty_transparent.png,37.76858740020543,37.768617800436914,52.621446299832314,52.633680699858814,54.63555430015549,54.61857989989221,39.76578750042245,,,,,,,,,,,222222,right,no,None,2025-05-07_14h23.42.754,RL_out-of-scanner,2024.2.4,59.99268086513943,2025-05-07 14h23.54.505306 -0500,
