thisN,thisTrialN,thisRepN,find_box_press.keys,find_box_press.rt,find_box_press.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue_resp_switch.keys,cue_resp_switch.rt,cue_resp_switch.duration,pointer_press.keys,pointer_press.rt,pointer_press.duration,cue_resp.keys,all_keys.keys,cue_resp.rt,cue_resp.duration,restart_key.keys,restart_key.rt,restart_key.duration,restart_both.thisRepN,restart_both.thisTrialN,restart_both.thisN,restart_both.thisIndex,find_magic_box_loop.thisRepN,find_magic_box_loop.thisTrialN,find_magic_box_loop.thisN,find_magic_box_loop.thisIndex,switch_side_loop.thisRepN,switch_side_loop.thisTrialN,switch_side_loop.thisN,switch_side_loop.thisIndex,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,first_box.started,show_stimuli.started,stimuli_text.started,key_resp.started,first_box.stopped,key_resp.keys,key_resp.rt,key_resp.duration,first_coin.started,first_coin_img.started,magic_coin_text.started,first_coin_img.stopped,magic_coin_text.stopped,first_coin.stopped,prac_both_instructions.started,prac_both_text.started,key_resp_2.started,prac_both_instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,prac_both.started,prac_left_2.started,prac_right_2.started,find_box_press.started,prac_both.stopped,find_magic_box_loop.find_box_press.keys,find_magic_box_loop.find_box_press.rt,find_magic_box_loop.find_box_press.duration,prac_both_selec.started,left_box_lr.started,right_box_lr.started,left_box_lr.stopped,right_box_lr.stopped,prac_both_selec.stopped,prac_both_out.started,prac_left_box.started,prac_right_box.started,prac_both_out.stopped,fix_both.started,fix_text.started,fix_text.stopped,fix_both.stopped,saw_reward.started,restart_proceed_text.started,key_resp_3.started,saw_reward.stopped,restart_both.key_resp_3.keys,restart_both.key_resp_3.rt,restart_both.key_resp_3.duration,switch_cue.started,left_box_switch.started,right_box_switch.started,cue_resp_switch.started,switch_cue.stopped,switch_side_loop.cue_resp_switch.keys,switch_side_loop.cue_resp_switch.rt,switch_side_loop.cue_resp_switch.duration,switch_select.started,left_switch_selec.started,right_switch_selec.started,switch_select.stopped,switch_out.started,left_box_switch_out.started,right_box_switch_out.started,switch_out.stopped,left_switch_selec.stopped,right_switch_selec.stopped,left_box_switch_out.stopped,right_box_switch_out.stopped,no_coin_instruc.started,summary_text.started,pointer_press.started,no_coin_instruc.stopped,pracLoop.pointer_press.keys,pracLoop.pointer_press.rt,pracLoop.pointer_press.duration,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,left_box.stopped,right_box.stopped,cue_resp.stopped,all_keys.stopped,cue.stopped,trials.cue_resp.keys,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,outcome_image,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,trials.cue_resp.rt,trials.cue_resp.duration,outcome_left_box.stopped,outcome_right_box.stopped,run_feedback.started,coins_won_text.started,coins_won_text.stopped,run_feedback.stopped,understanding_check.started,restart_key.started,understanding_check.stopped,pracLoop.restart_key.keys,pracLoop.restart_key.rt,pracLoop.restart_key.duration,participant,handedness,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024413700215518475,0.033935700077563524,0.033935700077563524,54.632609700318426,j,54.580257799942046,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22222,right,2025-05-07_14h00.52.991,RL_practice,2024.2.4,60.038352484068774,2025-05-07 14h01.04.458085 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.63270319998264,54.64872660022229,54.64872660022229,54.64872660022229,65.90402270015329,j,11.246551900170743,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22222,right,2025-05-07_14h00.52.991,RL_practice,2024.2.4,60.038352484068774,2025-05-07 14h01.04.458085 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.9040656001307,65.91936020040885,65.91936020040885,68.41936240019277,68.41936240019277,68.40277360007167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22222,right,2025-05-07_14h00.52.991,RL_practice,2024.2.4,60.038352484068774,2025-05-07 14h01.04.458085 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.40281860018149,68.41936240019277,68.41936240019277,86.73653210001066,j,18.315215000417084,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22222,right,2025-05-07_14h00.52.991,RL_practice,2024.2.4,60.038352484068774,2025-05-07 14h01.04.458085 -0500,
0,0,0,j,2.352530499920249,None,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,86.75269900029525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.73806880041957,86.75269900029525,86.75269900029525,86.75269900029525,89.119594800286,j,2.352530499920249,None,89.12144060013816,89.13556900015101,89.13556900015101,90.6402704003267,90.6402704003267,90.62005869997665,90.6294219000265,90.6402704003267,90.6402704003267,91.63617150019854,91.63622139999643,91.65152249997482,93.65215940028429,93.63514020014554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22222,right,2025-05-07_14h00.52.991,RL_practice,2024.2.4,60.038352484068774,2025-05-07 14h01.04.458085 -0500,
1,0,1,k,1.9289580001495779,None,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,93.65215940028429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.63530379999429,93.65215940028429,93.65215940028429,93.65215940028429,95.58739770017564,k,1.9289580001495779,None,95.59100040001795,95.60266690002754,95.60266690002754,,,97.08790980000049,97.10342420032248,97.11634539999068,97.11634539999068,98.10408970015123,98.10417180042714,98.11980130011216,99.62048360006884,99.60317920008674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22222,right,2025-05-07_14h00.52.991,RL_practice,2024.2.4,60.038352484068774,2025-05-07 14h01.04.458085 -0500,
2,0,2,j,0.9132532002404332,None,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,99.62048360006884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.60334310028702,99.62048360006884,99.62048360006884,99.62048360006884,100.53830140037462,j,0.9132532002404332,None,100.54175820015371,100.55379350017756,100.55379350017756,102.05651780031621,102.05651780031621,102.03734190016985,102.0458746002987,102.05651780031621,102.05651780031621,103.0537103000097,103.05375439999625,103.06886970018968,105.56994640035555,105.55274570034817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22222,right,2025-05-07_14h00.52.991,RL_practice,2024.2.4,60.038352484068774,2025-05-07 14h01.04.458085 -0500,
3,0,3,j,0.6954183001071215,None,,,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,105.56994640035555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.55296390037984,105.56994640035555,105.56994640035555,105.56994640035555,106.27118390006945,j,0.6954183001071215,None,106.27327500004321,106.28690590010956,106.28690590010956,107.79024380026385,107.79024380026385,107.77024280000478,107.78026910033077,107.79024380026385,107.79024380026385,108.78699340019375,108.78704980015755,108.8022910002619,111.80338290007785,111.78599230013788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22222,right,2025-05-07_14h00.52.991,RL_practice,2024.2.4,60.038352484068774,2025-05-07 14h01.04.458085 -0500,
4,0,4,j,0.95291250012815,None,,,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,111.80338290007785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.78616890031844,111.80338290007785,111.80338290007785,111.80338290007785,112.7708408003673,j,0.95291250012815,None,112.77273040032014,112.78643340012059,112.78643340012059,114.28734300006181,114.28734300006181,114.26986470026895,114.27645330037922,114.28734300006181,114.28734300006181,115.2867571003735,115.28681090008467,115.30169530026615,117.30199110042304,117.28554790001363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22222,right,2025-05-07_14h00.52.991,RL_practice,2024.2.4,60.038352484068774,2025-05-07 14h01.04.458085 -0500,
0,0,0,,,,j,6.6459071999415755,None,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.29110670043156,117.30199110042304,117.30199110042304,123.95251670014113,j,6.6459071999415755,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22222,right,2025-05-07_14h00.52.991,RL_practice,2024.2.4,60.038352484068774,2025-05-07 14h01.04.458085 -0500,
