thisN,thisTrialN,thisRepN,advance_press.keys,advance_press.rt,advance_press.duration,trigger_value.keys,trigger_value.rt,trigger_value.duration,cueOnTime,cue_resp.keys,cue_resp.rt,cue_resp.duration,all_keys.keys,cueOffTime,cueRespOnTime,cueRespOffTime,outcomeOnTime,outcomeOffTime,fixOnTime,fixOffTime,all_keys.rt,all_keys.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,summary_instructions.started,summary_text.started,advance_to_runs.started,summary_instructions.stopped,advance_to_runs.keys,advance_to_runs.rt,advance_to_runs.duration,get_ready.started,get_ready_text.started,advance_press.started,get_ready.stopped,runs.advance_press.keys,runs.advance_press.rt,runs.advance_press.duration,scanner_trigger.started,scanner_text.started,trigger_value.started,scanner_trigger.stopped,runs.trigger_value.keys,runs.trigger_value.rt,runs.trigger_value.duration,trials.cueOnTime,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,trials.cue_resp.rt,trials.cue_resp.duration,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,trials.cueOffTime,trials.cueRespOnTime,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,trials.cueRespOffTime,trials.outcomeOnTime,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,outcome_image,trials.outcomeOffTime,trials.fixOnTime,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,trials.fixOffTime,outcome_left_box.stopped,outcome_right_box.stopped,trials.all_keys.rt,trials.all_keys.duration,run_feedback.started,coins_won_text.started,run_feedback.stopped,leftover_time_break.started,fixation_end.started,fixation_end.stopped,leftover_time_break.stopped,end_exp.started,end_exp.stopped,participant,handedness,practice,restart_from_run,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.030902300029993057,0.03726840019226074,0.03726840019226074,45.026154400315136,j,44.97382130008191,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33333,right,no,None,2025-05-09_11h08.27.465,RL_out-of-scanner,2024.2.4,59.52901828888127,2025-05-09 11h08.48.227010 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0264988001436,45.035773700103164,45.035773700103164,62.05245830025524,j,17.012353099882603,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33333,right,no,None,2025-05-09_11h08.27.465,RL_out-of-scanner,2024.2.4,59.52901828888127,2025-05-09 11h08.48.227010 -0500,
0,0,0,space,2.064062099903822,None,5,2.7026381003670394,None,0.002762899734079838,j,1.2061279998160899,None,None,1.2338303001597524,1.2342539001256227,2.2323258998803794,2.232377199921757,3.2326075001619756,3.232645799871534,5.232342700008303,,,,,,,0,0,0,0,0,0,0,0,66.88544270023704,,,,,,,,,,,,,,,,62.05288100009784,62.06800580024719,62.06800580024719,64.13527930015698,space,2.064062099903822,None,64.1353889000602,64.15075450018048,64.15075450018048,66.86917750025168,5,2.7026381003670394,None,0.002762899734079838,66.87202340038493,66.88544270023704,66.88544270023704,66.88544270023704,66.88544270023704,68.10298310033977,j,1.2061279998160899,None,right,1,11,0,0,0,0,None,1.2338303001597524,1.2342539001256227,68.10351990023628,68.11850890005007,68.11850890005007,69.11874420009553,69.11874420009553,69.1015017000027,2.2323258998803794,2.232377199921757,69.11192300030962,69.11874420009553,69.11874420009553,70.10181140014902,stimuli/box_empty_transparent.png,3.2326075001619756,3.232645799871534,70.10191740002483,70.11783719994128,72.11858020024374,72.10155689995736,5.232342700008303,,,,,,,,,,,,,,33333,right,no,None,2025-05-09_11h08.27.465,RL_out-of-scanner,2024.2.4,59.52901828888127,2025-05-09 11h08.48.227010 -0500,
1,0,1,space,2.064062099903822,None,5,2.7026381003670394,None,5.233844100032002,j,0.4454720998182893,None,None,5.701075999997556,5.701398800127208,7.199746999889612,7.199786900077015,8.215010500047356,8.215053299907595,9.71628940012306,,,,,,,0,0,0,0,1,0,1,0,72.11858020024374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.233844100032002,72.10310310032219,72.11858020024374,72.11858020024374,72.11858020024374,72.11858020024374,72.57024740008637,j,0.4454720998182893,None,right,1,11,0,0,0,0,None,5.701075999997556,5.701398800127208,72.57065670005977,72.58504329994321,72.58504329994321,74.08542900020257,74.08542900020257,74.06893830001354,7.199746999889612,7.199786900077015,74.07724050013348,74.08542900020257,74.08542900020257,75.08421260025352,stimuli/box_empty_transparent.png,8.215010500047356,8.215053299907595,75.08432120038196,75.10032160021365,76.60136500000954,76.58550410019234,9.71628940012306,,,,,,,,,,,,,,33333,right,no,None,2025-05-09_11h08.27.465,RL_out-of-scanner,2024.2.4,59.52901828888127,2025-05-09 11h08.48.227010 -0500,
2,0,2,space,2.064062099903822,None,5,2.7026381003670394,None,9.717747999820858,j,0.6458316999487579,None,None,10.383463200181723,10.383823600132018,11.382878900039941,11.382918399758637,12.383211200125515,12.383242399897426,15.39814619999379,,,,,,,0,0,0,0,2,0,2,0,76.60136500000954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.717747999820858,76.58700760034844,76.60136500000954,76.60136500000954,76.60136500000954,76.60136500000954,77.25263450015336,j,0.6458316999487579,None,right,1,11,0,0,0,0,None,10.383463200181723,10.383823600132018,77.25308400020003,77.2682933001779,77.2682933001779,78.26779900025576,78.26779900025576,78.25207399995998,11.382878900039941,11.382918399758637,78.2603311999701,78.26779900025576,78.26779900025576,79.25242230016738,stimuli/box_empty_transparent.png,12.383211200125515,12.383242399897426,79.25249750027433,79.26804580027238,82.28409730037674,82.26736119994894,15.39814619999379,79.26804580027238,79.26804580027238,,,,,,,,,,,,33333,right,no,None,2025-05-09_11h08.27.465,RL_out-of-scanner,2024.2.4,59.52901828888127,2025-05-09 11h08.48.227010 -0500,
3,0,3,space,2.064062099903822,None,5,2.7026381003670394,None,15.399618600029498,j,1.1681099003180861,None,['j'],16.584742600098252,16.585106399841607,18.583042199723423,18.58308030012995,19.58265019999817,19.582682100124657,20.597776299808174,[0.5500950003042817],[0.1008156999014318],,,,,0,0,0,0,3,0,3,0,82.28409730037674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.399618600029498,82.26887910021469,82.28409730037674,82.28409730037674,82.28409730037674,82.28409730037674,83.4538827999495,j,1.1681099003180861,None,right,1,11,0,0,0,0,['j'],16.584742600098252,16.585106399841607,83.45436630025506,83.46805340005085,83.46805340005085,85.46766920015216,85.46766920015216,85.45223300019279,18.583042199723423,18.58308030012995,85.46069170022383,85.46766920015216,85.46766920015216,86.45185950025916,stimuli/box_empty_transparent.png,19.58265019999817,19.582682100124657,86.45193400001153,86.4677675999701,87.48374200006947,87.46698589995503,20.597776299808174,86.4677675999701,86.4677675999701,[0.5500950003042817],[0.1008156999014318],,,,,,,,,,33333,right,no,None,2025-05-09_11h08.27.465,RL_out-of-scanner,2024.2.4,59.52901828888127,2025-05-09 11h08.48.227010 -0500,
4,0,4,space,2.064062099903822,None,5,2.7026381003670394,None,20.599498599767685,k,0.3522348999977112,None,None,20.983744400087744,20.984009199775755,21.982470099814236,21.98250909987837,22.982762800063938,22.982801899779588,25.481969699729234,,,,,,,0,0,0,0,4,0,4,0,87.48374200006947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.599498599767685,87.46876520011574,87.48374200006947,87.48374200006947,87.48374200006947,87.48374200006947,87.85291610006243,k,0.3522348999977112,None,right,1,11,1,0,1,1,None,20.983744400087744,20.984009199775755,87.85326660005376,87.86825380008668,87.86825380008668,88.86739800032228,88.86739800032228,88.8516617002897,21.982470099814236,21.98250909987837,88.86163659999147,88.86739800032228,88.86739800032228,89.85196970030665,stimuli/box_coin_transparent.png,22.982762800063938,22.982801899779588,89.85206530010328,89.86741890013218,92.36779180029407,92.35118570039049,25.481969699729234,,,,,,,,,,,,,,33333,right,no,None,2025-05-09_11h08.27.465,RL_out-of-scanner,2024.2.4,59.52901828888127,2025-05-09 11h08.48.227010 -0500,
5,0,5,space,2.064062099903822,None,5,2.7026381003670394,None,25.48355389991775,k,0.4079822995699942,None,None,25.915448899846524,25.91583890002221,29.414870799984783,29.41491900011897,30.415503399912268,30.415542299859226,32.414479800034314,,,,,,,0,0,0,0,5,0,5,0,92.36779180029407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.48355389991775,92.35281349997967,92.36779180029407,92.36779180029407,92.36779180029407,92.36779180029407,92.78459110017866,k,0.4079822995699942,None,right,1,11,2,0,2,2,None,25.915448899846524,25.91583890002221,92.78511140029877,92.80033640004694,92.80033640004694,96.30272080004215,96.30272080004215,96.28405460016802,29.414870799984783,29.41491900011897,96.29655100032687,96.30272080004215,96.30272080004215,97.28470630012453,stimuli/box_coin_transparent.png,30.415503399912268,30.415542299859226,97.28480640007183,97.30030290037394,99.3003381001763,99.28368810005486,32.414479800034314,,,,,,,,,,,,,,33333,right,no,None,2025-05-09_11h08.27.465,RL_out-of-scanner,2024.2.4,59.52901828888127,2025-05-09 11h08.48.227010 -0500,
6,0,6,space,2.064062099903822,None,5,2.7026381003670394,None,32.41656569996849,k,0.7005680999718606,None,None,33.133884499780834,33.13424090016633,34.131656900048256,34.131695799995214,35.13182169990614,35.13185969972983,36.13082510000095,,,,,,,0,0,0,0,6,0,6,0,99.3003381001763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.41656569996849,99.28583550034091,99.3003381001763,99.3003381001763,99.3003381001763,99.3003381001763,100.00303210038692,k,0.7005680999718606,None,right,1,11,3,0,3,3,None,33.133884499780834,33.13424090016633,100.00350880017504,100.01758179999888,100.01758179999888,101.0182860000059,101.0182860000059,101.00085170008242,34.131656900048256,34.131695799995214,101.01251070015132,101.0182860000059,101.0182860000059,102.00102800037712,stimuli/box_coin_transparent.png,35.13182169990614,35.13185969972983,102.00112150004134,102.01673329994082,103.01658650022,103.00004020007327,36.13082510000095,,,,,,,,,,,,,,33333,right,no,None,2025-05-09_11h08.27.465,RL_out-of-scanner,2024.2.4,59.52901828888127,2025-05-09 11h08.48.227010 -0500,
7,0,7,space,2.064062099903822,None,5,2.7026381003670394,None,36.13277789996937,k,1.2392634004354477,None,['k'],37.399710500147194,37.39998790016398,39.39891309989616,39.39895030017942,40.3985731001012,40.39860810013488,42.39770819991827,[0.6171560999937356],[0.09792500035837293],,,,,0,0,0,0,7,0,7,0,103.01658650022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.13277789996937,103.00203950004652,103.01658650022,103.01658650022,103.01658650022,103.01658650022,104.26884920010343,k,1.2392634004354477,None,right,1,11,4,0,4,4,['k'],37.399710500147194,37.39998790016398,104.26924500009045,104.2836070000194,104.2836070000194,106.28379820007831,106.28379820007831,106.26810490014032,39.39891309989616,39.39895030017942,106.27780430018902,106.28379820007831,106.28379820007831,107.26777940010652,stimuli/box_coin_transparent.png,40.3985731001012,40.39860810013488,107.2678633001633,107.2829619999975,109.2835528999567,109.2669164002873,42.39770819991827,107.2829619999975,107.2829619999975,[0.6171560999937356],[0.09792500035837293],,,,,,,,,,33333,right,no,None,2025-05-09_11h08.27.465,RL_out-of-scanner,2024.2.4,59.52901828888127,2025-05-09 11h08.48.227010 -0500,
