thisN,thisTrialN,thisRepN,advance_press.keys,advance_press.rt,advance_press.duration,trigger_value.keys,trigger_value.rt,trigger_value.duration,cueOnTime,cue_resp.keys,cue_resp.rt,cue_resp.duration,all_keys.keys,cueOffTime,cueRespOnTime,cueRespOffTime,outcomeOnTime,outcomeOffTime,fixOnTime,fixOffTime,all_keys.rt,all_keys.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,summary_instructions.started,summary_text.started,advance_to_runs.started,summary_instructions.stopped,advance_to_runs.keys,advance_to_runs.rt,advance_to_runs.duration,get_ready.started,get_ready_text.started,advance_press.started,get_ready.stopped,runs.advance_press.keys,runs.advance_press.rt,runs.advance_press.duration,scanner_trigger.started,scanner_text.started,trigger_value.started,scanner_trigger.stopped,runs.trigger_value.keys,runs.trigger_value.rt,runs.trigger_value.duration,trials.cueOnTime,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,trials.cue_resp.rt,trials.cue_resp.duration,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,trials.cueOffTime,trials.cueRespOnTime,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,trials.cueRespOffTime,trials.outcomeOnTime,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome_left_box.stopped,outcome_right_box.stopped,outcome.stopped,outcome_image,trials.outcomeOffTime,trials.fixOnTime,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,trials.fixOffTime,left_box.stopped,right_box.stopped,cue_resp.stopped,all_keys.stopped,run_feedback.started,coins_won_text.started,run_feedback.stopped,leftover_time_break.started,fixation_end.started,fixation_end.stopped,leftover_time_break.stopped,trials.all_keys.rt,trials.all_keys.duration,end_exp.started,end_exp.stopped,participant,handedness,practice,restart_from_run,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026898100040853024,0.03269159980118275,0.03269159980118275,5.022527600172907,j,4.982075100298971,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333333,right,no,None,2025-05-09_11h25.32.581,RL_out-of-scanner,2024.2.4,59.785477605207106,2025-05-09 11h25.42.933660 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.022851000074297,5.031266199890524,5.031266199890524,6.516489699948579,j,1.4728902000933886,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333333,right,no,None,2025-05-09_11h25.32.581,RL_out-of-scanner,2024.2.4,59.785477605207106,2025-05-09 11h25.42.933660 -0500,
0,0,0,space,1.8479798999615014,None,5,2.8734221002086997,None,0.0025135003961622715,j,0.7569482997059822,None,None,0.7840742999687791,0.7844973001629114,1.7831736002117395,1.7832188000902534,2.783472300041467,2.783507500309497,4.782658900134265,,,,,,,0,0,0,0,0,0,0,0,11.29773150011897,,,,,,,,,,,,,,,,6.516892999876291,6.531249300111085,6.531249300111085,8.381563500035554,space,1.8479798999615014,None,8.381659499835223,8.397348300088197,8.397348300088197,11.28145070001483,5,2.8734221002086997,None,0.0025135003961622715,11.284043699968606,11.29773150011897,11.29773150011897,11.29773150011897,11.29773150011897,12.065466600004584,j,0.7569482997059822,None,right,1,7,0,0,0,0,None,0.7840742999687791,0.7844973001629114,12.066033199895173,12.081287799868733,12.081287799868733,13.081495800055563,13.081495800055563,13.064618300180882,1.7831736002117395,1.7832188000902534,13.07462040008977,13.081495800055563,13.081495800055563,14.080609600059688,14.080609600059688,14.064946199767292,stimuli/box_empty_transparent.png,2.783472300041467,2.783507500309497,14.065025200136006,14.080609600059688,16.080914500169456,16.064133299980313,4.782658900134265,,,,,,,,,,,,,,,,333333,right,no,None,2025-05-09_11h25.32.581,RL_out-of-scanner,2024.2.4,59.785477605207106,2025-05-09 11h25.42.933660 -0500,
1,0,1,space,1.8479798999615014,None,5,2.8734221002086997,None,4.7844621003605425,k,0.5043831001967192,None,None,5.317317900247872,5.317697500344366,6.8177374000661075,6.817778900265694,7.832866800017655,7.8329015001654625,9.332698800135404,,,,,,,0,0,0,0,1,0,1,0,16.080914500169456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7844621003605425,16.065995200071484,16.080914500169456,16.080914500169456,16.080914500169456,16.080914500169456,16.59872390003875,k,0.5043831001967192,None,right,1,7,1,0,1,1,None,5.317317900247872,5.317697500344366,16.59923220006749,16.614218699745834,16.614218699745834,18.116030999924988,18.116030999924988,18.09918410005048,6.8177374000661075,6.817778900265694,18.109891700092703,18.116030999924988,18.116030999924988,,,19.11433759983629,stimuli/box_coin_transparent.png,7.832866800017655,7.8329015001654625,19.114424699917436,19.130795099772513,20.630735899787396,20.61417259974405,9.332698800135404,,,,,,,,,,,,,,,,333333,right,no,None,2025-05-09_11h25.32.581,RL_out-of-scanner,2024.2.4,59.785477605207106,2025-05-09 11h25.42.933660 -0500,
2,0,2,space,1.8479798999615014,None,5,2.8734221002086997,None,9.334403099957854,k,0.4587672003544867,None,None,9.817110100295395,9.81738440040499,10.81732500018552,10.81736410036683,11.817597100045532,11.81763460021466,14.815941400360316,,,,,,,0,0,0,0,2,0,2,0,20.630735899787396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.334403099957854,20.615921100135893,20.630735899787396,20.630735899787396,20.630735899787396,20.630735899787396,21.098540999926627,k,0.4587672003544867,None,right,0,7,1,0,2,1,None,9.817110100295395,9.81738440040499,21.098907600156963,21.114102200139314,21.114102200139314,22.115805000066757,22.115805000066757,22.098786000162363,10.81732500018552,10.81736410036683,22.105421099811792,22.115805000066757,22.115805000066757,23.11437529977411,23.11437529977411,23.099068900104612,stimuli/box_empty_transparent.png,11.817597100045532,11.81763460021466,23.099157999735326,23.11437529977411,26.11402860004455,26.097413799725473,14.815941400360316,,,,,,,,,,,,,,,,333333,right,no,None,2025-05-09_11h25.32.581,RL_out-of-scanner,2024.2.4,59.785477605207106,2025-05-09 11h25.42.933660 -0500,
3,0,3,space,1.8479798999615014,None,5,2.8734221002086997,None,14.817791300360113,j,0.3776716999709606,None,None,15.217769300099462,15.218243200331926,17.217298300005496,17.217345300130546,18.217907800339162,18.21794530004263,19.21685770014301,,,,,,,0,0,0,0,3,0,3,0,26.11402860004455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.817791300360113,26.09932090016082,26.11402860004455,26.11402860004455,26.11402860004455,26.11402860004455,26.49916910007596,j,0.3776716999709606,None,right,0,7,1,0,2,1,None,15.217769300099462,15.218243200331926,26.499779399950057,26.51419819984585,26.51419819984585,28.514232899993658,28.514232899993658,28.498749000020325,17.217298300005496,17.217345300130546,28.507367699872702,28.514232899993658,28.514232899993658,29.515036100056022,29.515036100056022,29.49937989981845,stimuli/box_empty_transparent.png,18.217907800339162,18.21794530004263,29.499468899797648,29.515036100056022,30.514999100007117,30.498334100004286,19.21685770014301,,,,,,,,,,,,,,,,333333,right,no,None,2025-05-09_11h25.32.581,RL_out-of-scanner,2024.2.4,59.785477605207106,2025-05-09 11h25.42.933660 -0500,
4,0,4,space,1.8479798999615014,None,5,2.8734221002086997,None,19.21839260030538,k,0.34216649970039725,None,None,19.585015200078487,19.585328600369394,20.583979200106114,20.58401930006221,21.582987200003117,21.58302400028333,24.083284000400454,,,,,,,0,0,0,0,4,0,4,0,30.514999100007117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.21839260030538,30.49991409992799,30.514999100007117,30.514999100007117,30.514999100007117,30.514999100007117,30.866428299807012,k,0.34216649970039725,None,right,1,7,2,0,3,2,None,19.585015200078487,19.585328600369394,30.866854600142688,30.881806700024754,30.881806700024754,31.880913499742746,31.880913499742746,31.865436300169677,20.583979200106114,20.58401930006221,31.875423199962825,31.880913499742746,31.880913499742746,32.87989819981158,32.87989819981158,32.86445889994502,stimuli/box_coin_transparent.png,21.582987200003117,21.58302400028333,32.864548000041395,32.87989819981158,35.38158999988809,35.3647607001476,24.083284000400454,,,,,,,,,,,,,,,,333333,right,no,None,2025-05-09_11h25.32.581,RL_out-of-scanner,2024.2.4,59.785477605207106,2025-05-09 11h25.42.933660 -0500,
5,0,5,space,1.8479798999615014,None,5,2.8734221002086997,None,24.08480289997533,k,0.29821470007300377,None,None,24.400940400082618,24.40119790006429,27.89921130007133,27.899255900178105,28.899943199940026,28.899982300121337,30.8996614003554,,,,,,,0,0,0,0,5,0,5,0,35.38158999988809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.08480289997533,35.36632429994643,35.38158999988809,35.38158999988809,35.38158999988809,35.38158999988809,35.682374499738216,k,0.29821470007300377,None,right,1,7,3,0,4,3,None,24.400940400082618,24.40119790006429,35.68271759990603,35.69763789977878,35.69763789977878,39.19723869999871,39.19723869999871,39.18066400010139,27.89921130007133,27.899255900178105,39.191655700095,39.19723869999871,39.19723869999871,,,40.18140950007364,stimuli/box_coin_transparent.png,28.899943199940026,28.899982300121337,40.181523100007325,40.19801100017503,42.19817649992183,42.18113789986819,30.8996614003554,,,,,,,,,,,,,,,,333333,right,no,None,2025-05-09_11h25.32.581,RL_out-of-scanner,2024.2.4,59.785477605207106,2025-05-09 11h25.42.933660 -0500,
6,0,6,space,1.8479798999615014,None,5,2.8734221002086997,None,30.901230200193822,k,0.5516290999948978,None,None,31.483908500056714,31.48417229996994,32.4824390001595,32.48248260002583,33.498774900101125,33.49881790019572,34.49950010003522,,,,,,,0,0,0,0,6,0,6,0,42.19817649992183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.901230200193822,42.18275179993361,42.19817649992183,42.19817649992183,42.19817649992183,42.19817649992183,42.7653425000608,k,0.5516290999948978,None,right,1,7,4,0,5,4,None,31.483908500056714,31.48417229996994,42.765692099928856,42.78081989986822,42.78081989986822,43.78138849977404,43.78138849977404,43.76389259984717,32.4824390001595,32.48248260002583,43.77563409972936,43.78138849977404,43.78138849977404,,,44.78023819997907,stimuli/box_coin_transparent.png,33.498774900101125,33.49881790019572,44.7803499000147,44.796157899778336,45.797586699947715,45.78097489988431,34.49950010003522,,,,,,,,,,,,,,,,333333,right,no,None,2025-05-09_11h25.32.581,RL_out-of-scanner,2024.2.4,59.785477605207106,2025-05-09 11h25.42.933660 -0500,
7,0,7,space,1.8479798999615014,None,5,2.8734221002086997,None,34.5013263002038,k,0.5981226000003517,None,None,35.11743910005316,35.11776460008696,37.13273179996759,37.13277669996023,38.133252600207925,38.1332928002812,40.13218320021406,,,,,,,0,0,0,0,7,0,7,0,45.797586699947715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.5013263002038,45.782854199875146,45.797586699947715,45.797586699947715,45.797586699947715,45.797586699947715,46.39887409983203,k,0.5981226000003517,None,right,1,7,5,0,6,5,None,35.11743910005316,35.11776460008696,46.3992857998237,46.41470149997622,46.41470149997622,48.430183299817145,48.430183299817145,48.414184499997646,37.13273179996759,37.13277669996023,48.4243699000217,48.430183299817145,48.430183299817145,49.429674100130796,49.429674100130796,49.41471950011328,stimuli/box_coin_transparent.png,38.133252600207925,38.1332928002812,49.414819799829274,49.429674100130796,51.43047889973968,51.413660099729896,40.13218320021406,,,,,,,,,,,,,,,,333333,right,no,None,2025-05-09_11h25.32.581,RL_out-of-scanner,2024.2.4,59.785477605207106,2025-05-09 11h25.42.933660 -0500,
