thisN,thisTrialN,thisRepN,find_box_press.keys,find_box_press.rt,find_box_press.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue_resp_switch.keys,cue_resp_switch.rt,cue_resp_switch.duration,pointer_press.keys,pointer_press.rt,pointer_press.duration,cue_resp.keys,cue_resp.rt,cue_resp.duration,all_keys.keys,restart_key.keys,restart_key.rt,restart_key.duration,restart_both.thisRepN,restart_both.thisTrialN,restart_both.thisN,restart_both.thisIndex,find_magic_box_loop.thisRepN,find_magic_box_loop.thisTrialN,find_magic_box_loop.thisN,find_magic_box_loop.thisIndex,switch_side_loop.thisRepN,switch_side_loop.thisTrialN,switch_side_loop.thisN,switch_side_loop.thisIndex,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,first_box.started,show_stimuli.started,stimuli_text.started,key_resp.started,first_box.stopped,key_resp.keys,key_resp.rt,key_resp.duration,first_coin.started,first_coin_img.started,magic_coin_text.started,first_coin_img.stopped,magic_coin_text.stopped,first_coin.stopped,prac_both_instructions.started,prac_both_text.started,key_resp_2.started,prac_both_instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,prac_both.started,prac_left_2.started,prac_right_2.started,find_box_press.started,prac_both.stopped,find_magic_box_loop.find_box_press.keys,find_magic_box_loop.find_box_press.rt,find_magic_box_loop.find_box_press.duration,prac_both_selec.started,left_box_lr.started,right_box_lr.started,left_box_lr.stopped,right_box_lr.stopped,prac_both_selec.stopped,prac_both_out.started,prac_left_box.started,prac_right_box.started,prac_both_out.stopped,fix_both.started,fix_text.started,fix_text.stopped,fix_both.stopped,prac_left_box.stopped,prac_right_box.stopped,saw_reward.started,restart_proceed_text.started,key_resp_3.started,saw_reward.stopped,restart_both.key_resp_3.keys,restart_both.key_resp_3.rt,restart_both.key_resp_3.duration,switch_cue.started,left_box_switch.started,right_box_switch.started,cue_resp_switch.started,switch_cue.stopped,switch_side_loop.cue_resp_switch.keys,switch_side_loop.cue_resp_switch.rt,switch_side_loop.cue_resp_switch.duration,switch_select.started,left_switch_selec.started,right_switch_selec.started,left_switch_selec.stopped,right_switch_selec.stopped,switch_select.stopped,switch_out.started,left_box_switch_out.started,right_box_switch_out.started,switch_out.stopped,left_box_switch_out.stopped,right_box_switch_out.stopped,no_coin_instruc.started,summary_text.started,pointer_press.started,no_coin_instruc.stopped,pracLoop.pointer_press.keys,pracLoop.pointer_press.rt,pracLoop.pointer_press.duration,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,trials.cue_resp.rt,trials.cue_resp.duration,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome_left_box.stopped,outcome_right_box.stopped,outcome.stopped,outcome_image,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,run_feedback.started,coins_won_text.started,coins_won_text.stopped,run_feedback.stopped,understanding_check.started,restart_key.started,understanding_check.stopped,pracLoop.restart_key.keys,pracLoop.restart_key.rt,pracLoop.restart_key.duration,participant,handedness,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01608610013499856,0.02207780024036765,0.02207780024036765,43.906879200134426,j,43.840451600030065,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33333,right,2025-05-09_11h02.51.773,RL_practice,2024.2.4,60.088750991531406,2025-05-09 11h03.10.547868 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.90695230010897,43.91680400026962,43.91680400026962,43.91680400026962,51.997167699970305,j,8.075389900244772,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33333,right,2025-05-09_11h02.51.773,RL_practice,2024.2.4,60.088750991531406,2025-05-09 11h03.10.547868 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.99727019993588,52.01259860023856,52.01259860023856,54.51229920005426,54.51229920005426,54.49629190005362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33333,right,2025-05-09_11h02.51.773,RL_practice,2024.2.4,60.088750991531406,2025-05-09 11h03.10.547868 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.49634480010718,54.51229920005426,54.51229920005426,71.11362490011379,j,16.591667500324547,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33333,right,2025-05-09_11h02.51.773,RL_practice,2024.2.4,60.088750991531406,2025-05-09 11h03.10.547868 -0500,
0,0,0,k,2.3951182002201676,None,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,71.1472475999035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.14061410026625,71.1472475999035,71.1472475999035,71.1472475999035,73.55008770013228,k,2.3951182002201676,None,73.55261230003089,73.56599000003189,73.56599000003189,75.09096030006185,75.09096030006185,75.04968000017107,75.08399889990687,75.09096030006185,75.09096030006185,76.05853589996696,76.05858450010419,76.07492130016908,78.59081570012495,78.57396369986236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33333,right,2025-05-09_11h02.51.773,RL_practice,2024.2.4,60.088750991531406,2025-05-09 11h03.10.547868 -0500,
1,0,1,j,0.5895827999338508,None,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,78.59081570012495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.57418130012229,78.59081570012495,78.59081570012495,78.59081570012495,79.19267080025747,j,0.5895827999338508,None,79.19475740008056,79.20769050018862,79.20769050018862,80.70771769993007,80.70771769993007,80.6911885002628,80.70158920018002,80.70771769993007,80.70771769993007,81.69151870021597,81.69157020002604,81.70752860000357,83.20752219995484,83.19079250004143,81.70752860000357,81.70752860000357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33333,right,2025-05-09_11h02.51.773,RL_practice,2024.2.4,60.088750991531406,2025-05-09 11h03.10.547868 -0500,
2,0,2,j,0.5905037000775337,None,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,83.20752219995484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.19104030029848,83.20752219995484,83.20752219995484,83.20752219995484,83.81113460008055,j,0.5905037000775337,None,83.81336859986186,83.82606150023639,83.82606150023639,,,85.3241730001755,85.33504129992798,85.34127780003473,85.34127780003473,86.32462080009282,86.32469190005213,86.34092510025948,88.84078249987215,88.8242695000954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33333,right,2025-05-09_11h02.51.773,RL_practice,2024.2.4,60.088750991531406,2025-05-09 11h03.10.547868 -0500,
3,0,3,j,0.462844000197947,None,,,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,88.84078249987215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.82452959986404,88.84078249987215,88.84078249987215,88.84078249987215,89.30798640009016,j,0.462844000197947,None,89.31049339985475,89.32372470013797,89.32372470013797,,,90.80849200021476,90.81868699984625,90.82415649993345,90.82415649993345,91.80862200027332,91.80868190014735,91.82371720019728,92.8236312000081,92.80702019995078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33333,right,2025-05-09_11h02.51.773,RL_practice,2024.2.4,60.088750991531406,2025-05-09 11h03.10.547868 -0500,
4,0,4,j,0.6914715003222227,None,,,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,92.8236312000081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.80728020006791,92.8236312000081,92.8236312000081,92.8236312000081,93.52450569998473,j,0.6914715003222227,None,93.52697730017826,93.54025670001283,93.54025670001283,95.04055210016668,95.04055210016668,95.025084100198,95.03507540002465,95.04055210016668,95.04055210016668,96.02467160020024,96.02472000010312,96.04068710003048,97.56386050023139,97.52421610010788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33333,right,2025-05-09_11h02.51.773,RL_practice,2024.2.4,60.088750991531406,2025-05-09 11h03.10.547868 -0500,
0,0,0,,,,j,7.824383300263435,None,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.55854870006442,97.56386050023139,97.56386050023139,105.39937860006467,j,7.824383300263435,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33333,right,2025-05-09_11h02.51.773,RL_practice,2024.2.4,60.088750991531406,2025-05-09 11h03.10.547868 -0500,
