thisN,thisTrialN,thisRepN,advance_press.keys,advance_press.rt,advance_press.duration,trigger_value.keys,trigger_value.rt,trigger_value.duration,cueOnTime,cue_resp.keys,all_keys.keys,cueOffTime,cueRespOnTime,cueRespOffTime,outcomeOnTime,outcomeOffTime,fixOnTime,fixOffTime,cue_resp.rt,cue_resp.duration,all_keys.rt,all_keys.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,summary_instructions.started,summary_text.started,advance_to_runs.started,summary_instructions.stopped,advance_to_runs.keys,advance_to_runs.rt,advance_to_runs.duration,get_ready.started,get_ready_text.started,advance_press.started,get_ready.stopped,runs.advance_press.keys,runs.advance_press.rt,runs.advance_press.duration,scanner_trigger.started,scanner_text.started,trigger_value.started,scanner_trigger.stopped,runs.trigger_value.keys,runs.trigger_value.rt,runs.trigger_value.duration,trials.cueOnTime,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,trials.cueOffTime,trials.cueRespOnTime,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,trials.cueRespOffTime,trials.outcomeOnTime,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome_left_box.stopped,outcome_right_box.stopped,outcome.stopped,outcome_image,trials.outcomeOffTime,trials.fixOnTime,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,trials.fixOffTime,trials.cue_resp.rt,trials.cue_resp.duration,trials.all_keys.rt,trials.all_keys.duration,left_box.stopped,right_box.stopped,cue_resp.stopped,all_keys.stopped,run_feedback.started,coins_won_text.started,run_feedback.stopped,leftover_time_break.started,fixation_end.started,fixation_end.stopped,leftover_time_break.stopped,end_exp.started,end_exp.stopped,participant,handedness,practice,restart_from_run,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03268089983612299,0.03841999964788556,0.03841999964788556,54.85647939983755,j,54.80775939999148,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55555,right,no,None,2025-05-15_11h34.03.973,RL_out-of-scanner,2024.2.4,59.42572172362194,2025-05-15 11h34.18.394943 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.856770099606365,54.862714199814945,54.862714199814945,70.53084399970248,j,15.651155000086874,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55555,right,no,None,2025-05-15_11h34.03.973,RL_out-of-scanner,2024.2.4,59.42572172362194,2025-05-15 11h34.18.394943 -0500,
0,0,0,space,4.392554400023073,None,5,2.8438530997373164,None,0.0023890999145805836,None,None,1.5011728997342288,1.501259199809283,2.5011803000234067,2.501215999945998,3.5008504996076226,3.500897299963981,5.516129599884152,,,,,,,,,0,0,0,0,0,0,0,0,77.82889249967411,,,,,,,,,,,,,,,,70.53120159963146,70.54600129975006,70.54600129975006,74.94745819969103,space,4.392554400023073,None,74.94753919960931,74.96269949991256,74.96269949991256,77.81240689987317,5,2.8438530997373164,None,0.0023890999145805836,77.81487189978361,77.82889249967411,77.82889249967411,77.82889249967411,77.82889249967411,79.31355229998007,None,right,0,10,0,0,0,0,None,1.5011728997342288,1.501259199809283,79.31374389957637,79.3294232999906,79.3294232999906,80.32923849998042,80.32923849998042,80.31359139969572,2.5011803000234067,2.501215999945998,80.32269409997389,80.32923849998042,80.32923849998042,81.3298904998228,81.3298904998228,81.31327369995415,no selection made,3.5008504996076226,3.500897299963981,81.31338479975238,81.3298904998228,83.34527209959924,83.32855969993398,5.516129599884152,,,,,,,,,,,,,,,,,,55555,right,no,None,2025-05-15_11h34.03.973,RL_out-of-scanner,2024.2.4,59.42572172362194,2025-05-15 11h34.18.394943 -0500,
1,0,1,space,4.392554400023073,None,5,2.8438530997373164,None,5.518301399890333,j,None,5.8843517997302115,5.884789999574423,7.384552099741995,7.384591699577868,8.384067699778825,8.384100999683142,9.883817999623716,0.34776900010183454,None,,,,,,,0,0,0,0,1,0,1,0,83.34527209959924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.518301399890333,83.33079819986597,83.34527209959924,83.34527209959924,83.34527209959924,83.34527209959924,83.69670729991049,j,right,0,10,0,0,0,0,None,5.8843517997302115,5.884789999574423,83.69728579977527,83.71197399962693,83.71197399962693,85.2122982996516,85.2122982996516,85.19696490000933,7.384552099741995,7.384591699577868,85.20524599961936,85.2122982996516,85.2122982996516,86.21218619961292,86.21218619961292,86.19650089973584,stimuli/box_empty_transparent.png,8.384067699778825,8.384100999683142,86.19657859997824,86.21218619961292,87.71304409997538,87.69625159958377,9.883817999623716,0.34776900010183454,None,,,,,,,,,,,,,,,,55555,right,no,None,2025-05-15_11h34.03.973,RL_out-of-scanner,2024.2.4,59.42572172362194,2025-05-15 11h34.18.394943 -0500,
2,0,2,space,4.392554400023073,None,5,2.8438530997373164,None,9.885601499583572,j,None,10.218128599692136,10.218554500024766,11.233187699690461,11.233235499821603,12.234064999967813,12.234104599803686,15.233929799869657,0.3015399002470076,None,,,,,,,0,0,0,0,2,0,2,0,87.71304409997538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.885601499583572,87.69808839960024,87.71304409997538,87.71304409997538,87.71304409997538,87.71304409997538,88.03051760001108,j,right,0,10,0,0,0,0,None,10.218128599692136,10.218554500024766,88.03103639977053,88.04618129972368,88.04618129972368,89.06236019963399,89.06236019963399,89.04559819959104,11.233187699690461,11.233235499821603,89.05506539996713,89.06236019963399,89.06236019963399,,,90.04649310000241,stimuli/box_empty_transparent.png,12.234064999967813,12.234104599803686,90.04658589977771,90.06219840003178,93.06224779970944,93.04636759962887,15.233929799869657,0.3015399002470076,None,,,,,,,,,,,,,,,,55555,right,no,None,2025-05-15_11h34.03.973,RL_out-of-scanner,2024.2.4,59.42572172362194,2025-05-15 11h34.18.394943 -0500,
3,0,3,space,4.392554400023073,None,5,2.8438530997373164,None,15.235455899965018,k,None,15.585257099941373,15.585561399813741,17.59984069969505,17.5998876998201,18.60036259982735,18.60040729958564,19.60006059985608,0.3298037997446954,None,,,,,,,0,0,0,0,3,0,3,0,93.06224779970944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.235455899965018,93.04793699970469,93.06224779970944,93.06224779970944,93.06224779970944,93.06224779970944,93.39764449978247,k,right,1,10,1,0,1,1,None,15.585257099941373,15.585561399813741,93.39804189978167,93.4133656998165,93.4133656998165,95.42970789968967,95.42970789968967,95.4122512997128,17.59984069969505,17.5998876998201,95.42312139971182,95.42970789968967,95.42970789968967,96.42909529991448,96.42909529991448,96.4127896996215,stimuli/box_coin_transparent.png,18.60036259982735,18.60040729958564,96.41289109969512,96.42909529991448,97.429156600032,97.41249629994854,19.60006059985608,0.3298037997446954,None,,,,,,,,,,,,,,,,55555,right,no,None,2025-05-15_11h34.03.973,RL_out-of-scanner,2024.2.4,59.42572172362194,2025-05-15 11h34.18.394943 -0500,
4,0,4,space,4.392554400023073,None,5,2.8438530997373164,None,19.601675799582154,k,None,20.06776859983802,20.068031099624932,21.06712679984048,21.067170899827033,22.06732949987054,22.067363999783993,24.56679469998926,0.4483357002027333,None,,,,,,,0,0,0,0,4,0,4,0,97.429156600032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.601675799582154,97.4141722000204,97.429156600032,97.429156600032,97.429156600032,97.429156600032,97.88015710003674,k,right,0,10,1,0,2,1,None,20.06776859983802,20.068031099624932,97.88051009969786,97.89548409963027,97.89548409963027,98.89543389994651,98.89543389994651,98.87953229993582,21.06712679984048,21.067170899827033,98.88860039971769,98.89543389994651,98.89543389994651,99.89555499982089,99.89555499982089,99.87976259971038,stimuli/box_empty_transparent.png,22.06732949987054,22.067363999783993,99.87984239961952,99.89555499982089,102.3962369998917,102.37922669993713,24.56679469998926,0.4483357002027333,None,,,,,,,,,,,,,,,,55555,right,no,None,2025-05-15_11h34.03.973,RL_out-of-scanner,2024.2.4,59.42572172362194,2025-05-15 11h34.18.394943 -0500,
5,0,5,space,4.392554400023073,None,5,2.8438530997373164,None,24.568335199728608,j,None,25.367420099675655,25.367787399794906,28.866023999638855,28.86606209957972,29.86942179966718,29.869468399789184,31.86540269991383,0.770178799983114,None,,,,,,,0,0,0,0,5,0,5,0,102.3962369998917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.568335199728608,102.38081699982285,102.3962369998917,102.3962369998917,102.3962369998917,102.3962369998917,103.1798069998622,j,right,0,10,1,0,2,1,None,25.367420099675655,25.367787399794906,103.18026979966089,103.1950947996229,103.1950947996229,106.69500409998,106.69500409998,106.67844179971144,28.866023999638855,28.86606209957972,106.6869475999847,106.69500409998,106.69500409998,,,107.68184279976413,stimuli/box_empty_transparent.png,29.86942179966718,29.869468399789184,107.68196259997785,107.69432589970529,109.69446889963001,109.67783809965476,31.86540269991383,0.770178799983114,None,,,,,,,,,,,,,,,,55555,right,no,None,2025-05-15_11h34.03.973,RL_out-of-scanner,2024.2.4,59.42572172362194,2025-05-15 11h34.18.394943 -0500,
6,0,6,space,4.392554400023073,None,5,2.8438530997373164,None,31.866933699697256,k,None,32.13343419972807,32.13385139964521,33.13399829994887,33.13403709977865,34.133250899612904,34.1332953996025,35.13316789967939,0.23658009991049767,None,,,,,,,0,0,0,0,6,0,6,0,109.69446889963001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.866933699697256,109.67941699968651,109.69446889963001,109.69446889963001,109.69446889963001,109.69446889963001,109.94579100003466,k,right,1,10,2,0,3,2,None,32.13343419972807,32.13385139964521,109.94634629972279,109.96126559982076,109.96126559982076,110.96186209982261,110.96186209982261,110.94640889996663,33.13399829994887,33.13403709977865,110.95636209985241,110.96186209982261,110.96186209982261,111.96103069977835,111.96103069977835,111.94567629974335,stimuli/box_coin_transparent.png,34.133250899612904,34.1332953996025,111.94578569987789,111.96103069977835,112.96192249981686,112.94560259999707,35.13316789967939,0.23658009991049767,None,,,,,,,,,,,,,,,,55555,right,no,None,2025-05-15_11h34.03.973,RL_out-of-scanner,2024.2.4,59.42572172362194,2025-05-15 11h34.18.394943 -0500,
7,0,7,space,4.392554400023073,None,5,2.8438530997373164,None,35.13472769968212,j,None,35.517544199712574,35.517947799991816,37.5169055997394,37.51694539980963,38.516994799952954,38.517029099632055,40.51563059957698,0.35363070014864206,None,,,,,,,0,0,0,0,7,0,7,0,112.96192249981686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.13472769968212,112.94720909977332,112.96192249981686,112.96192249981686,112.96192249981686,112.96192249981686,113.32991249999031,j,right,1,10,2,0,3,2,None,35.517544199712574,35.517947799991816,113.33043419988826,113.3455407996662,113.3455407996662,115.34541339986026,115.34541339986026,115.32932000001892,37.5169055997394,37.51694539980963,115.33745849970728,115.34541339986026,115.34541339986026,116.3448562999256,116.3448562999256,116.32942749978974,stimuli/box_empty_transparent.png,38.516994799952954,38.517029099632055,116.3295085998252,116.3448562999256,118.34450969984755,118.32806229963899,40.51563059957698,0.35363070014864206,None,,,,,,,,,,,,,,,,55555,right,no,None,2025-05-15_11h34.03.973,RL_out-of-scanner,2024.2.4,59.42572172362194,2025-05-15 11h34.18.394943 -0500,
