thisN,thisTrialN,thisRepN,advance_press.keys,advance_press.rt,advance_press.duration,trigger_value.keys,trigger_value.rt,trigger_value.duration,cueOnTime,cue_resp.keys,cue_resp.rt,cue_resp.duration,all_keys.keys,cueOffTime,cueRespOnTime,cueRespOffTime,outcomeOnTime,outcomeOffTime,fixOnTime,fixOffTime,all_keys.rt,all_keys.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,summary_instructions.started,summary_text.started,advance_to_runs.started,summary_instructions.stopped,advance_to_runs.keys,advance_to_runs.rt,advance_to_runs.duration,get_ready.started,get_ready_text.started,advance_press.started,get_ready.stopped,runs.advance_press.keys,runs.advance_press.rt,runs.advance_press.duration,scanner_trigger.started,scanner_text.started,trigger_value.started,scanner_trigger.stopped,runs.trigger_value.keys,runs.trigger_value.rt,runs.trigger_value.duration,trials.cueOnTime,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,trials.cue_resp.rt,trials.cue_resp.duration,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,trials.cueOffTime,trials.cueRespOnTime,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,trials.cueRespOffTime,trials.outcomeOnTime,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome_left_box.stopped,outcome_right_box.stopped,outcome.stopped,outcome_image,trials.outcomeOffTime,trials.fixOnTime,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,trials.fixOffTime,run_feedback.started,coins_won_text.started,run_feedback.stopped,leftover_time_break.started,fixation_end.started,fixation_end.stopped,leftover_time_break.stopped,left_box.stopped,right_box.stopped,cue_resp.stopped,all_keys.stopped,trials.all_keys.rt,trials.all_keys.duration,end_exp.started,end_exp.stopped,participant,handedness,practice,restart_from_run,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0332701001316309,0.03909550001844764,0.03909550001844764,1.8499587001278996,j,1.7932611000724137,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555555,right,no,None,2025-05-15_11h51.28.385,RL_out-of-scanner,2024.2.4,59.83996389656814,2025-05-15 11h51.44.491690 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8503000000491738,1.857946699950844,1.857946699950844,2.7929544001817703,j,0.9279637997969985,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555555,right,no,None,2025-05-15_11h51.28.385,RL_out-of-scanner,2024.2.4,59.83996389656814,2025-05-15 11h51.44.491690 -0500,
0,0,0,space,2.467731500044465,None,5,2.641512700356543,None,0.0021927999332547188,j,0.2416400001384318,None,None,0.26786890020594,0.26824710005894303,1.267176500055939,1.2672143001109362,2.267013799864799,2.2670491002500057,4.28257599985227,,,,,,,0,0,0,0,0,0,0,0,7.975262100342661,,,,,,,,,,,,,,,,2.793345400132239,2.8084885999560356,2.8084885999560356,5.292724700178951,space,2.467731500044465,None,5.292821600101888,5.308660800103098,5.308660800103098,7.95889150025323,5,2.641512700356543,None,0.0021927999332547188,7.961158800404519,7.975262100342661,7.975262100342661,7.975262100342661,7.975262100342661,8.226717700250447,j,0.2416400001384318,None,right,1,13,0,0,0,0,None,0.26786890020594,0.26824710005894303,8.2272127000615,8.242504400201142,8.242504400201142,9.242687799967825,9.242687799967825,9.226073700003326,1.267176500055939,1.2672143001109362,9.235446900129318,9.242687799967825,9.242687799967825,10.241951200179756,10.241951200179756,10.225930700078607,stimuli/box_empty_transparent.png,2.267013799864799,2.2670491002500057,10.226006800308824,10.241951200179756,12.26146120019257,12.241495800204575,4.28257599985227,,,,,,,,,,,,,,,,555555,right,no,None,2025-05-15_11h51.28.385,RL_out-of-scanner,2024.2.4,59.83996389656814,2025-05-15 11h51.44.491690 -0500,
1,0,1,space,2.467731500044465,None,5,2.641512700356543,None,4.28408750006929,j,0.682784500066191,None,None,5.00082329986617,5.001253500115126,6.500732500106096,6.500772499945015,7.50034169992432,7.500374400056899,8.999903699848801,,,,,,,0,0,0,0,1,0,1,0,12.26146120019257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.28408750006929,12.243054000195116,12.26146120019257,12.26146120019257,12.26146120019257,12.26146120019257,12.959680800326169,j,0.682784500066191,None,right,1,13,0,0,0,0,None,5.00082329986617,5.001253500115126,12.960224600043148,12.974968700204045,12.974968700204045,14.474884300027043,14.474884300027043,14.459630800411105,6.500732500106096,6.500772499945015,14.46803310001269,14.474884300027043,14.474884300027043,15.47532600024715,15.47532600024715,15.459259000141174,stimuli/box_empty_transparent.png,7.50034169992432,7.500374400056899,15.459334100130945,15.47532600024715,16.97523730015382,16.958818800281733,8.999903699848801,,,,,,,,,,,,,,,,555555,right,no,None,2025-05-15_11h51.28.385,RL_out-of-scanner,2024.2.4,59.83996389656814,2025-05-15 11h51.44.491690 -0500,
2,0,2,space,2.467731500044465,None,5,2.641512700356543,None,9.001662299968302,k,0.2523635998368263,None,None,9.28430479997769,9.284625200089067,10.2993542002514,10.29940229980275,11.29990669991821,11.299950300250202,14.300127100199461,,,,,,,0,0,0,0,2,0,2,0,16.97523730015382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.001662299968302,16.960632900241762,16.97523730015382,16.97523730015382,16.97523730015382,16.97523730015382,17.243164299987257,k,0.2523635998368263,None,right,1,13,1,0,1,1,None,9.28430479997769,9.284625200089067,17.24359430000186,17.25887250015512,17.25887250015512,18.2761429999955,18.2761429999955,18.25824680039659,10.2993542002514,10.29940229980275,18.269342500250787,18.2761429999955,18.2761429999955,,,19.258816600311548,stimuli/box_coin_transparent.png,11.29990669991821,11.299950300250202,19.258925300091505,19.27483560005203,22.274908400140703,22.259047500323504,14.300127100199461,,,,,,,,,,,,,,,,555555,right,no,None,2025-05-15_11h51.28.385,RL_out-of-scanner,2024.2.4,59.83996389656814,2025-05-15 11h51.44.491690 -0500,
3,0,3,space,2.467731500044465,None,5,2.641512700356543,None,14.301656300202012,j,0.2834136998280883,None,None,14.601336299907416,14.601686700247228,16.599998500198126,16.60003799991682,17.600174800027162,17.600207599811256,18.59979180013761,,,,,,,0,0,0,0,3,0,3,0,22.274908400140703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.301656300202012,22.26062020007521,22.274908400140703,22.274908400140703,22.274908400140703,22.274908400140703,22.560211200267076,j,0.2834136998280883,None,right,1,13,1,0,1,1,None,14.601336299907416,14.601686700247228,22.560652600135654,22.575256700161844,22.575256700161844,24.575810400303453,24.575810400303453,24.558897600043565,16.599998500198126,16.60003799991682,24.56706660008058,24.575810400303453,24.575810400303453,25.574767700396478,25.574767700396478,25.55909250024706,stimuli/box_empty_transparent.png,17.600174800027162,17.600207599811256,25.559168100357056,25.574767700396478,26.574824100360274,26.558707900345325,18.59979180013761,,,,,,,,,,,,,,,,555555,right,no,None,2025-05-15_11h51.28.385,RL_out-of-scanner,2024.2.4,59.83996389656814,2025-05-15 11h51.44.491690 -0500,
4,0,4,space,2.467731500044465,None,5,2.641512700356543,None,18.601405600085855,k,0.26615120004862547,None,None,18.88397159986198,18.8842694000341,19.883501099888235,19.883540300186723,20.883809799794108,20.883845699951053,23.382763599976897,,,,,,,0,0,0,0,4,0,4,0,26.574824100360274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.601405600085855,26.560370000079274,26.574824100360274,26.574824100360274,26.574824100360274,26.574824100360274,26.842841300182045,k,0.26615120004862547,None,right,1,13,2,0,2,2,None,18.88397159986198,18.8842694000341,26.843233600258827,26.858563600108027,26.858563600108027,27.858196600340307,27.858196600340307,27.84240180021152,19.883501099888235,19.883540300186723,27.852358900010586,27.858196600340307,27.858196600340307,28.857487800065428,28.857487800065428,28.842724500223994,stimuli/box_coin_transparent.png,20.883809799794108,20.883845699951053,28.842808000277728,28.857487800065428,31.357315000146627,31.341681400313973,23.382763599976897,,,,,,,,,,,,,,,,555555,right,no,None,2025-05-15_11h51.28.385,RL_out-of-scanner,2024.2.4,59.83996389656814,2025-05-15 11h51.44.491690 -0500,
5,0,5,space,2.467731500044465,None,5,2.641512700356543,None,23.38446980016306,k,0.3688266999088228,None,None,23.784112100023776,23.78443509992212,27.283682399895042,27.28372980002314,28.28332189982757,28.28336190013215,30.283003100194037,,,,,,,0,0,0,0,5,0,5,0,31.357315000146627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.38446980016306,31.343440600205213,31.357315000146627,31.357315000146627,31.357315000146627,31.357315000146627,31.742969800252467,k,0.3688266999088228,None,right,1,13,3,0,3,3,None,23.784112100023776,23.78443509992212,31.743404200300574,31.758352800272405,31.758352800272405,35.258375000208616,35.258375000208616,35.24257730040699,27.283682399895042,27.28372980002314,35.25260950019583,35.258375000208616,35.258375000208616,36.2576403003186,36.2576403003186,36.242236600257456,stimuli/box_coin_transparent.png,28.28332189982757,28.28336190013215,36.24232760025188,36.2576403003186,38.25791920023039,38.241922200191766,30.283003100194037,,,,,,,,,,,,,,,,555555,right,no,None,2025-05-15_11h51.28.385,RL_out-of-scanner,2024.2.4,59.83996389656814,2025-05-15 11h51.44.491690 -0500,
6,0,6,space,2.467731500044465,None,5,2.641512700356543,None,30.28444579988718,k,0.3665767000056803,None,None,30.667882699985057,30.668183899950236,31.666429200209677,31.66647749999538,32.66536109987646,32.66541039990261,33.66513750003651,,,,,,,0,0,0,0,6,0,6,0,38.25791920023039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.28444579988718,38.243410900235176,38.25791920023039,38.25791920023039,38.25791920023039,38.25791920023039,38.62675350019708,k,0.3665767000056803,None,right,0,13,3,0,4,3,None,30.667882699985057,30.668183899950236,38.62715140031651,38.64148200023919,38.64148200023919,39.64085760014132,39.64085760014132,39.62531210016459,31.666429200209677,31.66647749999538,39.63404700020328,39.64085760014132,39.64085760014132,40.640237300191075,40.640237300191075,40.624270600266755,stimuli/box_empty_transparent.png,32.66536109987646,32.66541039990261,40.624388800002635,40.640237300191075,41.64055830007419,41.62405430013314,33.66513750003651,,,,,,,,,,,,,,,,555555,right,no,None,2025-05-15_11h51.28.385,RL_out-of-scanner,2024.2.4,59.83996389656814,2025-05-15 11h51.44.491690 -0500,
7,0,7,space,2.467731500044465,None,5,2.641512700356543,None,33.66692710015923,j,0.24972790013998747,None,None,33.93369940016419,33.93411390017718,35.93308119988069,35.93312089983374,36.93318059993908,36.93321439996362,38.947911499999464,,,,,,,0,0,0,0,7,0,7,0,41.64055830007419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.66692710015923,41.62590150022879,41.64055830007419,41.64055830007419,41.64055830007419,41.64055830007419,41.89255710039288,j,0.24972790013998747,None,right,0,13,3,0,4,3,None,33.93369940016419,33.93411390017718,41.89308360032737,41.9073042999953,41.9073042999953,43.90718600014225,43.90718600014225,43.891982700210065,35.93308119988069,35.93312089983374,43.90051250020042,43.90718600014225,43.90718600014225,44.907525800168514,44.907525800168514,44.89209700003266,stimuli/box_empty_transparent.png,36.93318059993908,36.93321439996362,44.89217570004985,44.907525800168514,46.923541700001806,46.906828599981964,38.947911499999464,,,,,,,,,,,,,,,,555555,right,no,None,2025-05-15_11h51.28.385,RL_out-of-scanner,2024.2.4,59.83996389656814,2025-05-15 11h51.44.491690 -0500,
