thisN,thisTrialN,thisRepN,advance_press.keys,advance_press.rt,advance_press.duration,trigger_value.keys,trigger_value.rt,trigger_value.duration,cueOnTime,cue_resp.keys,cue_resp.rt,cue_resp.duration,all_keys.keys,cueOffTime,cueRespOnTime,cueRespOffTime,outcomeOnTime,outcomeOffTime,fixOnTime,fixOffTime,all_keys.rt,all_keys.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,summary_instructions.started,summary_text.started,advance_to_runs.started,summary_instructions.stopped,advance_to_runs.keys,advance_to_runs.rt,advance_to_runs.duration,get_ready.started,get_ready_text.started,advance_press.started,get_ready.stopped,runs.advance_press.keys,runs.advance_press.rt,runs.advance_press.duration,scanner_trigger.started,scanner_text.started,trigger_value.started,scanner_trigger.stopped,runs.trigger_value.keys,runs.trigger_value.rt,runs.trigger_value.duration,trials.cueOnTime,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,trials.cue_resp.rt,trials.cue_resp.duration,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,trials.cueOffTime,trials.cueRespOnTime,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,trials.cueRespOffTime,trials.outcomeOnTime,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome_left_box.stopped,outcome_right_box.stopped,outcome.stopped,outcome_image,trials.outcomeOffTime,trials.fixOnTime,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,trials.fixOffTime,trials.all_keys.rt,trials.all_keys.duration,run_feedback.started,coins_won_text.started,run_feedback.stopped,leftover_time_break.started,fixation_end.started,fixation_end.stopped,leftover_time_break.stopped,left_box.stopped,right_box.stopped,cue_resp.stopped,all_keys.stopped,end_exp.started,end_exp.stopped,participant,handedness,practice,restart_from_run,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03543870011344552,0.040955299977213144,0.040955299977213144,43.340689999982715,j,43.29168760031462,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66666,right,no,None,2025-05-15_13h07.20.047,RL_out-of-scanner,2024.2.4,60.413323679206016,2025-05-15 13h07.32.407231 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.34098899969831,43.34861119976267,43.34861119976267,57.44907329976559,j,14.092198400292546,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66666,right,no,None,2025-05-15_13h07.20.047,RL_out-of-scanner,2024.2.4,60.413323679206016,2025-05-15 13h07.32.407231 -0500,
0,0,0,space,2.847566199954599,None,5,3.9443807997740805,None,0.00271650031208992,j,0.6729264999739826,None,None,0.700889200437814,0.7012621001340449,1.6997835002839565,1.6998209999874234,2.6999881002120674,2.7000212003476918,4.716092700138688,,,,,,,0,0,0,0,0,0,0,0,64.29803809989244,,,,,,,,,,,,,,,,57.44943739986047,57.46459379978478,57.46459379978478,60.315986400004476,space,2.847566199954599,None,60.316105499863625,60.33533899998292,60.33533899998292,64.28207379998639,5,3.9443807997740805,None,0.00271650031208992,64.28488019993529,64.29803809989244,64.29803809989244,64.29803809989244,64.29803809989244,64.98292530002072,j,0.6729264999739826,None,right,1,11,0,0,0,0,None,0.700889200437814,0.7012621001340449,64.98342259973288,64.99833850003779,64.99833850003779,65.99870869982988,65.99870869982988,65.9818704999052,1.6997835002839565,1.6998209999874234,65.9905296000652,65.99870869982988,65.99870869982988,66.9986483999528,66.9986483999528,66.98209459986538,stimuli/box_empty_transparent.png,2.6999881002120674,2.7000212003476918,66.98216830007732,66.9986483999528,69.01467699976638,68.99820159981027,4.716092700138688,,,,,,,,,,,,,,,,66666,right,no,None,2025-05-15_13h07.20.047,RL_out-of-scanner,2024.2.4,60.413323679206016,2025-05-15 13h07.32.407231 -0500,
1,0,1,space,2.847566199954599,None,5,3.9443807997740805,None,4.717553000431508,k,0.4624135000631213,None,None,5.200523300096393,5.200763600412756,6.699701700359583,6.69973950041458,7.699635300319642,7.699667300097644,9.199164200108498,,,,,,,0,0,0,0,1,0,1,0,69.01467699976638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.717553000431508,68.99971590004861,69.01467699976638,69.01467699976638,69.01467699976638,69.01467699976638,69.48258950002491,k,0.4624135000631213,None,right,1,11,1,0,1,1,None,5.200523300096393,5.200763600412756,69.48291569994763,69.49819470010698,69.49819470010698,70.99864699970931,70.99864699970931,70.98179009975865,6.699701700359583,6.69973950041458,70.99155410006642,70.99864699970931,70.99864699970931,71.99750560009852,71.99750560009852,71.98174129985273,stimuli/box_coin_transparent.png,7.699635300319642,7.699667300097644,71.98181780008599,71.99750560009852,73.4986668000929,73.48127290001139,9.199164200108498,,,,,,,,,,,,,,,,66666,right,no,None,2025-05-15_13h07.20.047,RL_out-of-scanner,2024.2.4,60.413323679206016,2025-05-15 13h07.32.407231 -0500,
2,0,2,space,2.847566199954599,None,5,3.9443807997740805,None,9.20073560019955,j,0.3679982996545732,None,None,9.60038680024445,9.600726600270718,10.599522000178695,10.599573600105941,11.599619599990547,11.599669600371271,14.599309700075537,,,,,,,0,0,0,0,2,0,2,0,73.4986668000929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.20073560019955,73.48288960009813,73.4986668000929,73.4986668000929,73.4986668000929,73.4986668000929,73.88245239993557,j,0.3679982996545732,None,right,1,11,1,0,1,1,None,9.60038680024445,9.600726600270718,73.88288139970973,73.8979295999743,73.8979295999743,74.89819339988753,74.89819339988753,74.88159970007837,10.599522000178695,10.599573600105941,74.89041360002011,74.89819339988753,74.89819339988753,75.89719810010865,75.89719810010865,75.88171420013532,stimuli/box_empty_transparent.png,11.599619599990547,11.599669600371271,75.88186109997332,75.89719810010865,78.89783519972116,78.8814149000682,14.599309700075537,,,,,,,,,,,,,,,,66666,right,no,None,2025-05-15_13h07.20.047,RL_out-of-scanner,2024.2.4,60.413323679206016,2025-05-15 13h07.32.407231 -0500,
3,0,3,space,2.847566199954599,None,5,3.9443807997740805,None,14.601031700149179,j,0.5838728998787701,None,None,15.216611300129443,15.216960200108588,17.2159072002396,17.21596320020035,18.215906400233507,18.215943400282413,19.21615740004927,,,,,,,0,0,0,0,3,0,3,0,78.89783519972116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.601031700149179,78.88318570004776,78.89783519972116,78.89783519972116,78.89783519972116,78.89783519972116,79.49864589981735,j,0.5838728998787701,None,right,1,11,1,0,1,1,None,15.216611300129443,15.216960200108588,79.49911519978195,79.51446759980172,79.51446759980172,81.51477980008349,81.51477980008349,81.49798130011186,17.2159072002396,17.21596320020035,81.50855930009857,81.51477980008349,81.51477980008349,82.51389619987458,82.51389619987458,82.49800870008767,stimuli/box_empty_transparent.png,18.215906400233507,18.215943400282413,82.49809799995273,82.51389619987458,83.51500209979713,83.4982620999217,19.21615740004927,,,,,,,,,,,,,,,,66666,right,no,None,2025-05-15_13h07.20.047,RL_out-of-scanner,2024.2.4,60.413323679206016,2025-05-15 13h07.32.407231 -0500,
4,0,4,space,2.847566199954599,None,5,3.9443807997740805,None,19.217670400161296,k,0.6385209998115897,None,None,19.883277100045234,19.883549300022423,20.88403550023213,20.884073100052774,21.882554300129414,21.88259210018441,24.381861300207675,,,,,,,0,0,0,0,4,0,4,0,83.51500209979713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.217670400161296,83.49982440005988,83.51500209979713,83.51500209979713,83.51500209979713,83.51500209979713,84.16534340009093,k,0.6385209998115897,None,right,1,11,2,0,2,2,None,19.883277100045234,19.883549300022423,84.16570740006864,84.18072699988261,84.18072699988261,85.18113149981946,85.18113149981946,85.16612310009077,20.88403550023213,20.884073100052774,85.17589689977467,85.18113149981946,85.18113149981946,86.1802717000246,86.1802717000246,86.16465790010989,stimuli/box_coin_transparent.png,21.882554300129414,21.88259210018441,86.16474839998409,86.1802717000246,88.68064989987761,88.66396779986098,24.381861300207675,,,,,,,,,,,,,,,,66666,right,no,None,2025-05-15_13h07.20.047,RL_out-of-scanner,2024.2.4,60.413323679206016,2025-05-15 13h07.32.407231 -0500,
5,0,5,space,2.847566199954599,None,5,3.9443807997740805,None,24.38369970023632,k,0.5114319999702275,None,None,24.916857100091875,24.917138000018895,28.415713200345635,28.415766700170934,29.432051100302488,29.432086900342256,31.431878100149333,,,,,,,0,0,0,0,5,0,5,0,88.68064989987761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.38369970023632,88.66585969971493,88.68064989987761,88.68064989987761,88.68064989987761,88.68064989987761,89.19892210001126,k,0.5114319999702275,None,right,1,11,3,0,3,3,None,24.916857100091875,24.917138000018895,89.19928980013356,89.21422760002315,89.21422760002315,92.71527509996668,92.71527509996668,92.69778809975833,28.415713200345635,28.415766700170934,92.70977049972862,92.71527509996668,92.71527509996668,,,93.71415349980816,stimuli/box_coin_transparent.png,29.432051100302488,29.432086900342256,93.71424099989235,93.73015199974179,95.73056669998914,95.71398389991373,31.431878100149333,,,,,,,,,,,,,,,,66666,right,no,None,2025-05-15_13h07.20.047,RL_out-of-scanner,2024.2.4,60.413323679206016,2025-05-15 13h07.32.407231 -0500,
6,0,6,space,2.847566199954599,None,5,3.9443807997740805,None,31.43336580041796,k,0.6788499001413584,None,None,32.133749100379646,32.13409600034356,33.132215100340545,33.132255100179464,34.13217100035399,34.13221439998597,35.14823320042342,,,,,,,0,0,0,0,6,0,6,0,95.73056669998914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.43336580041796,95.71551920007914,95.73056669998914,95.73056669998914,95.73056669998914,95.73056669998914,96.41581399971619,k,0.6788499001413584,None,right,1,11,4,0,4,4,None,32.133749100379646,32.13409600034356,96.41625660005957,96.4310687999241,96.4310687999241,97.4308055001311,97.4308055001311,97.4142983998172,33.132215100340545,33.132255100179464,97.42433429975063,97.4308055001311,97.4308055001311,98.43232339993119,98.43232339993119,98.41426909994334,stimuli/box_coin_transparent.png,34.13217100035399,34.13221439998597,98.41437749983743,98.43232339993119,99.4471038999036,99.4303414998576,35.14823320042342,,,,,,,,,,,,,,,,66666,right,no,None,2025-05-15_13h07.20.047,RL_out-of-scanner,2024.2.4,60.413323679206016,2025-05-15 13h07.32.407231 -0500,
7,0,7,space,2.847566199954599,None,5,3.9443807997740805,None,35.149905200116336,j,0.4874678999185562,None,None,35.66633350029588,35.66674290038645,37.66643300000578,37.666473500430584,38.66615110030398,38.666187200229615,40.665200900286436,,,,,,,0,0,0,0,7,0,7,0,99.4471038999036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.149905200116336,99.43206040002406,99.4471038999036,99.4471038999036,99.4471038999036,99.4471038999036,99.94836919987574,j,0.4874678999185562,None,right,1,11,4,0,4,4,None,35.66633350029588,35.66674290038645,99.94890259997919,99.96380529971793,99.96380529971793,101.96418899996206,101.96418899996206,101.94851969974115,37.66643300000578,37.666473500430584,101.9579628999345,101.96418899996206,101.96418899996206,102.96313179982826,102.96313179982826,102.94825509982184,stimuli/box_empty_transparent.png,38.66615110030398,38.666187200229615,102.9483405998908,102.96313179982826,104.96385459974408,104.94730569981039,40.665200900286436,,,,,,,,,,,,,,,,66666,right,no,None,2025-05-15_13h07.20.047,RL_out-of-scanner,2024.2.4,60.413323679206016,2025-05-15 13h07.32.407231 -0500,
8,0,8,space,2.847566199954599,None,5,3.9443807997740805,None,40.66705390019342,j,0.6039301999844611,None,None,41.30072870012373,41.30111050000414,44.298967000097036,44.29901510011405,45.2986624003388,45.29869520012289,46.79811430023983,,,,,,,0,0,0,0,8,0,8,0,104.96385459974408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.66705390019342,104.9492168999277,104.96385459974408,104.96385459974408,104.96385459974408,104.96385459974408,105.58279119990766,j,0.6039301999844611,None,right,1,11,4,0,4,4,None,41.30072870012373,41.30111050000414,105.58326420001686,105.59775430010632,105.59775430010632,108.59723359998316,108.59723359998316,108.58104680012912,44.298967000097036,44.29901510011405,108.58989579975605,108.59723359998316,108.59723359998316,109.59699130011722,109.59699130011722,109.58076869975775,stimuli/box_empty_transparent.png,45.2986624003388,45.29869520012289,109.58084610011429,109.59699130011722,111.09683919977397,111.0802166997455,46.79811430023983,,,,,,,,,,,,,,,,66666,right,no,None,2025-05-15_13h07.20.047,RL_out-of-scanner,2024.2.4,60.413323679206016,2025-05-15 13h07.32.407231 -0500,
9,0,9,space,2.847566199954599,None,5,3.9443807997740805,None,46.799882100429386,k,0.8546998999081552,None,None,47.68257740000263,47.68284000037238,49.18169290013611,49.18173080030829,50.181721300352365,50.18175860028714,52.18145200004801,,,,,,,0,0,0,0,9,0,9,0,111.09683919977397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.799882100429386,111.08204319979995,111.09683919977397,111.09683919977397,111.09683919977397,111.09683919977397,111.96462590014562,k,0.8546998999081552,None,right,1,11,5,0,5,5,None,47.68257740000263,47.68284000037238,111.96499239979312,111.97997789969668,111.97997789969668,113.48057379992679,113.48057379992679,113.46378100011498,49.18169290013611,49.18173080030829,113.47404540004209,113.48057379992679,113.48057379992679,114.48039310006425,114.48039310006425,114.46382399974391,stimuli/box_coin_transparent.png,50.181721300352365,50.18175860028714,114.46391479996964,114.48039310006425,116.48023479990661,116.46355650015175,52.18145200004801,,,,,,,,,,,,,,,,66666,right,no,None,2025-05-15_13h07.20.047,RL_out-of-scanner,2024.2.4,60.413323679206016,2025-05-15 13h07.32.407231 -0500,
10,0,10,space,2.847566199954599,None,5,3.9443807997740805,None,52.18322530016303,k,0.6869782996363938,None,None,52.898786700330675,52.899044500198215,54.39864520030096,54.398684800136834,55.3983520003967,55.3983892002143,56.39763670042157,,,,,,,0,0,0,0,10,0,10,0,116.48023479990661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.18322530016303,116.46539339981973,116.48023479990661,116.48023479990661,116.48023479990661,116.48023479990661,117.18085280014202,k,0.6869782996363938,None,right,1,11,6,0,6,6,None,52.898786700330675,52.899044500198215,117.18119599996135,117.19659649999812,117.19659649999812,118.69687879970297,118.69687879970297,118.68073350004852,54.39864520030096,54.398684800136834,118.69067819975317,118.69687879970297,118.69687879970297,119.69593659974635,119.69593659974635,119.6804549000226,stimuli/box_coin_transparent.png,55.3983520003967,55.3983892002143,119.68054569978267,119.69593659974635,120.69631629996002,120.6797453998588,56.39763670042157,,,,,,,,,,,,,,,,66666,right,no,None,2025-05-15_13h07.20.047,RL_out-of-scanner,2024.2.4,60.413323679206016,2025-05-15 13h07.32.407231 -0500,
