thisN,thisTrialN,thisRepN,advance_press.keys,advance_press.rt,advance_press.duration,trigger_value.keys,trigger_value.rt,trigger_value.duration,cueOnTime,cue_resp.keys,cue_resp.rt,cue_resp.duration,all_keys.keys,cueOffTime,cueRespOnTime,cueRespOffTime,outcomeOnTime,outcomeOffTime,fixOnTime,fixOffTime,all_keys.rt,all_keys.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,summary_instructions.started,summary_text.started,advance_to_runs.started,summary_instructions.stopped,advance_to_runs.keys,advance_to_runs.rt,advance_to_runs.duration,get_ready.started,get_ready_text.started,advance_press.started,get_ready.stopped,runs.advance_press.keys,runs.advance_press.rt,runs.advance_press.duration,scanner_trigger.started,scanner_text.started,trigger_value.started,scanner_trigger.stopped,runs.trigger_value.keys,runs.trigger_value.rt,runs.trigger_value.duration,trials.cueOnTime,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,trials.cue_resp.rt,trials.cue_resp.duration,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,trials.cueOffTime,trials.cueRespOnTime,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,trials.cueRespOffTime,trials.outcomeOnTime,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome_left_box.stopped,outcome_right_box.stopped,outcome.stopped,outcome_image,trials.outcomeOffTime,trials.fixOnTime,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,trials.fixOffTime,left_box.stopped,right_box.stopped,cue_resp.stopped,all_keys.stopped,trials.all_keys.rt,trials.all_keys.duration,run_feedback.started,coins_won_text.started,run_feedback.stopped,leftover_time_break.started,fixation_end.started,fixation_end.stopped,leftover_time_break.stopped,end_exp.started,end_exp.stopped,participant,handedness,practice,restart_from_run,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028557700105011463,0.03394039999693632,0.03394039999693632,1.6112867998890579,j,1.5637417999096215,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666666,right,no,None,2025-05-15_13h24.35.722,RL_out-of-scanner,2024.2.4,59.30051485029988,2025-05-15 13h24.49.402690 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6116070002317429,1.6204253998585045,1.6204253998585045,2.555288600269705,j,0.9198059998452663,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666666,right,no,None,2025-05-15_13h24.35.722,RL_out-of-scanner,2024.2.4,59.30051485029988,2025-05-15 13h24.49.402690 -0500,
0,0,0,space,2.228210600093007,None,5,2.2503076000139117,None,0.0020384001545608044,j,0.4145896998234093,None,None,0.43368390016257763,0.4340078001841903,1.4328124998137355,1.4328537001274526,2.431985800154507,2.4320300999097526,4.435102200135589,,,,,,,0,0,0,0,0,0,0,0,7.086472699884325,,,,,,,,,,,,,,,,2.555684400256723,2.569476000033319,2.569476000033319,4.8040697001852095,space,2.228210600093007,None,4.804148899856955,4.819669300224632,4.819669300224632,7.071394300088286,5,2.2503076000139117,None,0.0020384001545608044,7.073503100313246,7.086472699884325,7.086472699884325,7.086472699884325,7.086472699884325,7.5050611002370715,j,0.4145896998234093,None,right,1,15,0,0,0,0,None,0.43368390016257763,0.4340078001841903,7.505470899865031,7.52008940000087,7.52008940000087,8.520174500066787,8.520174500066787,8.504203900229186,1.4328124998137355,1.4328537001274526,8.512476000003517,8.520174500066787,8.520174500066787,9.51895170006901,9.51895170006901,9.503396600019187,stimuli/box_empty_transparent.png,2.431985800154507,2.4320300999097526,9.503499700222164,9.51895170006901,11.520003400277346,11.506522400304675,4.435102200135589,,,,,,,,,,,,,,,,666666,right,no,None,2025-05-15_13h24.35.722,RL_out-of-scanner,2024.2.4,59.30051485029988,2025-05-15 13h24.49.402690 -0500,
1,0,1,space,2.228210600093007,None,5,2.2503076000139117,None,4.4366235001944005,j,0.5447907000780106,None,None,5.00006219977513,5.000442800112069,6.499169200193137,6.499208000022918,7.498605899978429,7.498637500219047,8.998977200128138,,,,,,,0,0,0,0,1,0,1,0,11.520003400277346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4366235001944005,11.508091200143099,11.520003400277346,11.520003400277346,11.520003400277346,11.520003400277346,12.071439300198108,j,0.5447907000780106,None,right,1,15,0,0,0,0,None,5.00006219977513,5.000442800112069,12.071906500030309,12.085988500155509,12.085988500155509,13.586341199930757,13.586341199930757,13.570569000206888,6.499169200193137,6.499208000022918,13.579134600237012,13.586341199930757,13.586341199930757,14.585728500038385,14.585728500038385,14.57002460025251,stimuli/box_empty_transparent.png,7.498605899978429,7.498637500219047,14.570097499992698,14.585728500038385,16.08651200029999,16.07039160002023,8.998977200128138,,,,,,,,,,,,,,,,666666,right,no,None,2025-05-15_13h24.35.722,RL_out-of-scanner,2024.2.4,59.30051485029988,2025-05-15 13h24.49.402690 -0500,
2,0,2,space,2.228210600093007,None,5,2.2503076000139117,None,9.001026399899274,k,0.29989170003682375,None,None,9.317413200158626,9.31773279979825,10.315012999810278,10.315059599932283,11.31513290014118,11.31516239978373,14.3159676999785,,,,,,,0,0,0,0,2,0,2,0,16.08651200029999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.001026399899274,16.072505100164562,16.08651200029999,16.08651200029999,16.08651200029999,16.08651200029999,16.388765800278634,k,0.29989170003682375,None,right,1,15,1,0,1,1,None,9.317413200158626,9.31773279979825,16.389200900215656,16.40275050001219,16.40275050001219,17.406205399893224,17.406205399893224,17.386385300196707,10.315012999810278,10.315059599932283,17.39760150015354,17.406205399893224,17.406205399893224,,,18.386548600159585,stimuli/box_coin_transparent.png,11.31513290014118,11.31516239978373,18.38662389991805,18.403635300230235,21.403942300006747,21.387388300150633,14.3159676999785,,,,,,,,,,,,,,,,666666,right,no,None,2025-05-15_13h24.35.722,RL_out-of-scanner,2024.2.4,59.30051485029988,2025-05-15 13h24.49.402690 -0500,
3,0,3,space,2.228210600093007,None,5,2.2503076000139117,None,14.317466800101101,k,0.28646319964900613,None,None,14.632114899810404,14.63237199978903,16.648089999798685,16.64812850020826,17.64875470008701,17.648790900129825,18.64793850015849,,,,,,,0,0,0,0,3,0,3,0,21.403942300006747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.317466800101101,21.388931199908257,21.403942300006747,21.403942300006747,21.403942300006747,21.403942300006747,21.703492400236428,k,0.28646319964900613,None,right,1,15,2,0,2,2,None,14.632114899810404,14.63237199978903,21.70383460028097,21.720399199984968,21.720399199984968,23.736028800252825,23.736028800252825,23.719489899929613,16.648089999798685,16.64812850020826,23.729787500109524,23.736028800252825,23.736028800252825,,,24.720166200306267,stimuli/box_coin_transparent.png,17.64875470008701,17.648790900129825,24.720258300192654,24.735520199872553,25.736472900025547,25.719354799948633,18.64793850015849,,,,,,,,,,,,,,,,666666,right,no,None,2025-05-15_13h24.35.722,RL_out-of-scanner,2024.2.4,59.30051485029988,2025-05-15 13h24.49.402690 -0500,
4,0,4,space,2.228210600093007,None,5,2.2503076000139117,None,18.649481600150466,k,0.6385095003060997,None,None,19.315329699777067,19.315623399801552,20.316240299958736,20.316279800143093,21.31575459986925,21.31578810000792,23.81468529999256,,,,,,,0,0,0,0,4,0,4,0,25.736472900025547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.649481600150466,25.720956100150943,25.736472900025547,25.736472900025547,25.736472900025547,25.736472900025547,26.38669259985909,k,0.6385095003060997,None,right,1,15,3,0,3,3,None,19.315329699777067,19.315623399801552,26.387092399876565,26.402392300311476,26.402392300311476,27.402837600093335,27.402837600093335,27.38763920031488,20.316240299958736,20.316279800143093,27.39773239986971,27.402837600093335,27.402837600093335,28.402677100151777,28.402677100151777,28.38717250013724,stimuli/box_coin_transparent.png,21.31575459986925,21.31578810000792,28.38724819989875,28.402677100151777,30.903158800210804,30.88610460003838,23.81468529999256,,,,,,,,,,,,,,,,666666,right,no,None,2025-05-15_13h24.35.722,RL_out-of-scanner,2024.2.4,59.30051485029988,2025-05-15 13h24.49.402690 -0500,
5,0,5,space,2.228210600093007,None,5,2.2503076000139117,None,23.816226900089532,k,0.33604070032015443,None,None,24.18315939977765,24.18342040013522,27.698672799859196,27.698709699790925,28.698348300065845,28.6983827999793,30.713886300101876,,,,,,,0,0,0,0,5,0,5,0,30.903158800210804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.816226900089532,30.887702899985015,30.903158800210804,30.903158800210804,30.903158800210804,30.903158800210804,31.254538299981505,k,0.33604070032015443,None,right,0,15,3,0,4,3,None,24.18315939977765,24.18342040013522,31.2548830001615,31.27024370012805,31.27024370012805,34.78604710008949,34.78604710008949,34.77007059985772,27.698672799859196,27.698709699790925,34.77814309997484,34.78604710008949,34.78604710008949,35.786086400039494,35.786086400039494,35.769761600065976,stimuli/box_empty_transparent.png,28.698348300065845,28.6983827999793,35.76984680024907,35.786086400039494,37.80180429993197,37.78530490025878,30.713886300101876,,,,,,,,,,,,,,,,666666,right,no,None,2025-05-15_13h24.35.722,RL_out-of-scanner,2024.2.4,59.30051485029988,2025-05-15 13h24.49.402690 -0500,
6,0,6,space,2.228210600093007,None,5,2.2503076000139117,None,30.715596899855882,j,0.8494571996852756,None,None,31.581960699986666,31.582322500180453,32.58119609998539,32.58123270003125,33.58114610007033,33.58118399977684,34.581491199787706,,,,,,,0,0,0,0,6,0,6,0,37.80180429993197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.715596899855882,37.78706610016525,37.80180429993197,37.80180429993197,37.80180429993197,37.80180429993197,38.65332330018282,j,0.8494571996852756,None,right,0,15,3,0,4,3,None,31.581960699986666,31.582322500180453,38.65379220014438,38.66856179991737,38.66856179991737,39.668946700170636,39.668946700170636,39.65259870002046,32.58119609998539,32.58123270003125,39.66204580012709,39.668946700170636,39.668946700170636,40.66807000013068,40.66807000013068,40.65255969995633,stimuli/box_empty_transparent.png,33.58114610007033,33.58118399977684,40.65265090018511,40.66807000013068,41.66930369986221,41.65290730027482,34.581491199787706,,,,,,,,,,,,,,,,666666,right,no,None,2025-05-15_13h24.35.722,RL_out-of-scanner,2024.2.4,59.30051485029988,2025-05-15 13h24.49.402690 -0500,
7,0,7,space,2.228210600093007,None,5,2.2503076000139117,None,34.58324349997565,j,1.1260286001488566,None,None,35.734874200075865,35.735214999876916,37.731734400149435,37.73177930014208,38.73172579985112,38.731756899971515,40.73161649983376,,,,,,,0,0,0,0,7,0,7,0,41.66930369986221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.58324349997565,41.65471399994567,41.66930369986221,41.66930369986221,41.66930369986221,41.66930369986221,42.80624180007726,j,1.1260286001488566,None,right,0,15,3,0,4,3,None,35.734874200075865,35.735214999876916,42.806677400134504,42.81943170027807,42.81943170027807,44.81877520028502,44.81877520028502,44.803123800083995,37.731734400149435,37.73177930014208,44.811635500285774,44.81877520028502,44.81877520028502,45.81926729995757,45.81926729995757,45.80314340023324,stimuli/box_empty_transparent.png,38.73172579985112,38.731756899971515,45.803215799853206,45.81926729995757,47.81912630004808,47.8030325002037,40.73161649983376,,,,,,,,,,,,,,,,666666,right,no,None,2025-05-15_13h24.35.722,RL_out-of-scanner,2024.2.4,59.30051485029988,2025-05-15 13h24.49.402690 -0500,
