thisN,thisTrialN,thisRepN,find_box_press.keys,find_box_press.rt,find_box_press.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue_resp_switch.keys,cue_resp_switch.rt,cue_resp_switch.duration,pointer_press.keys,pointer_press.rt,pointer_press.duration,cue_resp.keys,cue_resp.rt,cue_resp.duration,all_keys.keys,restart_key.keys,restart_key.rt,restart_key.duration,restart_both.thisRepN,restart_both.thisTrialN,restart_both.thisN,restart_both.thisIndex,find_magic_box_loop.thisRepN,find_magic_box_loop.thisTrialN,find_magic_box_loop.thisN,find_magic_box_loop.thisIndex,switch_side_loop.thisRepN,switch_side_loop.thisTrialN,switch_side_loop.thisN,switch_side_loop.thisIndex,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,first_box.started,show_stimuli.started,stimuli_text.started,key_resp.started,first_box.stopped,key_resp.keys,key_resp.rt,key_resp.duration,first_coin.started,first_coin_img.started,magic_coin_text.started,first_coin_img.stopped,magic_coin_text.stopped,first_coin.stopped,prac_both_instructions.started,prac_both_text.started,key_resp_2.started,prac_both_instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,prac_both.started,prac_left_2.started,prac_right_2.started,find_box_press.started,prac_both.stopped,find_magic_box_loop.find_box_press.keys,find_magic_box_loop.find_box_press.rt,find_magic_box_loop.find_box_press.duration,prac_both_selec.started,left_box_lr.started,right_box_lr.started,prac_both_selec.stopped,prac_both_out.started,prac_left_box.started,prac_right_box.started,prac_both_out.stopped,fix_both.started,fix_text.started,fix_text.stopped,fix_both.stopped,left_box_lr.stopped,right_box_lr.stopped,prac_left_box.stopped,prac_right_box.stopped,saw_reward.started,restart_proceed_text.started,key_resp_3.started,saw_reward.stopped,restart_both.key_resp_3.keys,restart_both.key_resp_3.rt,restart_both.key_resp_3.duration,switch_cue.started,left_box_switch.started,right_box_switch.started,cue_resp_switch.started,switch_cue.stopped,switch_side_loop.cue_resp_switch.keys,switch_side_loop.cue_resp_switch.rt,switch_side_loop.cue_resp_switch.duration,switch_select.started,left_switch_selec.started,right_switch_selec.started,left_switch_selec.stopped,right_switch_selec.stopped,switch_select.stopped,switch_out.started,left_box_switch_out.started,right_box_switch_out.started,left_box_switch_out.stopped,right_box_switch_out.stopped,switch_out.stopped,no_coin_instruc.started,summary_text.started,pointer_press.started,no_coin_instruc.stopped,pracLoop.pointer_press.keys,pracLoop.pointer_press.rt,pracLoop.pointer_press.duration,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,trials.cue_resp.rt,trials.cue_resp.duration,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome_left_box.stopped,outcome_right_box.stopped,outcome.stopped,outcome_image,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,left_box.stopped,right_box.stopped,cue_resp.stopped,all_keys.stopped,run_feedback.started,coins_won_text.started,run_feedback.stopped,understanding_check.started,restart_key.started,understanding_check.stopped,pracLoop.restart_key.keys,pracLoop.restart_key.rt,pracLoop.restart_key.duration,participant,handedness,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018397700041532516,0.023829299956560135,0.023829299956560135,48.34301559999585,j,48.30663280002773,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66666,right,2025-05-15_13h01.24.633,RL_practice,2024.2.4,58.437429842235915,2025-05-15 13h01.40.478259 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.34309470001608,48.35187799995765,48.35187799995765,48.35187799995765,58.137049899902195,j,9.777170700021088,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66666,right,2025-05-15_13h01.24.633,RL_practice,2024.2.4,58.437429842235915,2025-05-15 13h01.40.478259 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.13710239995271,58.15182829974219,58.15182829974219,60.65254449984059,60.65254449984059,60.63592279981822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66666,right,2025-05-15_13h01.24.633,RL_practice,2024.2.4,58.437429842235915,2025-05-15 13h01.40.478259 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.63596779992804,60.65254449984059,60.65254449984059,77.60310789989308,j,16.949276099912822,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66666,right,2025-05-15_13h01.24.633,RL_practice,2024.2.4,58.437429842235915,2025-05-15 13h01.40.478259 -0500,
0,0,0,j,2.8096373002044857,None,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,77.61826060013846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.60372109990567,77.61826060013846,77.61826060013846,77.61826060013846,80.43604549998417,j,2.8096373002044857,None,80.43850659998134,80.45236410014331,80.45236410014331,81.95185060007498,81.96218279981986,81.96922429976985,81.96922429976985,82.95170229999349,82.95175170013681,82.96766990004107,84.9674725998193,84.9507961999625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66666,right,2025-05-15_13h01.24.633,RL_practice,2024.2.4,58.437429842235915,2025-05-15 13h01.40.478259 -0500,
1,0,1,j,1.3752326997928321,None,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,84.9674725998193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.95096469996497,84.9674725998193,84.9674725998193,84.9674725998193,86.35175519995391,j,1.3752326997928321,None,86.35401429980993,86.36756209982559,86.36756209982559,87.8518606997095,87.86158249992877,87.86797749996185,87.86797749996185,88.85230199992657,88.85234439978376,88.86759799998254,89.86816440010443,89.85160499997437,87.86797749996185,87.86797749996185,88.86759799998254,88.86759799998254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66666,right,2025-05-15_13h01.24.633,RL_practice,2024.2.4,58.437429842235915,2025-05-15 13h01.40.478259 -0500,
2,0,2,j,1.3348569003865123,None,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,89.86816440010443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.85178950009868,89.86816440010443,89.86816440010443,89.86816440010443,91.21821379987523,j,1.3348569003865123,None,91.22145009972155,91.23406750010327,91.23406750010327,92.71851529972628,92.72853149985895,92.73445660015568,92.73445660015568,93.71875589992851,93.71879839990288,93.73436480015516,94.73508960008621,94.71888179983944,92.73445660015568,92.73445660015568,93.73436480015516,93.73436480015516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66666,right,2025-05-15_13h01.24.633,RL_practice,2024.2.4,58.437429842235915,2025-05-15 13h01.40.478259 -0500,
3,0,3,j,0.7009638999588788,None,,,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,94.73508960008621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.71907360013574,94.73508960008621,94.73508960008621,94.73508960008621,95.45251420000568,j,0.7009638999588788,None,95.45462659979239,95.46844290010631,95.46844290010631,96.96726660011336,96.97775739990175,96.98414970003068,96.98414970003068,97.96791790006682,97.96797369979322,97.98504619998857,100.000837800093,99.98398400004953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66666,right,2025-05-15_13h01.24.633,RL_practice,2024.2.4,58.437429842235915,2025-05-15 13h01.40.478259 -0500,
4,0,4,k,0.5144392000511289,None,,,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,100.000837800093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.98422939982265,100.000837800093,100.000837800093,100.000837800093,100.51921899989247,k,0.5144392000511289,None,100.52157370001078,100.5346355997026,100.5346355997026,102.0174297997728,102.02636680006981,102.03410620009527,102.03410620009527,103.01804250013083,103.01808589976281,103.03384889988229,105.03317679977044,105.01779119996354,102.03410620009527,102.03410620009527,103.03384889988229,103.03384889988229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66666,right,2025-05-15_13h01.24.633,RL_practice,2024.2.4,58.437429842235915,2025-05-15 13h01.40.478259 -0500,
0,0,0,,,,j,9.283337000291795,None,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.02602030010894,105.03317679977044,105.03317679977044,114.3179496997036,j,9.283337000291795,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66666,right,2025-05-15_13h01.24.633,RL_practice,2024.2.4,58.437429842235915,2025-05-15 13h01.40.478259 -0500,
