thisN,thisTrialN,thisRepN,find_box_press.keys,find_box_press.rt,find_box_press.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue_resp_switch.keys,cue_resp_switch.rt,cue_resp_switch.duration,pointer_press.keys,pointer_press.rt,pointer_press.duration,cue_resp.keys,cue_resp.rt,cue_resp.duration,all_keys.keys,restart_key.keys,restart_key.rt,restart_key.duration,restart_both.thisRepN,restart_both.thisTrialN,restart_both.thisN,restart_both.thisIndex,find_magic_box_loop.thisRepN,find_magic_box_loop.thisTrialN,find_magic_box_loop.thisN,find_magic_box_loop.thisIndex,switch_side_loop.thisRepN,switch_side_loop.thisTrialN,switch_side_loop.thisN,switch_side_loop.thisIndex,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,first_box.started,show_stimuli.started,stimuli_text.started,key_resp.started,first_box.stopped,key_resp.keys,key_resp.rt,key_resp.duration,first_coin.started,first_coin_img.started,magic_coin_text.started,first_coin_img.stopped,magic_coin_text.stopped,first_coin.stopped,prac_both_instructions.started,prac_both_text.started,key_resp_2.started,prac_both_instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,prac_both.started,prac_left_2.started,prac_right_2.started,find_box_press.started,prac_both.stopped,find_magic_box_loop.find_box_press.keys,find_magic_box_loop.find_box_press.rt,find_magic_box_loop.find_box_press.duration,prac_both_selec.started,left_box_lr.started,right_box_lr.started,left_box_lr.stopped,right_box_lr.stopped,prac_both_selec.stopped,prac_both_out.started,prac_left_box.started,prac_right_box.started,prac_left_box.stopped,prac_right_box.stopped,prac_both_out.stopped,fix_both.started,fix_text.started,fix_text.stopped,fix_both.stopped,saw_reward.started,restart_proceed_text.started,key_resp_3.started,saw_reward.stopped,restart_both.key_resp_3.keys,restart_both.key_resp_3.rt,restart_both.key_resp_3.duration,switch_cue.started,left_box_switch.started,right_box_switch.started,cue_resp_switch.started,switch_cue.stopped,switch_side_loop.cue_resp_switch.keys,switch_side_loop.cue_resp_switch.rt,switch_side_loop.cue_resp_switch.duration,switch_select.started,left_switch_selec.started,right_switch_selec.started,left_switch_selec.stopped,right_switch_selec.stopped,switch_select.stopped,switch_out.started,left_box_switch_out.started,right_box_switch_out.started,left_box_switch_out.stopped,right_box_switch_out.stopped,switch_out.stopped,no_coin_instruc.started,summary_text.started,pointer_press.started,no_coin_instruc.stopped,pracLoop.pointer_press.keys,pracLoop.pointer_press.rt,pracLoop.pointer_press.duration,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,trials.cue_resp.rt,trials.cue_resp.duration,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome_left_box.stopped,outcome_right_box.stopped,outcome.stopped,outcome_image,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,run_feedback.started,coins_won_text.started,coins_won_text.stopped,run_feedback.stopped,understanding_check.started,restart_key.started,understanding_check.stopped,pracLoop.restart_key.keys,pracLoop.restart_key.rt,pracLoop.restart_key.duration,participant,handedness,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019633599556982517,0.025655299425125122,0.025655299425125122,48.45322259981185,j,48.404013600200415,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77777,right,2025-05-21_13h05.55.290,RL_practice,2024.2.4,60.51653258881378,2025-05-21 13h06.46.382275 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.45329419989139,48.46129409968853,48.46129409968853,48.46129409968853,55.17744829971343,j,6.714747200720012,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77777,right,2025-05-21_13h05.55.290,RL_practice,2024.2.4,60.51653258881378,2025-05-21 13h06.46.382275 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.177498299628496,55.193145900033414,55.193145900033414,57.69331240002066,57.69331240002066,57.67739989981055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77777,right,2025-05-21_13h05.55.290,RL_practice,2024.2.4,60.51653258881378,2025-05-21 13h06.46.382275 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.67745309974998,57.69331240002066,57.69331240002066,75.99294269923121,j,18.2845708001405,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77777,right,2025-05-21_13h05.55.290,RL_practice,2024.2.4,60.51653258881378,2025-05-21 13h06.46.382275 -0500,
0,0,0,j,1.2906906995922327,None,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,76.00902359932661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.99544809944928,76.00902359932661,76.00902359932661,76.00902359932661,77.30994789954275,j,1.2906906995922327,None,77.31182809919119,77.32602469995618,77.32602469995618,78.82640089932829,78.82640089932829,78.80983879975975,78.8194399997592,78.82640089932829,78.82640089932829,79.82520759943873,79.82520759943873,79.80933929979801,79.80937869939953,79.82520759943873,81.32551649957895,81.30891519971192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77777,right,2025-05-21_13h05.55.290,RL_practice,2024.2.4,60.51653258881378,2025-05-21 13h06.46.382275 -0500,
1,0,1,k,1.4681581007316709,None,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,81.32551649957895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.30910269916058,81.32551649957895,81.32551649957895,81.32551649957895,82.80990489944816,k,1.4681581007316709,None,82.81163499969989,82.82578529976308,82.82578529976308,84.32599039934576,84.32599039934576,84.3095619995147,84.3183731995523,84.32599039934576,84.32599039934576,85.32501719985157,85.32501719985157,85.3094775993377,85.30953949969262,85.32501719985157,88.32527819927782,88.30875859968364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77777,right,2025-05-21_13h05.55.290,RL_practice,2024.2.4,60.51653258881378,2025-05-21 13h06.46.382275 -0500,
2,0,2,j,0.49116440024226904,None,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,88.32527819927782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.30893449950963,88.32527819927782,88.32527819927782,88.32527819927782,88.82641279976815,j,0.49116440024226904,None,88.82903029955924,88.84217879921198,88.84217879921198,90.3432949995622,90.3432949995622,90.32612299919128,90.3375734994188,90.3432949995622,90.3432949995622,,,91.34241259936243,91.34246249962598,91.35855039954185,93.85855619981885,93.84203269984573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77777,right,2025-05-21_13h05.55.290,RL_practice,2024.2.4,60.51653258881378,2025-05-21 13h06.46.382275 -0500,
3,0,3,j,0.46489529963582754,None,,,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,93.85855619981885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.84223039913923,93.85855619981885,93.85855619981885,93.85855619981885,94.32625399995595,j,0.46489529963582754,None,94.3286147993058,94.34229859989136,94.34229859989136,95.84251909982413,95.84251909982413,95.82568580005318,95.83503199927509,95.84251909982413,95.84251909982413,96.8414546996355,96.8414546996355,96.82550009991974,96.82554390002042,96.8414546996355,98.84182379953563,98.82527259923518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77777,right,2025-05-21_13h05.55.290,RL_practice,2024.2.4,60.51653258881378,2025-05-21 13h06.46.382275 -0500,
4,0,4,j,0.5829496001824737,None,,,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,98.84182379953563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.82543419953436,98.84182379953563,98.84182379953563,98.84182379953563,99.42602559924126,j,0.5829496001824737,None,99.42858079914004,99.44172819983214,99.44172819983214,100.94244229979813,100.94244229979813,100.92536689992994,100.93509409949183,100.94244229979813,100.94244229979813,101.94137889984995,101.94137889984995,101.92551089916378,101.92555839940906,101.94137889984995,103.46174469962716,103.42527209967375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77777,right,2025-05-21_13h05.55.290,RL_practice,2024.2.4,60.51653258881378,2025-05-21 13h06.46.382275 -0500,
0,0,0,,,,j,6.335074500180781,None,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.45659199915826,103.46174469962716,103.46174469962716,109.79812859930098,j,6.335074500180781,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77777,right,2025-05-21_13h05.55.290,RL_practice,2024.2.4,60.51653258881378,2025-05-21 13h06.46.382275 -0500,
