thisN,thisTrialN,thisRepN,advance_press.keys,advance_press.rt,advance_press.duration,trigger_value.keys,trigger_value.rt,trigger_value.duration,cueOnTime,cue_resp.keys,cue_resp.rt,cue_resp.duration,all_keys.keys,cueOffTime,cueRespOnTime,cueRespOffTime,outcomeOnTime,outcomeOffTime,fixOnTime,fixOffTime,all_keys.rt,all_keys.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,summary_instructions.started,summary_text.started,advance_to_runs.started,summary_instructions.stopped,advance_to_runs.keys,advance_to_runs.rt,advance_to_runs.duration,get_ready.started,get_ready_text.started,advance_press.started,get_ready.stopped,runs.advance_press.keys,runs.advance_press.rt,runs.advance_press.duration,scanner_trigger.started,scanner_text.started,trigger_value.started,scanner_trigger.stopped,runs.trigger_value.keys,runs.trigger_value.rt,runs.trigger_value.duration,trials.cueOnTime,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,trials.cue_resp.rt,trials.cue_resp.duration,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,trials.cueOffTime,trials.cueRespOnTime,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,trials.cueRespOffTime,trials.outcomeOnTime,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome_left_box.stopped,outcome_right_box.stopped,outcome.stopped,outcome_image,trials.outcomeOffTime,trials.fixOnTime,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,trials.fixOffTime,trials.all_keys.rt,trials.all_keys.duration,left_box.stopped,right_box.stopped,cue_resp.stopped,all_keys.stopped,run_feedback.started,coins_won_text.started,run_feedback.stopped,leftover_time_break.started,fixation_end.started,fixation_end.stopped,leftover_time_break.stopped,end_exp.started,end_exp.stopped,participant,handedness,practice,restart_from_run,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041709900833666325,0.048472000285983086,0.048472000285983086,48.50231960043311,j,48.44344539940357,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999,right,no,None,2025-05-21_17h30.01.425,RL_out-of-scanner,2024.2.4,59.69792846138299,2025-05-21 17h30.17.354836 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.502683999948204,48.51151170022786,48.51151170022786,64.17964850086719,j,15.665397100150585,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999,right,no,None,2025-05-21_17h30.01.425,RL_out-of-scanner,2024.2.4,59.69792846138299,2025-05-21 17h30.17.354836 -0500,
0,0,0,space,3.623589500784874,None,5,3.0632549999281764,None,0.0027740998193621635,j,1.027628400363028,None,None,1.0521633997559547,1.052531300112605,2.0512704998254776,2.051307199522853,3.050012099556625,3.05004969984293,5.050092999823391,,,,,,,0,0,0,0,0,0,0,0,70.92762720026076,,,,,,,,,,,,,,,,64.1800196999684,64.19497710000724,64.19497710000724,67.82810250017792,space,3.623589500784874,None,67.82820040080696,67.84383860044181,67.84383860044181,70.91131060011685,5,3.0632549999281764,None,0.0027740998193621635,70.91417720075697,70.92762720026076,70.92762720026076,70.92762720026076,70.92762720026076,71.96347300056368,j,1.027628400363028,None,right,1,15,0,0,0,0,None,1.0521633997559547,1.052531300112605,71.96393180079758,71.97910160012543,71.97910160012543,72.97776480019093,72.97776480019093,72.9626027001068,2.0512704998254776,2.051307199522853,72.97136520035565,72.97776480019093,72.97776480019093,73.97723540011793,73.97723540011793,73.96136250067502,stimuli/box_empty_transparent.png,3.050012099556625,3.05004969984293,73.96144850086421,73.97723540011793,75.97864790074527,75.96144820004702,5.050092999823391,,,,,,,,,,,,,,,,99999,right,no,None,2025-05-21_17h30.01.425,RL_out-of-scanner,2024.2.4,59.69792846138299,2025-05-21 17h30.17.354836 -0500,
1,0,1,space,3.623589500784874,None,5,3.0632549999281764,None,5.051594300195575,k,0.267323300242424,None,None,5.351677999831736,5.35203249938786,6.85086299944669,6.850903400219977,7.850682099349797,7.8507137997075915,9.349335099570453,,,,,,,0,0,0,0,1,0,1,0,75.97864790074527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.051594300195575,75.96299410052598,75.97864790074527,75.97864790074527,75.97864790074527,75.97864790074527,76.26297720056027,k,0.267323300242424,None,right,1,15,1,0,1,1,None,5.351677999831736,5.35203249938786,76.263437400572,76.27829240076244,76.27829240076244,77.77855490054935,77.77855490054935,77.76219410076737,6.85086299944669,6.850903400219977,77.77202330064029,77.77855490054935,77.77855490054935,78.77736620046198,78.77736620046198,78.76203430071473,stimuli/box_coin_transparent.png,7.850682099349797,7.8507137997075915,78.76210980024189,78.77736620046198,80.27738350071013,80.26069100014865,9.349335099570453,,,,,,,,,,,,,,,,99999,right,no,None,2025-05-21_17h30.01.425,RL_out-of-scanner,2024.2.4,59.69792846138299,2025-05-21 17h30.17.354836 -0500,
2,0,2,space,3.623589500784874,None,5,3.0632549999281764,None,9.350804699584842,k,0.23681090027093887,None,None,9.617573499679565,9.61796289961785,10.617688999511302,10.617727499455214,11.61804929934442,11.618084199726582,14.616108699701726,,,,,,,0,0,0,0,2,0,2,0,80.27738350071013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.350804699584842,80.2622059006244,80.27738350071013,80.27738350071013,80.27738350071013,80.27738350071013,80.52888530027121,k,0.23681090027093887,None,right,1,15,2,0,2,2,None,9.617573499679565,9.61796289961785,80.52936980035156,80.5441367002204,80.5441367002204,81.54522800073028,81.54522800073028,81.52902180049568,10.617688999511302,10.617727499455214,81.54015390016139,81.54522800073028,81.54522800073028,82.5444927001372,82.5444927001372,82.52939940057695,stimuli/box_coin_transparent.png,11.61804929934442,11.618084199726582,82.5294828005135,82.5444927001372,85.54365200083703,85.52745970059186,14.616108699701726,,,,,,,,,,,,,,,,99999,right,no,None,2025-05-21_17h30.01.425,RL_out-of-scanner,2024.2.4,59.69792846138299,2025-05-21 17h30.17.354836 -0500,
3,0,3,space,3.623589500784874,None,5,3.0632549999281764,None,14.617854500189424,j,0.3660920998081565,None,None,15.00030570011586,15.00062569975853,17.000505600124598,17.000543899834156,18.0003309994936,18.000361999496818,19.000193399377167,,,,,,,0,0,0,0,3,0,3,0,85.54365200083703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.617854500189424,85.5292621999979,85.54365200083703,85.54365200083703,85.54365200083703,85.54365200083703,85.91161770001054,j,0.3660920998081565,None,right,1,15,2,0,2,2,None,15.00030570011586,15.00062569975853,85.91202690079808,85.92727750074118,85.92727750074118,87.92839860077947,87.92839860077947,87.91183920018375,17.000505600124598,17.000543899834156,87.92013800051063,87.92839860077947,87.92839860077947,88.9279750008136,88.9279750008136,88.91168420016766,stimuli/box_empty_transparent.png,18.0003309994936,18.000361999496818,88.91175680048764,88.9279750008136,89.9320756001398,89.91154960077256,19.000193399377167,,,,,,,,,,,,,,,,99999,right,no,None,2025-05-21_17h30.01.425,RL_out-of-scanner,2024.2.4,59.69792846138299,2025-05-21 17h30.17.354836 -0500,
4,0,4,space,3.623589500784874,None,5,3.0632549999281764,None,19.001694499514997,j,0.5376200992614031,None,None,19.568093299865723,19.56846089940518,20.58282839972526,20.58287249971181,21.583082599565387,21.583120299503207,24.08300149999559,,,,,,,0,0,0,0,4,0,4,0,89.9320756001398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.001694499514997,89.91309490054846,89.9320756001398,89.9320756001398,89.9320756001398,89.9320756001398,90.47938650008291,j,0.5376200992614031,None,right,1,15,2,0,2,2,None,19.568093299865723,19.56846089940518,90.47986620012671,90.49518750049174,90.49518750049174,91.51067900005728,91.51067900005728,91.49415750056505,20.58282839972526,20.58287249971181,91.50359600037336,91.51067900005728,91.51067900005728,92.50999110005796,92.50999110005796,92.49442940019071,stimuli/box_empty_transparent.png,21.583082599565387,21.583120299503207,92.49452410079539,92.50999110005796,95.01134770084172,94.99435720033944,24.08300149999559,,,,,,,,,,,,,,,,99999,right,no,None,2025-05-21_17h30.01.425,RL_out-of-scanner,2024.2.4,59.69792846138299,2025-05-21 17h30.17.354836 -0500,
5,0,5,space,3.623589500784874,None,5,3.0632549999281764,None,24.08449689950794,j,0.25509170070290565,None,None,24.367028599604964,24.367358800023794,27.866851300001144,27.866895499639213,28.866757599636912,28.86678919941187,30.86645680014044,,,,,,,0,0,0,0,5,0,5,0,95.01134770084172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.08449689950794,94.99589700065553,95.01134770084172,95.01134770084172,95.01134770084172,95.01134770084172,95.2783290008083,j,0.25509170070290565,None,right,1,15,2,0,2,2,None,24.367028599604964,24.367358800023794,95.27875940036029,95.29446590039879,95.29446590039879,98.7938333004713,98.7938333004713,98.77817780058831,27.866851300001144,27.866895499639213,98.78647230006754,98.7938333004713,98.7938333004713,99.79348250012845,99.79348250012845,99.77811060007662,stimuli/box_empty_transparent.png,28.866757599636912,28.86678919941187,99.7781836008653,99.79348250012845,101.7944334000349,101.77780900057405,30.86645680014044,,,,,,,,,,,,,,,,99999,right,no,None,2025-05-21_17h30.01.425,RL_out-of-scanner,2024.2.4,59.69792846138299,2025-05-21 17h30.17.354836 -0500,
6,0,6,space,3.623589500784874,None,5,3.0632549999281764,None,30.868219600059092,k,1.065408700145781,None,['k'],31.950824200175703,31.95114589948207,32.94917569961399,32.94922049995512,33.94969549961388,33.94972930010408,34.94980339985341,[0.3667484000325203],[0.14710250031203032],,,,,0,0,0,0,6,0,6,0,101.7944334000349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.868219600059092,101.77962619997561,101.7944334000349,101.7944334000349,101.7944334000349,101.7944334000349,102.86205570027232,k,1.065408700145781,None,right,1,15,3,0,3,3,['k'],31.950824200175703,31.95114589948207,102.86254990007728,102.87728150002658,102.87728150002658,103.87728420086205,103.87728420086205,103.86050620023161,32.94917569961399,32.94922049995512,103.87123659998178,103.87728420086205,103.87728420086205,,,104.86102770082653,stimuli/box_coin_transparent.png,33.94969549961388,33.94972930010408,104.8611246002838,104.87675369996578,105.87773910071701,105.86115750018507,34.94980339985341,[0.3667484000325203],[0.14710250031203032],,,,,,,,,,,,,,99999,right,no,None,2025-05-21_17h30.01.425,RL_out-of-scanner,2024.2.4,59.69792846138299,2025-05-21 17h30.17.354836 -0500,
7,0,7,space,3.623589500784874,None,5,3.0632549999281764,None,34.951242099516094,j,0.7594411000609398,None,None,35.73375799972564,35.73416810017079,37.73353230021894,37.73356920015067,38.73231999948621,38.73236409947276,40.733415899798274,,,,,,,0,0,0,0,7,0,7,0,105.87773910071701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.951242099516094,105.86264180019498,105.87773910071701,105.87773910071701,105.87773910071701,105.87773910071701,106.64505839999765,j,0.7594411000609398,None,right,1,15,3,0,3,3,None,35.73375799972564,35.73416810017079,106.64557440020144,106.66072610020638,106.66072610020638,108.66059010010213,108.66059010010213,108.64486640039831,37.73353230021894,37.73356920015067,108.65308890026063,108.66059010010213,108.66059010010213,109.65931620076299,109.65931620076299,109.64366350043565,stimuli/box_empty_transparent.png,38.73231999948621,38.73236409947276,109.6437736004591,109.65931620076299,111.66091500036418,111.64477160014212,40.733415899798274,,,,,,,,,,,,,,,,99999,right,no,None,2025-05-21_17h30.01.425,RL_out-of-scanner,2024.2.4,59.69792846138299,2025-05-21 17h30.17.354836 -0500,
