thisN,thisTrialN,thisRepN,advance_press.keys,advance_press.rt,advance_press.duration,trigger_value.keys,trigger_value.rt,trigger_value.duration,cueOnTime,cue_resp.keys,cue_resp.rt,cue_resp.duration,all_keys.keys,cueOffTime,cueRespOnTime,cueRespOffTime,outcomeOnTime,outcomeOffTime,fixOnTime,fixOffTime,all_keys.rt,all_keys.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,summary_instructions.started,summary_text.started,advance_to_runs.started,summary_instructions.stopped,advance_to_runs.keys,advance_to_runs.rt,advance_to_runs.duration,get_ready.started,get_ready_text.started,advance_press.started,get_ready.stopped,runs.advance_press.keys,runs.advance_press.rt,runs.advance_press.duration,scanner_trigger.started,scanner_text.started,trigger_value.started,scanner_trigger.stopped,runs.trigger_value.keys,runs.trigger_value.rt,runs.trigger_value.duration,trials.cueOnTime,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,trials.cue_resp.rt,trials.cue_resp.duration,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,trials.cueOffTime,trials.cueRespOnTime,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,trials.cueRespOffTime,trials.outcomeOnTime,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,outcome_image,trials.outcomeOffTime,trials.fixOnTime,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,trials.fixOffTime,outcome_left_box.stopped,outcome_right_box.stopped,left_box.stopped,right_box.stopped,cue_resp.stopped,all_keys.stopped,trials.all_keys.rt,trials.all_keys.duration,run_feedback.started,coins_won_text.started,run_feedback.stopped,leftover_time_break.started,fixation_end.started,fixation_end.stopped,leftover_time_break.stopped,end_exp.started,end_exp.stopped,participant,handedness,practice,restart_from_run,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038467299193143845,0.0442714998498559,0.0442714998498559,2.138891899958253,j,2.0810321997851133,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999999,right,no,None,2025-05-21_17h47.03.030,RL_out-of-scanner,2024.2.4,59.38750116072683,2025-05-21 17h47.19.278398 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1392000997439027,2.1482233991846442,2.1482233991846442,2.8662932999432087,j,0.7047183997929096,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999999,right,no,None,2025-05-21_17h47.03.030,RL_out-of-scanner,2024.2.4,59.38750116072683,2025-05-21 17h47.19.278398 -0500,
0,0,0,space,1.6921098995953798,None,5,1.6312656998634338,None,0.0022144997492432594,k,1.1366726998239756,None,None,1.168326299637556,1.168617400340736,2.1671476997435093,2.1671890998259187,3.183299300260842,3.1833298997953534,5.198779799975455,,,,,,,0,0,0,0,0,0,0,0,6.248381000012159,,,,,,,,,,,,,,,,2.8666423996910453,2.8813746999949217,2.8813746999949217,4.582835999317467,space,1.6921098995953798,None,4.582912299782038,4.598505599424243,4.598505599424243,6.23201849963516,5,1.6312656998634338,None,0.0022144997492432594,6.234311199747026,6.248381000012159,6.248381000012159,6.248381000012159,6.248381000012159,7.4003058997914195,k,1.1366726998239756,None,right,1,11,1,0,1,1,None,1.168326299637556,1.168617400340736,7.400713199749589,7.415176499634981,7.415176499634981,8.416595799848437,8.416595799848437,8.39916819985956,2.1671476997435093,2.1671890998259187,8.410144499503076,8.416595799848437,8.416595799848437,9.415345299988985,stimuli/box_coin_transparent.png,3.183299300260842,3.1833298997953534,9.41542199999094,9.431925099343061,11.447460199706256,11.430824799463153,5.198779799975455,,,,,,,,,,,,,,,,,,999999,right,no,None,2025-05-21_17h47.03.030,RL_out-of-scanner,2024.2.4,59.38750116072683,2025-05-21 17h47.19.278398 -0500,
1,0,1,space,1.6921098995953798,None,5,1.6312656998634338,None,5.200923399999738,k,0.32949729915708303,None,None,5.549912000074983,5.5501570999622345,7.050294400192797,7.050333600491285,8.050316500477493,8.050346800126135,9.550407599657774,,,,,,,0,0,0,0,1,0,1,0,11.447460199706256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.200923399999738,11.433032499626279,11.447460199706256,11.447460199706256,11.447460199706256,11.447460199706256,11.781921699643135,k,0.32949729915708303,None,right,1,11,2,0,2,2,None,5.549912000074983,5.5501570999622345,11.782250999473035,11.797582799568772,11.797582799568772,13.298068299889565,13.298068299889565,13.282323399558663,7.050294400192797,7.050333600491285,13.29263289924711,13.298068299889565,13.298068299889565,14.282366199418902,stimuli/box_coin_transparent.png,8.050316500477493,8.050346800126135,14.2824371997267,14.296920999884605,15.79800090007484,15.782456399872899,9.550407599657774,14.296920999884605,14.296920999884605,,,,,,,,,,,,,,,,999999,right,no,None,2025-05-21_17h47.03.030,RL_out-of-scanner,2024.2.4,59.38750116072683,2025-05-21 17h47.19.278398 -0500,
2,0,2,space,1.6921098995953798,None,5,1.6312656998634338,None,9.551942800171673,k,0.29697970021516085,None,None,9.866483899764717,9.866774000227451,10.8657136997208,10.865758100524545,11.865939100272954,11.865977199748158,14.865035300143063,,,,,,,0,0,0,0,2,0,2,0,15.79800090007484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.551942800171673,15.784038299694657,15.79800090007484,15.79800090007484,15.79800090007484,15.79800090007484,16.098489499650896,k,0.29697970021516085,None,right,1,11,3,0,3,3,None,9.866483899764717,9.866774000227451,16.09886909928173,16.11415629927069,16.11415629927069,17.114772799424827,17.114772799424827,17.09774039965123,10.8657136997208,10.865758100524545,17.109464299865067,17.114772799424827,17.114772799424827,18.097978299483657,stimuli/box_coin_transparent.png,11.865939100272954,11.865977199748158,18.098088500089943,18.1141892997548,21.113856899552047,21.097087999805808,14.865035300143063,,,,,,,,,,,,,,,,,,999999,right,no,None,2025-05-21_17h47.03.030,RL_out-of-scanner,2024.2.4,59.38750116072683,2025-05-21 17h47.19.278398 -0500,
3,0,3,space,1.6921098995953798,None,5,1.6312656998634338,None,14.866556400433183,k,0.30352899990975857,None,None,15.203220100142062,15.203488600440323,17.19912299979478,17.199166299775243,18.199543099850416,18.19958180002868,19.198345500044525,,,,,,,0,0,0,0,3,0,3,0,21.113856899552047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.866556400433183,21.098681499250233,21.113856899552047,21.113856899552047,21.113856899552047,21.113856899552047,21.435217199847102,k,0.30352899990975857,None,right,1,11,4,0,4,4,None,15.203220100142062,15.203488600440323,21.435583599843085,21.447928799316287,21.447928799316287,23.447770100086927,23.447770100086927,23.431145899929106,17.19912299979478,17.199166299775243,23.441451899707317,23.447770100086927,23.447770100086927,24.431582299992442,stimuli/box_coin_transparent.png,18.199543099850416,18.19958180002868,24.431693099439144,24.447478899732232,25.447300799190998,25.43038980010897,19.198345500044525,,,,,,,,,,,,,,,,,,999999,right,no,None,2025-05-21_17h47.03.030,RL_out-of-scanner,2024.2.4,59.38750116072683,2025-05-21 17h47.19.278398 -0500,
4,0,4,space,1.6921098995953798,None,5,1.6312656998634338,None,19.200278899632394,k,0.48282349947839975,None,None,19.701573200523853,19.701884199865162,20.69987860042602,20.69991729967296,21.699837599880993,21.699873600155115,24.199120299890637,,,,,,,0,0,0,0,4,0,4,0,25.447300799190998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.200278899632394,25.43239039927721,25.447300799190998,25.447300799190998,25.447300799190998,25.447300799190998,25.93356340005994,k,0.48282349947839975,None,right,1,11,5,0,5,5,None,19.701573200523853,19.701884199865162,25.933984299190342,25.947581599466503,25.947581599466503,26.947656099684536,26.947656099684536,26.931907199323177,20.69987860042602,20.69991729967296,26.941979499533772,26.947656099684536,26.947656099684536,27.931883200071752,stimuli/box_coin_transparent.png,21.699837599880993,21.699873600155115,27.93197140004486,27.94812159985304,30.44787749927491,30.431171999312937,24.199120299890637,27.94812159985304,27.94812159985304,,,,,,,,,,,,,,,,999999,right,no,None,2025-05-21_17h47.03.030,RL_out-of-scanner,2024.2.4,59.38750116072683,2025-05-21 17h47.19.278398 -0500,
5,0,5,space,1.6921098995953798,None,5,1.6312656998634338,None,24.20085239969194,k,0.5839178003370762,None,None,24.81698019988835,24.8172879004851,28.31537130009383,28.315410000272095,29.315758800134063,29.315794800408185,31.315471599809825,,,,,,,0,0,0,0,5,0,5,0,30.44787749927491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.20085239969194,30.432947699911892,30.44787749927491,30.44787749927491,30.44787749927491,30.44787749927491,31.04895839933306,k,0.5839178003370762,None,right,0,11,5,0,6,5,None,24.81698019988835,24.8172879004851,31.04938319977373,31.063837099820375,31.063837099820375,34.56414399947971,34.56414399947971,34.5474052997306,28.31537130009383,28.315410000272095,34.55626480001956,34.56414399947971,34.56414399947971,35.54780359938741,stimuli/box_empty_transparent.png,29.315758800134063,29.315794800408185,35.54789249971509,35.56337059941143,37.56403529923409,37.5475189993158,31.315471599809825,35.56337059941143,35.56337059941143,,,,,,,,,,,,,,,,999999,right,no,None,2025-05-21_17h47.03.030,RL_out-of-scanner,2024.2.4,59.38750116072683,2025-05-21 17h47.19.278398 -0500,
6,0,6,space,1.6921098995953798,None,5,1.6312656998634338,None,31.317269699648023,k,1.1792221004143357,None,None,32.516520200297236,32.516883100382984,33.51618540007621,33.51623119972646,34.51561350002885,34.51565030030906,35.51633409969509,,,,,,,0,0,0,0,6,0,6,0,37.56403529923409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.317269699648023,37.549371199682355,37.56403529923409,37.56403529923409,37.56403529923409,37.56403529923409,38.748510899953544,k,1.1792221004143357,None,right,1,11,6,0,7,6,None,32.516520200297236,32.516883100382984,38.74898439925164,38.76422579959035,38.76422579959035,39.763829899951816,39.763829899951816,39.74820589926094,33.51618540007621,33.51623119972646,39.75811500009149,39.763829899951816,39.763829899951816,40.74765780009329,stimuli/box_coin_transparent.png,34.51561350002885,34.51565030030906,40.74774849973619,40.76356439944357,41.7643312998116,41.74838519934565,35.51633409969509,40.76356439944357,40.76356439944357,,,,,,,,,,,,,,,,999999,right,no,None,2025-05-21_17h47.03.030,RL_out-of-scanner,2024.2.4,59.38750116072683,2025-05-21 17h47.19.278398 -0500,
7,0,7,space,1.6921098995953798,None,5,1.6312656998634338,None,35.517945299856365,k,0.8477448998019099,None,None,36.3832892999053,36.38355730008334,38.38310180045664,38.383140300400555,39.382891399785876,39.38292260002345,41.3826825004071,,,,,,,0,0,0,0,7,0,7,0,41.7643312998116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.517945299856365,41.750040399841964,41.7643312998116,41.7643312998116,41.7643312998116,41.7643312998116,42.615282899700105,k,0.8477448998019099,None,right,1,11,7,0,8,7,None,36.3832892999053,36.38355730008334,42.61565149948001,42.63192280009389,42.63192280009389,44.63012930005789,44.63012930005789,44.61513439938426,38.38310180045664,38.383140300400555,44.62520739994943,44.63012930005789,44.63012930005789,45.61493910010904,stimuli/box_coin_transparent.png,39.382891399785876,39.38292260002345,45.61501469928771,45.63024089951068,47.63044719956815,47.61473449971527,41.3826825004071,45.63024089951068,45.63024089951068,,,,,,,,,,,,,,,,999999,right,no,None,2025-05-21_17h47.03.030,RL_out-of-scanner,2024.2.4,59.38750116072683,2025-05-21 17h47.19.278398 -0500,
