thisN,thisTrialN,thisRepN,find_box_press.keys,find_box_press.rt,find_box_press.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue_resp_switch.keys,cue_resp_switch.rt,cue_resp_switch.duration,pointer_press.keys,pointer_press.rt,pointer_press.duration,cue_resp.keys,all_keys.keys,cue_resp.rt,cue_resp.duration,restart_key.keys,restart_key.rt,restart_key.duration,restart_both.thisRepN,restart_both.thisTrialN,restart_both.thisN,restart_both.thisIndex,find_magic_box_loop.thisRepN,find_magic_box_loop.thisTrialN,find_magic_box_loop.thisN,find_magic_box_loop.thisIndex,switch_side_loop.thisRepN,switch_side_loop.thisTrialN,switch_side_loop.thisN,switch_side_loop.thisIndex,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,first_box.started,show_stimuli.started,stimuli_text.started,key_resp.started,first_box.stopped,key_resp.keys,key_resp.rt,key_resp.duration,first_coin.started,first_coin_img.started,magic_coin_text.started,first_coin.stopped,prac_both_instructions.started,prac_both_text.started,key_resp_2.started,prac_both_instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,prac_both.started,prac_left_2.started,prac_right_2.started,find_box_press.started,prac_both.stopped,find_magic_box_loop.find_box_press.keys,find_magic_box_loop.find_box_press.rt,find_magic_box_loop.find_box_press.duration,prac_both_selec.started,left_box_lr.started,right_box_lr.started,left_box_lr.stopped,right_box_lr.stopped,prac_both_selec.stopped,prac_both_out.started,prac_left_box.started,prac_right_box.started,prac_both_out.stopped,fix_both.started,fix_text.started,fix_text.stopped,fix_both.stopped,prac_left_box.stopped,prac_right_box.stopped,saw_reward.started,restart_proceed_text.started,key_resp_3.started,saw_reward.stopped,restart_both.key_resp_3.keys,restart_both.key_resp_3.rt,restart_both.key_resp_3.duration,switch_cue.started,left_box_switch.started,right_box_switch.started,cue_resp_switch.started,switch_cue.stopped,switch_side_loop.cue_resp_switch.keys,switch_side_loop.cue_resp_switch.rt,switch_side_loop.cue_resp_switch.duration,switch_select.started,left_switch_selec.started,right_switch_selec.started,left_switch_selec.stopped,right_switch_selec.stopped,switch_select.stopped,switch_out.started,left_box_switch_out.started,right_box_switch_out.started,left_box_switch_out.stopped,right_box_switch_out.stopped,switch_out.stopped,no_coin_instruc.started,summary_text.started,pointer_press.started,no_coin_instruc.stopped,pracLoop.pointer_press.keys,pracLoop.pointer_press.rt,pracLoop.pointer_press.duration,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,left_box.stopped,right_box.stopped,cue_resp.stopped,all_keys.stopped,cue.stopped,trials.cue_resp.keys,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome_left_box.stopped,outcome_right_box.stopped,outcome.stopped,outcome_image,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,trials.cue_resp.rt,trials.cue_resp.duration,run_feedback.started,coins_won_text.started,coins_won_text.stopped,run_feedback.stopped,understanding_check.started,restart_key.started,understanding_check.stopped,pracLoop.restart_key.keys,pracLoop.restart_key.rt,pracLoop.restart_key.duration,participant,handedness,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028360100463032722,0.039275599643588066,0.039275599643588066,33.8673884999007,j,33.82027689926326,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88888,right,2025-05-21_17h23.09.514,RL_practice,2024.2.4,59.64725784649612,2025-05-21 17h24.08.208412 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.867451700381935,33.876052799634635,33.876052799634635,33.876052799634635,43.945131099782884,j,10.067552200518548,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88888,right,2025-05-21_17h23.09.514,RL_practice,2024.2.4,59.64725784649612,2025-05-21 17h24.08.208412 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.94518070016056,43.96065749973059,43.96065749973059,46.45904960017651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88888,right,2025-05-21_17h23.09.514,RL_practice,2024.2.4,59.64725784649612,2025-05-21 17h24.08.208412 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.45910069998354,46.47592530027032,46.47592530027032,61.994651400484145,j,15.503308599814773,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88888,right,2025-05-21_17h23.09.514,RL_practice,2024.2.4,59.64725784649612,2025-05-21 17h24.08.208412 -0500,
0,0,0,k,4.660957300104201,None,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,62.02744940016419,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0204990003258,62.02744940016419,62.02744940016419,62.02744940016419,66.70116860046983,k,4.660957300104201,None,66.70337599981576,66.71391099970788,66.71391099970788,68.21648489963263,68.21648489963263,68.19761130027473,68.20888379961252,68.21648489963263,68.21648489963263,69.21424520015717,69.21429680008441,69.23085349984467,71.73141650017351,71.7147192005068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88888,right,2025-05-21_17h23.09.514,RL_practice,2024.2.4,59.64725784649612,2025-05-21 17h24.08.208412 -0500,
1,0,1,k,0.42292150016874075,None,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,71.73141650017351,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.71492969989777,71.73141650017351,71.73141650017351,71.73141650017351,72.16488770022988,k,0.42292150016874075,None,72.1669976003468,72.18055010028183,72.18055010028183,73.68030230049044,73.68030230049044,73.66385580040514,73.67236789967865,73.68030230049044,73.68030230049044,74.6644256003201,74.66447590012103,74.68028939981014,77.1806528000161,77.16402519959956,74.68028939981014,74.68028939981014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88888,right,2025-05-21_17h23.09.514,RL_practice,2024.2.4,59.64725784649612,2025-05-21 17h24.08.208412 -0500,
2,0,2,k,0.2636108994483948,None,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,77.1806528000161,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.1641974998638,77.1806528000161,77.1806528000161,77.1806528000161,77.44793429970741,k,0.2636108994483948,None,77.45008600037545,77.46320999972522,77.46320999972522,78.96350609976798,78.96350609976798,78.9480144996196,78.95633389987051,78.96350609976798,78.96350609976798,79.94818110018969,79.94823850039393,79.96406560018659,80.96364099998027,80.94774259999394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88888,right,2025-05-21_17h23.09.514,RL_practice,2024.2.4,59.64725784649612,2025-05-21 17h24.08.208412 -0500,
3,0,3,k,0.29688880033791065,None,,,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,80.96364099998027,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.94791360013187,80.96364099998027,80.96364099998027,80.96364099998027,81.26401779986918,k,0.29688880033791065,None,81.26640510000288,81.27971560042351,81.27971560042351,82.7804079996422,82.7804079996422,82.76426449976861,82.773661499843,82.7804079996422,82.7804079996422,83.76439290028065,83.76443689968437,83.77993299998343,85.78026019968092,85.76353830005974,83.77993299998343,83.77993299998343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88888,right,2025-05-21_17h23.09.514,RL_practice,2024.2.4,59.64725784649612,2025-05-21 17h24.08.208412 -0500,
4,0,4,k,0.3698193999007344,None,,,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,85.78026019968092,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.76370749995112,85.78026019968092,85.78026019968092,85.78026019968092,86.16535439994186,k,0.3698193999007344,None,86.16744660027325,86.18052969966084,86.18052969966084,,,87.68015659973025,87.68967990018427,87.69676650036126,87.69676650036126,88.67996430024505,88.6800247002393,88.69617839995772,91.1960140997544,91.1797125004232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88888,right,2025-05-21_17h23.09.514,RL_practice,2024.2.4,59.64725784649612,2025-05-21 17h24.08.208412 -0500,
0,0,0,,,,j,8.231737399473786,None,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.18830789998174,91.1960140997544,91.1960140997544,99.43010719958693,j,8.231737399473786,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88888,right,2025-05-21_17h23.09.514,RL_practice,2024.2.4,59.64725784649612,2025-05-21 17h24.08.208412 -0500,
