thisN,thisTrialN,thisRepN,advance_press.keys,advance_press.rt,advance_press.duration,trigger_value.keys,trigger_value.rt,trigger_value.duration,cueOnTime,cue_resp.keys,all_keys.keys,cueOffTime,cueRespOnTime,cueRespOffTime,outcomeOnTime,outcomeOffTime,fixOnTime,fixOffTime,cue_resp.rt,cue_resp.duration,all_keys.rt,all_keys.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,summary_instructions.started,summary_text.started,advance_to_runs.started,summary_instructions.stopped,advance_to_runs.keys,advance_to_runs.rt,advance_to_runs.duration,get_ready.started,get_ready_text.started,advance_press.started,get_ready.stopped,runs.advance_press.keys,runs.advance_press.rt,runs.advance_press.duration,scanner_trigger.started,scanner_text.started,trigger_value.started,scanner_trigger.stopped,runs.trigger_value.keys,runs.trigger_value.rt,runs.trigger_value.duration,trials.cueOnTime,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,left_box.stopped,right_box.stopped,cue_resp.stopped,all_keys.stopped,cue.stopped,trials.cue_resp.keys,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,trials.cueOffTime,trials.cueRespOnTime,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,trials.cueRespOffTime,trials.outcomeOnTime,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,outcome_image,trials.outcomeOffTime,trials.fixOnTime,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,trials.fixOffTime,trials.cue_resp.rt,trials.cue_resp.duration,run_feedback.started,coins_won_text.started,run_feedback.stopped,leftover_time_break.started,fixation_end.started,fixation_end.stopped,leftover_time_break.stopped,outcome_left_box.stopped,outcome_right_box.stopped,trials.all_keys.rt,trials.all_keys.duration,end_exp.started,end_exp.stopped,participant,handedness,practice,restart_from_run,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018149208975955844,0.0235943750012666,0.0235943750012666,1.7895639169728383,j,1.737156750052236,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999,right,no,None,2025-06-02_10h42.27.065,RL_out-of-scanner,2024.2.4,None,2025-06-02 10h42.35.213685 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7901313749607652,1.800502708996646,1.800502708996646,2.452596209011972,j,0.6501688749995083,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999,right,no,None,2025-06-02_10h42.27.065,RL_out-of-scanner,2024.2.4,None,2025-06-02 10h42.35.213685 -0700,
0,0,0,space,1.9801714579807594,None,space,9.543473541969433,None,0.003192916978150606,None,None,1.4976577499182895,1.4977892918977886,2.4984247079119086,2.4984591669635847,3.51134424994234,3.511371999979019,5.557026791968383,,,,,,,,,0,0,0,0,0,0,0,0,14.036304833949544,,,,,,,,,,,,,,,,2.4537182500353083,2.462385084014386,2.462385084014386,4.456758624990471,space,1.9801714579807594,None,4.457002874929458,4.464693791931495,4.464693791931495,14.023632458993234,space,9.543473541969433,None,0.003192916978150606,14.026908208965324,14.036304833949544,14.036304833949544,14.036304833949544,14.036304833949544,15.529124959022738,15.529124959022738,15.529124959022738,15.529124959022738,15.521249459008686,None,right,1,10,0,0,0,0,None,1.4976577499182895,1.4977892918977886,15.52151024993509,15.529124959022738,15.529124959022738,16.545404625008814,16.545404625008814,16.522081875009462,2.4984247079119086,2.4984591669635847,16.54027970903553,16.545404625008814,16.545404625008814,17.53500966692809,no selection made,3.51134424994234,3.511371999979019,17.53507991693914,17.59310433396604,19.59553191694431,19.580634541925974,5.557026791968383,,,,,,,,,,,,,,,,99999,right,no,None,2025-06-02_10h42.27.065,RL_out-of-scanner,2024.2.4,None,2025-06-02 10h42.35.213685 -0700,
1,0,1,space,1.9801714579807594,None,space,9.543473541969433,None,5.5596554999938235,k,None,5.824148166924715,5.824442332959734,7.32384445797652,7.323950416990556,8.33998145791702,8.340050666942261,9.842311582993716,0.23642608395311981,None,,,,,,,0,0,0,0,1,0,1,0,19.59553191694431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5596554999938235,19.583395416964777,19.59553191694431,19.59553191694431,19.59553191694431,19.59553191694431,,,,,19.847769999993034,k,right,1,10,1,0,1,1,None,5.824148166924715,5.824442332959734,19.848153749946505,19.857233249931596,19.857233249931596,21.37223412503954,21.37223412503954,21.347454917035066,7.32384445797652,7.323950416990556,21.36795904196333,21.37223412503954,21.37223412503954,22.363606541999616,stimuli/box_coin_transparent.png,8.33998145791702,8.340050666942261,22.36378729203716,22.379633208969608,23.872406541951932,23.865984583972022,9.842311582993716,0.23642608395311981,None,,,,,,,,,,,,,,99999,right,no,None,2025-06-02_10h42.27.065,RL_out-of-scanner,2024.2.4,None,2025-06-02 10h42.35.213685 -0700,
2,0,2,space,1.9801714579807594,None,space,9.543473541969433,None,9.844046707963571,k,None,10.2711177499732,10.271385332918726,11.273651666939259,11.273799916962162,12.280413792002946,12.280440874979831,15.281826582970098,0.4173143330262974,None,,,,,,,0,0,0,0,2,0,2,0,23.872406541951932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.844046707963571,23.867767959018238,23.872406541951932,23.872406541951932,23.872406541951932,23.872406541951932,,,,,24.294717874960043,k,right,1,10,2,0,2,2,None,10.2711177499732,10.271385332918726,24.29509762499947,24.30231850000564,24.30231850000564,25.318823499954306,25.318823499954306,25.29725487495307,11.273651666939259,11.273799916962162,25.314425208955072,25.318823499954306,25.318823499954306,26.304084167000838,stimuli/box_coin_transparent.png,12.280413792002946,12.280440874979831,26.30415316694416,26.308403959032148,29.311508083948866,29.305504333926365,15.281826582970098,0.4173143330262974,None,,,,,,,,,,,,,,99999,right,no,None,2025-06-02_10h42.27.065,RL_out-of-scanner,2024.2.4,None,2025-06-02 10h42.35.213685 -0700,
3,0,3,space,1.9801714579807594,None,space,9.543473541969433,None,15.28331949992571,k,None,15.564596749958582,15.564824874978513,17.55664774996694,17.556684707989916,18.563840374932624,18.56389541691169,19.559054582961835,0.2627089589368552,None,,,,,,,0,0,0,0,3,0,3,0,29.311508083948866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.28331949992571,29.307038167025894,29.311508083948866,29.311508083948866,29.311508083948866,29.311508083948866,,,,,29.588223041966558,k,right,1,10,3,0,3,3,None,15.564596749958582,15.564824874978513,29.588536708964966,29.595712124952115,29.595712124952115,31.602423875010572,31.602423875010572,31.580302666989155,17.55664774996694,17.556684707989916,31.597558624926023,31.602423875010572,31.602423875010572,32.587493458995596,stimuli/box_coin_transparent.png,18.563840374932624,18.56389541691169,32.587620834005065,32.59328579204157,33.58981749997474,33.58270812500268,19.559054582961835,0.2627089589368552,None,,,,,,,,,,,,,,99999,right,no,None,2025-06-02_10h42.27.065,RL_out-of-scanner,2024.2.4,None,2025-06-02 10h42.35.213685 -0700,
4,0,4,space,1.9801714579807594,None,space,9.543473541969433,None,19.56127058295533,k,None,20.23262441693805,20.23288083297666,21.227970249950886,21.22800258290954,22.236709957942367,22.23676841694396,24.728284249897115,0.6607350000413135,None,,,,,,,0,0,0,0,4,0,4,0,33.58981749997474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.56127058295533,33.58500283397734,33.58981749997474,33.58981749997474,33.58981749997474,33.58981749997474,,,,,34.25624787493143,k,right,1,10,4,0,4,4,None,20.23262441693805,20.23288083297666,34.256592334015295,34.2644720840035,34.2644720840035,35.27184025000315,35.27184025000315,35.251629124977626,21.227970249950886,21.22800258290954,35.26748929196037,35.27184025000315,35.27184025000315,36.26035724999383,stimuli/box_coin_transparent.png,22.236709957942367,22.23676841694396,36.26051537494641,36.265593874966726,38.75784554192796,38.751961583970115,24.728284249897115,0.6607350000413135,None,,,,,,,,,,,,,,99999,right,no,None,2025-06-02_10h42.27.065,RL_out-of-scanner,2024.2.4,None,2025-06-02 10h42.35.213685 -0700,
5,0,5,space,1.9801714579807594,None,space,9.543473541969433,None,24.729839999927208,k,None,25.05734824994579,25.057720999931917,28.546007499913685,28.546042832895182,29.555913332966156,29.55596279189922,31.55668399995193,0.3128249170258641,None,,,,,,,0,0,0,0,5,0,5,0,38.75784554192796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.729839999927208,38.75355716701597,38.75784554192796,38.75784554192796,38.75784554192796,38.75784554192796,,,,,39.0809383749729,k,right,1,10,5,0,5,5,None,25.05734824994579,25.057720999931917,39.08142937498633,39.086408041999675,39.086408041999675,42.59050216700416,42.59050216700416,42.56966616702266,28.546007499913685,28.546042832895182,42.58622854202986,42.59050216700416,42.59050216700416,43.57956866698805,stimuli/box_coin_transparent.png,29.555913332966156,29.55596279189922,43.57970470900182,43.58482191700023,45.58790033403784,45.58035549998749,31.55668399995193,0.3128249170258641,None,,,,,,,,,,,,,,99999,right,no,None,2025-06-02_10h42.27.065,RL_out-of-scanner,2024.2.4,None,2025-06-02 10h42.35.213685 -0700,
6,0,6,space,1.9801714579807594,None,space,9.543473541969433,None,31.55935875000432,k,None,31.983777082990855,31.984137124964036,32.98886537493672,32.988900832948275,33.989656124962494,33.98968399991281,34.98681608296465,0.41545374994166195,None,,,,,,,0,0,0,0,6,0,6,0,45.58790033403784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.55935875000432,45.58308000001125,45.58790033403784,45.58790033403784,45.58790033403784,45.58790033403784,,,,,46.00738733401522,k,right,1,10,6,0,6,6,None,31.983777082990855,31.984137124964036,46.00785137503408,46.01594254199881,46.01594254199881,47.03387212497182,47.03387212497182,47.01252237497829,32.98886537493672,32.988900832948275,47.02930537494831,47.03387212497182,47.03387212497182,48.013327624998055,stimuli/box_coin_transparent.png,33.989656124962494,33.98968399991281,48.01339491701219,48.01630183402449,49.016459958977066,49.01049408398103,34.98681608296465,0.41545374994166195,None,,,,,,,,,,,,,,99999,right,no,None,2025-06-02_10h42.27.065,RL_out-of-scanner,2024.2.4,None,2025-06-02 10h42.35.213685 -0700,
7,0,7,space,1.9801714579807594,None,space,9.543473541969433,None,34.98834316700231,k,None,35.688166707986966,35.688406291999854,37.68853562499862,37.68856933293864,38.689824124914594,38.689870374975726,40.689220874919556,0.6882830410031602,None,,,,,,,0,0,0,0,7,0,7,0,49.016459958977066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.98834316700231,49.01206183398608,49.016459958977066,49.016459958977066,49.016459958977066,49.016459958977066,,,,,49.711789041990414,k,right,0,10,6,0,7,6,None,35.688166707986966,35.688406291999854,49.712117666960694,49.71955108398106,49.71955108398106,51.73214312503114,51.73214312503114,51.71219495893456,37.68853562499862,37.68856933293864,51.72790112497751,51.73214312503114,51.73214312503114,52.71347679197788,stimuli/box_empty_transparent.png,38.689824124914594,38.689870374975726,52.71359087503515,52.71872083400376,54.71873466693796,54.71289645903744,40.689220874919556,0.6882830410031602,None,,,,,,,,,,,,,,99999,right,no,None,2025-06-02_10h42.27.065,RL_out-of-scanner,2024.2.4,None,2025-06-02 10h42.35.213685 -0700,
