thisN,thisTrialN,thisRepN,find_box_press.keys,find_box_press.rt,find_box_press.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue_resp_switch.keys,cue_resp_switch.rt,cue_resp_switch.duration,pointer_press.keys,pointer_press.rt,pointer_press.duration,cue_resp.keys,all_keys.keys,cue_resp.rt,cue_resp.duration,restart_key.keys,restart_key.rt,restart_key.duration,restart_both.thisRepN,restart_both.thisTrialN,restart_both.thisN,restart_both.thisIndex,find_magic_box_loop.thisRepN,find_magic_box_loop.thisTrialN,find_magic_box_loop.thisN,find_magic_box_loop.thisIndex,switch_side_loop.thisRepN,switch_side_loop.thisTrialN,switch_side_loop.thisN,switch_side_loop.thisIndex,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,first_box.started,show_stimuli.started,stimuli_text.started,key_resp.started,first_box.stopped,key_resp.keys,key_resp.rt,key_resp.duration,first_coin.started,first_coin_img.started,magic_coin_text.started,first_coin.stopped,prac_both_instructions.started,prac_both_text.started,key_resp_2.started,prac_both_instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,prac_both.started,prac_left_2.started,prac_right_2.started,find_box_press.started,prac_both.stopped,find_magic_box_loop.find_box_press.keys,find_magic_box_loop.find_box_press.rt,find_magic_box_loop.find_box_press.duration,prac_both_selec.started,left_box_lr.started,right_box_lr.started,left_box_lr.stopped,right_box_lr.stopped,prac_both_selec.stopped,prac_both_out.started,prac_left_box.started,prac_right_box.started,prac_both_out.stopped,fix_both.started,fix_text.started,fix_text.stopped,fix_both.stopped,prac_left_box.stopped,prac_right_box.stopped,saw_reward.started,restart_proceed_text.started,key_resp_3.started,saw_reward.stopped,restart_both.key_resp_3.keys,restart_both.key_resp_3.rt,restart_both.key_resp_3.duration,switch_cue.started,left_box_switch.started,right_box_switch.started,cue_resp_switch.started,switch_cue.stopped,switch_side_loop.cue_resp_switch.keys,switch_side_loop.cue_resp_switch.rt,switch_side_loop.cue_resp_switch.duration,switch_select.started,left_switch_selec.started,right_switch_selec.started,left_switch_selec.stopped,right_switch_selec.stopped,switch_select.stopped,switch_out.started,left_box_switch_out.started,right_box_switch_out.started,switch_out.stopped,no_coin_instruc.started,summary_text.started,pointer_press.started,no_coin_instruc.stopped,pracLoop.pointer_press.keys,pracLoop.pointer_press.rt,pracLoop.pointer_press.duration,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,outcome_image,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,trials.cue_resp.rt,trials.cue_resp.duration,outcome_left_box.stopped,outcome_right_box.stopped,left_box.stopped,right_box.stopped,cue_resp.stopped,all_keys.stopped,run_feedback.started,coins_won_text.started,coins_won_text.stopped,run_feedback.stopped,understanding_check.started,restart_key.started,understanding_check.stopped,pracLoop.restart_key.keys,pracLoop.restart_key.rt,pracLoop.restart_key.duration,participant,handedness,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014513707952573895,0.02846570801921189,0.02846570801921189,54.971218958031386,j,54.91594325006008,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999,right,2025-06-02_10h32.42.122,RL_practice,2024.2.4,None,2025-06-02 10h32.54.110360 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.97128083300777,54.98786466696765,54.98786466696765,54.98786466696765,70.65547858295031,j,15.662776415934786,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999,right,2025-06-02_10h32.42.122,RL_practice,2024.2.4,None,2025-06-02 10h32.54.110360 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.65554308297578,70.66432879201602,70.66432879201602,73.15885179198813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999,right,2025-06-02_10h32.42.122,RL_practice,2024.2.4,None,2025-06-02 10h32.54.110360 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.15889545797836,73.16278841695748,73.16278841695748,88.78705266700126,j,15.618463707971387,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999,right,2025-06-02_10h32.42.122,RL_practice,2024.2.4,None,2025-06-02 10h32.54.110360 -0700,
0,0,0,k,11.4028366249986,None,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,88.79810779192485,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.78931070794351,88.79810779192485,88.79810779192485,88.79810779192485,100.2129319999367,k,11.4028366249986,None,100.21560558292549,100.22517874999903,100.22517874999903,101.73091941699386,101.73091941699386,101.70861324993894,101.72625137493014,101.73091941699386,101.73091941699386,102.72035241697449,102.72038512502331,102.73676741693635,104.2340584580088,104.22117529192474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999,right,2025-06-02_10h32.42.122,RL_practice,2024.2.4,None,2025-06-02 10h32.54.110360 -0700,
1,0,1,k,2.2911750830244273,None,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,104.2340584580088,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.22134399996139,104.2340584580088,104.2340584580088,104.2340584580088,106.53146754193585,k,2.2911750830244273,None,106.53384141693823,106.54194879194256,106.54194879194256,108.03968779195566,108.03968779195566,108.02519800001755,108.03505066700745,108.03968779195566,108.03968779195566,109.02632904192433,109.02640208299272,109.02963629201986,112.02464537497144,112.01872962492052,109.02963629201986,109.02963629201986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999,right,2025-06-02_10h32.42.122,RL_practice,2024.2.4,None,2025-06-02 10h32.54.110360 -0700,
2,0,2,j,0.7893644999712706,None,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,112.02464537497144,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.01908825000282,112.02464537497144,112.02464537497144,112.02464537497144,112.82915633299854,j,0.7893644999712706,None,112.83198029198684,112.84012399998028,112.84012399998028,114.35091595794074,114.35091595794074,114.32883695792407,114.34651954192668,114.35091595794074,114.35091595794074,115.32967975002248,115.32972137501929,115.3444044169737,117.33976024994627,117.33646737493109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999,right,2025-06-02_10h32.42.122,RL_practice,2024.2.4,None,2025-06-02 10h32.54.110360 -0700,
3,0,3,j,0.4717876670183614,None,,,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,117.33976024994627,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.33663091692142,117.33976024994627,117.33976024994627,117.33976024994627,117.82122966693714,j,0.4717876670183614,None,117.82454337493982,117.83214045793284,117.83214045793284,119.3396674169926,119.3396674169926,119.31682800000999,119.33527383301407,119.3396674169926,119.3396674169926,120.32303770794533,120.32306962495204,120.32698445802089,121.82636783295311,121.81249145802576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999,right,2025-06-02_10h32.42.122,RL_practice,2024.2.4,None,2025-06-02 10h32.54.110360 -0700,
4,0,4,j,1.3603718329686671,None,,,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,121.82636783295311,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.81266087503172,121.82636783295311,121.82636783295311,121.82636783295311,123.18814687500708,j,1.3603718329686671,None,123.19033845793456,123.19705091696233,123.19705091696233,124.70197629195172,124.70197629195172,124.68027266697027,124.69717070797924,124.70197629195172,124.70197629195172,125.68668408296071,125.68672058300581,125.6903107080143,128.69838016701397,128.6842801249586,125.6903107080143,125.6903107080143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999,right,2025-06-02_10h32.42.122,RL_practice,2024.2.4,None,2025-06-02 10h32.54.110360 -0700,
0,0,0,,,,j,5.8932146249571815,None,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.69376387493685,128.69838016701397,128.69838016701397,134.6065672079567,j,5.8932146249571815,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999,right,2025-06-02_10h32.42.122,RL_practice,2024.2.4,None,2025-06-02 10h32.54.110360 -0700,
