thisN,thisTrialN,thisRepN,advance_press.keys,advance_press.rt,advance_press.duration,trigger_value.keys,trigger_value.rt,trigger_value.duration,cueOnTime,cue_resp.keys,cue_resp.rt,cue_resp.duration,all_keys.keys,cueOffTime,cueRespOnTime,cueRespOffTime,outcomeOnTime,outcomeOffTime,fixOnTime,fixOffTime,all_keys.rt,all_keys.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,summary_instructions.started,summary_text.started,advance_to_runs.started,summary_instructions.stopped,advance_to_runs.keys,advance_to_runs.rt,advance_to_runs.duration,get_ready.started,get_ready_text.started,advance_press.started,get_ready.stopped,runs.advance_press.keys,runs.advance_press.rt,runs.advance_press.duration,scanner_trigger.started,scanner_text.started,trigger_value.started,scanner_trigger.stopped,runs.trigger_value.keys,runs.trigger_value.rt,runs.trigger_value.duration,trials.cueOnTime,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,trials.cue_resp.rt,trials.cue_resp.duration,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,trials.cueOffTime,trials.cueRespOnTime,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,trials.cueRespOffTime,trials.outcomeOnTime,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,outcome_image,trials.outcomeOffTime,trials.fixOnTime,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,trials.fixOffTime,outcome_left_box.stopped,outcome_right_box.stopped,left_box.stopped,right_box.stopped,cue_resp.stopped,all_keys.stopped,trials.all_keys.rt,trials.all_keys.duration,run_feedback.started,coins_won_text.started,run_feedback.stopped,leftover_time_break.started,fixation_end.started,fixation_end.stopped,leftover_time_break.stopped,end_exp.started,end_exp.stopped,participant,handedness,practice,restart_from_run,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017753374995663762,0.021699792006984353,0.021699792006984353,2.3170294580049813,j,2.2617250829935074,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999999,right,no,None,2025-06-02_10h58.35.526,RL_out-of-scanner,2024.2.4,None,2025-06-02 10h58.45.743274 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.317552583059296,2.3278476670384407,2.3278476670384407,4.942472042050213,j,2.6064744170289487,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999999,right,no,None,2025-06-02_10h58.35.526,RL_out-of-scanner,2024.2.4,None,2025-06-02 10h58.45.743274 -0700,
0,0,0,space,0.9080768340500072,None,space,1.9251783749787137,None,0.00294991594273597,j,0.7710533749777824,None,None,0.7847035409649834,0.7850069579435512,1.7765887910500169,1.7766194159630686,2.7843372500501573,2.784367582993582,4.784960750024766,,,,,,,0,0,0,0,0,0,0,0,7.812705042073503,,,,,,,,,,,,,,,,4.943202208029106,4.951352917007171,4.951352917007171,5.867897708085366,space,0.9080768340500072,None,5.867980750044808,5.875516333035193,5.875516333035193,7.801951458095573,space,1.9251783749787137,None,0.00294991594273597,7.804968500044197,7.812705042073503,7.812705042073503,7.812705042073503,7.812705042073503,8.58662733307574,j,0.7710533749777824,None,right,1,14,0,0,0,0,None,0.7847035409649834,0.7850069579435512,8.587024083011784,8.59488125005737,8.59488125005737,9.599653250072151,9.599653250072151,9.578552542021498,1.7765887910500169,1.7766194159630686,9.594873708090745,9.599653250072151,9.599653250072151,10.586296583060175,stimuli/box_empty_transparent.png,2.7843372500501573,2.784367582993582,10.586380292079411,10.600748750031926,12.59886033309158,12.586940083070658,4.784960750024766,,,,,,,,,,,,,,,,,,999999,right,no,None,2025-06-02_10h58.35.526,RL_out-of-scanner,2024.2.4,None,2025-06-02 10h58.45.743274 -0700,
1,0,1,space,0.9080768340500072,None,space,1.9251783749787137,None,4.78591424995102,k,0.23930920904967934,None,None,5.050887749996036,5.051212624995969,6.548740708036348,6.5487787909805775,7.54926333297044,7.549318499979563,9.050639541004784,,,,,,,0,0,0,0,1,0,1,0,12.59886033309158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.78591424995102,12.58792220801115,12.59886033309158,12.59886033309158,12.59886033309158,12.59886033309158,12.85279687505681,k,0.23930920904967934,None,right,1,14,1,0,1,1,None,5.050887749996036,5.051212624995969,12.853229292086326,12.860742625081912,12.860742625081912,14.372713292017579,14.372713292017579,14.350701333023608,6.548740708036348,6.5487787909805775,14.368353542056866,14.372713292017579,14.372713292017579,15.351230458007194,stimuli/box_coin_transparent.png,7.54926333297044,7.549318499979563,15.351343958056532,15.357245333027095,16.858453167020343,16.852621417026967,9.050639541004784,,,,,,,,,,,,,,,,,,999999,right,no,None,2025-06-02_10h58.35.526,RL_out-of-scanner,2024.2.4,None,2025-06-02 10h58.45.743274 -0700,
2,0,2,space,0.9080768340500072,None,space,1.9251783749787137,None,9.052232624962926,k,0.23977670806925744,None,None,9.299217290943488,9.299436416011304,10.290895125013776,10.290930332965218,11.291500707971863,11.291528375004418,14.287788290996104,,,,,,,0,0,0,0,2,0,2,0,16.858453167020343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.052232624962926,16.854253333061934,16.858453167020343,16.858453167020343,16.858453167020343,16.858453167020343,17.101154875010252,k,0.23977670806925744,None,right,0,14,1,0,2,1,None,9.299217290943488,9.299436416011304,17.10145250009373,17.10896587499883,17.10896587499883,18.111934125074185,18.111934125074185,18.092850833083503,10.290895125013776,10.290930332965218,18.10761408309918,18.111934125074185,18.111934125074185,19.093479750095867,stimuli/box_empty_transparent.png,11.291500707971863,11.291528375004418,19.09354312508367,19.09752216702327,22.09527370799333,22.08971570804715,14.287788290996104,,,,,,,,,,,,,,,,,,999999,right,no,None,2025-06-02_10h58.35.526,RL_out-of-scanner,2024.2.4,None,2025-06-02 10h58.45.743274 -0700,
3,0,3,space,0.9080768340500072,None,space,1.9251783749787137,None,14.289668999961577,k,0.2561205830425024,None,None,14.565623790957034,14.56620845803991,16.55729245801922,16.557329750037752,17.559158415999264,17.559226665995084,18.556677374988794,,,,,,,0,0,0,0,3,0,3,0,22.09527370799333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.289668999961577,22.091695000068285,22.09527370799333,22.09527370799333,22.09527370799333,22.09527370799333,22.36750579206273,k,0.2561205830425024,None,right,1,14,2,0,3,2,None,14.565623790957034,14.56620845803991,22.368267375044525,22.376234958064742,22.376234958064742,24.3808552500559,24.3808552500559,24.35925316705834,16.55729245801922,16.557329750037752,24.376409125048667,24.3808552500559,24.3808552500559,25.361106000025757,stimuli/box_coin_transparent.png,17.559158415999264,17.559226665995084,25.361300499993376,25.367545542074367,26.36458183301147,26.35865916707553,18.556677374988794,,,,,,,,,,,,,,,,,,999999,right,no,None,2025-06-02_10h58.35.526,RL_out-of-scanner,2024.2.4,None,2025-06-02 10h58.45.743274 -0700,
4,0,4,space,0.9080768340500072,None,space,1.9251783749787137,None,18.558184416033328,k,0.5520921250572428,None,None,19.122899165959097,19.1231475409586,20.115389541024342,20.1154322080547,21.12127708294429,21.1213085410418,23.607321750023402,,,,,,,0,0,0,0,4,0,4,0,26.36458183301147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.558184416033328,26.360203833086416,26.36458183301147,26.36458183301147,26.36458183301147,26.36458183301147,26.92482783307787,k,0.5520921250572428,None,right,1,14,3,0,4,3,None,19.122899165959097,19.1231475409586,26.92516266705934,26.932238417095505,26.932238417095505,27.936582916998304,27.936582916998304,27.917349958093837,20.115389541024342,20.1154322080547,27.932434375048615,27.936582916998304,27.936582916998304,28.923251750064082,stimuli/box_coin_transparent.png,21.12127708294429,21.1213085410418,28.923323124996386,28.92648495803587,31.424290583003312,31.409303458058275,23.607321750023402,,,,,,,,,,,,,,,,,,999999,right,no,None,2025-06-02_10h58.35.526,RL_out-of-scanner,2024.2.4,None,2025-06-02 10h58.45.743274 -0700,
5,0,5,space,0.9080768340500072,None,space,1.9251783749787137,None,23.608779832953587,k,0.2938719999510795,None,None,23.92370858299546,23.92393762501888,27.415428415988572,27.415477165952325,28.41647837497294,28.416507416055538,30.416452541016042,,,,,,,0,0,0,0,5,0,5,0,31.424290583003312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.608779832953587,31.4108005000744,31.424290583003312,31.424290583003312,31.424290583003312,31.424290583003312,31.725633833091706,k,0.2938719999510795,None,right,1,14,4,0,5,4,None,23.92370858299546,23.92393762501888,31.725953417015262,31.73333562503103,31.73333562503103,35.2402878330322,35.2402878330322,35.21737095806748,27.415428415988572,27.415477165952325,35.235291499993764,35.2402878330322,35.2402878330322,36.218450292013586,stimuli/box_coin_transparent.png,28.41647837497294,28.416507416055538,36.218521833070554,36.23338354204316,38.229779083048925,38.21843162504956,30.416452541016042,,,,,,,,,,,,,,,,,,999999,right,no,None,2025-06-02_10h58.35.526,RL_out-of-scanner,2024.2.4,None,2025-06-02 10h58.45.743274 -0700,
6,0,6,space,0.9080768340500072,None,space,1.9251783749787137,None,30.417811958002858,k,0.3001293750712648,None,None,30.730446915957145,30.73074920801446,31.729282333049923,31.729331415961497,32.74037920800038,32.74042079097126,33.738932125037536,,,,,,,0,0,0,0,6,0,6,0,38.229779083048925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.417811958002858,38.219829875044525,38.229779083048925,38.229779083048925,38.229779083048925,38.229779083048925,38.53236387507059,k,0.3001293750712648,None,right,0,14,4,0,6,4,None,30.730446915957145,30.73074920801446,38.532765667070635,38.54027545801364,38.54027545801364,39.55073945806362,39.55073945806362,39.53123587509617,31.729282333049923,31.729331415961497,39.54619545803871,39.55073945806362,39.55073945806362,40.54233937500976,stimuli/box_empty_transparent.png,32.74037920800038,32.74042079097126,40.54246716701891,40.54624200006947,41.54754433303606,41.54090358305257,33.738932125037536,,,,,,,,,,,,,,,,,,999999,right,no,None,2025-06-02_10h58.35.526,RL_out-of-scanner,2024.2.4,None,2025-06-02 10h58.45.743274 -0700,
7,0,7,space,0.9080768340500072,None,space,1.9251783749787137,None,33.74062387505546,j,0.33225770795252174,None,None,34.08134762500413,34.08171387494076,36.07399349997286,36.07403179095127,37.080280625028536,37.08033845794853,39.07880345801823,,,,,,,0,0,0,0,7,0,7,0,41.54754433303606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.74062387505546,41.54264620807953,41.54754433303606,41.54754433303606,41.54754433303606,41.54754433303606,41.88326108304318,j,0.33225770795252174,None,right,0,14,4,0,6,4,None,34.08134762500413,34.08171387494076,41.883733625058085,41.89210283302236,41.89210283302236,43.8943440830335,43.8943440830335,43.875955625087954,36.07399349997286,36.07403179095127,43.890058333054185,43.8943440830335,43.8943440830335,44.88222200004384,stimuli/box_empty_transparent.png,37.080280625028536,37.08033845794853,44.88239975005854,44.88678225001786,46.88693120807875,46.880782457999885,39.07880345801823,,,,,,,,,,,,,,,,,,999999,right,no,None,2025-06-02_10h58.35.526,RL_out-of-scanner,2024.2.4,None,2025-06-02 10h58.45.743274 -0700,
