thisN,thisTrialN,thisRepN,cue_resp_lp.keys,cue_resp_lp.rt,cue_resp_lp.duration,cue_resp_rp.keys,cue_resp_rp.rt,cue_resp_rp.duration,advance_press.keys,advance_press.rt,advance_press.duration,trigger_value.keys,trigger_value.rt,trigger_value.duration,cueOnTime,cue_resp.keys,all_keys.keys,cueOffTime,cueRespOnTime,cueRespOffTime,outcomeOnTime,outcomeOffTime,fixOnTime,fixOffTime,cue_resp.rt,cue_resp.duration,all_keys.rt,all_keys.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,prac_left.started,left_box_lp.started,right_box_lp.started,cue_resp_lp.started,prac_left_text.started,prac_left.stopped,practice_loop.cue_resp_lp.keys,practice_loop.cue_resp_lp.rt,practice_loop.cue_resp_lp.duration,prac_left_response.started,left_box_lr.started,right_box_lr.started,prac_left_response.stopped,prac_right.started,left_box_rp.started,right_box_rp.started,cue_resp_rp.started,prac_right_text.started,prac_right.stopped,practice_loop.cue_resp_rp.keys,practice_loop.cue_resp_rp.rt,practice_loop.cue_resp_rp.duration,prac_right_response.started,left_box_rr.started,right_box_rr.started,prac_right_response.stopped,summary_instructions.started,summary_text.started,advance_to_runs.started,summary_instructions.stopped,advance_to_runs.keys,advance_to_runs.rt,advance_to_runs.duration,get_ready.started,get_ready_text.started,advance_press.started,get_ready.stopped,runs.advance_press.keys,runs.advance_press.rt,runs.advance_press.duration,scanner_trigger.started,scanner_text.started,trigger_value.started,scanner_trigger.stopped,runs.trigger_value.keys,runs.trigger_value.rt,runs.trigger_value.duration,trials.cueOnTime,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,trials.cueOffTime,trials.cueRespOnTime,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,trials.cueRespOffTime,trials.outcomeOnTime,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,outcome_image,trials.outcomeOffTime,trials.fixOnTime,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,trials.fixOffTime,trials.cue_resp.rt,trials.cue_resp.duration,trials.all_keys.rt,trials.all_keys.duration,outcome_left_box.stopped,outcome_right_box.stopped,run_feedback.started,coins_won_text.started,run_feedback.stopped,leftover_time_break.started,fixation_end.started,fixation_end.stopped,leftover_time_break.stopped,left_box.stopped,right_box.stopped,cue_resp.stopped,all_keys.stopped,end_exp.started,end_exp.stopped,participant,handedness,practice,restart_from_run,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03263249999145046,0.039611399988643825,0.039611399988643825,171.04050730000017,j,170.98674979998032,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257645,right,yes,None,2025-05-06_15h16.18.266,RL_out-of-scanner,2024.2.4,59.78322602820239,2025-05-06 15h16.55.730739 -0700,
0,0,0,j,9.715419000014663,None,k,2.391096099978313,None,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,171.1057673000032,,,,,,,,,171.09488440002315,171.1057673000032,171.1057673000032,171.1057673000032,171.1057673000032,180.83278350002365,j,9.715419000014663,None,180.83328700001584,180.84764880000148,180.84764880000148,183.34574080002494,183.3548310000333,183.36263400001917,183.36263400001917,183.36263400001917,183.36263400001917,185.76235169998836,k,2.391096099978313,None,185.76285800000187,185.77718289999757,185.77718289999757,188.27520750003168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257645,right,yes,None,2025-05-06_15h16.18.266,RL_out-of-scanner,2024.2.4,59.78322602820239,2025-05-06 15h16.55.730739 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.27533850003965,188.29149370000232,188.29149370000232,213.6402439000085,j,25.347143599996343,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257645,right,yes,None,2025-05-06_15h16.18.266,RL_out-of-scanner,2024.2.4,59.78322602820239,2025-05-06 15h16.55.730739 -0700,
0,0,0,,,,,,,space,10.853266799997073,None,5,2.8617132999934256,None,0.011448200035374612,None,None,1.5144269000156783,1.5145405000075698,2.5306265000253916,2.530679500021506,3.5455796000314876,3.5456291000009514,5.561519200040493,,,,,,,,,0,0,0,0,0,0,0,0,227.41422929998953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.64082900003996,213.65464690001681,213.65464690001681,224.5141842000303,space,10.853266799997073,None,224.5143205000204,224.52909940003883,224.52909940003883,227.39540350000607,5,2.8617132999934256,None,0.011448200035374612,227.40702059998875,227.41422929998953,227.41422929998953,227.41422929998953,227.41422929998953,228.90981949999696,None,right,1,15,0,0,0,0,None,1.5144269000156783,1.5145405000075698,228.9100745000178,228.9261700999923,228.9261700999923,229.95009150000988,229.95009150000988,229.92604590003612,2.5306265000253916,2.530679500021506,229.94118020002497,229.95009150000988,229.95009150000988,230.9410332000116,no selection made,3.5455796000314876,3.5456291000009514,230.94116059999214,230.95716520003043,232.97301389998756,232.95697930001188,5.561519200040493,,,,,,,,,,,,,,,,,,,,257645,right,yes,None,2025-05-06_15h16.18.266,RL_out-of-scanner,2024.2.4,59.78322602820239,2025-05-06 15h16.55.730739 -0700,
1,0,1,,,,,,,space,10.853266799997073,None,5,2.8617132999934256,None,5.563994600030128,k,None,6.012902199989185,6.013302200008184,7.5272770000156015,7.527333400037605,8.54188700002851,8.541938800015487,10.057637899997644,0.4315823999932036,None,,,,,,,0,0,0,0,1,0,1,0,232.97301389998756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.563994600030128,232.95955259999027,232.97301389998756,232.97301389998756,232.97301389998756,232.97301389998756,233.40827379998518,k,right,1,15,1,0,1,1,None,6.012902199989185,6.013302200008184,233.40884310001275,233.42274529999122,233.42274529999122,234.98951839999063,234.98951839999063,234.92270210001152,7.5272770000156015,7.527333400037605,234.98084969999036,234.98951839999063,234.98951839999063,235.93734310002765,stimuli/box_coin_transparent.png,8.54188700002851,8.541938800015487,235.9374726000242,235.95367050002096,237.46933039999567,237.4530989000341,10.057637899997644,0.4315823999932036,None,,,,,,,,,,,,,,,,,,257645,right,yes,None,2025-05-06_15h16.18.266,RL_out-of-scanner,2024.2.4,59.78322602820239,2025-05-06 15h16.55.730739 -0700,
2,0,2,,,,,,,space,10.853266799997073,None,5,2.8617132999934256,None,10.06011960003525,k,None,10.426255700003821,10.426649900036864,11.42386640002951,11.423922899994068,12.438875399995595,12.438925000024028,15.453441500023473,0.3487312000361271,None,,,,,,,0,0,0,0,2,0,2,0,237.46933039999567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.06011960003525,237.45568110002205,237.46933039999567,237.46933039999567,237.46933039999567,237.46933039999567,237.82162509998307,k,right,1,15,2,0,2,2,None,10.426255700003821,10.426649900036864,237.8221906000399,237.8357069999911,237.8357069999911,238.8444726000307,238.8444726000307,238.81929010001477,11.42386640002951,11.423922899994068,238.83734229998663,238.8444726000307,238.8444726000307,239.83433019998483,stimuli/box_coin_transparent.png,12.438875399995595,12.438925000024028,239.83446370001184,239.85023270000238,242.8649022000027,242.84889780002413,15.453441500023473,0.3487312000361271,None,,,,,,,,,,,,,,,,,,257645,right,yes,None,2025-05-06_15h16.18.266,RL_out-of-scanner,2024.2.4,59.78322602820239,2025-05-06 15h16.55.730739 -0700,
3,0,3,,,,,,,space,10.853266799997073,None,5,2.8617132999934256,None,15.456306500011124,j,None,15.770423400041182,15.770879400020931,17.785168700036593,17.785224999999627,18.80037990002893,18.80042730004061,19.800049200013746,0.2894695000140928,None,,,,,,,0,0,0,0,3,0,3,0,242.8649022000027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.456306500011124,242.85187559999758,242.8649022000027,242.8649022000027,242.8649022000027,242.8649022000027,243.16579120000824,j,right,1,15,2,0,2,2,None,15.770423400041182,15.770879400020931,243.16642299998784,243.18183190003037,243.18183190003037,245.24075530003756,245.24075530003756,245.1805866000359,17.785168700036593,17.785224999999627,245.23345180001343,245.24075530003756,245.24075530003756,246.19583470001817,stimuli/box_empty_transparent.png,18.80037990002893,18.80042730004061,246.1959613999934,246.2117900000303,247.21151460002875,247.19550800003344,19.800049200013746,0.2894695000140928,None,,,,,,,,,,,,,,,,,,257645,right,yes,None,2025-05-06_15h16.18.266,RL_out-of-scanner,2024.2.4,59.78322602820239,2025-05-06 15h16.55.730739 -0700,
4,0,4,,,,,,,space,10.853266799997073,None,5,2.8617132999934256,None,19.802604100026656,j,None,20.434669100039173,20.435117700020783,21.449027700000443,21.44908430002397,22.464093899994623,22.46414170000935,24.978888500016183,0.606456600013189,None,,,,,,,0,0,0,0,4,0,4,0,247.21151460002875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.802604100026656,247.19816120003816,247.21151460002875,247.21151460002875,247.21151460002875,247.21151460002875,247.83004740002798,j,right,1,15,2,0,2,2,None,20.434669100039173,20.435117700020783,247.8306605000398,247.84466930001508,247.84466930001508,248.86504880001303,248.86504880001303,248.84445259999484,21.449027700000443,21.44908430002397,248.8583357000025,248.86504880001303,248.86504880001303,249.8595493999892,stimuli/box_empty_transparent.png,22.464093899994623,22.46414170000935,249.8596764000249,249.87568090000423,252.39099139999598,252.37434770003892,24.978888500016183,0.606456600013189,None,,,,,,,,,,,,,,,,,,257645,right,yes,None,2025-05-06_15h16.18.266,RL_out-of-scanner,2024.2.4,59.78322602820239,2025-05-06 15h16.55.730739 -0700,
5,0,5,,,,,,,space,10.853266799997073,None,5,2.8617132999934256,None,24.98148370004492,k,None,25.29741830000421,25.297819200030062,28.8101680999971,28.8102271000389,29.824616900004912,29.8246485000127,31.840139400039334,0.2839090999914333,None,,,,,,,0,0,0,0,5,0,5,0,252.39099139999598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.98148370004492,252.3770447000279,252.39099139999598,252.39099139999598,252.39099139999598,252.39099139999598,252.69278350000968,k,right,1,15,3,0,3,3,None,25.29741830000421,25.297819200030062,252.69336000003386,252.70730130001903,252.70730130001903,256.23032710002735,256.23032710002735,256.20558479998726,28.8101680999971,28.8102271000389,256.22322660003556,256.23032710002735,256.23032710002735,257.2200842000311,stimuli/box_coin_transparent.png,29.824616900004912,29.8246485000127,257.22016640001675,257.2362696999917,259.2517974000075,259.2356027000351,31.840139400039334,0.2839090999914333,None,,,,,,,,,,,,,,,,,,257645,right,yes,None,2025-05-06_15h16.18.266,RL_out-of-scanner,2024.2.4,59.78322602820239,2025-05-06 15h16.55.730739 -0700,
6,0,6,,,,,,,space,10.853266799997073,None,5,2.8617132999934256,None,31.842555300041568,j,None,32.39198439999018,32.392441000032704,33.38976160000311,33.38984720001463,34.40467840002384,34.40472749999026,35.404642200039234,0.5281918000546284,None,,,,,,,0,0,0,0,6,0,6,0,259.2517974000075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.842555300041568,259.2381120999926,259.2517974000075,259.2517974000075,259.2517974000075,259.2517974000075,259.7873572999961,j,right,1,15,3,0,3,3,None,32.39198439999018,32.392441000032704,259.7879847000004,259.8016239000135,259.8016239000135,260.8063218999887,260.8063218999887,260.7851873000036,33.38976160000311,33.38984720001463,260.7994693000219,260.8063218999887,260.8063218999887,261.8001246000058,stimuli/box_empty_transparent.png,34.40467840002384,34.40472749999026,261.8002618000028,261.8161293999874,262.81589900003746,262.8000982000376,35.404642200039234,0.5281918000546284,None,,,,,,,,,,,,,,,,,,257645,right,yes,None,2025-05-06_15h16.18.266,RL_out-of-scanner,2024.2.4,59.78322602820239,2025-05-06 15h16.55.730739 -0700,
