thisN,thisTrialN,thisRepN,cue_resp_lp.keys,cue_resp_lp.rt,cue_resp_lp.duration,cue_resp_rp.keys,cue_resp_rp.rt,cue_resp_rp.duration,advance_press.keys,advance_press.rt,advance_press.duration,trigger_value.keys,trigger_value.rt,trigger_value.duration,cueOnTime,cue_resp.keys,all_keys.keys,cueOffTime,cueRespOnTime,cueRespOffTime,outcomeOnTime,outcomeOffTime,fixOnTime,fixOffTime,cue_resp.rt,cue_resp.duration,all_keys.rt,all_keys.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,prac_left.started,left_box_lp.started,right_box_lp.started,cue_resp_lp.started,prac_left_text.started,prac_left.stopped,practice_loop.cue_resp_lp.keys,practice_loop.cue_resp_lp.rt,practice_loop.cue_resp_lp.duration,prac_left_response.started,left_box_lr.started,right_box_lr.started,prac_left_response.stopped,prac_right.started,left_box_rp.started,right_box_rp.started,cue_resp_rp.started,prac_right_text.started,prac_right.stopped,practice_loop.cue_resp_rp.keys,practice_loop.cue_resp_rp.rt,practice_loop.cue_resp_rp.duration,prac_right_response.started,left_box_rr.started,right_box_rr.started,prac_right_response.stopped,summary_instructions.started,summary_text.started,advance_to_runs.started,summary_instructions.stopped,advance_to_runs.keys,advance_to_runs.rt,advance_to_runs.duration,get_ready.started,get_ready_text.started,advance_press.started,get_ready.stopped,runs.advance_press.keys,runs.advance_press.rt,runs.advance_press.duration,scanner_trigger.started,scanner_text.started,trigger_value.started,scanner_trigger.stopped,runs.trigger_value.keys,runs.trigger_value.rt,runs.trigger_value.duration,trials.cueOnTime,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,trials.cueOffTime,trials.cueRespOnTime,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,trials.cueRespOffTime,trials.outcomeOnTime,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,outcome_image,trials.outcomeOffTime,trials.fixOnTime,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,trials.fixOffTime,trials.cue_resp.rt,trials.cue_resp.duration,trials.all_keys.rt,trials.all_keys.duration,run_feedback.started,coins_won_text.started,run_feedback.stopped,leftover_time_break.started,fixation_end.started,fixation_end.stopped,leftover_time_break.stopped,outcome_left_box.stopped,outcome_right_box.stopped,left_box.stopped,right_box.stopped,cue_resp.stopped,all_keys.stopped,end_exp.started,end_exp.stopped,participant,handedness,practice,restart_from_run,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031552799977362156,0.03709609998622909,0.03709609998622909,119.2143337999587,j,119.15498840005603,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390092,right,yes,None,2025-05-06_11h49.00.376,RL_out-of-scanner,2024.2.4,60.038352505050334,2025-05-06 11h49.09.092266 -0700,
0,0,0,j,1.0635922999936156,None,k,0.8623920999816619,None,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,119.24002570001176,,,,,,,,,119.23169320001034,119.24002570001176,119.24002570001176,119.24002570001176,119.24002570001176,120.30815679999068,j,1.0635922999936156,None,120.30864030000521,120.3231497000088,120.3231497000088,122.82133609999437,122.83076919999439,122.83900279999943,122.83900279999943,122.83900279999943,122.83900279999943,123.70549709995976,k,0.8623920999816619,None,123.70597760000965,123.7203118999605,123.7203118999605,126.21854229999008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390092,right,yes,None,2025-05-06_11h49.00.376,RL_out-of-scanner,2024.2.4,60.038352505050334,2025-05-06 11h49.09.092266 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.21872969996184,126.23533559998032,126.23533559998032,161.44187929999316,j,35.192412800039165,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390092,right,yes,None,2025-05-06_11h49.00.376,RL_out-of-scanner,2024.2.4,60.038352505050334,2025-05-06 11h49.09.092266 -0700,
0,0,0,,,,,,,space,9.403662700031418,None,5,13.969112000020687,None,0.0036016000085510314,None,None,1.514263299992308,1.514401699998416,2.530107799975667,2.530141099996399,3.545427999983076,3.5455623000161722,5.560924399993382,,,,,,,,,0,0,0,0,0,0,0,0,184.87176469998667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.44241729995701,161.45664619997842,161.45664619997842,170.86680339998566,space,9.403662700031418,None,170.86688980000326,170.88232279999647,170.88232279999647,184.8563739999663,5,13.969112000020687,None,0.0036016000085510314,184.86013679997995,184.87176469998667,184.87176469998667,184.87176469998667,184.87176469998667,186.3706295999582,None,right,1,8,0,0,0,0,None,1.514263299992308,1.514401699998416,186.37091409997083,186.387144599983,186.387144599983,187.40364569996018,187.40364569996018,187.386534499994,2.530107799975667,2.530141099996399,187.39661649998743,187.40364569996018,187.40364569996018,188.40185669995844,no selection made,3.545427999983076,3.5455623000161722,188.40205959999003,188.41809569997713,190.4336081999936,190.4173588999547,5.560924399993382,,,,,,,,,,,,,,,,,,,,390092,right,yes,None,2025-05-06_11h49.00.376,RL_out-of-scanner,2024.2.4,60.038352505050334,2025-05-06 11h49.09.092266 -0700,
1,0,1,,,,,,,space,9.403662700031418,None,5,13.969112000020687,None,5.5633955000084825,k,None,6.0292620999971405,6.029674799996428,7.543145700008608,7.543201899970882,8.558615499990992,8.558670600003097,10.074433200003114,0.4446590999723412,None,,,,,,,0,0,0,0,1,0,1,0,190.4336081999936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5633955000084825,190.41992789995857,190.4336081999936,190.4336081999936,190.4336081999936,190.4336081999936,190.885574099957,k,right,1,8,1,0,1,1,None,6.0292620999971405,6.029674799996428,190.88619260000996,190.9000992999645,190.9000992999645,192.44536119996337,192.44536119996337,192.39954529999522,7.543145700008608,7.543201899970882,192.43283529998735,192.44536119996337,192.44536119996337,193.41504499997245,stimuli/box_coin_transparent.png,8.558615499990992,8.558670600003097,193.4151829999755,193.43100719997892,194.94714879995445,194.93086919997586,10.074433200003114,0.4446590999723412,None,,,,,,,,,,,,,,,,,,390092,right,yes,None,2025-05-06_11h49.00.376,RL_out-of-scanner,2024.2.4,60.038352505050334,2025-05-06 11h49.09.092266 -0700,
2,0,2,,,,,,,space,9.403662700031418,None,5,13.969112000020687,None,10.077039900003001,k,None,10.942436099983752,10.942838200018741,11.939775299979374,11.939831700001378,12.955089600000065,12.955140299978666,15.969363800017163,0.8339199000038207,None,,,,,,,0,0,0,0,2,0,2,0,194.94714879995445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.077039900003001,194.9335742999683,194.94714879995445,194.94714879995445,194.94714879995445,194.94714879995445,195.7987795000081,k,right,1,8,2,0,2,2,None,10.942436099983752,10.942838200018741,195.79935559997102,195.81281039997702,195.81281039997702,196.82031679997453,196.82031679997453,196.79617569997208,11.939775299979374,11.939831700001378,196.81331639998825,196.82031679997453,196.82031679997453,197.81151889998,stimuli/box_coin_transparent.png,12.955089600000065,12.955140299978666,197.8116529000108,197.82760929997312,200.84203060000436,200.82579819997773,15.969363800017163,0.8339199000038207,None,,,,,,,,,,,,,,,,,,390092,right,yes,None,2025-05-06_11h49.00.376,RL_out-of-scanner,2024.2.4,60.038352505050334,2025-05-06 11h49.09.092266 -0700,
3,0,3,,,,,,,space,9.403662700031418,None,5,13.969112000020687,None,15.971832700015511,k,None,16.537914699991234,16.53833070001565,18.55126639996888,18.55132169998251,19.56698539998615,19.567039699992165,20.56606169999577,0.5407774999621324,None,,,,,,,0,0,0,0,3,0,3,0,200.84203060000436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.971832700015511,200.8283655999694,200.84203060000436,200.84203060000436,200.84203060000436,200.84203060000436,201.39417579997098,k,right,0,8,2,0,3,2,None,16.537914699991234,16.53833070001565,201.39484859997174,201.4083251999691,201.4083251999691,203.4441044999985,203.4441044999985,203.40766580001218,18.55126639996888,18.55132169998251,203.43728690000717,203.4441044999985,203.4441044999985,204.42341280000983,stimuli/box_empty_transparent.png,19.56698539998615,19.567039699992165,204.42355119995773,204.43893559998833,205.43861829995876,205.42249649995938,20.56606169999577,0.5407774999621324,None,,,,,,,,,,,,,,,,,,390092,right,yes,None,2025-05-06_11h49.00.376,RL_out-of-scanner,2024.2.4,60.038352505050334,2025-05-06 11h49.09.092266 -0700,
4,0,4,,,,,,,space,9.403662700031418,None,5,13.969112000020687,None,20.568655500013847,j,None,20.83415640000021,20.834655400016345,21.832074999983888,21.832132300012745,22.846976700006053,22.84702769998694,25.36179270001594,0.241735499992501,None,,,,,,,0,0,0,0,4,0,4,0,205.43861829995876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.568655500013847,205.42518919997383,205.43861829995876,205.43861829995876,205.43861829995876,205.43861829995876,205.690501199977,j,right,0,8,2,0,3,2,None,20.83415640000021,20.834655400016345,205.6911756999907,205.70501099998364,205.70501099998364,206.7096973999869,206.7096973999869,206.68847220001044,21.832074999983888,21.832132300012745,206.70256939996034,206.7096973999869,206.7096973999869,207.70340609998675,stimuli/box_empty_transparent.png,22.846976700006053,22.84702769998694,207.70353890000843,207.71941019996302,210.2345255999826,210.21822769998107,25.36179270001594,0.241735499992501,None,,,,,,,,,,,,,,,,,,390092,right,yes,None,2025-05-06_11h49.00.376,RL_out-of-scanner,2024.2.4,60.038352505050334,2025-05-06 11h49.09.092266 -0700,
5,0,5,,,,,,,space,9.403662700031418,None,5,13.969112000020687,None,25.364249799982645,k,None,25.61386979999952,25.614270199963357,29.126096399966627,29.126156000012998,30.141442099993583,30.1414937999798,32.15675550000742,0.23198229999979958,None,,,,,,,0,0,0,0,5,0,5,0,210.2345255999826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.364249799982645,210.2207817999879,210.2345255999826,210.2345255999826,210.2345255999826,210.2345255999826,210.470213899971,k,right,0,8,2,0,4,2,None,25.61386979999952,25.614270199963357,210.4707871999708,210.4844947999809,210.4844947999809,214.00327589997323,214.00327589997323,213.98249089997262,29.126096399966627,29.126156000012998,213.9966191999847,214.00327589997323,214.00327589997323,214.99787189997733,stimuli/box_empty_transparent.png,30.141442099993583,30.1414937999798,214.9980060000089,215.01384319999488,217.0293493999634,217.01319019997027,32.15675550000742,0.23198229999979958,None,,,,,,,,,,,,,,,,,,390092,right,yes,None,2025-05-06_11h49.00.376,RL_out-of-scanner,2024.2.4,60.038352505050334,2025-05-06 11h49.09.092266 -0700,
6,0,6,,,,,,,space,9.403662700031418,None,5,13.969112000020687,None,32.15932919998886,k,None,32.524794599972665,32.52519879996544,33.52312319999328,33.52318269998068,34.53794619999826,34.53799489996163,35.53731029998744,0.34913839999353513,None,,,,,,,0,0,0,0,6,0,6,0,217.0293493999634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.15932919998886,217.01589619996957,217.0293493999634,217.0293493999634,217.0293493999634,217.0293493999634,217.38113739999244,k,right,1,8,3,0,5,3,None,32.524794599972665,32.52519879996544,217.3817162999767,217.39573709998513,217.39573709998513,218.40446299995529,218.40446299995529,218.37952079996467,33.52312319999328,33.52318269998068,218.39704229997005,218.40446299995529,218.40446299995529,219.39437449997058,stimuli/box_coin_transparent.png,34.53794619999826,34.53799489996163,219.394530199992,219.41032659995835,220.40989809995517,220.39374440000392,35.53731029998744,0.34913839999353513,None,,,,,,,,,,,,,,,,,,390092,right,yes,None,2025-05-06_11h49.00.376,RL_out-of-scanner,2024.2.4,60.038352505050334,2025-05-06 11h49.09.092266 -0700,
