thisN,thisTrialN,thisRepN,find_box_press.keys,find_box_press.rt,find_box_press.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue_resp_switch.keys,cue_resp_switch.rt,cue_resp_switch.duration,pointer_press.keys,pointer_press.rt,pointer_press.duration,cue_resp.keys,all_keys.keys,cue_resp.rt,cue_resp.duration,all_keys.rt,all_keys.duration,restart_both.thisRepN,restart_both.thisTrialN,restart_both.thisN,restart_both.thisIndex,find_magic_box_loop.thisRepN,find_magic_box_loop.thisTrialN,find_magic_box_loop.thisN,find_magic_box_loop.thisIndex,switch_side_loop.thisRepN,switch_side_loop.thisTrialN,switch_side_loop.thisN,switch_side_loop.thisIndex,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,first_box.started,show_stimuli.started,stimuli_text.started,key_resp.started,first_box.stopped,key_resp.keys,key_resp.rt,key_resp.duration,first_coin.started,first_coin_img.started,magic_coin_text.started,first_coin.stopped,prac_both_instructions.started,prac_both_text.started,key_resp_2.started,prac_both_instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,prac_both.started,prac_left_2.started,prac_right_2.started,find_box_press.started,prac_both.stopped,find_magic_box_loop.find_box_press.keys,find_magic_box_loop.find_box_press.rt,find_magic_box_loop.find_box_press.duration,prac_both_selec.started,left_box_lr.started,right_box_lr.started,prac_both_selec.stopped,prac_both_out.started,prac_left_box.started,prac_right_box.started,prac_both_out.stopped,fix_both.started,fix_text.started,fix_text.stopped,fix_both.stopped,left_box_lr.stopped,right_box_lr.stopped,saw_reward.started,restart_proceed_text.started,key_resp_3.started,saw_reward.stopped,restart_both.key_resp_3.keys,restart_both.key_resp_3.rt,restart_both.key_resp_3.duration,switch_cue.started,left_box_switch.started,right_box_switch.started,cue_resp_switch.started,switch_cue.stopped,switch_side_loop.cue_resp_switch.keys,switch_side_loop.cue_resp_switch.rt,switch_side_loop.cue_resp_switch.duration,switch_select.started,left_switch_selec.started,right_switch_selec.started,switch_select.stopped,switch_out.started,left_box_switch_out.started,right_box_switch_out.started,switch_out.stopped,left_switch_selec.stopped,right_switch_selec.stopped,no_coin_instruc.started,summary_text.started,pointer_press.started,no_coin_instruc.stopped,pracLoop.pointer_press.keys,pracLoop.pointer_press.rt,pracLoop.pointer_press.duration,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,left_box.stopped,right_box.stopped,cue_resp.stopped,all_keys.stopped,cue.stopped,trials.cue_resp.keys,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,outcome_image,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,trials.cue_resp.rt,trials.cue_resp.duration,trials.all_keys.rt,trials.all_keys.duration,outcome_left_box.stopped,outcome_right_box.stopped,run_feedback.started,coins_won_text.started,run_feedback.stopped,understanding_check.started,restart_key.started,participant,handedness,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025475599977653474,0.032219799992162734,0.032219799992162734,140.35798829997657,j,140.23726180003723,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494958,right,2025-05-06_11h20.26.552,RL_practice,2024.2.4,59.82113480991348,2025-05-06 11h20.52.112021 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.35805019998224,140.36992989998544,140.36992989998544,140.36992989998544,150.70281420001993,j,10.32014490000438,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494958,right,2025-05-06_11h20.26.552,RL_practice,2024.2.4,59.82113480991348,2025-05-06 11h20.52.112021 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.70285330002662,150.71837610000512,150.71837610000512,153.2166409000056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494958,right,2025-05-06_11h20.26.552,RL_practice,2024.2.4,59.82113480991348,2025-05-06 11h20.52.112021 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.2166824999731,153.2331934000249,153.2331934000249,172.6687651000102,j,19.428680900018662,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494958,right,2025-05-06_11h20.26.552,RL_practice,2024.2.4,59.82113480991348,2025-05-06 11h20.52.112021 -0700,
0,0,0,k,3.495361899957061,None,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,172.68510790000437,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.67054319998715,172.68510790000437,172.68510790000437,172.68510790000437,176.18329399998765,k,3.495361899957061,None,176.18489209999098,176.20151089999126,176.20151089999126,177.69725099997595,177.71363700000802,177.71997759997612,177.71997759997612,178.69656700000633,178.696622700023,178.71277480002027,180.2152623999864,180.1983114000177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494958,right,2025-05-06_11h20.26.552,RL_practice,2024.2.4,59.82113480991348,2025-05-06 11h20.52.112021 -0700,
1,0,1,k,1.312247900001239,None,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,180.2152623999864,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.19844890001696,180.2152623999864,180.2152623999864,180.2152623999864,181.52827469998738,k,1.312247900001239,None,181.52979479997884,181.54439350002212,181.54439350002212,183.04315280000446,183.04979670001194,183.06030539999483,183.06030539999483,184.042063699977,184.04210110002896,184.05842509999638,185.57439099997282,185.55783090001205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494958,right,2025-05-06_11h20.26.552,RL_practice,2024.2.4,59.82113480991348,2025-05-06 11h20.52.112021 -0700,
2,0,2,j,0.39053039997816086,None,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,185.57439099997282,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.55804179998813,185.57439099997282,185.57439099997282,185.57439099997282,185.9745870999759,j,0.39053039997816086,None,185.9762890000129,185.99058139999397,185.99058139999397,187.47609930002363,187.48691899998812,187.49889980000444,187.49889980000444,188.47536709997803,188.4754072999931,188.48898740002187,191.48970330000157,191.472492699977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494958,right,2025-05-06_11h20.26.552,RL_practice,2024.2.4,59.82113480991348,2025-05-06 11h20.52.112021 -0700,
3,0,3,j,1.0583768999786116,None,,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,191.48970330000157,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.472732299997,191.48970330000157,191.48970330000157,191.48970330000157,192.55610570003046,j,1.0583768999786116,None,192.5577376000001,192.5721399000031,192.5721399000031,194.0672505000257,194.07462670002133,194.08472270000493,194.08472270000493,195.06671410001582,195.06675070000347,195.08287629997358,198.0808189000236,198.06718130002264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494958,right,2025-05-06_11h20.26.552,RL_practice,2024.2.4,59.82113480991348,2025-05-06 11h20.52.112021 -0700,
4,0,4,k,0.5182485999539495,None,,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,198.0808189000236,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.06731890002266,198.0808189000236,198.0808189000236,198.0808189000236,198.61443199997302,k,0.5182485999539495,None,198.61592419998487,198.63036840001587,198.63036840001587,200.11319100001128,200.11913900001673,200.1298418000224,200.1298418000224,201.128515599994,201.128555400006,201.14454900001874,203.66243399999803,203.64329570002155,200.1298418000224,200.1298418000224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494958,right,2025-05-06_11h20.26.552,RL_practice,2024.2.4,59.82113480991348,2025-05-06 11h20.52.112021 -0700,
0,0,0,,,,j,12.728611899947282,None,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.64986290002707,203.66243399999803,203.66243399999803,216.4003608999774,j,12.728611899947282,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494958,right,2025-05-06_11h20.26.552,RL_practice,2024.2.4,59.82113480991348,2025-05-06 11h20.52.112021 -0700,
