thisN,thisTrialN,thisRepN,cue_resp_lp.keys,cue_resp_lp.rt,cue_resp_lp.duration,cue_resp_rp.keys,cue_resp_rp.rt,cue_resp_rp.duration,advance_press.keys,advance_press.rt,advance_press.duration,trigger_value.keys,trigger_value.rt,trigger_value.duration,cueOnTime,cue_resp.keys,all_keys.keys,cueOffTime,cueRespOnTime,cueRespOffTime,outcomeOnTime,outcomeOffTime,fixOnTime,fixOffTime,cue_resp.rt,cue_resp.duration,all_keys.rt,all_keys.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,prac_left.started,left_box_lp.started,right_box_lp.started,cue_resp_lp.started,prac_left_text.started,prac_left.stopped,practice_loop.cue_resp_lp.keys,practice_loop.cue_resp_lp.rt,practice_loop.cue_resp_lp.duration,prac_left_response.started,left_box_lr.started,right_box_lr.started,prac_left_response.stopped,prac_right.started,left_box_rp.started,right_box_rp.started,cue_resp_rp.started,prac_right_text.started,prac_right.stopped,practice_loop.cue_resp_rp.keys,practice_loop.cue_resp_rp.rt,practice_loop.cue_resp_rp.duration,prac_right_response.started,left_box_rr.started,right_box_rr.started,prac_right_response.stopped,summary_instructions.started,summary_text.started,advance_to_runs.started,summary_instructions.stopped,advance_to_runs.keys,advance_to_runs.rt,advance_to_runs.duration,get_ready.started,get_ready_text.started,advance_press.started,get_ready.stopped,runs.advance_press.keys,runs.advance_press.rt,runs.advance_press.duration,scanner_trigger.started,scanner_text.started,trigger_value.started,scanner_trigger.stopped,runs.trigger_value.keys,runs.trigger_value.rt,runs.trigger_value.duration,trials.cueOnTime,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,left_box.stopped,right_box.stopped,cue_resp.stopped,all_keys.stopped,cue.stopped,trials.cue_resp.keys,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,trials.cueOffTime,trials.cueRespOnTime,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,trials.cueRespOffTime,trials.outcomeOnTime,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,outcome_image,trials.outcomeOffTime,trials.fixOnTime,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,trials.fixOffTime,trials.cue_resp.rt,trials.cue_resp.duration,run_feedback.started,coins_won_text.started,run_feedback.stopped,leftover_time_break.started,fixation_end.started,fixation_end.stopped,leftover_time_break.stopped,trials.all_keys.rt,trials.all_keys.duration,end_exp.started,end_exp.stopped,participant,handedness,practice,restart_from_run,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.030732100014574826,0.036404000013135374,0.036404000013135374,63.51837990002241,j,63.460824199952185,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,826422,right,yes,None,2025-05-07_09h42.27.900,RL_out-of-scanner,2024.2.4,60.113422014537086,2025-05-07 09h42.37.623452 -0700,
0,0,0,j,5.5995350000448525,None,k,3.240293000009842,None,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,63.54077540000435,,,,,,,,,63.53108909993898,63.54077540000435,63.54077540000435,63.54077540000435,63.54077540000435,69.14226210000925,j,5.5995350000448525,None,69.1427317999769,69.15726340003312,69.15726340003312,71.65519149997272,71.66397009999491,71.67305179999676,71.67305179999676,71.67305179999676,71.67305179999676,74.92086369998287,k,3.240293000009842,None,74.92134270002134,74.9356474999804,74.9356474999804,77.43370449997019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,826422,right,yes,None,2025-05-07_09h42.27.900,RL_out-of-scanner,2024.2.4,60.113422014537086,2025-05-07 09h42.37.623452 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.43389089999255,77.45044960000087,77.45044960000087,103.59767189994454,j,26.145364099997096,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,826422,right,yes,None,2025-05-07_09h42.27.900,RL_out-of-scanner,2024.2.4,60.113422014537086,2025-05-07 09h42.37.623452 -0700,
0,0,0,,,,,,,space,51.73817180003971,None,5,0.6387330000288785,None,0.0034985000966116786,None,None,1.4990874000359327,1.499200600082986,2.498007300077006,2.4980586000019684,3.5132795000681654,3.513329500099644,5.528165700030513,,,,,,,,,0,0,0,0,0,0,0,0,156.03754439996555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.59821099997498,103.61242849996779,103.61242849996779,155.35645159997512,space,51.73817180003971,None,155.35661769995932,155.37127130001318,155.37127130001318,156.02194430003874,5,0.6387330000288785,None,0.0034985000966116786,156.02558689995203,156.03754439996555,156.03754439996555,156.03754439996555,156.03754439996555,157.5365883000195,157.5365883000195,157.5365883000195,157.5365883000195,157.5210096000228,None,right,0,8,0,0,0,0,None,1.4990874000359327,1.499200600082986,157.5212620999664,157.5365883000195,157.5365883000195,158.54342430003453,158.54342430003453,158.51995879993774,2.498007300077006,2.4980586000019684,158.5350560999941,158.54342430003453,158.54342430003453,159.53526020003483,no selection made,3.5132795000681654,3.513329500099644,159.5353908999823,159.55133319995366,161.56700279994402,161.55015349993482,5.528165700030513,,,,,,,,,,,,,,826422,right,yes,None,2025-05-07_09h42.27.900,RL_out-of-scanner,2024.2.4,60.113422014537086,2025-05-07 09h42.37.623452 -0700,
1,0,1,,,,,,,space,51.73817180003971,None,5,0.6387330000288785,None,5.5305366000393406,j,None,5.929398000007495,5.9298396001104265,7.427642300026491,7.4276991001097485,8.442800000077114,8.442855200031772,9.941782500012778,0.36647250002715737,None,,,,,,,0,0,0,0,1,0,1,0,161.56700279994402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5305366000393406,161.5526178999571,161.56700279994402,161.56700279994402,161.56700279994402,161.56700279994402,,,,,161.9512993999524,j,right,0,8,0,0,0,0,None,5.929398000007495,5.9298396001104265,161.95190729992464,161.96617020003032,161.96617020003032,163.47143889998551,163.47143889998551,163.44959109998308,7.427642300026491,7.4276991001097485,163.4637074000202,163.47143889998551,163.47143889998551,164.46478229993954,stimuli/box_empty_transparent.png,8.442800000077114,8.442855200031772,164.46491999994032,164.48033920000307,165.97994989994913,165.96376990003046,9.941782500012778,0.36647250002715737,None,,,,,,,,,,,,826422,right,yes,None,2025-05-07_09h42.27.900,RL_out-of-scanner,2024.2.4,60.113422014537086,2025-05-07 09h42.37.623452 -0700,
2,0,2,,,,,,,space,51.73817180003971,None,5,0.6387330000288785,None,9.94431330007501,j,None,10.259756400017068,10.260255700093694,11.25760170002468,11.25765740009956,12.272645800025202,12.272692800033838,15.287027800106443,0.2834888999350369,None,,,,,,,0,0,0,0,2,0,2,0,165.97994989994913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.94431330007501,165.9663979000179,165.97994989994913,165.97994989994913,165.97994989994913,165.97994989994913,,,,,166.28165609994903,j,right,0,8,0,0,0,0,None,10.259756400017068,10.260255700093694,166.28232929995283,166.29625000001397,166.29625000001397,167.300567499944,167.300567499944,167.27955570002086,11.25760170002468,11.25765740009956,167.2936192000052,167.300567499944,167.300567499944,168.29462890001014,stimuli/box_empty_transparent.png,12.272645800025202,12.272692800033838,168.2947562999325,168.3107580000069,171.32532279996667,171.30901989992708,15.287027800106443,0.2834888999350369,None,,,,,,,,,,,,826422,right,yes,None,2025-05-07_09h42.27.900,RL_out-of-scanner,2024.2.4,60.113422014537086,2025-05-07 09h42.37.623452 -0700,
3,0,3,,,,,,,space,51.73817180003971,None,5,0.6387330000288785,None,15.289425000082701,k,None,15.622274900088087,15.622676099999808,17.63632220006548,17.636378700030036,18.651607600040734,18.65166160010267,19.666864500031807,0.3039975999854505,None,,,,,,,0,0,0,0,3,0,3,0,171.32532279996667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.289425000082701,171.31150820001494,171.32532279996667,171.32532279996667,171.32532279996667,171.32532279996667,,,,,171.64417099999264,k,right,1,8,1,0,1,1,None,15.622274900088087,15.622676099999808,171.64478069997858,171.65869399998337,171.65869399998337,173.68291360000148,173.68291360000148,173.65826169995125,17.63632220006548,17.636378700030036,173.67601699999068,173.68291360000148,173.68291360000148,174.67359020002186,stimuli/box_coin_transparent.png,18.651607600040734,18.65166160010267,174.6737254000036,174.6891415999271,175.70511700003408,175.68885659996886,19.666864500031807,0.3039975999854505,None,,,,,,,,,,,,826422,right,yes,None,2025-05-07_09h42.27.900,RL_out-of-scanner,2024.2.4,60.113422014537086,2025-05-07 09h42.37.623452 -0700,
4,0,4,,,,,,,space,51.73817180003971,None,5,0.6387330000288785,None,19.669348300085403,k,None,20.00226440001279,20.00266580004245,21.00004870002158,21.000105500104837,22.015125600039028,22.015198800014332,24.530043400009163,0.31606840004678816,None,,,,,,,0,0,0,0,4,0,4,0,175.70511700003408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.669348300085403,175.69144029996824,175.70511700003408,175.70511700003408,175.70511700003408,175.70511700003408,,,,,176.02416419994552,k,right,0,8,1,0,2,1,None,20.00226440001279,20.00266580004245,176.02473429997917,176.03851129999384,176.03851129999384,177.0430997000076,177.0430997000076,177.02199829998426,21.00004870002158,21.000105500104837,177.03625689994078,177.0430997000076,177.0430997000076,178.037109100027,stimuli/box_empty_transparent.png,22.015125600039028,22.015198800014332,178.03726260003168,178.0531350999372,180.56813649996184,180.55203150003217,24.530043400009163,0.31606840004678816,None,,,,,,,,,,,,826422,right,yes,None,2025-05-07_09h42.27.900,RL_out-of-scanner,2024.2.4,60.113422014537086,2025-05-07 09h42.37.623452 -0700,
5,0,5,,,,,,,space,51.73817180003971,None,5,0.6387330000288785,None,24.532523600035347,j,None,24.831754900049418,24.832212900044397,28.343773400061764,28.343830300029367,29.35905020008795,29.359098700108007,31.374457800062373,0.271614299970679,None,,,,,,,0,0,0,0,5,0,5,0,180.56813649996184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.532523600035347,180.55460969998967,180.56813649996184,180.56813649996184,180.56813649996184,180.56813649996184,,,,,180.85365339997225,j,right,0,8,1,0,2,1,None,24.831754900049418,24.832212900044397,180.85431660001632,180.8679625999648,180.8679625999648,184.386078099953,184.386078099953,184.3657261999324,28.343773400061764,28.343830300029367,184.3797598000383,184.386078099953,184.386078099953,185.38103379996028,stimuli/box_empty_transparent.png,29.35905020008795,29.359098700108007,185.38116099999752,185.39705909998156,187.4126769999275,187.3964449999621,31.374457800062373,0.271614299970679,None,,,,,,,,,,,,826422,right,yes,None,2025-05-07_09h42.27.900,RL_out-of-scanner,2024.2.4,60.113422014537086,2025-05-07 09h42.37.623452 -0700,
6,0,6,,,,,,,space,51.73817180003971,None,5,0.6387330000288785,None,31.376951300073415,k,None,31.75928210001439,31.759721200098284,32.757066200021654,32.757120500085875,33.772263500024565,33.77231380005833,34.771933300071396,0.35510300006717443,None,,,,,,,0,0,0,0,6,0,6,0,187.4126769999275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.376951300073415,187.39903710002545,187.4126769999275,187.4126769999275,187.4126769999275,187.4126769999275,,,,,187.78118179994635,k,right,1,8,2,0,3,2,None,31.75928210001439,31.759721200098284,187.78179129993077,187.7955805999227,187.7955805999227,188.80297640000936,188.80297640000936,188.77901039994322,32.757066200021654,32.757120500085875,188.79618119995575,188.80297640000936,188.80297640000936,189.79423939995468,stimuli/box_coin_transparent.png,33.772263500024565,33.77231380005833,189.7943787999684,189.81046159996185,190.81018139992375,190.79391779995058,34.771933300071396,0.35510300006717443,None,,,,,,,,,,,,826422,right,yes,None,2025-05-07_09h42.27.900,RL_out-of-scanner,2024.2.4,60.113422014537086,2025-05-07 09h42.37.623452 -0700,
