thisN,thisTrialN,thisRepN,find_box_press.keys,find_box_press.rt,find_box_press.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue_resp_switch.keys,cue_resp_switch.rt,cue_resp_switch.duration,pointer_press.keys,pointer_press.rt,pointer_press.duration,cue_resp.keys,cue_resp.rt,cue_resp.duration,all_keys.keys,all_keys.rt,all_keys.duration,restart_key.keys,restart_key.rt,restart_key.duration,restart_both.thisRepN,restart_both.thisTrialN,restart_both.thisN,restart_both.thisIndex,find_magic_box_loop.thisRepN,find_magic_box_loop.thisTrialN,find_magic_box_loop.thisN,find_magic_box_loop.thisIndex,switch_side_loop.thisRepN,switch_side_loop.thisTrialN,switch_side_loop.thisN,switch_side_loop.thisIndex,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,first_box.started,show_stimuli.started,stimuli_text.started,key_resp.started,first_box.stopped,key_resp.keys,key_resp.rt,key_resp.duration,first_coin.started,first_coin_img.started,magic_coin_text.started,first_coin.stopped,prac_both_instructions.started,prac_both_text.started,key_resp_2.started,prac_both_instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,prac_both.started,prac_left_2.started,prac_right_2.started,find_box_press.started,prac_both.stopped,find_magic_box_loop.find_box_press.keys,find_magic_box_loop.find_box_press.rt,find_magic_box_loop.find_box_press.duration,prac_both_selec.started,left_box_lr.started,right_box_lr.started,prac_both_selec.stopped,prac_both_out.started,prac_left_box.started,prac_right_box.started,prac_both_out.stopped,fix_both.started,fix_text.started,fix_text.stopped,fix_both.stopped,saw_reward.started,restart_proceed_text.started,key_resp_3.started,saw_reward.stopped,restart_both.key_resp_3.keys,restart_both.key_resp_3.rt,restart_both.key_resp_3.duration,switch_cue.started,left_box_switch.started,right_box_switch.started,cue_resp_switch.started,switch_cue.stopped,switch_side_loop.cue_resp_switch.keys,switch_side_loop.cue_resp_switch.rt,switch_side_loop.cue_resp_switch.duration,switch_select.started,left_switch_selec.started,right_switch_selec.started,switch_select.stopped,switch_out.started,left_box_switch_out.started,right_box_switch_out.started,switch_out.stopped,left_switch_selec.stopped,right_switch_selec.stopped,no_coin_instruc.started,summary_text.started,pointer_press.started,no_coin_instruc.stopped,pracLoop.pointer_press.keys,pracLoop.pointer_press.rt,pracLoop.pointer_press.duration,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,trials.cue_resp.rt,trials.cue_resp.duration,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,outcome_image,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,outcome_left_box.stopped,outcome_right_box.stopped,trials.all_keys.rt,trials.all_keys.duration,run_feedback.started,coins_won_text.started,run_feedback.stopped,understanding_check.started,restart_key.started,understanding_check.stopped,pracLoop.restart_key.keys,pracLoop.restart_key.rt,pracLoop.restart_key.duration,participant,handedness,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01935099996626377,0.025559699977748096,0.025559699977748096,117.56265199999325,j,117.39047139999457,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857044,right,2025-05-07_09h33.51.247,RL_practice,2024.2.4,60.031360397831,2025-05-07 09h34.10.199553 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.56275239994284,117.57202969992068,117.57202969992068,117.57202969992068,126.42746789997909,j,8.838441099971533,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857044,right,2025-05-07_09h33.51.247,RL_practice,2024.2.4,60.031360397831,2025-05-07 09h34.10.199553 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.42751919990405,126.44276979996357,126.44276979996357,128.94083709991537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857044,right,2025-05-07_09h33.51.247,RL_practice,2024.2.4,60.031360397831,2025-05-07 09h34.10.199553 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.9409045999637,128.95753309992142,128.95753309992142,143.76366369996686,j,14.789698099950328,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857044,right,2025-05-07_09h33.51.247,RL_practice,2024.2.4,60.031360397831,2025-05-07 09h34.10.199553 -0700,
0,0,0,k,8.591839500004426,None,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,143.8109786999412,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.8037578999065,143.8109786999412,143.8109786999412,143.8109786999412,152.40681239997502,k,8.591839500004426,None,152.41037439997308,152.42221949994564,152.42221949994564,153.9211458999198,153.98984349996317,153.9993394999765,153.9993394999765,154.9204172999598,154.92048239998985,154.93640129989944,156.452807799913,156.4359928999329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857044,right,2025-05-07_09h33.51.247,RL_practice,2024.2.4,60.031360397831,2025-05-07 09h34.10.199553 -0700,
1,0,1,j,1.505544799962081,None,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,156.452807799913,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.43626539991237,156.452807799913,156.452807799913,156.452807799913,157.96919309999794,j,1.505544799962081,None,157.97263079998083,157.9848046998959,157.9848046998959,159.4835036000004,159.50009329989552,159.50910319993272,159.50910319993272,160.48252699989825,160.48259299993515,160.49901899998076,162.51424139994197,162.49780039989855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857044,right,2025-05-07_09h33.51.247,RL_practice,2024.2.4,60.031360397831,2025-05-07 09h34.10.199553 -0700,
2,0,2,j,2.112964699976146,None,,,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,162.51424139994197,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.4980801999336,162.51424139994197,162.51424139994197,162.51424139994197,164.63082429999486,j,2.112964699976146,None,164.63426089996938,164.64583349996246,164.64583349996246,166.14479609997943,166.16138529998716,166.16909739992116,166.16909739992116,167.14395679999143,167.14402459992561,167.15998529992066,170.1747650000034,170.15851699991617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857044,right,2025-05-07_09h33.51.247,RL_practice,2024.2.4,60.031360397831,2025-05-07 09h34.10.199553 -0700,
3,0,3,k,2.142765099997632,None,,,,,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,170.1747650000034,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.1587908999063,170.1747650000034,170.1747650000034,170.1747650000034,172.32466489996295,k,2.142765099997632,None,172.32810329995118,172.33970079990104,172.33970079990104,173.83867440000176,173.85213539993856,173.8600137999747,173.8600137999747,174.83780509990174,174.83787489996757,174.8537688999204,177.8684039999498,177.85208260000218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857044,right,2025-05-07_09h33.51.247,RL_practice,2024.2.4,60.031360397831,2025-05-07 09h34.10.199553 -0700,
4,0,4,k,1.800529500003904,None,,,,,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,177.8684039999498,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.85234299988952,177.8684039999498,177.8684039999498,177.8684039999498,179.6849183999002,k,1.800529500003904,None,179.6883275998989,179.70056429994293,179.70056429994293,181.19933239999227,181.21276319993194,181.2199664999498,181.2199664999498,182.19875699991826,182.19882639998104,182.21473179990426,185.27291939989664,185.21291859995108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857044,right,2025-05-07_09h33.51.247,RL_practice,2024.2.4,60.031360397831,2025-05-07 09h34.10.199553 -0700,
0,0,0,,,,j,7.609721099957824,None,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.2657550999429,185.27291939989664,185.27291939989664,192.89105149998795,j,7.609721099957824,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857044,right,2025-05-07_09h33.51.247,RL_practice,2024.2.4,60.031360397831,2025-05-07 09h34.10.199553 -0700,
