thisN,thisTrialN,thisRepN,find_box_press.keys,find_box_press.rt,find_box_press.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue_resp_switch.keys,cue_resp_switch.rt,cue_resp_switch.duration,pointer_press.keys,pointer_press.rt,pointer_press.duration,cue_resp.keys,cue_resp.rt,cue_resp.duration,all_keys.keys,restart_both.thisRepN,restart_both.thisTrialN,restart_both.thisN,restart_both.thisIndex,find_magic_box_loop.thisRepN,find_magic_box_loop.thisTrialN,find_magic_box_loop.thisN,find_magic_box_loop.thisIndex,switch_side_loop.thisRepN,switch_side_loop.thisTrialN,switch_side_loop.thisN,switch_side_loop.thisIndex,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,first_box.started,show_stimuli.started,stimuli_text.started,key_resp.started,first_box.stopped,key_resp.keys,key_resp.rt,key_resp.duration,first_coin.started,first_coin_img.started,magic_coin_text.started,first_coin.stopped,prac_both_instructions.started,prac_both_text.started,key_resp_2.started,prac_both_instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,prac_both.started,prac_left_2.started,prac_right_2.started,find_box_press.started,prac_both.stopped,find_magic_box_loop.find_box_press.keys,find_magic_box_loop.find_box_press.rt,find_magic_box_loop.find_box_press.duration,prac_both_selec.started,left_box_lr.started,right_box_lr.started,left_box_lr.stopped,right_box_lr.stopped,prac_both_selec.stopped,prac_both_out.started,prac_left_box.started,prac_right_box.started,prac_both_out.stopped,fix_both.started,fix_text.started,fix_text.stopped,fix_both.stopped,saw_reward.started,restart_proceed_text.started,key_resp_3.started,saw_reward.stopped,restart_both.key_resp_3.keys,restart_both.key_resp_3.rt,restart_both.key_resp_3.duration,switch_cue.started,left_box_switch.started,right_box_switch.started,cue_resp_switch.started,switch_cue.stopped,switch_side_loop.cue_resp_switch.keys,switch_side_loop.cue_resp_switch.rt,switch_side_loop.cue_resp_switch.duration,switch_select.started,left_switch_selec.started,right_switch_selec.started,switch_select.stopped,switch_out.started,left_box_switch_out.started,right_box_switch_out.started,switch_out.stopped,left_switch_selec.stopped,right_switch_selec.stopped,no_coin_instruc.started,summary_text.started,pointer_press.started,no_coin_instruc.stopped,pracLoop.pointer_press.keys,pracLoop.pointer_press.rt,pracLoop.pointer_press.duration,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,trials.cue_resp.rt,trials.cue_resp.duration,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,outcome_image,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,run_feedback.started,coins_won_text.started,run_feedback.stopped,understanding_check.started,restart_key.started,participant,handedness,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02176789997611195,0.027558399946428835,0.027558399946428835,93.3232016999973,j,93.23071180004627,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562514,right,2025-05-07_14h11.49.416,RL_practice,2024.2.4,59.63921849994817,2025-05-07 14h11.57.846795 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.32330409996212,93.33487159991637,93.33487159991637,93.33487159991637,104.43229559995234,j,11.088478299905546,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562514,right,2025-05-07_14h11.49.416,RL_practice,2024.2.4,59.63921849994817,2025-05-07 14h11.57.846795 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.43238569993991,104.44723079993855,104.44723079993855,106.94520680001006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562514,right,2025-05-07_14h11.49.416,RL_practice,2024.2.4,59.63921849994817,2025-05-07 14h11.57.846795 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.94527609995566,106.96156089997385,106.96156089997385,124.98237589991186,j,18.00350019999314,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562514,right,2025-05-07_14h11.49.416,RL_practice,2024.2.4,59.63921849994817,2025-05-07 14h11.57.846795 -0700,
0,0,0,j,3.4776504000183195,None,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,125.02998409990687,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.0232682999922,125.02998409990687,125.02998409990687,125.02998409990687,128.51261689991225,j,3.4776504000183195,None,128.51618439995218,128.5282400000142,128.5282400000142,130.03789839998353,130.03789839998353,130.01168499991763,130.02926549990661,130.03789839998353,130.03789839998353,131.0264809000073,131.02654829993844,131.04287859995384,132.05881349998526,132.04260149993934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562514,right,2025-05-07_14h11.49.416,RL_practice,2024.2.4,59.63921849994817,2025-05-07 14h11.57.846795 -0700,
1,0,1,j,1.7397271000081673,None,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,132.05881349998526,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.0428796999622,132.05881349998526,132.05881349998526,132.05881349998526,133.80904689989984,j,1.7397271000081673,None,133.81250239990186,133.8239480999764,133.8239480999764,,,135.32277719990816,135.33994320000056,135.34709930000827,135.34709930000827,136.3222122999141,136.32227969996165,136.33854009991046,137.85410689993296,137.83779269992374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562514,right,2025-05-07_14h11.49.416,RL_practice,2024.2.4,59.63921849994817,2025-05-07 14h11.57.846795 -0700,
2,0,2,j,0.4061473000328988,None,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,137.85410689993296,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.83807099994738,137.85410689993296,137.85410689993296,137.85410689993296,138.27162989997305,j,0.4061473000328988,None,138.2751680999063,138.28718639991712,138.28718639991712,,,139.7859328999184,139.7963145999238,139.80246819998138,139.80246819998138,140.78615029994398,140.78621920000296,140.80111389991362,142.81679879990406,142.80076819995884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562514,right,2025-05-07_14h11.49.416,RL_practice,2024.2.4,59.63921849994817,2025-05-07 14h11.57.846795 -0700,
3,0,3,k,0.3846521999221295,None,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,142.81679879990406,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.80107859999407,142.81679879990406,142.81679879990406,142.81679879990406,143.2175825999584,k,0.3846521999221295,None,143.22104500001296,143.23322559997905,143.23322559997905,,,144.73195729998406,144.78511259995867,144.8003626000136,144.8003626000136,145.73114669998176,145.73119169997517,145.74724359996617,148.2625569999218,148.24638759996742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562514,right,2025-05-07_14h11.49.416,RL_practice,2024.2.4,59.63921849994817,2025-05-07 14h11.57.846795 -0700,
4,0,4,j,0.4059502000454813,None,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,148.2625569999218,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.2467042999342,148.2625569999218,148.2625569999218,148.2625569999218,148.68041879998054,j,0.4059502000454813,None,148.6840821999358,148.6954410999315,148.6954410999315,,,150.19434609997552,150.21158709994052,150.21813719999045,150.21813719999045,151.1935057999799,151.19357169989962,151.20951049996074,152.75308159994893,152.69299649994355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562514,right,2025-05-07_14h11.49.416,RL_practice,2024.2.4,59.63921849994817,2025-05-07 14h11.57.846795 -0700,
0,0,0,,,,j,7.5228032999439165,None,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.74602029996458,152.75308159994893,152.75308159994893,160.2880182999652,j,7.5228032999439165,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562514,right,2025-05-07_14h11.49.416,RL_practice,2024.2.4,59.63921849994817,2025-05-07 14h11.57.846795 -0700,
