thisN,thisTrialN,thisRepN,find_box_press.keys,find_box_press.rt,find_box_press.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue_resp_switch.keys,cue_resp_switch.rt,cue_resp_switch.duration,pointer_press.keys,pointer_press.rt,pointer_press.duration,cue_resp.keys,cue_resp.rt,cue_resp.duration,all_keys.keys,all_keys.rt,all_keys.duration,restart_both.thisRepN,restart_both.thisTrialN,restart_both.thisN,restart_both.thisIndex,find_magic_box_loop.thisRepN,find_magic_box_loop.thisTrialN,find_magic_box_loop.thisN,find_magic_box_loop.thisIndex,switch_side_loop.thisRepN,switch_side_loop.thisTrialN,switch_side_loop.thisN,switch_side_loop.thisIndex,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,first_box.started,show_stimuli.started,stimuli_text.started,key_resp.started,first_box.stopped,key_resp.keys,key_resp.rt,key_resp.duration,first_coin.started,first_coin_img.started,magic_coin_text.started,first_coin.stopped,prac_both_instructions.started,prac_both_text.started,key_resp_2.started,prac_both_instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,prac_both.started,prac_left_2.started,prac_right_2.started,find_box_press.started,prac_both.stopped,find_magic_box_loop.find_box_press.keys,find_magic_box_loop.find_box_press.rt,find_magic_box_loop.find_box_press.duration,prac_both_selec.started,left_box_lr.started,right_box_lr.started,prac_both_selec.stopped,prac_both_out.started,prac_left_box.started,prac_right_box.started,prac_both_out.stopped,fix_both.started,fix_text.started,fix_text.stopped,fix_both.stopped,left_box_lr.stopped,right_box_lr.stopped,saw_reward.started,restart_proceed_text.started,key_resp_3.started,saw_reward.stopped,restart_both.key_resp_3.keys,restart_both.key_resp_3.rt,restart_both.key_resp_3.duration,switch_cue.started,left_box_switch.started,right_box_switch.started,cue_resp_switch.started,switch_cue.stopped,switch_side_loop.cue_resp_switch.keys,switch_side_loop.cue_resp_switch.rt,switch_side_loop.cue_resp_switch.duration,switch_select.started,left_switch_selec.started,right_switch_selec.started,switch_select.stopped,switch_out.started,left_box_switch_out.started,right_box_switch_out.started,switch_out.stopped,left_switch_selec.stopped,right_switch_selec.stopped,no_coin_instruc.started,summary_text.started,pointer_press.started,no_coin_instruc.stopped,pracLoop.pointer_press.keys,pracLoop.pointer_press.rt,pracLoop.pointer_press.duration,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,trials.cue_resp.rt,trials.cue_resp.duration,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,outcome_image,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,trials.all_keys.rt,trials.all_keys.duration,outcome_left_box.stopped,outcome_right_box.stopped,run_feedback.started,coins_won_text.started,run_feedback.stopped,understanding_check.started,restart_key.started,participant,handedness,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01463230000808835,0.0192918999819085,0.0192918999819085,42.37864420004189,j,42.33328719995916,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247209,right,2025-05-08_12h28.50.865,RL_practice,2024.2.4,60.391469555746085,2025-05-08 12h28.55.863369 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.37869240005966,42.38655669998843,42.38655669998843,42.38655669998843,50.072454800014384,j,7.671142100007273,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247209,right,2025-05-08_12h28.50.865,RL_practice,2024.2.4,60.391469555746085,2025-05-08 12h28.55.863369 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.072525300085545,50.087542599998415,50.087542599998415,52.585496700019576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247209,right,2025-05-08_12h28.50.865,RL_practice,2024.2.4,60.391469555746085,2025-05-08 12h28.55.863369 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.58556680008769,52.602049299981445,52.602049299981445,67.99188680003863,j,15.374265399994329,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247209,right,2025-05-08_12h28.50.865,RL_practice,2024.2.4,60.391469555746085,2025-05-08 12h28.55.863369 -0700,
0,0,0,k,1.134701499948278,None,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,68.00685940007679,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.99569830007385,68.00685940007679,68.00685940007679,68.00685940007679,69.15725320007186,k,1.134701499948278,None,69.16036510001868,69.172710700077,69.172710700077,70.67176310007926,70.696305999998,70.7047977000475,70.7047977000475,71.67044540005736,71.67047850007657,71.68697070004418,72.70279840007424,72.68644259998109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247209,right,2025-05-08_12h28.50.865,RL_practice,2024.2.4,60.391469555746085,2025-05-08 12h28.55.863369 -0700,
1,0,1,j,0.9689073999179527,None,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,72.70279840007424,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.68657770007849,72.70279840007424,72.70279840007424,72.70279840007424,73.68716299999505,j,0.9689073999179527,None,73.69020960002672,73.70260379998945,73.70260379998945,75.20174310007133,75.21613279997837,75.22416440001689,75.22416440001689,76.2006565000629,76.20072239998262,76.21639860002324,79.23107560002245,79.21426070004236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247209,right,2025-05-08_12h28.50.865,RL_practice,2024.2.4,60.391469555746085,2025-05-08 12h28.55.863369 -0700,
2,0,2,j,0.30658230010885745,None,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,79.23107560002245,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.21438810008112,79.23107560002245,79.23107560002245,79.23107560002245,79.54887210007291,j,0.30658230010885745,None,79.55024370003957,79.56405939999968,79.56405939999968,81.04783579998184,81.054619200062,81.06377610005438,81.06377610005438,82.06205569999292,82.06211340008304,82.0782439999748,83.59431140008382,83.57801499997731,81.06377610005438,81.06377610005438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247209,right,2025-05-08_12h28.50.865,RL_practice,2024.2.4,60.391469555746085,2025-05-08 12h28.55.863369 -0700,
3,0,3,j,0.4163196999579668,None,,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,83.59431140008382,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.57818050007336,83.59431140008382,83.59431140008382,83.59431140008382,84.02888770005666,j,0.4163196999579668,None,84.0302627000492,84.0438826000318,84.0438826000318,85.54261260002386,85.54966290004086,85.56049519998487,85.56049519998487,86.54205350007396,86.54212120000739,86.55785159999505,87.55798490007874,87.54141890001483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247209,right,2025-05-08_12h28.50.865,RL_practice,2024.2.4,60.391469555746085,2025-05-08 12h28.55.863369 -0700,
4,0,4,j,0.3385454999515787,None,,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,87.55798490007874,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.54154660005588,87.55798490007874,87.55798490007874,87.55798490007874,87.90867959999014,j,0.3385454999515787,None,87.9100855999859,87.92412049998529,87.92412049998529,89.4233226000797,89.43043220008258,89.44019980006851,89.44019980006851,90.42225950001739,90.42232740006875,90.43851610005368,91.9603382999776,91.93830460007302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247209,right,2025-05-08_12h28.50.865,RL_practice,2024.2.4,60.391469555746085,2025-05-08 12h28.55.863369 -0700,
0,0,0,,,,j,0.2617682999698445,None,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.95584780001082,91.9603382999776,91.9603382999776,92.23838850005995,j,0.2617682999698445,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247209,right,2025-05-08_12h28.50.865,RL_practice,2024.2.4,60.391469555746085,2025-05-08 12h28.55.863369 -0700,
