thisN,thisTrialN,thisRepN,advance_press.keys,advance_press.rt,advance_press.duration,trigger_value.keys,trigger_value.rt,trigger_value.duration,cueOnTime,cue_resp.keys,cue_resp.rt,cue_resp.duration,all_keys.keys,cueOffTime,cueRespOnTime,cueRespOffTime,outcomeOnTime,outcomeOffTime,fixOnTime,fixOffTime,all_keys.rt,all_keys.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,summary_instructions.started,summary_text.started,advance_to_runs.started,summary_instructions.stopped,advance_to_runs.keys,advance_to_runs.rt,advance_to_runs.duration,get_ready.started,get_ready_text.started,advance_press.started,get_ready.stopped,runs.advance_press.keys,runs.advance_press.rt,runs.advance_press.duration,scanner_trigger.started,scanner_text.started,trigger_value.started,scanner_trigger.stopped,runs.trigger_value.keys,runs.trigger_value.rt,runs.trigger_value.duration,trials.cueOnTime,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,trials.cue_resp.rt,trials.cue_resp.duration,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,trials.cueOffTime,trials.cueRespOnTime,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,trials.cueRespOffTime,trials.outcomeOnTime,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,outcome_image,trials.outcomeOffTime,trials.fixOnTime,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,trials.fixOffTime,trials.all_keys.rt,trials.all_keys.duration,run_feedback.started,coins_won_text.started,run_feedback.stopped,leftover_time_break.started,fixation_end.started,fixation_end.stopped,leftover_time_break.stopped,outcome_left_box.stopped,outcome_right_box.stopped,left_box.stopped,right_box.stopped,cue_resp.stopped,all_keys.stopped,end_exp.started,end_exp.stopped,participant,handedness,practice,restart_from_run,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.030972100095823407,0.03686970006674528,0.03686970006674528,46.54643370001577,j,46.49475630000234,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,967191,right,no,None,2025-05-14_14h25.25.739,RL_out-of-scanner,2024.2.4,60.066048570526306,2025-05-14 14h26.07.238798 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.54688520007767,46.55553580005653,46.55553580005653,56.04999170009978,j,9.479177800007164,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,967191,right,no,None,2025-05-14_14h25.25.739,RL_out-of-scanner,2024.2.4,60.066048570526306,2025-05-14 14h26.07.238798 -0700,
0,0,0,space,77.23665510001592,None,5,20.693673999980092,None,0.003535600146278739,j,0.4460662000346929,None,None,0.46733350004069507,0.4678017001133412,1.4652887000702322,1.4653402999974787,2.480265700025484,2.480311500141397,4.495549200102687,,,,,,,0,0,0,0,0,0,0,0,154.03703250014223,,,,,,,,,,,,,,,,56.05051620001905,56.06469710008241,56.06469710008241,133.30497130006552,space,77.23665510001592,None,133.3051168001257,133.3198480999563,133.3198480999563,154.02174510015175,5,20.693673999980092,None,0.003535600146278739,154.0254116000142,154.03703250014223,154.03703250014223,154.03703250014223,154.03703250014223,154.48904160014354,j,0.4460662000346929,None,right,1,7,0,0,0,0,None,0.46733350004069507,0.4678017001133412,154.4896652000025,154.50347939995117,154.50347939995117,155.5099623000715,155.5099623000715,155.48703690012917,1.4652887000702322,1.4653402999974787,155.50165490014479,155.5099623000715,155.5099623000715,156.50204399996437,stimuli/box_empty_transparent.png,2.480265700025484,2.480311500141397,156.5021661000792,156.5182167000603,158.5334282000549,158.5173264001496,4.495549200102687,,,,,,,,,,,,,,,,,,967191,right,no,None,2025-05-14_14h25.25.739,RL_out-of-scanner,2024.2.4,60.066048570526306,2025-05-14 14h26.07.238798 -0700,
1,0,1,space,77.23665510001592,None,5,20.693673999980092,None,4.498171600047499,j,0.2669565000105649,None,None,4.797039000084624,4.79751170007512,6.311336599988863,6.311389900045469,7.326220600167289,7.3262511000502855,8.825406500138342,,,,,,,0,0,0,0,1,0,1,0,158.5334282000549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.498171600047499,158.5200529000722,158.5334282000549,158.5334282000549,158.5334282000549,158.5334282000549,158.81875069998205,j,0.2669565000105649,None,right,1,7,0,0,0,0,None,4.797039000084624,4.79751170007512,158.81937470007688,158.8333725000266,158.8333725000266,160.35414760001004,160.35414760001004,160.3330759999808,6.311336599988863,6.311389900045469,160.34727529995143,160.35414760001004,160.35414760001004,161.34801380010322,stimuli/box_empty_transparent.png,7.326220600167289,7.3262511000502855,161.34809130011126,161.36383490008302,162.86342300008982,162.84718580008484,8.825406500138342,,,,,,,,,,,,,,,,,,967191,right,no,None,2025-05-14_14h25.25.739,RL_out-of-scanner,2024.2.4,60.066048570526306,2025-05-14 14h26.07.238798 -0700,
2,0,2,space,77.23665510001592,None,5,20.693673999980092,None,8.82823000010103,k,0.41477029980160296,None,None,9.259434300009161,9.259685500059277,10.257915599970147,10.257949399994686,11.273023300105706,11.273066400084645,14.287715000100434,,,,,,,0,0,0,0,2,0,2,0,162.86342300008982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.82823000010103,162.8501162000466,162.86342300008982,162.86342300008982,162.86342300008982,162.86342300008982,163.28118630009703,k,0.41477029980160296,None,right,1,7,1,0,1,1,None,9.259434300009161,9.259685500059277,163.28152780001983,163.29616010002792,163.29616010002792,164.29778260015883,164.29778260015883,164.27968970010988,10.257915599970147,10.257949399994686,164.29013670003042,164.29778260015883,164.29778260015883,165.2948030999396,stimuli/box_coin_transparent.png,11.273023300105706,11.273066400084645,165.29492300003767,165.310850400012,168.32599629997276,168.30949779995717,14.287715000100434,,,,,,,,,,,,,,,,,,967191,right,no,None,2025-05-14_14h25.25.739,RL_out-of-scanner,2024.2.4,60.066048570526306,2025-05-14 14h26.07.238798 -0700,
3,0,3,space,77.23665510001592,None,5,20.693673999980092,None,14.29012170014903,k,0.43419649987481534,None,None,14.755728600081056,14.75612620008178,16.76925260014832,16.769303600070998,17.784662100020796,17.784708100138232,18.78434310015291,,,,,,,0,0,0,0,3,0,3,0,168.32599629997276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.29012170014903,168.31199830002151,168.32599629997276,168.32599629997276,168.32599629997276,168.32599629997276,168.77744120010175,k,0.43419649987481534,None,right,1,7,2,0,2,2,None,14.755728600081056,14.75612620008178,168.77798869996332,168.7920508000534,168.7920508000534,170.81462550000288,170.81462550000288,170.7910017000977,16.76925260014832,16.769303600070998,170.80833310005255,170.81462550000288,170.81462550000288,171.80644210008904,stimuli/box_coin_transparent.png,17.784662100020796,17.784708100138232,171.8065667001065,171.82239620015025,172.82221839996055,172.80612710001878,18.78434310015291,,,,,,,,,,,,,,,,,,967191,right,no,None,2025-05-14_14h25.25.739,RL_out-of-scanner,2024.2.4,60.066048570526306,2025-05-14 14h26.07.238798 -0700,
4,0,4,space,77.23665510001592,None,5,20.693673999980092,None,18.786737099988386,k,0.8259023998398334,None,None,19.635419399943203,19.635813700035214,20.632853500079364,20.63290460011922,21.648195600137115,21.64823990012519,24.163289699936286,,,,,,,0,0,0,0,4,0,4,0,172.82221839996055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.786737099988386,172.80861319997348,172.82221839996055,172.82221839996055,172.82221839996055,172.82221839996055,173.6571323000826,k,0.8259023998398334,None,right,1,7,3,0,3,3,None,19.635419399943203,19.635813700035214,173.657675600145,173.67144179996103,173.67144179996103,174.67898940015584,174.67898940015584,174.654610699974,20.632853500079364,20.63290460011922,174.67188030015677,174.67898940015584,174.67898940015584,175.66997530008666,stimuli/box_coin_transparent.png,21.648195600137115,21.64823990012519,175.67009659996256,175.68638510000892,178.20125010004267,178.1850724001415,24.163289699936286,,,,,,,,,,,,,,,,,,967191,right,no,None,2025-05-14_14h25.25.739,RL_out-of-scanner,2024.2.4,60.066048570526306,2025-05-14 14h26.07.238798 -0700,
5,0,5,space,77.23665510001592,None,5,20.693673999980092,None,24.165779400151223,j,0.3928559999912977,None,None,24.581512100063264,24.581960099982098,28.09360729996115,28.093660100130364,29.10903439996764,29.109079400077462,31.124557400122285,,,,,,,0,0,0,0,5,0,5,0,178.20125010004267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.165779400151223,178.18765510013327,178.20125010004267,178.20125010004267,178.20125010004267,178.20125010004267,178.60322530008852,j,0.3928559999912977,None,right,1,7,3,0,3,3,None,24.581512100063264,24.581960099982098,178.60382369998842,178.61772810015827,178.61772810015827,182.1365871001035,182.1365871001035,182.11536439997144,28.09360729996115,28.093660100130364,182.12939899996854,182.1365871001035,182.1365871001035,183.1308149001561,stimuli/box_empty_transparent.png,29.10903439996764,29.109079400077462,183.13094029994681,183.14689279999584,185.1624468001537,185.1463409999851,31.124557400122285,,,,,,,,,,,,,,,,,,967191,right,no,None,2025-05-14_14h25.25.739,RL_out-of-scanner,2024.2.4,60.066048570526306,2025-05-14 14h26.07.238798 -0700,
6,0,6,space,77.23665510001592,None,5,20.693673999980092,None,31.126948000164703,k,0.6050417998339981,None,None,31.759168799966574,31.759574100142345,32.75681299995631,32.75686570000835,33.77178329997696,33.77182950009592,34.77131890016608,,,,,,,0,0,0,0,6,0,6,0,185.1624468001537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.126948000164703,185.14882600004785,185.1624468001537,185.1624468001537,185.1624468001537,185.1624468001537,185.78088099998422,k,0.6050417998339981,None,right,1,7,4,0,4,4,None,31.759168799966574,31.759574100142345,185.78143720002845,185.7951188001316,185.7951188001316,186.80283019994386,186.80283019994386,186.77856040000916,32.75681299995631,32.75686570000835,186.79603590001352,186.80283019994386,186.80283019994386,187.79356200015172,stimuli/box_coin_transparent.png,33.77178329997696,33.77182950009592,187.79368550004438,187.80969020002522,188.8092773000244,188.79310350003652,34.77131890016608,,,,,,,,,,,,,,,,,,967191,right,no,None,2025-05-14_14h25.25.739,RL_out-of-scanner,2024.2.4,60.066048570526306,2025-05-14 14h26.07.238798 -0700,
7,0,7,space,77.23665510001592,None,5,20.693673999980092,None,34.773718000156805,k,0.7429059999994934,None,None,35.53911900008097,35.53951900009997,37.55296490015462,37.553020799998194,38.567864400101826,38.56791079998948,40.58383630006574,,,,,,,0,0,0,0,7,0,7,0,188.8092773000244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.773718000156805,188.79560009995475,188.8092773000244,188.8092773000244,188.8092773000244,188.8092773000244,189.56082150014117,k,0.7429059999994934,None,right,1,7,5,0,5,5,None,35.53911900008097,35.53951900009997,189.56137980008498,189.57539100013673,189.57539100013673,191.5996065000072,191.5996065000072,191.57470920006745,37.55296490015462,37.553020799998194,191.5925425000023,191.5996065000072,191.5996065000072,192.5896239001304,stimuli/box_coin_transparent.png,38.567864400101826,38.56791079998948,192.58976710005663,192.60581370000727,194.62143850000575,194.60561330011114,40.58383630006574,,,,,,,,,,,,,,,,,,967191,right,no,None,2025-05-14_14h25.25.739,RL_out-of-scanner,2024.2.4,60.066048570526306,2025-05-14 14h26.07.238798 -0700,
