thisN,thisTrialN,thisRepN,advance_press.keys,advance_press.rt,advance_press.duration,trigger_value.keys,trigger_value.rt,trigger_value.duration,cueOnTime,cue_resp.keys,cue_resp.rt,cue_resp.duration,all_keys.keys,cueOffTime,cueRespOnTime,cueRespOffTime,outcomeOnTime,outcomeOffTime,fixOnTime,fixOffTime,all_keys.rt,all_keys.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,summary_instructions.started,summary_text.started,advance_to_runs.started,summary_instructions.stopped,advance_to_runs.keys,advance_to_runs.rt,advance_to_runs.duration,get_ready.started,get_ready_text.started,advance_press.started,get_ready.stopped,runs.advance_press.keys,runs.advance_press.rt,runs.advance_press.duration,scanner_trigger.started,scanner_text.started,trigger_value.started,scanner_trigger.stopped,runs.trigger_value.keys,runs.trigger_value.rt,runs.trigger_value.duration,trials.cueOnTime,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,trials.cue_resp.rt,trials.cue_resp.duration,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,trials.cueOffTime,trials.cueRespOnTime,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,trials.cueRespOffTime,trials.outcomeOnTime,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,outcome_image,trials.outcomeOffTime,trials.fixOnTime,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,trials.fixOffTime,trials.all_keys.rt,trials.all_keys.duration,outcome_left_box.stopped,outcome_right_box.stopped,run_feedback.started,coins_won_text.started,run_feedback.stopped,leftover_time_break.started,fixation_end.started,fixation_end.stopped,leftover_time_break.stopped,end_exp.started,end_exp.stopped,participant,handedness,practice,restart_from_run,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03101129992865026,0.03707409999333322,0.03707409999333322,126.77521009999327,j,126.63438519998454,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143158,right,no,None,2025-05-15_08h44.32.175,RL_out-of-scanner,2024.2.4,59.78651430387378,2025-05-15 08h44.42.241977 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.77556019998156,126.78215870005079,126.78215870005079,211.43166100000963,j,84.63865939993411,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143158,right,no,None,2025-05-15_08h44.32.175,RL_out-of-scanner,2024.2.4,59.78651430387378,2025-05-15 08h44.42.241977 -0700,
0,0,0,space,31.22362730000168,None,5,18.504495300119743,None,0.003624000120908022,j,0.5140488999895751,None,None,0.5339524999726564,0.5344271000940353,1.5327665000222623,1.5328230999875814,2.5476959999650717,2.547743800096214,4.562607500003651,,,,,,,0,0,0,0,0,0,0,0,261.22354919998907,,,,,,,,,,,,,,,,211.43218560004607,211.44612150010653,211.44612150010653,242.6729185001459,space,31.22362730000168,None,242.67304840008728,242.68793170014396,242.68793170014396,261.20749059994705,5,18.504495300119743,None,0.003624000120908022,261.2112442001235,261.22354919998907,261.22354919998907,261.22354919998907,261.22354919998907,261.74140339996666,j,0.5140488999895751,None,right,1,9,0,0,0,0,None,0.5339524999726564,0.5344271000940353,261.74203710001893,261.7564250000287,261.7564250000287,262.762705600122,262.762705600122,262.74024820001796,1.5327665000222623,1.5328230999875814,262.75328780012205,262.762705600122,262.762705600122,263.7552199999336,stimuli/box_empty_transparent.png,2.5476959999650717,2.547743800096214,263.75534199993126,263.7713536999654,265.7865413001273,265.77013940014876,4.562607500003651,,,,,,,,,,,,,,143158,right,no,None,2025-05-15_08h44.32.175,RL_out-of-scanner,2024.2.4,59.78651430387378,2025-05-15 08h44.42.241977 -0700,
1,0,1,space,31.22362730000168,None,5,18.504495300119743,None,4.56514329998754,k,0.4085770999081433,None,None,4.9977484999690205,4.998236200073734,6.511509600095451,6.51156449993141,7.526948299957439,7.526997500099242,9.026315100025386,,,,,,,0,0,0,0,1,0,1,0,265.7865413001273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.56514329998754,265.7727622000966,265.7865413001273,265.7865413001273,265.7865413001273,265.7865413001273,266.20519470004365,k,0.4085770999081433,None,right,1,9,1,0,1,1,None,4.9977484999690205,4.998236200073734,266.20584720000625,266.2197879999876,266.2197879999876,267.74519139993936,267.74519139993936,267.7190090001095,6.511509600095451,6.51156449993141,267.73662060010247,267.74519139993936,267.74519139993936,268.7344659999944,stimuli/box_coin_transparent.png,7.526948299957439,7.526997500099242,268.7345978000667,268.75030030007474,270.2499085001182,270.2338421000168,9.026315100025386,,,,,,,,,,,,,,143158,right,no,None,2025-05-15_08h44.32.175,RL_out-of-scanner,2024.2.4,59.78651430387378,2025-05-15 08h44.42.241977 -0700,
2,0,2,space,31.22362730000168,None,5,18.504495300119743,None,9.028761100023985,k,0.4240748002193868,None,None,9.477378499927,9.477817800128832,10.47581239999272,10.475871100090444,11.490345800062642,11.49039679998532,14.505121200112626,,,,,,,0,0,0,0,2,0,2,0,270.2499085001182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.028761100023985,270.2363818001468,270.2499085001182,270.2499085001182,270.2499085001182,270.2499085001182,270.68483239994384,k,0.4240748002193868,None,right,0,9,1,0,2,1,None,9.477378499927,9.477817800128832,270.6854252999183,270.6994239001069,270.6994239001069,271.70489430008456,271.70489430008456,271.68330390006304,10.47581239999272,10.475871100090444,271.697255600011,271.70489430008456,271.70489430008456,272.69786159996875,stimuli/box_empty_transparent.png,11.490345800062642,11.49039679998532,272.6980000999756,272.7138630999252,275.72902520000935,275.71264209994115,14.505121200112626,,,,,,,,,,,,,,143158,right,no,None,2025-05-15_08h44.32.175,RL_out-of-scanner,2024.2.4,59.78651430387378,2025-05-15 08h44.42.241977 -0700,
3,0,3,space,31.22362730000168,None,5,18.504495300119743,None,14.507545599946752,j,0.2533998000435531,None,None,14.7904841999989,14.790940300095826,16.80375780002214,16.80384310008958,17.818679200019687,17.818725999910384,18.818594499956816,,,,,,,0,0,0,0,3,0,3,0,275.72902520000935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.507545599946752,275.71516439993866,275.72902520000935,275.72902520000935,275.72902520000935,275.72902520000935,275.99792669992894,j,0.2533998000435531,None,right,0,9,1,0,2,1,None,14.7904841999989,14.790940300095826,275.9985480001196,276.01165649993345,276.01165649993345,278.03315489995293,278.03315489995293,278.01125139999203,16.80375780002214,16.80384310008958,278.0255921999924,278.03315489995293,278.03315489995293,279.0262027999852,stimuli/box_empty_transparent.png,17.818679200019687,17.818725999910384,279.0263257001061,279.04204580001533,280.04202269995585,280.0261224000715,18.818594499956816,,,,,,,,,,,,,,143158,right,no,None,2025-05-15_08h44.32.175,RL_out-of-scanner,2024.2.4,59.78651430387378,2025-05-15 08h44.42.241977 -0700,
4,0,4,space,31.22362730000168,None,5,18.504495300119743,None,18.820997999981046,k,0.5663462001830339,None,None,19.40374410012737,19.404147600056604,20.400854300009087,20.400910400087014,21.416291099973023,21.416342600015923,23.93055019993335,,,,,,,0,0,0,0,4,0,4,0,280.04202269995585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.820997999981046,280.0286139000673,280.04202269995585,280.04202269995585,280.04202269995585,280.04202269995585,280.61119820014574,k,0.5663462001830339,None,right,1,9,2,0,3,2,None,19.40374410012737,19.404147600056604,280.61175259994343,280.62489540013485,280.62489540013485,281.632892700145,281.632892700145,281.6083410999272,20.400854300009087,20.400910400087014,281.6254575001076,281.632892700145,281.632892700145,282.62381540006027,stimuli/box_coin_transparent.png,21.416291099973023,21.416342600015923,282.6239426000975,282.63949969992973,285.15430529997684,285.1380789000541,23.93055019993335,,,,,,,,,,,,,,143158,right,no,None,2025-05-15_08h44.32.175,RL_out-of-scanner,2024.2.4,59.78651430387378,2025-05-15 08h44.42.241977 -0700,
5,0,5,space,31.22362730000168,None,5,18.504495300119743,None,23.933011499932036,j,0.7793614000547677,None,None,24.731288300128654,24.731752099934965,28.244327200111,28.244381200056523,29.25946470000781,29.25951540004462,31.274989400058985,,,,,,,0,0,0,0,5,0,5,0,285.15430529997684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.933011499932036,285.14062900003046,285.15430529997684,285.15430529997684,285.15430529997684,285.15430529997684,285.9387491000816,j,0.7793614000547677,None,right,1,9,2,0,3,2,None,24.731288300128654,24.731752099934965,285.93935959995724,285.9538559000939,285.9538559000939,289.473817900056,289.473817900056,289.45182109996676,28.244327200111,28.244381200056523,289.4662484000437,289.473817900056,289.473817900056,290.46698120003566,stimuli/box_empty_transparent.png,29.25946470000781,29.25951540004462,290.46711910003796,290.4830537000671,292.4986783999484,292.4825168000534,31.274989400058985,,,,,,,,,,,,,,143158,right,no,None,2025-05-15_08h44.32.175,RL_out-of-scanner,2024.2.4,59.78651430387378,2025-05-15 08h44.42.241977 -0700,
6,0,6,space,31.22362730000168,None,5,18.504495300119743,None,31.277379899984226,k,1.0318916998803616,None,['k'],32.32616559998132,32.326569200027734,33.32393230008893,33.32398539991118,34.33881859993562,34.338878399925306,35.338499600067735,[0.3165769998449832],[0.15458020009100437],,,,,0,0,0,0,6,0,6,0,292.4986783999484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.277379899984226,292.48499629995786,292.4986783999484,292.4986783999484,292.4986783999484,292.4986783999484,293.5335647999309,k,1.0318916998803616,None,right,1,9,3,0,4,3,['k'],32.32616559998132,32.326569200027734,293.5341749000363,293.54789560008794,293.54789560008794,294.55624329997227,294.55624329997227,294.5314224001486,33.32393230008893,33.32398539991118,294.549048300134,294.55624329997227,294.55624329997227,295.54630620009266,stimuli/box_coin_transparent.png,34.33881859993562,34.338878399925306,295.5464784000069,295.5625120999757,296.56222540000454,296.54602649994195,35.338499600067735,[0.3165769998449832],[0.15458020009100437],,,,,,,,,,,,143158,right,no,None,2025-05-15_08h44.32.175,RL_out-of-scanner,2024.2.4,59.78651430387378,2025-05-15 08h44.42.241977 -0700,
7,0,7,space,31.22362730000168,None,5,18.504495300119743,None,35.34090750012547,k,0.31967610004357994,None,None,35.68921070010401,35.68960599997081,37.703540000133216,37.703593499958515,38.718644600128755,38.7186918000225,40.734179500024766,,,,,,,0,0,0,0,7,0,7,0,296.56222540000454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.34090750012547,296.5485259001143,296.56222540000454,296.56222540000454,296.56222540000454,296.56222540000454,296.8966666001361,k,0.31967610004357994,None,right,1,9,4,0,5,4,None,35.68921070010401,35.68960599997081,296.8972108999733,296.911877800012,296.911877800012,298.935372200096,298.935372200096,298.9110378001351,37.703540000133216,37.703593499958515,298.92852360010147,298.935372200096,298.935372200096,299.9261692999862,stimuli/box_coin_transparent.png,38.718644600128755,38.7186918000225,299.9262918999884,299.9423398000654,301.95772529998794,301.94170520012267,40.734179500024766,,,,,,,,,,,,,,143158,right,no,None,2025-05-15_08h44.32.175,RL_out-of-scanner,2024.2.4,59.78651430387378,2025-05-15 08h44.42.241977 -0700,
