thisN,thisTrialN,thisRepN,find_box_press.keys,find_box_press.rt,find_box_press.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue_resp_switch.keys,cue_resp_switch.rt,cue_resp_switch.duration,pointer_press.keys,pointer_press.rt,pointer_press.duration,cue_resp.keys,cue_resp.rt,cue_resp.duration,all_keys.keys,all_keys.rt,all_keys.duration,restart_both.thisRepN,restart_both.thisTrialN,restart_both.thisN,restart_both.thisIndex,find_magic_box_loop.thisRepN,find_magic_box_loop.thisTrialN,find_magic_box_loop.thisN,find_magic_box_loop.thisIndex,switch_side_loop.thisRepN,switch_side_loop.thisTrialN,switch_side_loop.thisN,switch_side_loop.thisIndex,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,first_box.started,show_stimuli.started,stimuli_text.started,key_resp.started,first_box.stopped,key_resp.keys,key_resp.rt,key_resp.duration,first_coin.started,first_coin_img.started,magic_coin_text.started,first_coin.stopped,prac_both_instructions.started,prac_both_text.started,key_resp_2.started,prac_both_instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,prac_both.started,prac_left_2.started,prac_right_2.started,find_box_press.started,prac_both.stopped,find_magic_box_loop.find_box_press.keys,find_magic_box_loop.find_box_press.rt,find_magic_box_loop.find_box_press.duration,prac_both_selec.started,left_box_lr.started,right_box_lr.started,left_box_lr.stopped,right_box_lr.stopped,prac_both_selec.stopped,prac_both_out.started,prac_left_box.started,prac_right_box.started,prac_both_out.stopped,fix_both.started,fix_text.started,fix_text.stopped,fix_both.stopped,saw_reward.started,restart_proceed_text.started,key_resp_3.started,saw_reward.stopped,restart_both.key_resp_3.keys,restart_both.key_resp_3.rt,restart_both.key_resp_3.duration,switch_cue.started,left_box_switch.started,right_box_switch.started,cue_resp_switch.started,switch_cue.stopped,switch_side_loop.cue_resp_switch.keys,switch_side_loop.cue_resp_switch.rt,switch_side_loop.cue_resp_switch.duration,switch_select.started,left_switch_selec.started,right_switch_selec.started,switch_select.stopped,switch_out.started,left_box_switch_out.started,right_box_switch_out.started,switch_out.stopped,left_switch_selec.stopped,right_switch_selec.stopped,no_coin_instruc.started,summary_text.started,pointer_press.started,no_coin_instruc.stopped,pracLoop.pointer_press.keys,pracLoop.pointer_press.rt,pracLoop.pointer_press.duration,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,trials.cue_resp.rt,trials.cue_resp.duration,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,outcome_image,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,trials.all_keys.rt,trials.all_keys.duration,outcome_left_box.stopped,outcome_right_box.stopped,run_feedback.started,coins_won_text.started,run_feedback.stopped,understanding_check.started,restart_key.started,participant,handedness,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02235269988887012,0.027706699911504984,0.027706699911504984,43.82559060002677,j,43.69781129993498,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281126,right,2025-05-15_08h37.55.754,RL_practice,2024.2.4,59.5529834719634,2025-05-15 08h38.04.154422 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.82565329992212,43.83520690002479,43.83520690002479,43.83520690002479,53.0700363998767,j,9.221873800037429,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281126,right,2025-05-15_08h37.55.754,RL_practice,2024.2.4,59.5529834719634,2025-05-15 08h38.04.154422 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.07008929993026,53.08567349985242,53.08567349985242,55.58377050003037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281126,right,2025-05-15_08h37.55.754,RL_practice,2024.2.4,59.5529834719634,2025-05-15 08h38.04.154422 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.583846299909055,55.60061449999921,55.60061449999921,84.42818539985456,j,28.823254500050098,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281126,right,2025-05-15_08h37.55.754,RL_practice,2024.2.4,59.5529834719634,2025-05-15 08h38.04.154422 -0700,
0,0,0,j,3.917557999957353,None,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,84.4440516999457,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.42925599985756,84.4440516999457,84.4440516999457,84.4440516999457,88.37612070003524,j,3.917557999957353,None,88.37972579989582,88.39141290006228,88.39141290006228,89.92668429994956,89.92668429994956,89.87478600000031,89.91858990001492,89.92668429994956,89.92668429994956,90.88915809988976,90.88922829995863,90.90557489986531,92.92091139988042,92.90425279992633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281126,right,2025-05-15_08h37.55.754,RL_practice,2024.2.4,59.5529834719634,2025-05-15 08h38.04.154422 -0700,
1,0,1,k,0.8285878000315279,None,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,92.92091139988042,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.90443419991061,92.92091139988042,92.92091139988042,92.92091139988042,93.7550598999951,k,0.8285878000315279,None,93.75722300005145,93.7703108000569,93.7703108000569,,,95.26911620004103,95.32681909995154,95.33624099986628,95.33624099986628,96.26820970000699,96.26825549989007,96.284221699927,99.29928969987668,99.28293460002169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281126,right,2025-05-15_08h37.55.754,RL_practice,2024.2.4,59.5529834719634,2025-05-15 08h38.04.154422 -0700,
2,0,2,k,0.5716021999251097,None,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,99.29928969987668,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.28321040002629,99.29928969987668,99.29928969987668,99.29928969987668,99.88369509996846,k,0.5716021999251097,None,99.88715850003064,99.89876140002161,99.89876140002161,,,101.39747820002958,101.41167779988609,101.41907160007395,101.41907160007395,102.39699549996294,102.39706419990398,102.41315150004812,103.92892490001395,103.91290270001628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281126,right,2025-05-15_08h37.55.754,RL_practice,2024.2.4,59.5529834719634,2025-05-15 08h38.04.154422 -0700,
3,0,3,j,0.5679035999346524,None,,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,103.92892490001395,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.91317439987324,103.92892490001395,103.92892490001395,103.92892490001395,104.51334890001453,j,0.5679035999346524,None,104.51685449993238,104.52876959997229,104.52876959997229,,,106.02724520000629,106.04427139996551,106.05155269987881,106.05155269987881,107.02644390007481,107.02651069988497,107.04246949986555,108.04246510006487,108.02609080006368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281126,right,2025-05-15_08h37.55.754,RL_practice,2024.2.4,59.5529834719634,2025-05-15 08h38.04.154422 -0700,
4,0,4,j,0.6262744998093694,None,,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,108.04246510006487,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.02636460005306,108.04246510006487,108.04246510006487,108.04246510006487,108.676792900078,j,0.6262744998093694,None,108.68029480008408,108.6917610000819,108.6917610000819,,,110.19056709995493,110.20799000002444,110.21493620006368,110.21493620006368,111.18972259992734,111.18978839996271,111.20587409986183,112.71136999991722,112.68951789988205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281126,right,2025-05-15_08h37.55.754,RL_practice,2024.2.4,59.5529834719634,2025-05-15 08h38.04.154422 -0700,
0,0,0,,,,j,3.149712499929592,None,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.70442279987037,112.71136999991722,112.71136999991722,115.87079069996253,j,3.149712499929592,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281126,right,2025-05-15_08h37.55.754,RL_practice,2024.2.4,59.5529834719634,2025-05-15 08h38.04.154422 -0700,
