thisN,thisTrialN,thisRepN,advance_press.keys,advance_press.rt,advance_press.duration,trigger_value.keys,trigger_value.rt,trigger_value.duration,cueOnTime,cue_resp.keys,cue_resp.rt,cue_resp.duration,all_keys.keys,cueOffTime,cueRespOnTime,cueRespOffTime,outcomeOnTime,outcomeOffTime,fixOnTime,fixOffTime,all_keys.rt,all_keys.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,summary_instructions.started,summary_text.started,advance_to_runs.started,summary_instructions.stopped,advance_to_runs.keys,advance_to_runs.rt,advance_to_runs.duration,get_ready.started,get_ready_text.started,advance_press.started,get_ready.stopped,runs.advance_press.keys,runs.advance_press.rt,runs.advance_press.duration,scanner_trigger.started,scanner_text.started,trigger_value.started,scanner_trigger.stopped,runs.trigger_value.keys,runs.trigger_value.rt,runs.trigger_value.duration,trials.cueOnTime,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,trials.cue_resp.rt,trials.cue_resp.duration,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,trials.cueOffTime,trials.cueRespOnTime,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,trials.cueRespOffTime,trials.outcomeOnTime,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,outcome_image,trials.outcomeOffTime,trials.fixOnTime,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,trials.fixOffTime,outcome_left_box.stopped,outcome_right_box.stopped,trials.all_keys.rt,trials.all_keys.duration,run_feedback.started,coins_won_text.started,run_feedback.stopped,leftover_time_break.started,fixation_end.started,fixation_end.stopped,leftover_time_break.stopped,end_exp.started,end_exp.stopped,participant,handedness,practice,restart_from_run,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021144300000742078,0.02605420001782477,0.02605420001782477,101.18995179980993,j,101.0855022999458,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,917653,right,no,None,2025-05-16_13h25.05.159,RL_out-of-scanner,2024.2.4,59.86715476169726,2025-05-16 13h25.23.183743 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.19029129995033,101.1960306998808,101.1960306998808,129.99930369993672,j,28.79927590000443,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,917653,right,no,None,2025-05-16_13h25.05.159,RL_out-of-scanner,2024.2.4,59.86715476169726,2025-05-16 13h25.23.183743 -0700,
0,0,0,space,35.62098659994081,None,5,2.950730500044301,None,0.0013914001174271107,j,1.1738283999729902,None,None,1.1995260000694543,1.199862499954179,2.1982432999648154,2.1982730999588966,3.2131771000567824,3.213221099926159,5.228643599897623,,,,,,,0,0,0,0,0,0,0,0,168.63416569982655,,,,,,,,,,,,,,,,129.99961950001307,130.01462039980106,130.01462039980106,165.63740809983574,space,35.62098659994081,None,165.63754080003127,165.65297639998607,165.65297639998607,168.61848929990083,5,2.950730500044301,None,0.0013914001174271107,168.6199348999653,168.63416569982655,168.63416569982655,168.63416569982655,168.63416569982655,169.81796309980564,j,1.1738283999729902,None,right,0,10,0,0,0,0,None,1.1995260000694543,1.199862499954179,169.81841609999537,169.83342649997212,169.83342649997212,170.8396224998869,170.8396224998869,170.81672709994018,2.1982432999648154,2.1982730999588966,170.832171499962,170.8396224998869,170.8396224998869,171.83166219992563,stimuli/box_empty_transparent.png,3.2131771000567824,3.213221099926159,171.8317783998791,171.84801059984602,173.86333779990673,173.8471309999004,5.228643599897623,,,,,,,,,,,,,,917653,right,no,None,2025-05-16_13h25.05.159,RL_out-of-scanner,2024.2.4,59.86715476169726,2025-05-16 13h25.23.183743 -0700,
1,0,1,space,35.62098659994081,None,5,2.950730500044301,None,5.2298667000140995,j,0.45163349993526936,None,None,5.712556099984795,5.712774599902332,7.227467000018805,7.227522700093687,8.242899500066414,8.242945099947974,9.741876000072807,,,,,,,0,0,0,0,1,0,1,0,173.86333779990673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2298667000140995,173.84841019986197,173.86333779990673,173.86333779990673,173.86333779990673,173.86333779990673,174.33101949980482,j,0.45163349993526936,None,right,0,10,0,0,0,0,None,5.712556099984795,5.712774599902332,174.33131529996172,174.3464142999146,174.3464142999146,175.8621352999471,175.8621352999471,175.8459172998555,7.227467000018805,7.227522700093687,175.85216129990295,175.8621352999471,175.8621352999471,176.86138379992917,stimuli/box_empty_transparent.png,8.242899500066414,8.242945099947974,176.8615078998264,176.87718249997124,178.3765014000237,178.3603743999265,9.741876000072807,,,,,,,,,,,,,,917653,right,no,None,2025-05-16_13h25.05.159,RL_out-of-scanner,2024.2.4,59.86715476169726,2025-05-16 13h25.23.183743 -0700,
2,0,2,space,35.62098659994081,None,5,2.950730500044301,None,9.742921700002626,k,0.30426680017262697,None,None,10.076716500101611,10.077011999906972,11.074630199931562,11.074684800114483,12.08970810007304,12.089755699969828,15.10398399992846,,,,,,,0,0,0,0,2,0,2,0,178.3765014000237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.742921700002626,178.3614625998307,178.3765014000237,178.3765014000237,178.3765014000237,178.3765014000237,178.6951574999839,k,0.30426680017262697,None,right,1,10,1,0,1,1,None,10.076716500101611,10.077011999906972,178.69556429982185,178.70954209985211,178.70954209985211,179.715731699951,179.715731699951,179.69308119989,11.074630199931562,11.074684800114483,179.70929769985378,179.715731699951,179.715731699951,180.7081923999358,stimuli/box_coin_transparent.png,12.08970810007304,12.089755699969828,180.70832059998065,180.72446749988012,183.73901669983752,183.7224649998825,15.10398399992846,,,,,,,,,,,,,,917653,right,no,None,2025-05-16_13h25.05.159,RL_out-of-scanner,2024.2.4,59.86715476169726,2025-05-16 13h25.23.183743 -0700,
3,0,3,space,35.62098659994081,None,5,2.950730500044301,None,15.105357799911872,k,0.2983379999641329,None,None,15.421479400014505,15.42168159992434,17.436131699942052,17.436156600015238,18.435405200114474,18.435451900120825,19.433573100017384,,,,,,,0,0,0,0,3,0,3,0,183.73901669983752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.105357799911872,183.72390109999105,183.73901669983752,183.73901669983752,183.73901669983752,183.73901669983752,184.03993949992582,k,0.2983379999641329,None,right,1,10,2,0,2,2,None,15.421479400014505,15.42168159992434,184.04022279987112,184.0555657998193,184.0555657998193,186.07072569988668,186.07072569988668,186.0546230999753,17.436131699942052,17.436156600015238,186.06200769986026,186.07072569988668,186.07072569988668,187.0538882999681,stimuli/box_coin_transparent.png,18.435405200114474,18.435451900120825,187.05401439988054,187.06896950001828,188.06880709994584,188.05207640002482,19.433573100017384,187.06896950001828,187.06896950001828,,,,,,,,,,,,917653,right,no,None,2025-05-16_13h25.05.159,RL_out-of-scanner,2024.2.4,59.86715476169726,2025-05-16 13h25.23.183743 -0700,
4,0,4,space,35.62098659994081,None,5,2.950730500044301,None,19.434994200011715,k,0.5022095001768321,None,None,19.96754419989884,19.96780960005708,20.983318699989468,20.983374600065872,21.998700500000268,21.998761900002137,24.513228399911895,,,,,,,0,0,0,0,4,0,4,0,188.06880709994584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.434994200011715,188.05354559980333,188.06880709994584,188.06880709994584,188.06880709994584,188.06880709994584,188.58602059981786,k,0.5022095001768321,None,right,1,10,3,0,3,3,None,19.96754419989884,19.96780960005708,188.58636179985479,188.60236249980517,188.60236249980517,189.61802719999105,189.61802719999105,189.60177149996161,20.983318699989468,20.983374600065872,189.60901189991273,189.61802719999105,189.61802719999105,190.61717360001057,stimuli/box_coin_transparent.png,21.998700500000268,21.998761900002137,190.61734509980306,190.63264369987883,193.1477965998929,193.13171589979902,24.513228399911895,,,,,,,,,,,,,,917653,right,no,None,2025-05-16_13h25.05.159,RL_out-of-scanner,2024.2.4,59.86715476169726,2025-05-16 13h25.23.183743 -0700,
5,0,5,space,35.62098659994081,None,5,2.950730500044301,None,24.514494800008833,k,0.32222099998034537,None,None,24.86387509992346,24.864075100049376,28.37744119996205,28.377468700055033,29.39265609998256,29.39270079997368,31.408018399961293,,,,,,,0,0,0,0,5,0,5,0,193.1477965998929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.514494800008833,193.13303869985975,193.1477965998929,193.1477965998929,193.1477965998929,193.1477965998929,193.48233499983326,k,0.32222099998034537,None,right,1,10,4,0,4,4,None,24.86387509992346,24.864075100049376,193.48261619987898,193.4977245000191,193.4977245000191,197.01202979986556,197.01202979986556,196.99592699995264,28.37744119996205,28.377468700055033,197.0030139000155,197.01202979986556,197.01202979986556,198.01114109996706,stimuli/box_coin_transparent.png,29.39265609998256,29.39270079997368,198.01125849992968,198.02679609996267,200.04259740002453,200.0265259000007,31.408018399961293,,,,,,,,,,,,,,917653,right,no,None,2025-05-16_13h25.05.159,RL_out-of-scanner,2024.2.4,59.86715476169726,2025-05-16 13h25.23.183743 -0700,
6,0,6,space,35.62098659994081,None,5,2.950730500044301,None,31.409082300029695,k,0.40125729981809855,None,None,31.842173699988052,31.842463900102302,32.840285199927166,32.84034219989553,33.855610999977216,33.85565560008399,34.85540909995325,,,,,,,0,0,0,0,6,0,6,0,200.04259740002453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.409082300029695,200.02762379986234,200.04259740002453,200.04259740002453,200.04259740002453,200.04259740002453,200.4606064998079,k,0.40125729981809855,None,right,1,10,5,0,5,5,None,31.842173699988052,31.842463900102302,200.46101629990153,200.47570859990083,200.47570859990083,201.4759237000253,201.4759237000253,201.4587338999845,32.840285199927166,32.84034219989553,201.4656819999218,201.4759237000253,201.4759237000253,202.47409689985216,stimuli/box_coin_transparent.png,33.855610999977216,33.85565560008399,202.47421409981325,202.49002489983104,203.4898983000312,203.47389659984037,34.85540909995325,,,,,,,,,,,,,,917653,right,no,None,2025-05-16_13h25.05.159,RL_out-of-scanner,2024.2.4,59.86715476169726,2025-05-16 13h25.23.183743 -0700,
7,0,7,space,35.62098659994081,None,5,2.950730500044301,None,34.85648400010541,k,0.4771148997824639,None,None,35.35580589994788,35.35599040007219,37.37025730009191,37.37030060007237,38.38507180009037,38.38509520003572,40.401149899931625,,,,,,,0,0,0,0,7,0,7,0,203.4898983000312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.85648400010541,203.4750255998224,203.4898983000312,203.4898983000312,203.4898983000312,203.4898983000312,203.97428279998712,k,0.4771148997824639,None,right,1,10,6,0,6,6,None,35.35580589994788,35.35599040007219,203.97452619997784,203.98991379979998,203.98991379979998,206.00510029983707,206.00510029983707,205.98872509994544,37.37025730009191,37.37030060007237,205.9958962998353,206.00510029983707,206.00510029983707,207.00357519998215,stimuli/box_coin_transparent.png,38.38507180009037,38.38509520003572,207.00363259995356,207.0197293998208,209.03543009981513,209.01963869994506,40.401149899931625,,,,,,,,,,,,,,917653,right,no,None,2025-05-16_13h25.05.159,RL_out-of-scanner,2024.2.4,59.86715476169726,2025-05-16 13h25.23.183743 -0700,
