thisN,thisTrialN,thisRepN,find_box_press.keys,find_box_press.rt,find_box_press.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue_resp_switch.keys,cue_resp_switch.rt,cue_resp_switch.duration,pointer_press.keys,pointer_press.rt,pointer_press.duration,cue_resp.keys,cue_resp.rt,cue_resp.duration,all_keys.keys,restart_both.thisRepN,restart_both.thisTrialN,restart_both.thisN,restart_both.thisIndex,find_magic_box_loop.thisRepN,find_magic_box_loop.thisTrialN,find_magic_box_loop.thisN,find_magic_box_loop.thisIndex,switch_side_loop.thisRepN,switch_side_loop.thisTrialN,switch_side_loop.thisN,switch_side_loop.thisIndex,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,first_box.started,show_stimuli.started,stimuli_text.started,key_resp.started,first_box.stopped,key_resp.keys,key_resp.rt,key_resp.duration,first_coin.started,first_coin_img.started,magic_coin_text.started,first_coin.stopped,prac_both_instructions.started,prac_both_text.started,key_resp_2.started,prac_both_instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,prac_both.started,prac_left_2.started,prac_right_2.started,find_box_press.started,prac_both.stopped,find_magic_box_loop.find_box_press.keys,find_magic_box_loop.find_box_press.rt,find_magic_box_loop.find_box_press.duration,prac_both_selec.started,left_box_lr.started,right_box_lr.started,left_box_lr.stopped,right_box_lr.stopped,prac_both_selec.stopped,prac_both_out.started,prac_left_box.started,prac_right_box.started,prac_left_box.stopped,prac_right_box.stopped,prac_both_out.stopped,fix_both.started,fix_text.started,fix_text.stopped,fix_both.stopped,saw_reward.started,restart_proceed_text.started,key_resp_3.started,saw_reward.stopped,restart_both.key_resp_3.keys,restart_both.key_resp_3.rt,restart_both.key_resp_3.duration,switch_cue.started,left_box_switch.started,right_box_switch.started,cue_resp_switch.started,switch_cue.stopped,switch_side_loop.cue_resp_switch.keys,switch_side_loop.cue_resp_switch.rt,switch_side_loop.cue_resp_switch.duration,switch_select.started,left_switch_selec.started,right_switch_selec.started,left_switch_selec.stopped,right_switch_selec.stopped,switch_select.stopped,switch_out.started,left_box_switch_out.started,right_box_switch_out.started,switch_out.stopped,no_coin_instruc.started,summary_text.started,pointer_press.started,no_coin_instruc.stopped,pracLoop.pointer_press.keys,pracLoop.pointer_press.rt,pracLoop.pointer_press.duration,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,trials.cue_resp.rt,trials.cue_resp.duration,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,outcome_image,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,outcome_left_box.stopped,outcome_right_box.stopped,run_feedback.started,coins_won_text.started,run_feedback.stopped,understanding_check.started,restart_key.started,participant,handedness,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018629599828273058,0.023707499960437417,0.023707499960437417,66.15971289994195,j,66.11780210002325,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,980139,right,2025-05-16_13h17.18.589,RL_practice,2024.2.4,59.74668606083439,2025-05-16 13h17.33.232588 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.15976229985245,66.16736769978888,66.16736769978888,66.16736769978888,75.56931569986045,j,9.39527460001409,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,980139,right,2025-05-16_13h17.18.589,RL_practice,2024.2.4,59.74668606083439,2025-05-16 13h17.33.232588 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.5693561998196,75.58490019990131,75.58490019990131,78.08296869997866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,980139,right,2025-05-16_13h17.18.589,RL_practice,2024.2.4,59.74668606083439,2025-05-16 13h17.33.232588 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.08302419981919,78.09936249977909,78.09936249977909,102.06511169997975,j,23.949111300054938,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,980139,right,2025-05-16_13h17.18.589,RL_practice,2024.2.4,59.74668606083439,2025-05-16 13h17.33.232588 -0700,
0,0,0,j,2.222018799977377,None,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,102.08095189998858,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.06664149998687,102.08095189998858,102.08095189998858,102.08095189998858,104.31329569988884,j,2.222018799977377,None,104.31471159984358,104.32869909983128,104.32869909983128,105.82790829986334,105.82790829986334,105.81232059979811,105.81979539990425,105.82790829986334,105.82790829986334,106.8265391997993,106.8265391997993,106.81092839990743,106.81095969979651,106.8265391997993,108.34226849977858,108.32594019989483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,980139,right,2025-05-16_13h17.18.589,RL_practice,2024.2.4,59.74668606083439,2025-05-16 13h17.33.232588 -0700,
1,0,1,k,0.5296995001845062,None,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,108.34226849977858,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.32618109998293,108.34226849977858,108.34226849977858,108.34226849977858,108.87593849981204,k,0.5296995001845062,None,108.87737599993125,108.89209489990026,108.89209489990026,,,110.39064119989052,110.39780029980466,110.40784759982489,110.40784759982489,,,111.39015439990908,111.39021849981509,111.40598799986765,114.42110309982672,114.40435069985688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,980139,right,2025-05-16_13h17.18.589,RL_practice,2024.2.4,59.74668606083439,2025-05-16 13h17.33.232588 -0700,
2,0,2,j,0.7445841999724507,None,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,114.42110309982672,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.40448459982872,114.42110309982672,114.42110309982672,114.42110309982672,115.1714542999398,j,0.7445841999724507,None,115.17279429989867,115.18704209988937,115.18704209988937,116.68629089999013,116.68629089999013,116.66997829987668,116.67690369999036,116.68629089999013,116.68629089999013,,,117.68501549982466,117.68504909984767,117.70165129983798,119.71651669987477,119.69992049993016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,980139,right,2025-05-16_13h17.18.589,RL_practice,2024.2.4,59.74668606083439,2025-05-16 13h17.33.232588 -0700,
3,0,3,j,0.4315317999571562,None,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,119.71651669987477,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.70005479990505,119.71651669987477,119.71651669987477,119.71651669987477,120.15044069988653,j,0.4315317999571562,None,120.15230509988032,120.16639829985797,120.16639829985797,,,121.66512559982948,121.67243099980988,121.68231599987485,121.68231599987485,,,122.66437069978565,122.66440479992889,122.68031109985895,124.179779099999,124.16375609999523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,980139,right,2025-05-16_13h17.18.589,RL_practice,2024.2.4,59.74668606083439,2025-05-16 13h17.33.232588 -0700,
4,0,4,j,0.5553832999430597,None,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,124.179779099999,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.16403069999069,124.179779099999,124.179779099999,124.179779099999,124.74700919981115,j,0.5553832999430597,None,124.74838279979303,124.76383269997314,124.76383269997314,,,126.26154449977912,126.26840569986962,126.27825659979135,126.27825659979135,,,127.26064120000228,127.260692599928,127.27685559983365,129.2979274999816,129.27557239984162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,980139,right,2025-05-16_13h17.18.589,RL_practice,2024.2.4,59.74668606083439,2025-05-16 13h17.33.232588 -0700,
0,0,0,,,,j,22.642356500029564,None,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.29317239997908,129.2979274999816,129.2979274999816,151.94167699990794,j,22.642356500029564,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,980139,right,2025-05-16_13h17.18.589,RL_practice,2024.2.4,59.74668606083439,2025-05-16 13h17.33.232588 -0700,
0,0,0,,,,,,,k,0.7879219998139888,None,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,151.95778429997154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.77017509983853,156.78656899998896,159.80121599999256,159.7848265999928,,,,,,,,151.94201769982465,151.95778429997154,151.95778429997154,151.95778429997154,152.75774979987182,k,0.7879219998139888,None,152.75922749983147,152.7735442998819,152.7735442998819,154.27274289983325,154.27274289983325,154.25644989986904,154.26330569991842,154.27274289983325,154.27274289983325,156.77013879991136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,980139,right,2025-05-16_13h17.18.589,RL_practice,2024.2.4,59.74668606083439,2025-05-16 13h17.33.232588 -0700,
1,0,1,,,,,,,k,0.5758309001103044,None,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,159.80121599999256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.39833060000092,164.4141692998819,167.42904829978943,167.41235379991122,,,,,,,,159.78493979992345,159.80121599999256,159.80121599999256,159.80121599999256,160.38545309985057,k,0.5758309001103044,None,160.3868332998827,160.40144809987396,160.40144809987396,,,161.8998573999852,161.90699429996312,161.91685759997927,161.91685759997927,164.3982959999703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,980139,right,2025-05-16_13h17.18.589,RL_practice,2024.2.4,59.74668606083439,2025-05-16 13h17.33.232588 -0700,
2,0,2,,,,,,,k,0.34411840001121163,None,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,167.42904829978943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.79150829999708,171.8082567998208,174.82289879978634,174.80622799997218,,,,,,,,167.41248069982976,167.42904829978943,167.42904829978943,167.42904829978943,167.7796608998906,k,0.34411840001121163,None,167.78100629989058,167.79482049983926,167.79482049983926,169.29400449991226,169.29400449991226,169.27819379977882,169.28514189994894,169.29400449991226,169.29400449991226,171.79147429997101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,980139,right,2025-05-16_13h17.18.589,RL_practice,2024.2.4,59.74668606083439,2025-05-16 13h17.33.232588 -0700,
