thisN,thisTrialN,thisRepN,advance_press.keys,advance_press.rt,advance_press.duration,trigger_value.keys,trigger_value.rt,trigger_value.duration,cueOnTime,cue_resp.keys,cue_resp.rt,cue_resp.duration,all_keys.keys,cueOffTime,cueRespOnTime,cueRespOffTime,outcomeOnTime,outcomeOffTime,fixOnTime,fixOffTime,all_keys.rt,all_keys.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,summary_instructions.started,summary_text.started,advance_to_runs.started,summary_instructions.stopped,advance_to_runs.keys,advance_to_runs.rt,advance_to_runs.duration,get_ready.started,get_ready_text.started,advance_press.started,get_ready.stopped,runs.advance_press.keys,runs.advance_press.rt,runs.advance_press.duration,scanner_trigger.started,scanner_text.started,trigger_value.started,scanner_trigger.stopped,runs.trigger_value.keys,runs.trigger_value.rt,runs.trigger_value.duration,trials.cueOnTime,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,trials.cue_resp.rt,trials.cue_resp.duration,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,trials.cueOffTime,trials.cueRespOnTime,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,trials.cueRespOffTime,trials.outcomeOnTime,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,outcome_image,trials.outcomeOffTime,trials.fixOnTime,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,trials.fixOffTime,outcome_left_box.stopped,outcome_right_box.stopped,run_feedback.started,coins_won_text.started,run_feedback.stopped,leftover_time_break.started,fixation_end.started,fixation_end.stopped,leftover_time_break.stopped,trials.all_keys.rt,trials.all_keys.duration,left_box.stopped,right_box.stopped,cue_resp.stopped,all_keys.stopped,end_exp.started,end_exp.stopped,participant,handedness,practice,restart_from_run,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03128969995304942,0.03691740008071065,0.03691740008071065,78.0144298998639,j,77.96613069996238,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,067073,right,no,None,2025-05-27_13h18.17.007,RL_out-of-scanner,2024.2.4,59.45299681431391,2025-05-27 13h18.25.779530 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.01476120017469,78.02658810000867,78.02658810000867,84.372559200041,j,6.337486899923533,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,067073,right,no,None,2025-05-27_13h18.17.007,RL_out-of-scanner,2024.2.4,59.45299681431391,2025-05-27 13h18.25.779530 -0700,
0,0,0,space,14.694444600027055,None,space,3.209216400049627,None,0.0021310998126864433,j,1.1257074996829033,None,None,1.1497912998311222,1.1500876997597516,2.1483159996569157,2.1483705998398364,3.163058599922806,3.163104099687189,5.178541099652648,,,,,,,0,0,0,0,0,0,0,0,102.3411987000145,,,,,,,,,,,,,,,,84.37289319979027,84.38793940003961,84.38793940003961,99.09487959975377,space,14.694444600027055,None,99.09501009993255,99.1097865998745,99.1097865998745,102.32548459991813,space,3.209216400049627,None,0.0021310998126864433,102.32770009990782,102.3411987000145,102.3411987000145,102.3411987000145,102.3411987000145,103.47525569982827,j,1.1257074996829033,None,right,0,14,0,0,0,0,None,1.1497912998311222,1.1500876997597516,103.47565300017595,103.4902723999694,103.4902723999694,104.49721289984882,104.49721289984882,104.47377509996295,2.1483159996569157,2.1483705998398364,104.48890649992973,104.49721289984882,104.49721289984882,105.48855380015448,stimuli/box_empty_transparent.png,3.163058599922806,3.163104099687189,105.48867269977927,105.50480279978365,107.5202878001146,107.50404059980065,5.178541099652648,,,,,,,,,,,,,,,,,,067073,right,no,None,2025-05-27_13h18.17.007,RL_out-of-scanner,2024.2.4,59.45299681431391,2025-05-27 13h18.25.779530 -0700,
1,0,1,space,14.694444600027055,None,space,3.209216400049627,None,5.181007699575275,k,0.3348253997974098,None,None,5.546009899582714,5.546409799717367,7.060645799618214,7.0606995997950435,8.076008999720216,8.076054899953306,9.591732599772513,,,,,,,0,0,0,0,1,0,1,0,107.5202878001146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.181007699575275,107.50659979972988,107.5202878001146,107.5202878001146,107.5202878001146,107.5202878001146,107.87142980005592,k,0.3348253997974098,None,right,1,14,1,0,1,1,None,5.546009899582714,5.546409799717367,107.87198669975623,107.8864611000754,107.8864611000754,109.41143140010536,109.41143140010536,109.38611999992281,7.060645799618214,7.0606995997950435,109.40359959984198,109.41143140010536,109.41143140010536,110.40150479972363,stimuli/box_coin_transparent.png,8.076008999720216,8.076054899953306,110.40162670006976,110.41787849972025,111.93385990010574,111.91722980001941,9.591732599772513,,,,,,,,,,,,,,,,,,067073,right,no,None,2025-05-27_13h18.17.007,RL_out-of-scanner,2024.2.4,59.45299681431391,2025-05-27 13h18.25.779530 -0700,
2,0,2,space,14.694444600027055,None,space,3.209216400049627,None,9.594326499849558,k,0.5152910999022424,None,None,10.126180099789053,10.1265778997913,11.124135799705982,11.124188899993896,12.139405999798328,12.139452199917287,15.153956199996173,,,,,,,0,0,0,0,2,0,2,0,111.93385990010574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.594326499849558,111.91992100002244,111.93385990010574,111.93385990010574,111.93385990010574,111.93385990010574,112.45160220004618,k,0.5152910999022424,None,right,1,14,2,0,2,2,None,10.126180099789053,10.1265778997913,112.45215639984235,112.46631720010191,112.46631720010191,113.47439299989492,113.47439299989492,113.44960509985685,11.124135799705982,11.124188899993896,113.46761350007728,113.47439299989492,113.47439299989492,114.46490029990673,stimuli/box_coin_transparent.png,12.139405999798328,12.139452199917287,114.46502360003069,114.48109839996323,117.49567470001057,117.47945549990982,15.153956199996173,,,,,,,,,,,,,,,,,,067073,right,no,None,2025-05-27_13h18.17.007,RL_out-of-scanner,2024.2.4,59.45299681431391,2025-05-27 13h18.25.779530 -0700,
3,0,3,space,14.694444600027055,None,space,3.209216400049627,None,15.156515599694103,k,0.4389050002209842,None,None,15.621753899846226,15.622009399812669,17.634946199599653,17.63498149998486,18.63493789965287,18.634982499759644,19.633843299932778,,,,,,,0,0,0,0,3,0,3,0,117.49567470001057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.156515599694103,117.48210710007697,117.49567470001057,117.49567470001057,117.49567470001057,117.49567470001057,117.94722119998187,k,0.4389050002209842,None,right,1,14,3,0,3,3,None,15.621753899846226,15.622009399812669,117.94756919983774,117.96198560018092,117.96198560018092,119.9769577998668,119.9769577998668,119.96042999997735,17.634946199599653,17.63498149998486,119.9714013999328,119.9769577998668,119.9769577998668,120.96043139975518,stimuli/box_coin_transparent.png,18.63493789965287,18.634982499759644,120.96055339975283,120.97574569983408,121.97527669975534,121.95934299984947,19.633843299932778,120.97574569983408,120.97574569983408,,,,,,,,,,,,,,,,067073,right,no,None,2025-05-27_13h18.17.007,RL_out-of-scanner,2024.2.4,59.45299681431391,2025-05-27 13h18.25.779530 -0700,
4,0,4,space,14.694444600027055,None,space,3.209216400049627,None,19.636334199924022,k,0.4843293996527791,None,None,20.151895399671048,20.152296299580485,21.166044699959457,21.166095899883658,22.181178199592978,22.18122429959476,24.696439699735492,,,,,,,0,0,0,0,4,0,4,0,121.97527669975534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.636334199924022,121.96192899998277,121.97527669975534,121.97527669975534,121.97527669975534,121.97527669975534,122.47732189996168,k,0.4843293996527791,None,right,1,14,4,0,4,4,None,20.151895399671048,20.152296299580485,122.47787489974871,122.49171359976754,122.49171359976754,123.51607749983668,123.51607749983668,123.49151600012556,21.166044699959457,21.166095899883658,123.50923749990761,123.51607749983668,123.51607749983668,124.50667339982465,stimuli/box_coin_transparent.png,22.181178199592978,22.18122429959476,124.50679610017687,124.52280300017446,127.03823600010946,127.02193869976327,24.696439699735492,,,,,,,,,,,,,,,,,,067073,right,no,None,2025-05-27_13h18.17.007,RL_out-of-scanner,2024.2.4,59.45299681431391,2025-05-27 13h18.25.779530 -0700,
5,0,5,space,14.694444600027055,None,space,3.209216400049627,None,24.69882689975202,k,0.604286799672991,None,None,25.330856499727815,25.331256999634206,28.84363059978932,28.84368379972875,29.85890579968691,29.858951599802822,31.87444159993902,,,,,,,0,0,0,0,5,0,5,0,127.03823600010946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.69882689975202,127.02441859990358,127.03823600010946,127.03823600010946,127.03823600010946,127.03823600010946,127.6562848999165,k,0.604286799672991,None,right,0,14,4,0,5,4,None,25.330856499727815,25.331256999634206,127.65683489991352,127.67110439995304,127.67110439995304,131.1902817999944,131.1902817999944,131.16909419978037,28.84363059978932,28.84368379972875,131.18341629998758,131.1902817999944,131.1902817999944,132.18440040014684,stimuli/box_empty_transparent.png,29.85890579968691,29.858951599802822,132.18452720018104,132.20021970011294,134.21571910008788,134.19993929984048,31.87444159993902,,,,,,,,,,,,,,,,,,067073,right,no,None,2025-05-27_13h18.17.007,RL_out-of-scanner,2024.2.4,59.45299681431391,2025-05-27 13h18.25.779530 -0700,
6,0,6,space,14.694444600027055,None,space,3.209216400049627,None,31.877075699623674,j,0.39664799999445677,None,None,32.29155509965494,32.29199709976092,33.29030229989439,33.29035829985514,34.305132299661636,34.305162999778986,35.30451859999448,,,,,,,0,0,0,0,6,0,6,0,134.21571910008788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.877075699623674,134.20267229992896,134.21571910008788,134.21571910008788,134.21571910008788,134.21571910008788,134.61698699975386,j,0.39664799999445677,None,right,0,14,4,0,5,4,None,32.29155509965494,32.29199709976092,134.61757689993829,134.6318434998393,134.6318434998393,135.63822280010208,135.63822280010208,135.61576119996607,33.29030229989439,33.29035829985514,135.6310418001376,135.63822280010208,135.63822280010208,136.63063109992072,stimuli/box_empty_transparent.png,34.305132299661636,34.305162999778986,136.6307180998847,136.64677699981257,137.64622979983687,137.6300173997879,35.30451859999448,,,,,,,,,,,,,,,,,,067073,right,no,None,2025-05-27_13h18.17.007,RL_out-of-scanner,2024.2.4,59.45299681431391,2025-05-27 13h18.25.779530 -0700,
7,0,7,space,14.694444600027055,None,space,3.209216400049627,None,35.30704539967701,j,1.0918699000030756,None,None,36.421653899829835,36.42215389991179,38.43582349969074,38.43587949965149,39.45090049970895,39.450947999954224,41.466301899868995,,,,,,,0,0,0,0,7,0,7,0,137.64622979983687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.30704539967701,137.63263559993356,137.64622979983687,137.64622979983687,137.64622979983687,137.64622979983687,138.74707699986175,j,1.0918699000030756,None,right,0,14,4,0,5,4,None,36.421653899829835,36.42215389991179,138.74773890012875,138.76190439984202,138.76190439984202,140.78250910015777,140.78250910015777,140.76128150010481,38.43582349969074,38.43587949965149,140.77561279991642,140.78250910015777,140.78250910015777,141.7763951998204,stimuli/box_empty_transparent.png,39.45090049970895,39.450947999954224,141.77651959983632,141.7924434999004,143.80796819971874,143.79180039977655,41.466301899868995,,,,,,,,,,,,,,,,,,067073,right,no,None,2025-05-27_13h18.17.007,RL_out-of-scanner,2024.2.4,59.45299681431391,2025-05-27 13h18.25.779530 -0700,
