thisN,thisTrialN,thisRepN,cue_resp.keys,cue_resp.corr,cue_resp.rt,cue_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,getReady.started,get_ready_text.started,advance_press.started,getReady.stopped,advance_press.keys,advance_press.rt,advance_press.duration,cue.started,left_box.started,right_box.started,cue_resp.started,cue_resp.stopped,left_box.stopped,right_box.stopped,cue.stopped,trials.cue_resp.keys,trials.cue_resp.corr,trials.cue_resp.rt,trials.cue_resp.duration,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,fixation.started,fixation_cross.started,fixation.stopped,outcome_left_box.stopped,outcome_right_box.stopped,fixation_cross.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.011013291019480675,0.015273833007086068,0.015273833007086068,1.4105045000324026,space,1.3706400000373833,None,,,,,,,,,,,,,,,,,,,,,,,179139,001,2025-02-28_15h55.12.458,untitled,2024.2.4,None,2025-02-28 15h55.19.058322 -0600,
0,0,0,2,0,0.41205441701458767,0.19578941696090624,0,0,0,0,1.4228835410322063,,,,,,,,,1.4111614160356112,1.4228835410322063,1.4228835410322063,1.4228835410322063,2.9145140830078162,3.124446666042786,3.124446666042786,3.1079761660075746,2,0,0.41205441701458767,0.19578941696090624,3.1219679579953663,3.124446666042786,3.124446666042786,4.1165716660325415,4.1166042080149055,4.122928500000853,4.616292458027601,,,,179139,001,2025-02-28_15h55.12.458,untitled,2024.2.4,None,2025-02-28 15h55.19.058322 -0600,
1,0,1,2,0,0.38984775001881644,0.21988779195817187,1,0,1,0,4.622812832996715,,,,,,,,,4.616403250023723,4.622812832996715,4.622812832996715,4.622812832996715,6.114501541014761,6.320816625026055,6.320816625026055,6.3084129160270095,2,0,0.38984775001881644,0.21988779195817187,6.318702541000675,6.320816625026055,6.320816625026055,7.308192374999635,7.308214290998876,7.3104665410355665,7.799956083006691,7.3104665410355665,7.3104665410355665,7.806152458011638,179139,001,2025-02-28_15h55.12.458,untitled,2024.2.4,None,2025-02-28 15h55.19.058322 -0600,
2,0,2,2,0,0.3876274590147659,0.12028287502471358,2,0,2,0,7.806152458011638,,,,,,,,,7.8000650409958325,7.806152458011638,7.806152458011638,7.806152458011638,9.297827875008807,9.503897999995388,9.503897999995388,9.491613165999297,2,0,0.3876274590147659,0.12028287502471358,9.502292291028425,9.509262958017644,9.509262958017644,10.495784208003897,10.495805916027166,10.506197500042617,10.99153679102892,10.506197500042617,10.506197500042617,10.993973083037417,179139,001,2025-02-28_15h55.12.458,untitled,2024.2.4,None,2025-02-28 15h55.19.058322 -0600,
3,0,3,2,0,0.44742441695416346,0.169057542050723,3,0,3,0,10.993973083037417,,,,,,,,,10.991642125009093,11.00626854103757,11.00626854103757,11.00626854103757,12.497898125031497,12.70356733299559,12.70356733299559,12.691510416043457,2,0,0.44742441695416346,0.169057542050723,12.701853125006892,12.70928770804312,12.70928770804312,13.69977333303541,13.69979725003941,13.706206041038968,14.199810166028328,13.706206041038968,13.706206041038968,14.206179666041862,179139,001,2025-02-28_15h55.12.458,untitled,2024.2.4,None,2025-02-28 15h55.19.058322 -0600,
4,0,4,2,0,0.34206912497757,0.16767158301081508,4,0,4,0,14.206179666041862,,,,,,,,,14.199912625015713,14.206179666041862,14.206179666041862,14.206179666041862,15.697854708007071,15.903418083034921,15.903418083034921,15.891557166003622,2,0,0.34206912497757,0.16767158301081508,15.901614833041094,15.909315500000957,15.909315500000957,16.900143083010335,16.90016420802567,16.906264999997802,17.399961457995232,16.906264999997802,16.906264999997802,17.406225458020344,179139,001,2025-02-28_15h55.12.458,untitled,2024.2.4,None,2025-02-28 15h55.19.058322 -0600,
5,0,5,1,0,0.37981454201508313,0.14441125001758337,5,0,5,0,17.406225458020344,,,,,,,,,17.400072458025534,17.406225458020344,17.406225458020344,17.406225458020344,18.89363345800666,19.105610291007906,19.105610291007906,19.09201462502824,1,0,0.37981454201508313,0.14441125001758337,19.103724125016015,19.122870374994818,19.122870374994818,20.108234083047137,20.108256791019812,20.10994675004622,20.599952333024703,20.10994675004622,20.10994675004622,20.606238083040807,179139,001,2025-02-28_15h55.12.458,untitled,2024.2.4,None,2025-02-28 15h55.19.058322 -0600,
6,0,6,1,0,0.2773712080088444,0.11154008295852691,6,0,6,0,20.606238083040807,,,,,,,,,20.60005483299028,20.606238083040807,20.606238083040807,20.606238083040807,22.093430041044485,22.302589583036024,22.302589583036024,22.29153845802648,1,0,0.2773712080088444,0.11154008295852691,22.30077979102498,22.322927000001073,22.322927000001073,23.31616283301264,23.316184875031468,23.32289358304115,23.816282291023526,,,,179139,001,2025-02-28_15h55.12.458,untitled,2024.2.4,None,2025-02-28 15h55.19.058322 -0600,
7,0,7,1,0,0.31204837502446026,0.09981195902219042,7,0,7,0,23.822838333027903,,,,,,,,,23.816394000023138,23.822838333027903,23.822838333027903,23.822838333027903,25.322886875015683,,,25.51609475002624,1,0,0.31204837502446026,0.09981195902219042,25.528065541002434,25.530437125009485,25.530437125009485,26.51157037500525,26.511593458009884,26.522993208025582,27.0082906250027,,,27.010231958003715,179139,001,2025-02-28_15h55.12.458,untitled,2024.2.4,None,2025-02-28 15h55.19.058322 -0600,
8,0,8,1,0,0.36203083401778713,0.15186699997866526,8,0,8,0,27.010231958003715,,,,,,,,,27.008406915992964,27.010231958003715,27.010231958003715,27.010231958003715,28.5062371250242,28.71162524999818,28.71162524999818,28.69989270804217,1,0,0.36203083401778713,0.15186699997866526,28.70956354099326,28.71162524999818,28.71162524999818,29.699824916024227,29.69984687503893,29.706215500016697,30.19993520801654,29.706215500016697,29.706215500016697,30.206204665999394,179139,001,2025-02-28_15h55.12.458,untitled,2024.2.4,None,2025-02-28 15h55.19.058322 -0600,
