thisN,thisTrialN,thisRepN,cue_resp.keys,cue_resp.corr,cue_resp.rt,cue_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,get_ready.started,get_ready_text.started,advance_press.started,get_ready.stopped,advance_press.keys,advance_press.rt,advance_press.duration,cue.started,left_box.started,right_box.started,cue_resp.started,cue_resp.stopped,cue.stopped,trials.cue_resp.keys,trials.cue_resp.corr,trials.cue_resp.rt,trials.cue_resp.duration,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,fixation.started,fixation_cross.started,fixation.stopped,fixation_cross.stopped,left_box.stopped,right_box.stopped,outcome_left_box.stopped,outcome_right_box.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.010525042016524822,0.02215149998664856,0.02215149998664856,1.2343974999967031,space,1.1926124999881722,None,,,,,,,,,,,,,,,,,,,,,,,354059,001,2025-03-02_16h52.46.592,untitled,2024.2.4,None,2025-03-02 16h52.52.672851 -0600,
0,0,0,2,0,0.43646733299829066,0.13083404197823256,0,0,0,0,1.2468082919949666,,,,,,,,,1.2350563330110162,1.2468082919949666,1.2468082919949666,1.2468082919949666,2.7456422080285847,2.938835625012871,2,0,0.43646733299829066,0.13083404197823256,2.9498696670052595,2.952247500012163,2.952247500012163,3.947297125007026,3.9473287080181763,3.954012208036147,4.447251500037964,,,,,,354059,001,2025-03-02_16h52.46.592,untitled,2024.2.4,None,2025-03-02 16h52.52.672851 -0600,
1,0,1,2,0,0.48715574998641387,0.17667349998373538,1,0,1,0,4.4540503330063075,,,,,,,,,4.447363333019894,4.4540503330063075,4.4540503330063075,4.4540503330063075,5.954021583020221,6.147089667036198,2,0,0.48715574998641387,0.17667349998373538,6.159405999991577,6.161605958011933,6.161605958011933,7.139038624998648,7.139066500007175,7.1409922080347314,7.6308922080206685,7.6373314170050435,,,,,354059,001,2025-03-02_16h52.46.592,untitled,2024.2.4,None,2025-03-02 16h52.52.672851 -0600,
2,0,2,2,0,0.8189768330194056,0.18400954199023545,2,0,2,0,7.6373314170050435,,,,,,,,,7.6309916250174865,7.6373314170050435,7.6373314170050435,7.6373314170050435,9.123738375026733,9.322636542026885,2,0,0.8189768330194056,0.18400954199023545,9.333149917016272,9.33532762498362,9.33532762498362,10.331052916997578,10.331074416986667,10.337354833027348,10.83094820799306,10.837309124995954,9.33532762498362,9.33532762498362,10.337354833027348,10.337354833027348,354059,001,2025-03-02_16h52.46.592,untitled,2024.2.4,None,2025-03-02 16h52.52.672851 -0600,
3,0,3,2,0,0.44484604202443734,0.1923661669716239,3,0,3,0,10.837309124995954,,,,,,,,,10.831048124993686,10.837309124995954,10.837309124995954,10.837309124995954,12.323825000028592,12.52268533303868,2,0,0.44484604202443734,0.1923661669716239,12.53223250003066,12.534399416996166,12.534399416996166,13.522625749988947,13.522650917002466,13.529001832997892,14.022579625016078,14.029047999996692,12.534399416996166,12.534399416996166,13.529001832997892,13.529001832997892,354059,001,2025-03-02_16h52.46.592,untitled,2024.2.4,None,2025-03-02 16h52.52.672851 -0600,
4,0,4,2,0,0.40365012496476993,0.16056404204573482,4,0,4,0,14.029047999996692,,,,,,,,,14.022684875002597,14.029047999996692,14.029047999996692,14.029047999996692,15.515415333036799,15.714404917031061,2,0,0.40365012496476993,0.16056404204573482,15.723768917028792,15.745844958000816,15.745844958000816,16.738951792009175,16.738974042003974,16.745733292016666,17.239349375013262,,15.725428875011858,15.725428875011858,,,354059,001,2025-03-02_16h52.46.592,untitled,2024.2.4,None,2025-03-02 16h52.52.672851 -0600,
5,0,5,2,0,0.22458366700448096,0.18413779098773375,5,0,5,0,17.24568970798282,,,,,,,,,17.239461457997095,17.24568970798282,17.24568970798282,17.24568970798282,18.732075624982826,18.93101833300898,2,0,0.22458366700448096,0.18413779098773375,18.939426042023115,18.941611708025448,18.941611708025448,19.92581045802217,19.92584187502507,19.93742899998324,20.42264254199108,20.424445583019406,18.941611708025448,18.941611708025448,19.93742899998324,19.93742899998324,354059,001,2025-03-02_16h52.46.592,untitled,2024.2.4,None,2025-03-02 16h52.52.672851 -0600,
6,0,6,2,0,0.29223704198375344,0.16072200000053272,6,0,6,0,20.424445583019406,,,,,,,,,20.422770707984455,20.424445583019406,20.424445583019406,20.424445583019406,21.920730541984085,22.109065958007704,2,0,0.29223704198375344,0.16072200000053272,22.117455125029664,22.12341166700935,22.12341166700935,23.114294667029753,23.114316833030898,23.12401445803698,23.61439587501809,23.620682333013974,22.119225375005044,22.119225375005044,23.120696542027872,23.120696542027872,354059,001,2025-03-02_16h52.46.592,untitled,2024.2.4,None,2025-03-02 16h52.52.672851 -0600,
7,0,7,1,0,0.2907675000024028,0.18188624997856095,7,0,7,0,23.620682333013974,,,,,,,,,23.614496833004523,23.62392733298475,23.62392733298475,23.62392733298475,25.120759000012185,25.309799375012517,1,0,0.2907675000024028,0.18188624997856095,25.320376124989707,25.329104125034064,25.329104125034064,26.322909167036414,26.3229345830041,26.32904729200527,26.82279250002466,26.82906170800561,25.32200849999208,25.32200849999208,26.32904729200527,26.32904729200527,354059,001,2025-03-02_16h52.46.592,untitled,2024.2.4,None,2025-03-02 16h52.52.672851 -0600,
8,0,8,1,0,0.31122699996922165,0.2007555830059573,8,0,8,0,26.82906170800561,,,,,,,,,26.822899457998574,26.82906170800561,26.82906170800561,26.82906170800561,28.329055625014007,28.52270299999509,1,0,0.31122699996922165,0.2007555830059573,28.532535667007323,28.534670083026867,28.534670083026867,29.531107083021197,29.531128625036217,29.537408000032883,30.031163208012003,30.03745645802701,28.534670083026867,28.534670083026867,29.537408000032883,29.537408000032883,354059,001,2025-03-02_16h52.46.592,untitled,2024.2.4,None,2025-03-02 16h52.52.672851 -0600,
