thisN,thisTrialN,thisRepN,cue_resp.keys,cue_resp.corr,cue_resp.rt,cue_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,get_ready.started,get_ready_text.started,advance_press.started,get_ready.stopped,advance_press.keys,advance_press.rt,advance_press.duration,cue.started,left_box.started,right_box.started,cue_resp.started,cue_resp.stopped,left_box.stopped,right_box.stopped,cue.stopped,trials.cue_resp.keys,trials.cue_resp.corr,trials.cue_resp.rt,trials.cue_resp.duration,good_side,probability_sequence_value,num_correct,num_switch,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,outcome_image,fixation.started,fixation_cross.started,fixation.stopped,fixation_cross.stopped,outcome_left_box.stopped,outcome_right_box.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.010550584003794938,0.016308374993968755,0.016308374993968755,2.8376890419749543,space,2.799440916045569,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,623349,001,2025-03-02_16h59.50.761,untitled,2024.2.4,None,2025-03-02 16h59.56.486245 -0600,
0,0,0,2,0,0.5918095000088215,0.16724337497726083,0,0,0,0,2.849720833997708,,,,,,,,,2.8383527499972843,2.849720833997708,2.849720833997708,2.849720833997708,4.339016875019297,4.552385959017556,4.552385959017556,4.537709917000029,2,0,0.5918095000088215,0.16724337497726083,right,1,1,0,4.549870333983563,4.552385959017556,4.552385959017556,5.5464536669896916,stimuli/box_coin.png,5.546490249980707,5.552662209025584,6.045831791998353,,,,623349,001,2025-03-02_16h59.50.761,untitled,2024.2.4,None,2025-03-02 16h59.56.486245 -0600,
1,0,1,2,0,0.358623499982059,0.15501566603779793,1,0,1,0,6.052670584002044,,,,,,,,,6.045969249971677,6.052670584002044,6.052670584002044,6.052670584002044,7.552628916979302,,,7.7459042919799685,2,0,0.358623499982059,0.15501566603779793,right,1,2,0,7.756672583986074,7.758876958978362,7.758876958978362,8.737775666988455,stimuli/box_coin.png,8.737800874980167,8.73969495901838,9.229534792015329,9.235970959009137,,,623349,001,2025-03-02_16h59.50.761,untitled,2024.2.4,None,2025-03-02 16h59.56.486245 -0600,
2,0,2,2,0,0.30007404199568555,0.12755425000796095,2,0,2,0,9.235970959009137,,,,,,,,,9.229639124998357,9.235970959009137,9.235970959009137,9.235970959009137,10.723182042012922,10.933480917010456,10.933480917010456,10.921310041972902,2,0,0.30007404199568555,0.12755425000796095,right,1,3,0,10.931671499973163,10.938376166974194,10.938376166974194,11.929756249999627,stimuli/box_coin.png,11.929783458996098,11.936012708989438,12.429869083978701,12.43602187500801,11.936012708989438,11.936012708989438,623349,001,2025-03-02_16h59.50.761,untitled,2024.2.4,None,2025-03-02 16h59.56.486245 -0600,
3,0,3,2,0,0.36800912499893457,0.11156458302866668,3,0,3,0,12.43602187500801,,,,,,,,,12.429983916983474,12.43602187500801,12.43602187500801,12.43602187500801,13.935963292024098,14.14126316702459,14.14126316702459,14.129587917006575,2,0,0.36800912499893457,0.11156458302866668,left,1,0,1,14.139036791981198,14.14126316702459,14.14126316702459,15.137926666997373,stimuli/box_empty.png,15.137951834010892,15.144295124977361,15.637834416993428,15.644318374979775,15.144295124977361,15.144295124977361,623349,001,2025-03-02_16h59.50.761,untitled,2024.2.4,None,2025-03-02 16h59.56.486245 -0600,
4,0,4,2,0,0.3196721670101397,0.13756400003330782,4,0,4,0,15.644318374979775,,,,,,,,,15.637939959007781,15.644318374979775,15.644318374979775,15.644318374979775,17.13055645901477,17.341196792025585,17.341196792025585,17.32954470900586,2,0,0.3196721670101397,0.13756400003330782,left,1,0,1,17.338892708998173,17.341196792025585,17.341196792025585,18.330172166984994,stimuli/box_empty.png,18.330215958994813,18.33601612498751,18.829530375020113,18.83595645899186,18.33601612498751,18.33601612498751,623349,001,2025-03-02_16h59.50.761,untitled,2024.2.4,None,2025-03-02 16h59.56.486245 -0600,
5,0,5,2,0,0.3147673749481328,0.1321687920135446,5,0,5,0,18.83595645899186,,,,,,,,,18.829633167013526,18.83595645899186,18.83595645899186,18.83595645899186,20.33598420897033,20.540379041980486,20.540379041980486,20.529550209001172,2,0,0.3147673749481328,0.1321687920135446,left,1,0,1,20.538216084009036,20.540379041980486,20.540379041980486,21.537945749994833,stimuli/box_empty.png,21.53797012497671,21.544310291996226,22.03785066702403,22.044244166987482,21.544310291996226,21.544310291996226,623349,001,2025-03-02_16h59.50.761,untitled,2024.2.4,None,2025-03-02 16h59.56.486245 -0600,
6,0,6,1,0,0.2637557910056785,0.1482335840119049,6,0,6,0,22.044244166987482,,,,,,,,,22.037965499970596,22.044244166987482,22.044244166987482,22.044244166987482,23.544355167017784,23.748687834013253,23.748687834013253,23.73797633399954,1,0,0.2637557910056785,0.1482335840119049,left,0,0,1,23.7465638340218,23.748687834013253,23.748687834013253,24.73800954199396,stimuli/box_empty.png,24.738033166970126,24.744390874984674,25.237751209002454,,24.744390874984674,24.744390874984674,623349,001,2025-03-02_16h59.50.761,untitled,2024.2.4,None,2025-03-02 16h59.56.486245 -0600,
7,0,7,1,0,0.30530345800798386,0.15546408301452175,7,0,7,0,25.244355666975025,,,,,,,,,25.237866416980978,25.244355666975025,25.244355666975025,25.244355666975025,26.7306428750162,26.942644459020812,26.942644459020812,26.929648792021908,1,0,0.30530345800798386,0.15546408301452175,left,1,1,1,26.940428791975137,26.942644459020812,26.942644459020812,27.929781000013463,stimuli/box_coin.png,27.929805000021588,27.93149662500946,28.421206625003833,28.427678084000945,27.93149662500946,27.93149662500946,623349,001,2025-03-02_16h59.50.761,untitled,2024.2.4,None,2025-03-02 16h59.56.486245 -0600,
8,0,8,1,0,0.24015329196117818,0.17118583305273205,8,0,8,0,28.427678084000945,,,,,,,,,28.42131491698092,28.431030542007647,28.431030542007647,28.431030542007647,29.927673708996736,30.132769750023726,30.132769750023726,30.12129795900546,1,0,0.24015329196117818,0.17118583305273205,left,0,1,1,30.131046916998457,30.13889395899605,30.13889395899605,31.129595791979227,stimuli/box_empty.png,31.129623542015906,31.136025250016246,31.62953658401966,31.635999333986547,31.136025250016246,31.136025250016246,623349,001,2025-03-02_16h59.50.761,untitled,2024.2.4,None,2025-03-02 16h59.56.486245 -0600,
