thisN,thisTrialN,thisRepN,cue_resp.keys,cue_resp.corr,cue_resp.rt,cue_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,get_ready.started,get_ready_text.started,advance_press.started,get_ready.stopped,advance_press.keys,advance_press.rt,advance_press.duration,cue.started,left_box.started,right_box.started,cue_resp.started,cue_resp.stopped,cue.stopped,trials.cue_resp.keys,trials.cue_resp.corr,trials.cue_resp.rt,trials.cue_resp.duration,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,left_box.stopped,right_box.stopped,outcome_left_box.stopped,outcome_right_box.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.01034358300967142,0.01437895797425881,0.01437895797425881,0.5623651249916293,space,0.5271633339580148,None,,,,,,,,,,,,,,,,,,,,,,,804872,001,2025-02-28_16h57.15.511,untitled,2024.2.4,None,2025-02-28 16h57.21.300833 -0600,
0,0,0,2,0,0.8773319160100073,0.07148758403491229,0,0,0,0,0.5744817919912748,,,,,,,,,0.5630300000193529,0.5744817919912748,0.5744817919912748,0.5744817919912748,2.0706453750026412,2.268879375013057,2,0,0.8773319160100073,0.07148758403491229,2.2826624999870546,2.2849750830209814,2.2849750830209814,3.268786625005305,3.2688210000051185,3.271716999995988,3.7627077500219457,3.7610517499851994,,,,,804872,001,2025-02-28_16h57.15.511,untitled,2024.2.4,None,2025-02-28 16h57.21.300833 -0600,
1,0,1,2,0,0.376869791012723,0.14410387497628108,1,0,1,0,3.7627077500219457,,,,,,,,,3.7611625830177218,3.7627077500219457,3.7627077500219457,3.7627077500219457,5.2589640420046635,5.447451499989256,2,0,0.376869791012723,0.14410387497628108,5.457568374986295,5.459761457983404,5.459761457983404,6.444187458022498,6.444210999994539,6.458961417025421,6.94569916697219,6.944169749971479,5.459761457983404,5.459761457983404,6.445602332998533,6.445602332998533,804872,001,2025-02-28_16h57.15.511,untitled,2024.2.4,None,2025-02-28 16h57.21.300833 -0600,
2,0,2,2,0,0.5136842090287246,0.17616058298153803,2,0,2,0,6.94569916697219,,,,,,,,,6.944295833003707,6.958953667024616,6.958953667024616,6.958953667024616,8.450576958013698,8.644231832993682,2,0,0.5136842090287246,0.17616058298153803,8.654583957977593,8.662469542003237,8.662469542003237,9.65255908301333,9.652580750000197,9.654232707980555,10.150535999971908,10.144083167018835,8.656412457989063,8.656412457989063,9.654232707980555,9.654232707980555,804872,001,2025-02-28_16h57.15.511,untitled,2024.2.4,None,2025-02-28 16h57.21.300833 -0600,
3,0,3,1,0,0.26919833302963525,0.15612762497039512,3,0,3,0,10.150535999971908,,,,,,,,,10.144184082979336,10.153930499975104,10.153930499975104,10.153930499975104,11.6506075829966,11.844389082980342,1,0,0.26919833302963525,0.15612762497039512,11.855494124989491,11.861587124993093,11.861587124993093,12.847311416990124,12.84733249997953,12.85893958300585,13.345709541987162,13.344242291990668,11.857326500001363,11.857326500001363,12.85893958300585,12.85893958300585,804872,001,2025-02-28_16h57.15.511,untitled,2024.2.4,None,2025-02-28 16h57.21.300833 -0600,
4,0,4,1,0,0.5317572909989394,0.1511508339899592,4,0,4,0,13.345709541987162,,,,,,,,,13.344345416990109,13.3589786249795,13.3589786249795,13.3589786249795,14.850572749972343,15.044169042026624,1,0,0.5317572909989394,0.1511508339899592,15.053922249993775,15.06729129201267,15.06729129201267,16.052673375001177,16.05269674997544,16.05430133297341,16.545780416985508,16.54430675000185,15.055833749996964,15.055833749996964,16.05430133297341,16.05430133297341,804872,001,2025-02-28_16h57.15.511,untitled,2024.2.4,None,2025-02-28 16h57.21.300833 -0600,
5,0,5,1,0,0.5198695830185898,0.13851775001967326,5,0,5,0,16.545780416985508,,,,,,,,,16.54440783301834,16.558923583012074,16.558923583012074,16.558923583012074,18.053609624970704,18.252490292012226,1,0,0.5198695830185898,0.13851775001967326,18.262111750023905,18.264408666989766,18.264408666989766,19.260889875004068,19.260914292011876,19.26264704199275,19.758935625024606,19.747385292022955,18.264408666989766,18.264408666989766,19.26264704199275,19.26264704199275,804872,001,2025-02-28_16h57.15.511,untitled,2024.2.4,None,2025-02-28 16h57.21.300833 -0600,
6,0,6,1,0,0.3903454579995014,0.14019608299713582,6,0,6,0,19.758935625024606,,,,,,,,,19.747490458015818,19.758935625024606,19.758935625024606,19.758935625024606,21.2539195829886,21.45283800002653,1,0,0.3903454579995014,0.14019608299713582,21.461874625005294,21.46424504200695,21.46424504200695,22.460953041969333,22.460977207985707,22.467309582978487,22.967279792006593,22.960979000024963,21.46424504200695,21.46424504200695,22.467309582978487,22.467309582978487,804872,001,2025-02-28_16h57.15.511,untitled,2024.2.4,None,2025-02-28 16h57.21.300833 -0600,
7,0,7,1,0,0.27040104201296344,0.13968550000572577,7,0,7,0,22.967279792006593,,,,,,,,,22.961090042022988,22.967279792006593,22.967279792006593,22.967279792006593,24.45888237498002,24.652624375012238,1,0,0.27040104201296344,0.13968550000572577,24.660881916992366,24.663120458018966,24.663120458018966,25.652870249992702,25.652893292019144,25.65477166697383,26.1456836250145,26.14419345802162,24.663120458018966,24.663120458018966,25.65477166697383,25.65477166697383,804872,001,2025-02-28_16h57.15.511,untitled,2024.2.4,None,2025-02-28 16h57.21.300833 -0600,
8,0,8,1,0,0.3331429589889012,0.13687741599278525,8,0,8,0,26.1456836250145,,,,,,,,,26.14430624997476,26.158942207985092,26.158942207985092,26.158942207985092,27.653914667025674,27.844306458020583,1,0,0.3331429589889012,0.13687741599278525,27.852531166980043,27.86729916697368,27.86729916697368,28.852804582973476,28.852827916969545,28.854478332970757,29.35065608297009,29.339073041977827,27.854222082998604,27.854222082998604,28.854478332970757,28.854478332970757,804872,001,2025-02-28_16h57.15.511,untitled,2024.2.4,None,2025-02-28 16h57.21.300833 -0600,
9,0,9,2,0,0.300005458004307,0.16795716696651652,9,0,9,0,29.35065608297009,,,,,,,,,29.339176125009544,29.353990166971926,29.353990166971926,29.353990166971926,30.845414875017013,31.04447716701543,2,0,0.300005458004307,0.16795716696651652,31.05562195798848,31.061691707989667,31.061691707989667,32.052771707996726,32.052793583017774,32.05440224998165,32.55059258302208,32.54423141700681,31.057262957969215,31.057262957969215,32.05440224998165,32.05440224998165,804872,001,2025-02-28_16h57.15.511,untitled,2024.2.4,None,2025-02-28 16h57.21.300833 -0600,
10,0,10,2,0,0.827874457987491,0.15545379201648757,10,0,10,0,32.55059258302208,,,,,,,,,32.5443491669721,32.5539595829905,32.5539595829905,32.5539595829905,34.0506368749775,34.239569666970056,2,0,0.827874457987491,0.15545379201648757,34.249574374989606,34.26734479202423,34.26734479202423,35.25260295800399,35.25262633297825,35.25427799997851,35.74603920802474,35.74458666698774,34.252516000007745,34.252516000007745,35.25427799997851,35.25427799997851,804872,001,2025-02-28_16h57.15.511,untitled,2024.2.4,None,2025-02-28 16h57.21.300833 -0600,
11,0,11,2,0,0.38068012497387826,0.1314152919803746,11,0,11,0,35.74603920802474,,,,,,,,,35.74468058301136,35.75905337498989,35.75905337498989,35.75905337498989,37.24532312498195,37.4524076670059,2,0,0.38068012497387826,0.1314152919803746,37.46122887497768,37.46326920797583,37.46326920797583,38.452632958011236,38.45265712501714,38.4544205829734,38.946162417007145,38.94444208301138,37.46326920797583,37.46326920797583,38.4544205829734,38.4544205829734,804872,001,2025-02-28_16h57.15.511,untitled,2024.2.4,None,2025-02-28 16h57.21.300833 -0600,
12,0,12,1,0,0.3745325419586152,0.13694329204736277,12,0,12,0,38.946162417007145,,,,,,,,,38.94453754200367,38.959194542025216,38.959194542025216,38.959194542025216,40.450619583018124,40.64428412501002,1,0,0.3745325419586152,0.13694329204736277,40.65503049996914,40.66186816699337,40.66186816699337,41.65271908300929,41.652741083002184,41.65437204198679,42.145657833025325,42.14421187498374,40.65674137498718,40.65674137498718,41.65437204198679,41.65437204198679,804872,001,2025-02-28_16h57.15.511,untitled,2024.2.4,None,2025-02-28 16h57.21.300833 -0600,
