thisN,thisTrialN,thisRepN,cue_resp.keys,cue_resp.corr,cue_resp.rt,cue_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,getReady.started,get_ready_text.started,advance_press.started,getReady.stopped,advance_press.keys,advance_press.rt,advance_press.duration,cue.started,left_box.started,right_box.started,cue_resp.started,cue_resp.stopped,cue.stopped,trials.cue_resp.keys,trials.cue_resp.corr,trials.cue_resp.rt,trials.cue_resp.duration,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,fixation.started,fixation_cross.started,fixation.stopped,fixation_cross.stopped,left_box.stopped,right_box.stopped,outcome_left_box.stopped,outcome_right_box.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.012269209022633731,0.0169608750147745,0.0169608750147745,2.9117262919899076,space,2.870435458025895,None,,,,,,,,,,,,,,,,,,,,,,,882667,001,2025-02-28_15h45.17.691,untitled,2024.2.4,None,2025-02-28 15h45.23.424103 -0600,
0,0,0,2,0,0.4579735840088688,0.07920287502929568,0,0,0,0,2.923415750032291,,,,,,,,,2.912347250035964,2.923415750032291,2.923415750032291,2.923415750032291,4.414274875016417,4.6142478749970905,2,0,0.4579735840088688,0.07920287502929568,4.625948792032432,4.628263916994911,4.628263916994911,5.622916291991714,5.6229544170200825,5.633800000010524,6.1185759590007365,,,,,,882667,001,2025-02-28_15h45.17.691,untitled,2024.2.4,None,2025-02-28 15h45.23.424103 -0600,
1,0,1,2,0,0.3620030829915777,0.21281325002200902,1,0,1,0,6.1254211670020595,,,,,,,,,6.118674167024437,6.1254211670020595,6.1254211670020595,6.1254211670020595,7.628007708990481,7.818602375045884,2,0,0.3620030829915777,0.21281325002200902,7.830131417023949,7.832061875029467,7.832061875029467,8.813879250024911,8.813903667032719,8.82540183403762,9.310457000043243,9.313827000034507,,,,,882667,001,2025-02-28_15h45.17.691,untitled,2024.2.4,None,2025-02-28 15h45.23.424103 -0600,
2,0,2,2,0,0.7267999169998802,0.2399436660343781,2,0,2,0,9.313827000034507,,,,,,,,,9.310568042041268,9.313827000034507,9.313827000034507,9.313827000034507,10.806423917005304,11.00320187502075,2,0,0.7267999169998802,0.2399436660343781,11.012208083993755,11.01477954199072,11.01477954199072,12.002451250038575,12.002472791995388,12.008808000013232,12.502672875009011,12.50866049999604,11.01477954199072,11.01477954199072,12.008808000013232,12.008808000013232,882667,001,2025-02-28_15h45.17.691,untitled,2024.2.4,None,2025-02-28 15h45.23.424103 -0600,
3,0,3,2,0,1.0717405829927884,0.1803797089960426,3,0,3,0,12.50866049999604,,,,,,,,,12.502774792024866,12.50866049999604,12.50866049999604,12.50866049999604,14.003467959002592,14.19407525000861,2,0,1.0717405829927884,0.1803797089960426,14.20332337502623,14.21696004201658,14.21696004201658,15.211075709026773,15.211096542014275,15.217018458992243,15.710969209030736,15.717052292020526,14.205157999997027,14.205157999997027,15.217018458992243,15.217018458992243,882667,001,2025-02-28_15h45.17.691,untitled,2024.2.4,None,2025-02-28 15h45.23.424103 -0600,
4,0,4,2,0,0.5724512500455603,0.15776441700290889,4,0,4,0,15.717052292020526,,,,,,,,,15.711066042014863,15.717052292020526,15.717052292020526,15.717052292020526,17.208753792045172,17.41107125004055,2,0,0.5724512500455603,0.15776441700290889,17.41917791700689,17.422027666994836,17.422027666994836,18.407671249995474,18.40769416699186,18.41115900001023,18.902927417017054,18.908765875035897,17.422027666994836,17.422027666994836,18.41115900001023,18.41115900001023,882667,001,2025-02-28_15h45.17.691,untitled,2024.2.4,None,2025-02-28 15h45.23.424103 -0600,
5,0,5,1,0,0.302643499977421,0.20231366698862985,5,0,5,0,18.908765875035897,,,,,,,,,18.90303816704545,18.908765875035897,18.908765875035897,18.908765875035897,20.395623209013138,20.59409695904469,1,0,0.302643499977421,0.20231366698862985,20.60396033403231,20.611136374995112,20.611136374995112,21.603268459031824,21.60328662500251,21.608781500020996,22.102525792026427,22.11143616703339,20.60644929204136,20.60644929204136,21.608781500020996,21.608781500020996,882667,001,2025-02-28_15h45.17.691,untitled,2024.2.4,None,2025-02-28 15h45.23.424103 -0600,
6,0,6,1,0,0.4752289170282893,0.19363741599954665,6,0,6,0,22.11143616703339,,,,,,,,,22.102629792003427,22.11143616703339,22.11143616703339,22.11143616703339,23.608724209014326,23.80267854203703,1,0,0.4752289170282893,0.19363741599954665,23.81194858404342,23.814264584041666,23.814264584041666,24.811172709043603,24.811194125039037,24.816866167006083,25.30226962501183,25.305628500005696,23.814264584041666,23.814264584041666,24.816866167006083,24.816866167006083,882667,001,2025-02-28_15h45.17.691,untitled,2024.2.4,None,2025-02-28 15h45.23.424103 -0600,
7,0,7,1,0,0.3046493749716319,0.17892974999267608,7,0,7,0,25.305628500005696,,,,,,,,,25.302373874990735,25.305628500005696,25.305628500005696,25.305628500005696,26.808820917038247,26.99457291699946,1,0,0.3046493749716319,0.17892974999267608,27.004573042038828,27.01107512501767,27.01107512501767,28.003639959031716,28.003662333998363,28.008736499992665,28.502514875028282,28.508477916999254,27.006234167027287,27.006234167027287,28.008736499992665,28.008736499992665,882667,001,2025-02-28_15h45.17.691,untitled,2024.2.4,None,2025-02-28 15h45.23.424103 -0600,
8,0,8,1,0,0.3758606250048615,0.16925162501865998,8,0,8,0,28.508477916999254,,,,,,,,,28.502616709040012,28.508477916999254,28.508477916999254,28.508477916999254,30.009368667029776,30.20272975001717,1,0,0.3758606250048615,0.16925162501865998,30.211943292000797,30.214254625025205,30.214254625025205,31.20271862501977,31.202740375010762,31.20880349999061,31.69663608400151,31.709155709017068,30.214254625025205,30.214254625025205,31.20880349999061,31.20880349999061,882667,001,2025-02-28_15h45.17.691,untitled,2024.2.4,None,2025-02-28 15h45.23.424103 -0600,
